Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15067.91,-144.08,48807.10,51080.30,LER
2021-01-01 00:01:00,15067.71,-144.16,48807.10,51080.20,LER
2021-01-01 00:02:00,15067.71,-144.38,48807.20,51080.30,LER
2021-01-01 00:03:00,15067.61,-144.38,48807.30,51080.40,LER
2021-01-01 00:04:00,15067.51,-144.16,48807.40,51080.40,LER
2021-01-01 00:05:00,15067.51,-144.47,48807.50,51080.50,LER
2021-01-01 00:06:00,15067.80,-144.95,48807.70,51080.80,LER
2021-01-01 00:07:00,15068.50,-145.57,48807.70,51081.00,LER
2021-01-01 00:08:00,15069.39,-145.80,48807.60,51081.20,LER
2021-01-01 00:09:00,15069.70,-145.80,48807.10,51080.80,LER
2021-01-01 00:10:00,15069.40,-145.41,48806.80,51080.40,LER
2021-01-01 00:11:00,15069.10,-145.32,48806.80,51080.30,LER
2021-01-01 00:12:00,15069.10,-145.32,48806.90,51080.40,LER
2021-01-01 00:13:00,15069.10,-145.49,48806.90,51080.40,LER
2021-01-01 00:14:00,15069.09,-145.80,48806.90,51080.40,LER
2021-01-01 00:15:00,15068.79,-145.88,48806.80,51080.20,LER
2021-01-01 00:16:00,15068.40,-145.70,48806.80,51080.10,LER
2021-01-01 00:17:00,15067.70,-145.56,48806.90,51080.00,LER
2021-01-01 00:18:00,15067.40,-145.25,48807.10,51080.10,LER
2021-01-01 00:19:00,15067.10,-145.16,48807.30,51080.20,LER
2021-01-01 00:20:00,15067.20,-145.08,48807.50,51080.40,LER
2021-01-01 00:21:00,15067.20,-145.34,48807.60,51080.50,LER
2021-01-01 00:22:00,15067.30,-145.56,48807.70,51080.70,LER
2021-01-01 00:23:00,15067.50,-145.78,48807.70,51080.70,LER
2021-01-01 00:24:00,15067.70,-145.78,48807.70,51080.80,LER
2021-01-01 00:25:00,15068.09,-145.96,48807.80,51081.00,LER
2021-01-01 00:26:00,15068.19,-146.18,48807.60,51080.80,LER
2021-01-01 00:27:00,15068.29,-146.10,48807.60,51080.90,LER
