Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,30417.84,71.30,-43265.07,52887.96,LRM
2021-01-01 00:01:00,30418.20,70.74,-43265.15,52888.22,LRM
2021-01-01 00:02:00,30418.63,70.64,-43265.33,52888.60,LRM
2021-01-01 00:03:00,30418.91,70.17,-43265.50,52888.89,LRM
2021-01-01 00:04:00,30418.94,69.14,-43265.69,52889.02,LRM
2021-01-01 00:05:00,30418.69,69.15,-43265.92,52889.09,LRM
2021-01-01 00:06:00,30417.64,69.57,-43265.91,52888.45,LRM
2021-01-01 00:07:00,30417.11,69.60,-43265.62,52887.98,LRM
2021-01-01 00:08:00,30417.07,69.99,-43265.46,52887.81,LRM
2021-01-01 00:09:00,30417.28,70.48,-43265.37,52887.82,LRM
2021-01-01 00:10:00,30417.52,70.50,-43265.21,52887.88,LRM
2021-01-01 00:11:00,30417.64,70.79,-43265.18,52887.91,LRM
2021-01-01 00:12:00,30417.70,71.02,-43265.09,52887.88,LRM
2021-01-01 00:13:00,30417.70,71.11,-43264.98,52887.77,LRM
2021-01-01 00:14:00,30418.04,70.92,-43264.88,52887.89,LRM
2021-01-01 00:15:00,30418.31,70.03,-43264.81,52888.00,LRM
2021-01-01 00:16:00,30418.44,69.98,-43264.93,52888.16,LRM
2021-01-01 00:17:00,30418.65,69.78,-43264.99,52888.30,LRM
2021-01-01 00:18:00,30418.66,69.55,-43265.00,52888.34,LRM
2021-01-01 00:19:00,30418.81,70.04,-43265.13,52888.47,LRM
2021-01-01 00:20:00,30418.83,70.08,-43265.02,52888.45,LRM
2021-01-01 00:21:00,30418.72,70.26,-43264.93,52888.30,LRM
2021-01-01 00:22:00,30418.78,70.42,-43264.79,52888.22,LRM
2021-01-01 00:23:00,30418.84,70.17,-43264.63,52888.12,LRM
2021-01-01 00:24:00,30418.98,69.90,-43264.51,52888.15,LRM
2021-01-01 00:25:00,30418.93,69.52,-43264.47,52888.05,LRM
2021-01-01 00:26:00,30419.03,69.05,-43264.45,52888.07,LRM
2021-01-01 00:27:00,30419.09,69.18,-43264.45,52888.12,LRM
2021-01-01 00:28:00,30419.22,69.48,-43264.49,52888.19,LRM
2021-01-01 00:29:00,30419.34,69.78,-43264.42,52888.18,LRM
2021-01-01 00:30:00,30419.46,69.87,-43264.34,52888.19,LRM
2021-01-01 00:31:00,30419.55,70.03,-43264.23,52888.19,LRM
2021-01-01 00:32:00,30419.66,70.07,-43264.11,52888.12,LRM
2021-01-01 00:33:00,30419.70,70.03,-43264.04,52888.07,LRM
2021-01-01 00:34:00,30419.59,70.11,-43263.92,52887.92,LRM
2021-01-01 00:35:00,30419.69,70.15,-43263.72,52887.85,LRM
2021-01-01 00:36:00,30419.77,70.22,-43263.59,52887.82,LRM
2021-01-01 00:37:00,30419.88,70.08,-43263.49,52887.76,LRM
2021-01-01 00:38:00,30420.11,69.99,-43263.45,52887.84,LRM
2021-01-01 00:39:00,30420.13,69.90,-43263.43,52887.82,LRM
2021-01-01 00:40:00,30420.02,70.21,-43263.33,52887.72,LRM
2021-01-01 00:41:00,30420.20,70.60,-43263.17,52887.69,LRM
2021-01-01 00:42:00,30420.30,70.95,-43263.03,52887.65,LRM
2021-01-01 00:43:00,30420.42,71.11,-43262.88,52887.56,LRM
2021-01-01 00:44:00,30420.51,71.05,-43262.71,52887.50,LRM
2021-01-01 00:45:00,30420.53,70.83,-43262.58,52887.41,LRM
2021-01-01 00:46:00,30420.48,70.72,-43262.45,52887.31,LRM
2021-01-01 00:47:00,30420.42,70.72,-43262.33,52887.13,LRM
2021-01-01 00:48:00,30420.79,70.62,-43262.21,52887.27,LRM
2021-01-01 00:49:00,30420.87,70.89,-43262.19,52887.27,LRM
2021-01-01 00:50:00,30421.01,70.71,-43262.13,52887.28,LRM
2021-01-01 00:51:00,30420.94,70.79,-43262.08,52887.20,LRM
2021-01-01 00:52:00,30420.95,70.62,-43261.96,52887.09,LRM
2021-01-01 00:53:00,30420.99,70.48,-43261.87,52887.04,LRM
2021-01-01 00:54:00,30421.16,70.33,-43261.75,52887.10,LRM
2021-01-01 00:55:00,30421.39,70.15,-43261.69,52887.20,LRM
2021-01-01 00:56:00,30421.58,69.97,-43261.71,52887.31,LRM
2021-01-01 00:57:00,30421.72,69.82,-43261.76,52887.42,LRM
2021-01-01 00:58:00,30421.83,69.70,-43261.78,52887.51,LRM
2021-01-01 00:59:00,30421.90,69.69,-43261.80,52887.54,LRM
2021-01-01 01:00:00,30421.89,69.64,-43261.79,52887.54,LRM
2021-01-01 01:01:00,30421.89,69.53,-43261.77,52887.54,LRM
2021-01-01 01:02:00,30421.92,69.35,-43261.75,52887.55,LRM
2021-01-01 01:03:00,30422.01,69.13,-43261.74,52887.59,LRM
2021-01-01 01:04:00,30422.00,69.08,-43261.73,52887.62,LRM
2021-01-01 01:05:00,30421.98,69.15,-43261.76,52887.61,LRM
2021-01-01 01:06:00,30421.98,69.22,-43261.73,52887.59,LRM
2021-01-01 01:07:00,30422.01,69.19,-43261.67,52887.58,LRM
2021-01-01 01:08:00,30421.97,69.23,-43261.67,52887.52,LRM
2021-01-01 01:09:00,30421.90,69.29,-43261.63,52887.45,LRM
2021-01-01 01:10:00,30421.78,69.39,-43261.53,52887.33,LRM
2021-01-01 01:11:00,30421.72,69.42,-43261.46,52887.20,LRM
2021-01-01 01:12:00,30421.56,69.54,-43261.38,52887.01,LRM
2021-01-01 01:13:00,30421.43,69.67,-43261.20,52886.81,LRM
2021-01-01 01:14:00,30421.34,69.75,-43261.10,52886.65,LRM
2021-01-01 01:15:00,30421.32,69.54,-43260.91,52886.50,LRM
2021-01-01 01:16:00,30421.35,69.24,-43260.79,52886.48,LRM
2021-01-01 01:17:00,30421.44,68.85,-43260.75,52886.47,LRM
2021-01-01 01:18:00,30421.51,68.56,-43260.77,52886.47,LRM
