Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20073.00,730.10,44662.50,48971.39,MAB
2021-01-01 00:01:00,20073.10,730.00,44662.40,48971.34,MAB
2021-01-01 00:02:00,20073.10,729.90,44662.40,48971.34,MAB
2021-01-01 00:03:00,20073.20,730.00,44662.40,48971.38,MAB
2021-01-01 00:04:00,20073.20,730.10,44662.40,48971.38,MAB
2021-01-01 00:05:00,20073.40,729.90,44662.60,48971.64,MAB
2021-01-01 00:06:00,20073.30,729.40,44663.00,48971.96,MAB
2021-01-01 00:07:00,20073.10,728.90,44663.50,48972.33,MAB
2021-01-01 00:08:00,20072.60,728.60,44664.20,48972.76,MAB
2021-01-01 00:09:00,20072.30,728.70,44664.30,48972.73,MAB
2021-01-01 00:10:00,20072.20,729.20,44663.90,48972.33,MAB
2021-01-01 00:11:00,20072.30,729.30,44663.60,48972.10,MAB
2021-01-01 00:12:00,20072.30,729.30,44663.60,48972.10,MAB
2021-01-01 00:13:00,20072.40,729.30,44663.50,48972.05,MAB
2021-01-01 00:14:00,20072.40,729.20,44663.60,48972.14,MAB
2021-01-01 00:15:00,20072.60,729.30,44663.40,48972.04,MAB
2021-01-01 00:16:00,20072.70,729.50,44663.30,48971.99,MAB
2021-01-01 00:17:00,20073.00,729.70,44662.90,48971.75,MAB
2021-01-01 00:18:00,20073.20,729.70,44662.70,48971.65,MAB
2021-01-01 00:19:00,20073.40,729.80,44662.70,48971.73,MAB
2021-01-01 00:20:00,20073.50,729.80,44662.80,48971.87,MAB
2021-01-01 00:21:00,20073.60,729.60,44662.80,48971.90,MAB
2021-01-01 00:22:00,20073.60,729.40,44663.00,48972.08,MAB
2021-01-01 00:23:00,20073.50,729.00,44662.90,48971.95,MAB
2021-01-01 00:24:00,20073.50,728.90,44663.00,48972.04,MAB
2021-01-01 00:25:00,20073.50,728.70,44663.30,48972.31,MAB
2021-01-01 00:26:00,20073.40,728.50,44663.50,48972.44,MAB
2021-01-01 00:27:00,20073.30,728.50,44663.60,48972.49,MAB
2021-01-01 00:28:00,20073.30,728.60,44663.70,48972.59,MAB
2021-01-01 00:29:00,20073.10,728.60,44663.80,48972.60,MAB
2021-01-01 00:30:00,20073.10,728.70,44663.60,48972.42,MAB
2021-01-01 00:31:00,20072.90,728.70,44663.60,48972.33,MAB
2021-01-01 00:32:00,20072.90,728.70,44663.70,48972.43,MAB
2021-01-01 00:33:00,20072.80,728.50,44663.80,48972.47,MAB
2021-01-01 00:34:00,20072.60,728.40,44663.70,48972.30,MAB
2021-01-01 00:35:00,20072.80,728.20,44663.60,48972.29,MAB
2021-01-01 00:36:00,20072.80,728.20,44663.60,48972.29,MAB
2021-01-01 00:37:00,20072.90,728.20,44663.70,48972.42,MAB
2021-01-01 00:38:00,20072.90,728.20,44663.80,48972.51,MAB
2021-01-01 00:39:00,20072.80,728.30,44663.80,48972.47,MAB
2021-01-01 00:40:00,20072.80,728.40,44663.70,48972.38,MAB
2021-01-01 00:41:00,20072.90,728.60,44663.70,48972.42,MAB
2021-01-01 00:42:00,20072.90,728.60,44663.60,48972.33,MAB
2021-01-01 00:43:00,20073.00,728.70,44663.50,48972.28,MAB
2021-01-01 00:44:00,20073.10,728.70,44663.40,48972.23,MAB
2021-01-01 00:45:00,20073.00,728.50,44663.30,48972.10,MAB
2021-01-01 00:46:00,20073.10,728.40,44663.40,48972.23,MAB
2021-01-01 00:47:00,20073.10,728.30,44663.40,48972.23,MAB
2021-01-01 00:48:00,20073.20,728.40,44663.50,48972.36,MAB
2021-01-01 00:49:00,20073.10,728.20,44663.50,48972.32,MAB
2021-01-01 00:50:00,20073.20,728.20,44663.60,48972.45,MAB
2021-01-01 00:51:00,20073.10,728.20,44663.70,48972.50,MAB
2021-01-01 00:52:00,20073.00,728.30,44663.80,48972.55,MAB
2021-01-01 00:53:00,20073.00,728.30,44663.70,48972.46,MAB
2021-01-01 00:54:00,20072.90,728.30,44663.70,48972.42,MAB
2021-01-01 00:55:00,20072.90,728.40,44663.70,48972.42,MAB
2021-01-01 00:56:00,20072.80,728.40,44663.60,48972.29,MAB
2021-01-01 00:57:00,20072.90,728.40,44663.60,48972.33,MAB
2021-01-01 00:58:00,20072.80,728.40,44663.60,48972.29,MAB
2021-01-01 00:59:00,20072.80,728.40,44663.60,48972.29,MAB
2021-01-01 01:00:00,20073.00,728.50,44663.60,48972.37,MAB
2021-01-01 01:01:00,20072.80,728.70,44663.70,48972.38,MAB
2021-01-01 01:02:00,20072.80,728.80,44663.70,48972.39,MAB
2021-01-01 01:03:00,20072.70,729.00,44663.80,48972.44,MAB
2021-01-01 01:04:00,20072.60,729.20,44663.80,48972.40,MAB
2021-01-01 01:05:00,20072.40,729.50,44663.80,48972.32,MAB
2021-01-01 01:06:00,20072.40,729.50,44663.80,48972.32,MAB
2021-01-01 01:07:00,20072.20,729.60,44663.90,48972.33,MAB
2021-01-01 01:08:00,20072.10,729.60,44663.90,48972.29,MAB
2021-01-01 01:09:00,20072.10,729.60,44664.00,48972.38,MAB
2021-01-01 01:10:00,20072.10,729.50,44664.00,48972.38,MAB
2021-01-01 01:11:00,20072.10,729.50,44664.00,48972.38,MAB
2021-01-01 01:12:00,20072.10,729.40,44664.10,48972.47,MAB
2021-01-01 01:13:00,20072.10,729.40,44664.10,48972.47,MAB
2021-01-01 01:14:00,20072.30,729.40,44664.00,48972.46,MAB
2021-01-01 01:15:00,20072.30,729.20,44664.00,48972.46,MAB
2021-01-01 01:16:00,20072.30,729.00,44664.00,48972.46,MAB
2021-01-01 01:17:00,20072.20,728.90,44663.90,48972.32,MAB
2021-01-01 01:18:00,20072.10,728.90,44664.10,48972.46,MAB
2021-01-01 01:19:00,20072.00,728.80,44664.10,48972.42,MAB
2021-01-01 01:20:00,20072.00,728.80,44664.30,48972.60,MAB
2021-01-01 01:21:00,20071.90,728.80,44664.40,48972.66,MAB
2021-01-01 01:22:00,20071.90,728.60,44664.50,48972.74,MAB
2021-01-01 01:23:00,20071.90,728.70,44664.50,48972.74,MAB
2021-01-01 01:24:00,20071.90,728.70,44664.60,48972.84,MAB
2021-01-01 01:25:00,20071.70,728.60,44664.70,48972.84,MAB
2021-01-01 01:26:00,20071.80,728.50,44664.70,48972.88,MAB
2021-01-01 01:27:00,20071.90,728.40,44664.40,48972.65,MAB
2021-01-01 01:28:00,20071.90,728.40,44664.20,48972.47,MAB
2021-01-01 01:29:00,20071.90,728.50,44664.00,48972.29,MAB
2021-01-01 01:30:00,20071.90,728.60,44664.00,48972.29,MAB
2021-01-01 01:31:00,20071.90,728.50,44664.20,48972.47,MAB
2021-01-01 01:32:00,20072.00,728.30,44664.30,48972.60,MAB
2021-01-01 01:33:00,20072.10,728.30,44664.30,48972.64,MAB
2021-01-01 01:34:00,20072.10,728.20,44664.30,48972.64,MAB
2021-01-01 01:35:00,20072.20,728.20,44664.30,48972.68,MAB
2021-01-01 01:36:00,20072.20,728.30,44664.20,48972.59,MAB
2021-01-01 01:37:00,20072.30,728.30,44664.10,48972.54,MAB
2021-01-01 01:38:00,20072.30,728.30,44664.10,48972.54,MAB
2021-01-01 01:39:00,20072.40,728.40,44664.00,48972.49,MAB
2021-01-01 01:40:00,20072.40,728.40,44663.80,48972.31,MAB
2021-01-01 01:41:00,20072.40,728.50,44663.80,48972.31,MAB
2021-01-01 01:42:00,20072.40,728.50,44663.80,48972.31,MAB
2021-01-01 01:43:00,20072.40,728.60,44664.00,48972.49,MAB
2021-01-01 01:44:00,20072.30,728.60,44664.00,48972.45,MAB
2021-01-01 01:45:00,20072.40,728.50,44664.00,48972.49,MAB
2021-01-01 01:46:00,20072.30,728.60,44664.10,48972.54,MAB
