Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,6595.91,-17348.14,-45682.09,49308.31,MAW
2021-01-01 00:01:00,6597.85,-17349.76,-45684.69,49311.57,MAW
2021-01-01 00:02:00,6600.61,-17353.40,-45686.79,49315.16,MAW
2021-01-01 00:03:00,6600.30,-17355.96,-45683.54,49312.99,MAW
2021-01-01 00:04:00,6593.05,-17350.26,-45673.23,49300.45,MAW
2021-01-01 00:05:00,6586.86,-17336.93,-45670.61,49292.44,MAW
2021-01-01 00:06:00,6589.53,-17332.35,-45681.96,49301.73,MAW
2021-01-01 00:07:00,6593.37,-17333.13,-45689.45,49309.54,MAW
2021-01-01 00:08:00,6596.98,-17334.50,-45693.91,49314.71,MAW
2021-01-01 00:09:00,6599.73,-17336.37,-45697.04,49318.62,MAW
2021-01-01 00:10:00,6601.48,-17338.62,-45697.30,49319.77,MAW
2021-01-01 00:11:00,6603.84,-17341.81,-45696.10,49320.22,MAW
2021-01-01 00:12:00,6604.58,-17344.26,-45691.11,49316.60,MAW
2021-01-01 00:13:00,6604.16,-17344.07,-45685.71,49311.36,MAW
2021-01-01 00:14:00,6604.15,-17344.59,-45683.95,49310.03,MAW
2021-01-01 00:15:00,6602.71,-17344.29,-45681.95,49307.81,MAW
2021-01-01 00:16:00,6602.30,-17344.35,-45683.08,49308.82,MAW
2021-01-01 00:17:00,6604.94,-17348.50,-45685.85,49313.18,MAW
2021-01-01 00:18:00,6606.30,-17352.39,-45684.19,49313.26,MAW
2021-01-01 00:19:00,6607.04,-17356.51,-45681.68,49312.32,MAW
2021-01-01 00:20:00,6607.21,-17359.19,-45677.94,49309.89,MAW
2021-01-01 00:21:00,6604.46,-17359.00,-45673.30,49305.02,MAW
2021-01-01 00:22:00,6601.87,-17356.74,-45672.13,49302.80,MAW
2021-01-01 00:23:00,6601.67,-17356.13,-45674.24,49304.68,MAW
2021-01-01 00:24:00,6601.33,-17355.59,-45675.05,49305.23,MAW
2021-01-01 00:25:00,6603.23,-17356.14,-45678.03,49308.35,MAW
2021-01-01 00:26:00,6604.73,-17357.76,-45678.65,49309.71,MAW
2021-01-01 00:27:00,6603.53,-17357.62,-45677.14,49308.06,MAW
2021-01-01 00:28:00,6603.70,-17357.19,-45678.37,49309.11,MAW
2021-01-01 00:29:00,6606.59,-17358.75,-45680.20,49311.68,MAW
2021-01-01 00:30:00,6606.15,-17359.43,-45678.28,49310.16,MAW
2021-01-01 00:31:00,6602.99,-17358.48,-45677.14,49308.23,MAW
2021-01-01 00:32:00,6600.43,-17357.11,-45677.98,49308.27,MAW
2021-01-01 00:33:00,6603.07,-17356.72,-45682.12,49312.37,MAW
2021-01-01 00:34:00,6606.23,-17358.19,-45684.14,49315.06,MAW
2021-01-01 00:35:00,6606.72,-17358.56,-45681.65,49313.00,MAW
2021-01-01 00:36:00,6606.25,-17359.17,-45679.39,49311.14,MAW
2021-01-01 00:37:00,6606.44,-17360.55,-45678.24,49310.59,MAW
2021-01-01 00:38:00,6607.38,-17362.62,-45677.12,49310.35,MAW
2021-01-01 00:39:00,6609.57,-17364.94,-45676.19,49310.54,MAW
2021-01-01 00:40:00,6610.55,-17365.86,-45673.61,49308.65,MAW
2021-01-01 00:41:00,6611.16,-17366.41,-45671.21,49306.62,MAW
2021-01-01 00:42:00,6611.16,-17367.01,-45669.04,49304.82,MAW
2021-01-01 00:43:00,6611.25,-17367.53,-45667.55,49303.62,MAW
2021-01-01 00:44:00,6611.18,-17367.60,-45665.90,49302.07,MAW
2021-01-01 00:45:00,6610.89,-17367.30,-45664.42,49300.47,MAW
2021-01-01 00:46:00,6609.41,-17366.65,-45662.58,49298.45,MAW
