Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,10647.08,6883.69,-62704.95,63972.60,MCQ
2021-01-01 00:01:00,10645.87,6883.75,-62704.52,63971.95,MCQ
2021-01-01 00:02:00,10646.16,6882.46,-62704.23,63971.60,MCQ
2021-01-01 00:03:00,10645.96,6880.63,-62703.12,63970.36,MCQ
2021-01-01 00:04:00,10646.62,6879.99,-62703.42,63970.61,MCQ
2021-01-01 00:05:00,10647.99,6878.74,-62703.65,63970.99,MCQ
2021-01-01 00:06:00,10650.51,6878.13,-62705.26,63972.82,MCQ
2021-01-01 00:07:00,10651.26,6880.53,-62706.52,63974.52,MCQ
2021-01-01 00:08:00,10651.07,6882.20,-62706.73,63974.91,MCQ
2021-01-01 00:09:00,10650.40,6882.60,-62706.26,63974.32,MCQ
2021-01-01 00:10:00,10648.73,6883.60,-62705.83,63973.75,MCQ
2021-01-01 00:11:00,10648.30,6885.50,-62706.66,63974.66,MCQ
2021-01-01 00:12:00,10648.59,6885.97,-62706.82,63974.98,MCQ
2021-01-01 00:13:00,10648.19,6884.13,-62705.69,63973.59,MCQ
2021-01-01 00:14:00,10646.42,6883.08,-62704.10,63971.63,MCQ
2021-01-01 00:15:00,10646.37,6882.92,-62704.37,63971.80,MCQ
2021-01-01 00:16:00,10648.05,6884.32,-62706.14,63973.93,MCQ
2021-01-01 00:17:00,10649.40,6885.78,-62707.60,63975.77,MCQ
2021-01-01 00:18:00,10649.99,6887.49,-62708.60,63977.08,MCQ
2021-01-01 00:19:00,10650.96,6888.69,-62709.76,63978.52,MCQ
2021-01-01 00:20:00,10650.75,6889.40,-62709.80,63978.61,MCQ
2021-01-01 00:21:00,10651.30,6890.25,-62710.45,63979.39,MCQ
2021-01-01 00:22:00,10651.23,6890.97,-62710.48,63979.54,MCQ
2021-01-01 00:23:00,10650.25,6891.04,-62709.66,63978.59,MCQ
2021-01-01 00:24:00,10649.09,6890.51,-62708.70,63977.39,MCQ
2021-01-01 00:25:00,10648.74,6890.41,-62708.65,63977.24,MCQ
2021-01-01 00:26:00,10649.66,6890.66,-62709.36,63978.09,MCQ
2021-01-01 00:27:00,10650.19,6891.17,-62709.89,63978.72,MCQ
2021-01-01 00:28:00,10649.97,6891.99,-62710.09,63978.92,MCQ
2021-01-01 00:29:00,10649.55,6892.46,-62709.97,63978.85,MCQ
2021-01-01 00:30:00,10649.02,6892.95,-62710.01,63978.86,MCQ
2021-01-01 00:31:00,10649.15,6893.36,-62710.29,63979.14,MCQ
2021-01-01 00:32:00,10648.97,6893.62,-62710.28,63979.19,MCQ
2021-01-01 00:33:00,10648.69,6893.76,-62710.07,63978.96,MCQ
2021-01-01 00:34:00,10648.56,6893.58,-62709.91,63978.75,MCQ
2021-01-01 00:35:00,10648.52,6893.95,-62710.09,63978.94,MCQ
2021-01-01 00:36:00,10648.39,6894.16,-62710.12,63979.00,MCQ
2021-01-01 00:37:00,10648.26,6894.50,-62710.24,63979.11,MCQ
2021-01-01 00:38:00,10648.40,6895.12,-62710.59,63979.54,MCQ
2021-01-01 00:39:00,10648.25,6895.17,-62710.45,63979.42,MCQ
2021-01-01 00:40:00,10647.86,6895.47,-62710.38,63979.33,MCQ
2021-01-01 00:41:00,10647.01,6896.57,-62710.47,63979.41,MCQ
2021-01-01 00:42:00,10646.48,6897.27,-62710.51,63979.43,MCQ
2021-01-01 00:43:00,10646.30,6897.39,-62710.56,63979.38,MCQ
2021-01-01 00:44:00,10646.07,6897.49,-62710.53,63979.35,MCQ
2021-01-01 00:45:00,10646.01,6897.26,-62710.44,63979.25,MCQ
2021-01-01 00:46:00,10646.27,6897.21,-62710.63,63979.46,MCQ
2021-01-01 00:47:00,10646.87,6897.85,-62711.30,63980.22,MCQ
2021-01-01 00:48:00,10646.62,6899.44,-62711.64,63980.75,MCQ
2021-01-01 00:49:00,10646.33,6898.98,-62711.21,63980.17,MCQ
2021-01-01 00:50:00,10645.94,6899.16,-62711.09,63980.04,MCQ
2021-01-01 00:51:00,10645.68,6899.43,-62711.10,63980.03,MCQ
2021-01-01 00:52:00,10645.94,6899.48,-62711.27,63980.26,MCQ
2021-01-01 00:53:00,10646.32,6899.53,-62711.48,63980.61,MCQ
2021-01-01 00:54:00,10646.42,6900.07,-62711.65,63980.92,MCQ
2021-01-01 00:55:00,10646.53,6900.36,-62711.82,63981.08,MCQ
