Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,16747.17,-4141.20,53750.16,56451.00,MGD
2021-01-01 00:01:00,16746.74,-4140.26,53750.38,56451.04,MGD
2021-01-01 00:02:00,16747.20,-4140.98,53750.25,56451.09,MGD
2021-01-01 00:03:00,16747.61,-4140.89,53750.21,56451.25,MGD
2021-01-01 00:04:00,16748.27,-4141.36,53750.12,56451.43,MGD
2021-01-01 00:05:00,16748.82,-4140.08,53750.23,56451.50,MGD
2021-01-01 00:06:00,16747.57,-4141.13,53750.44,56451.35,MGD
2021-01-01 00:07:00,16745.26,-4142.86,53750.34,56450.72,MGD
2021-01-01 00:08:00,16742.78,-4143.95,53750.15,56449.89,MGD
2021-01-01 00:09:00,16743.45,-4143.90,53749.95,56449.88,MGD
2021-01-01 00:10:00,16744.36,-4143.46,53750.21,56450.36,MGD
2021-01-01 00:11:00,16744.25,-4143.94,53750.29,56450.53,MGD
2021-01-01 00:12:00,16744.84,-4142.19,53750.31,56450.54,MGD
2021-01-01 00:13:00,16745.05,-4143.45,53750.29,56450.66,MGD
2021-01-01 00:14:00,16745.27,-4143.59,53750.50,56450.94,MGD
2021-01-01 00:15:00,16745.13,-4143.66,53750.48,56450.91,MGD
2021-01-01 00:16:00,16745.32,-4144.68,53750.35,56450.97,MGD
2021-01-01 00:17:00,16745.67,-4142.65,53750.73,56451.22,MGD
2021-01-01 00:18:00,16746.80,-4142.76,53750.47,56451.26,MGD
2021-01-01 00:19:00,16746.54,-4142.17,53750.71,56451.40,MGD
2021-01-01 00:20:00,16747.06,-4143.06,53750.57,56451.55,MGD
2021-01-01 00:21:00,16746.95,-4142.44,53750.70,56451.49,MGD
2021-01-01 00:22:00,16746.49,-4142.45,53750.78,56451.43,MGD
2021-01-01 00:23:00,16746.46,-4144.23,53750.64,56451.52,MGD
2021-01-01 00:24:00,16746.08,-4143.86,53750.77,56451.44,MGD
2021-01-01 00:25:00,16745.25,-4143.90,53750.54,56451.08,MGD
2021-01-01 00:26:00,16744.43,-4142.40,53750.72,56450.84,MGD
2021-01-01 00:27:00,16744.26,-4142.53,53750.73,56450.69,MGD
2021-01-01 00:28:00,16744.47,-4143.43,53750.56,56450.76,MGD
2021-01-01 00:29:00,16744.40,-4143.45,53750.70,56450.86,MGD
2021-01-01 00:30:00,16744.74,-4143.19,53750.73,56450.97,MGD
2021-01-01 00:31:00,16745.38,-4142.77,53750.82,56451.16,MGD
2021-01-01 00:32:00,16745.49,-4142.48,53750.98,56451.35,MGD
2021-01-01 00:33:00,16745.40,-4142.81,53751.02,56451.35,MGD
2021-01-01 00:34:00,16745.01,-4142.97,53751.01,56451.28,MGD
2021-01-01 00:35:00,16745.19,-4143.10,53750.98,56451.31,MGD
2021-01-01 00:36:00,16745.40,-4143.88,53750.87,56451.35,MGD
2021-01-01 00:37:00,16744.91,-4142.66,53751.12,56451.33,MGD
2021-01-01 00:38:00,16745.36,-4143.37,53751.01,56451.39,MGD
2021-01-01 00:39:00,16745.10,-4143.10,53751.11,56451.37,MGD
2021-01-01 00:40:00,16745.00,-4143.44,53750.99,56451.39,MGD
2021-01-01 00:41:00,16745.60,-4143.73,53750.98,56451.59,MGD
2021-01-01 00:42:00,16745.26,-4144.32,53751.22,56451.69,MGD
2021-01-01 00:43:00,16745.72,-4143.92,53751.25,56451.76,MGD
2021-01-01 00:44:00,16745.61,-4143.42,53751.37,56451.82,MGD
2021-01-01 00:45:00,16745.59,-4143.94,53751.29,56451.79,MGD
2021-01-01 00:46:00,16745.27,-4143.93,53751.36,56451.68,MGD
2021-01-01 00:47:00,16744.91,-4144.37,53751.31,56451.65,MGD
2021-01-01 00:48:00,16745.26,-4144.08,53751.43,56451.85,MGD
2021-01-01 00:49:00,16745.25,-4144.56,53751.36,56451.79,MGD
2021-01-01 00:50:00,16745.43,-4144.42,53751.39,56451.89,MGD
2021-01-01 00:51:00,16745.44,-4143.86,53751.46,56451.89,MGD
2021-01-01 00:52:00,16744.90,-4143.65,53751.58,56451.82,MGD
2021-01-01 00:53:00,16744.77,-4145.43,53751.41,56451.77,MGD
2021-01-01 00:54:00,16744.90,-4144.93,53751.45,56451.81,MGD
2021-01-01 00:55:00,16744.79,-4146.19,53751.34,56451.86,MGD
2021-01-01 00:56:00,16745.29,-4144.99,53751.36,56451.90,MGD
2021-01-01 00:57:00,16745.03,-4144.80,53751.50,56451.90,MGD
2021-01-01 00:58:00,16745.12,-4143.60,53751.66,56451.95,MGD
2021-01-01 00:59:00,16744.93,-4144.74,53751.54,56451.89,MGD
2021-01-01 01:00:00,16744.90,-4144.37,53751.57,56451.93,MGD
2021-01-01 01:01:00,16745.18,-4145.12,53751.52,56451.97,MGD
2021-01-01 01:02:00,16745.42,-4144.97,53751.53,56452.03,MGD
2021-01-01 01:03:00,16744.98,-4145.25,53751.62,99999.00,MGD
2021-01-01 01:04:00,16745.03,-4145.96,53751.52,56452.06,MGD
2021-01-01 01:05:00,16745.45,-4145.28,53751.51,56452.09,MGD
2021-01-01 01:06:00,16745.19,-4145.94,53751.63,56452.12,MGD
2021-01-01 01:07:00,16745.15,-4146.51,53751.58,56452.14,MGD
2021-01-01 01:08:00,16744.93,-4146.32,53751.67,56452.12,MGD
2021-01-01 01:09:00,16744.95,-4145.80,53751.67,56452.16,MGD
2021-01-01 01:10:00,16745.18,-4145.81,53751.55,56452.11,MGD
2021-01-01 01:11:00,16744.98,-4146.07,53751.65,56452.11,MGD
2021-01-01 01:12:00,16745.08,-4145.39,53751.68,56452.08,MGD
2021-01-01 01:13:00,16745.19,-4145.81,53751.46,56452.02,MGD
2021-01-01 01:14:00,16745.00,-4146.20,53751.49,56452.03,MGD
2021-01-01 01:15:00,16745.15,-4145.79,53751.54,56452.00,MGD
2021-01-01 01:16:00,16745.11,-4146.11,53751.44,56451.96,MGD
2021-01-01 01:17:00,16745.12,-4145.44,53751.47,56451.93,MGD
2021-01-01 01:18:00,16745.08,-4145.42,53751.46,56451.86,MGD
2021-01-01 01:19:00,16744.89,-4146.10,53751.40,56451.83,MGD
2021-01-01 01:20:00,16745.18,-4145.43,53751.34,56451.80,MGD
2021-01-01 01:21:00,16745.16,-4146.24,53751.28,56451.85,MGD
2021-01-01 01:22:00,16745.13,-4146.23,53751.29,56451.81,MGD
2021-01-01 01:23:00,16745.18,-4147.06,53751.14,56451.76,MGD
2021-01-01 01:24:00,16745.32,-4146.63,53751.15,56451.75,MGD
2021-01-01 01:25:00,16745.34,-4146.96,53751.09,56451.77,MGD
2021-01-01 01:26:00,16744.86,-4146.62,53751.06,56451.55,MGD
2021-01-01 01:27:00,16744.87,-4147.07,53750.92,56451.43,MGD
2021-01-01 01:28:00,16745.09,-4147.03,53750.84,56451.42,MGD
2021-01-01 01:29:00,16744.77,-4147.15,53750.83,56451.38,MGD
2021-01-01 01:30:00,16744.54,-4147.94,53750.70,56451.29,MGD
2021-01-01 01:31:00,16744.83,-4147.57,53750.52,56451.18,MGD
2021-01-01 01:32:00,16744.79,-4146.23,53750.67,56451.10,MGD
2021-01-01 01:33:00,16745.21,-4147.08,53750.41,56451.08,MGD
2021-01-01 01:34:00,16745.28,-4146.84,53750.43,56451.08,MGD
2021-01-01 01:35:00,16744.85,-4148.22,53750.27,56451.03,MGD
2021-01-01 01:36:00,16744.82,-4147.37,53750.27,56450.85,MGD
2021-01-01 01:37:00,16744.80,-4146.93,53750.29,56450.89,MGD
2021-01-01 01:38:00,16744.94,-4146.70,53750.32,56450.88,MGD
2021-01-01 01:39:00,16745.10,-4146.09,53750.27,56450.91,MGD
2021-01-01 01:40:00,16745.15,-4145.73,53750.35,56450.86,MGD
2021-01-01 01:41:00,16745.41,-4146.38,53750.15,56450.90,MGD
2021-01-01 01:42:00,16745.51,-4146.08,53750.15,56450.86,MGD
2021-01-01 01:43:00,16745.25,-4146.99,53750.11,56450.80,MGD
2021-01-01 01:44:00,16745.30,-4146.21,53750.16,56450.74,MGD
2021-01-01 01:45:00,16745.11,-4147.66,53749.97,56450.72,MGD
2021-01-01 01:46:00,16746.00,-4147.41,53749.79,56450.70,MGD
2021-01-01 01:47:00,16745.71,-4146.93,53749.94,56450.73,MGD
2021-01-01 01:48:00,16745.75,-4147.40,53749.78,56450.69,MGD
2021-01-01 01:49:00,16745.67,-4147.21,53749.82,56450.69,MGD
2021-01-01 01:50:00,16745.91,-4147.35,53749.77,56450.75,MGD
2021-01-01 01:51:00,16745.86,-4146.97,53749.85,56450.75,MGD
2021-01-01 01:52:00,16745.59,-4147.01,53749.84,56450.65,MGD
2021-01-01 01:53:00,16745.88,-4147.40,53749.78,56450.70,MGD
2021-01-01 01:54:00,16746.21,-4148.04,53749.55,56450.71,MGD
2021-01-01 01:55:00,16745.74,-4147.51,53749.78,56450.67,MGD
2021-01-01 01:56:00,16745.73,-4146.91,53749.82,56450.69,MGD
2021-01-01 01:57:00,16745.58,-4147.05,53749.79,56450.65,MGD
2021-01-01 01:58:00,16745.74,-4148.14,53749.69,56450.65,MGD
2021-01-01 01:59:00,16746.01,-4148.46,53749.64,56450.71,MGD
2021-01-01 02:00:00,16745.83,-4147.69,53749.69,56450.64,MGD
2021-01-01 02:01:00,16745.79,-4147.68,53749.57,56450.50,MGD
2021-01-01 02:02:00,16745.65,-4148.16,53749.50,56450.43,MGD
2021-01-01 02:03:00,16745.72,-4147.58,53749.52,56450.50,MGD
2021-01-01 02:04:00,16745.39,-4147.55,53749.65,56450.42,MGD
2021-01-01 02:05:00,16745.09,-4147.50,53749.69,56450.36,MGD
2021-01-01 02:06:00,16745.65,-4148.15,53749.43,56450.36,MGD
2021-01-01 02:07:00,16745.62,-4147.43,53749.49,56450.38,MGD
2021-01-01 02:08:00,16745.37,-4148.04,53749.40,56450.32,MGD
2021-01-01 02:09:00,16745.15,-4147.98,53749.54,56450.33,MGD
2021-01-01 02:10:00,16745.44,-4147.83,53749.49,56450.34,MGD
2021-01-01 02:11:00,16745.40,-4147.79,53749.46,56450.34,MGD
2021-01-01 02:12:00,16745.03,-4148.33,53749.56,56450.29,MGD
2021-01-01 02:13:00,16745.39,-4147.36,53749.48,56450.30,MGD
2021-01-01 02:14:00,16745.25,-4147.67,53749.57,56450.31,MGD
2021-01-01 02:15:00,16745.41,-4148.91,53749.40,56450.36,MGD
2021-01-01 02:16:00,16745.17,-4149.23,53749.46,56450.28,MGD
2021-01-01 02:17:00,16745.32,-4148.33,53749.46,56450.28,MGD
2021-01-01 02:18:00,16745.24,-4148.01,53749.56,56450.30,MGD
2021-01-01 02:19:00,16745.24,-4148.13,53749.52,56450.32,MGD
2021-01-01 02:20:00,16745.60,-4148.56,53749.43,56450.41,MGD
2021-01-01 02:21:00,16745.84,-4148.84,53749.45,56450.44,MGD
2021-01-01 02:22:00,16746.37,-4148.81,53749.38,56450.59,MGD
2021-01-01 02:23:00,16745.92,-4148.91,53749.54,56450.64,MGD
2021-01-01 02:24:00,16746.87,-4148.87,53749.39,56450.73,MGD
2021-01-01 02:25:00,16746.48,-4148.80,53749.48,56450.74,MGD
2021-01-01 02:26:00,16746.36,-4149.66,53749.45,56450.66,MGD
2021-01-01 02:27:00,16746.33,-4149.26,53749.49,56450.73,MGD
2021-01-01 02:28:00,16746.22,-4149.32,53749.58,56450.76,MGD
2021-01-01 02:29:00,16746.55,-4149.91,53749.57,56450.90,MGD
2021-01-01 02:30:00,16746.46,-4149.44,53749.54,56450.78,MGD
2021-01-01 02:31:00,16746.36,-4149.25,53749.48,56450.77,MGD
2021-01-01 02:32:00,16746.08,-4148.96,53749.55,56450.67,MGD
2021-01-01 02:33:00,16745.88,-4149.03,53749.69,56450.76,MGD
2021-01-01 02:34:00,16746.16,-4149.28,53749.60,56450.80,MGD
2021-01-01 02:35:00,16746.25,-4149.42,53749.70,56450.89,MGD
2021-01-01 02:36:00,16746.45,-4148.89,53749.72,56450.96,MGD
2021-01-01 02:37:00,16746.38,-4149.28,53749.74,56450.99,MGD
2021-01-01 02:38:00,16746.63,-4149.31,53749.74,56451.02,MGD
2021-01-01 02:39:00,16746.61,-4148.93,53749.76,56450.99,MGD
2021-01-01 02:40:00,16746.52,-4148.23,53749.86,56450.96,MGD
2021-01-01 02:41:00,16746.40,-4148.09,53749.79,56450.90,MGD
2021-01-01 02:42:00,16746.43,-4149.22,53749.64,56450.93,MGD
2021-01-01 02:43:00,16746.87,-4148.43,53749.66,56451.00,MGD
2021-01-01 02:44:00,16746.66,-4147.98,53749.75,56450.98,MGD
2021-01-01 02:45:00,16746.83,-4148.81,53749.58,56450.98,MGD
2021-01-01 02:46:00,16746.54,-4148.16,53749.71,56450.91,MGD
2021-01-01 02:47:00,16746.48,-4147.60,53749.78,56450.88,MGD
2021-01-01 02:48:00,16746.57,-4148.05,53749.68,56450.87,MGD
2021-01-01 02:49:00,16746.60,-4147.74,53749.67,56450.81,MGD
2021-01-01 02:50:00,16747.08,-4148.10,53749.59,56450.86,MGD
2021-01-01 02:51:00,16746.75,-4148.17,53749.60,56450.88,MGD
2021-01-01 02:52:00,16746.86,-4147.55,53749.65,56450.86,MGD
2021-01-01 02:53:00,16746.97,-4148.39,53749.50,56450.87,MGD
2021-01-01 02:54:00,16747.14,-4147.33,53749.56,56450.87,MGD
2021-01-01 02:55:00,16746.90,-4147.90,53749.55,56450.84,MGD
2021-01-01 02:56:00,16747.03,-4147.59,53749.51,56450.74,MGD
2021-01-01 02:57:00,16746.92,-4147.70,53749.54,56450.80,MGD
2021-01-01 02:58:00,16746.72,-4147.45,53749.51,56450.74,MGD
2021-01-01 02:59:00,16747.16,-4147.48,53749.43,56450.75,MGD
2021-01-01 03:00:00,16747.32,-4148.17,53749.45,56450.88,MGD
2021-01-01 03:01:00,16747.76,-4147.51,53749.54,56451.06,MGD
2021-01-01 03:02:00,16747.23,-4148.11,53749.50,56450.92,MGD
2021-01-01 03:03:00,16747.72,-4147.60,53749.39,56450.89,MGD
2021-01-01 03:04:00,16747.53,-4147.81,53749.30,56450.82,MGD
2021-01-01 03:05:00,16747.29,-4146.79,53749.38,56450.69,MGD
2021-01-01 03:06:00,16747.41,-4147.14,53749.22,56450.58,MGD
2021-01-01 03:07:00,16747.39,-4146.90,53749.21,56450.56,MGD
2021-01-01 03:08:00,16747.36,-4146.91,53749.29,56450.66,MGD
2021-01-01 03:09:00,16747.83,-4147.22,53749.18,56450.69,MGD
2021-01-01 03:10:00,16747.72,-4147.45,53749.30,56450.84,MGD
2021-01-01 03:11:00,16747.85,-4147.62,53749.33,56450.86,MGD
2021-01-01 03:12:00,16748.01,-4146.67,53749.37,56450.89,MGD
2021-01-01 03:13:00,16748.06,-4147.84,53749.27,56450.96,MGD
2021-01-01 03:14:00,16748.52,-4147.43,53749.28,56451.00,MGD
2021-01-01 03:15:00,16748.21,-4147.04,53749.46,56451.07,MGD
2021-01-01 03:16:00,16748.52,-4146.89,53749.47,56451.14,MGD
2021-01-01 03:17:00,16748.84,-4147.24,53749.37,56451.17,MGD
2021-01-01 03:18:00,16748.99,-4147.40,53749.40,56451.26,MGD
2021-01-01 03:19:00,16749.04,-4147.52,53749.42,56451.31,MGD
2021-01-01 03:20:00,16749.34,-4146.73,53749.39,56451.31,MGD
2021-01-01 03:21:00,16748.98,-4147.68,53749.39,56451.27,MGD
2021-01-01 03:22:00,16749.38,-4146.82,53749.52,56451.43,MGD
2021-01-01 03:23:00,16749.65,-4148.03,53749.40,56451.53,MGD
2021-01-01 03:24:00,16749.37,-4147.28,53749.53,56451.45,MGD
2021-01-01 03:25:00,16749.47,-4147.56,53749.48,56451.50,MGD
2021-01-01 03:26:00,16749.30,-4148.24,53749.42,56451.47,MGD
2021-01-01 03:27:00,16749.55,-4148.55,53749.36,56451.49,MGD
2021-01-01 03:28:00,16749.39,-4147.10,53749.49,56451.40,MGD
2021-01-01 03:29:00,16749.53,-4149.62,53749.27,56451.51,MGD
2021-01-01 03:30:00,16749.66,-4147.64,53749.56,56451.56,MGD
2021-01-01 03:31:00,16749.97,-4147.91,53749.36,56451.60,MGD
2021-01-01 03:32:00,16750.26,-4148.24,53749.34,56451.66,MGD
2021-01-01 03:33:00,16749.93,-4147.71,53749.49,56451.68,MGD
2021-01-01 03:34:00,16749.99,-4148.15,53749.40,56451.63,MGD
2021-01-01 03:35:00,16750.11,-4148.82,53749.27,56451.60,MGD
2021-01-01 03:36:00,16750.13,-4147.57,53749.49,56451.69,MGD
2021-01-01 03:37:00,16750.23,-4149.12,53749.34,56451.71,MGD
2021-01-01 03:38:00,16750.30,-4148.58,53749.35,56451.72,MGD
2021-01-01 03:39:00,16750.20,-4147.77,53749.52,56451.78,MGD
2021-01-01 03:40:00,16750.10,-4147.85,53749.43,56451.67,MGD
2021-01-01 03:41:00,16750.52,-4147.66,53749.31,56451.67,MGD
2021-01-01 03:42:00,16750.46,-4147.15,53749.36,56451.57,MGD
2021-01-01 03:43:00,16750.58,-4147.72,53749.39,56451.65,MGD
2021-01-01 03:44:00,16750.55,-4147.98,53749.34,56451.68,MGD
2021-01-01 03:45:00,16750.88,-4146.96,53749.49,56451.83,MGD
2021-01-01 03:46:00,16751.20,-4148.42,53749.18,56451.78,MGD
2021-01-01 03:47:00,16751.15,-4147.34,53749.41,56451.88,MGD
2021-01-01 03:48:00,16750.65,-4148.51,53749.29,56451.71,MGD
2021-01-01 03:49:00,16751.08,-4147.91,53749.19,56451.80,MGD
2021-01-01 03:50:00,16750.89,-4147.65,53749.29,56451.72,MGD
2021-01-01 03:51:00,16751.27,-4148.43,53749.05,56451.70,MGD
2021-01-01 03:52:00,16751.35,-4148.82,53749.01,56451.73,MGD
2021-01-01 03:53:00,16750.96,-4147.90,53749.33,56451.80,MGD
2021-01-01 03:54:00,16750.88,-4146.84,53749.33,56451.68,MGD
2021-01-01 03:55:00,16751.20,-4146.77,53749.38,56451.76,MGD
2021-01-01 03:56:00,16751.12,-4147.81,53749.13,56451.66,MGD
2021-01-01 03:57:00,16751.51,-4147.62,53749.01,56451.66,MGD
2021-01-01 03:58:00,16751.06,-4147.47,53749.13,56451.63,MGD
2021-01-01 03:59:00,16751.78,-4147.08,53749.11,56451.76,MGD
2021-01-01 04:00:00,16752.31,-4147.79,53749.15,56452.09,MGD
2021-01-01 04:01:00,16752.31,-4146.84,53749.25,56452.01,MGD
2021-01-01 04:02:00,16752.91,-4147.99,53749.18,56452.27,MGD
2021-01-01 04:03:00,16752.80,-4147.64,53749.34,56452.40,MGD
2021-01-01 04:04:00,16753.29,-4147.68,53749.31,56452.46,MGD
2021-01-01 04:05:00,16753.23,-4147.01,53749.35,56452.40,MGD
2021-01-01 04:06:00,16752.49,-4147.95,53749.15,56452.14,MGD
2021-01-01 04:07:00,16753.91,-4146.96,53749.35,56452.59,MGD
2021-01-01 04:08:00,16752.26,-4146.33,53749.44,56452.16,MGD
2021-01-01 04:09:00,16752.26,-4146.37,53749.14,56451.90,MGD
2021-01-01 04:10:00,16752.45,-4145.78,53749.14,56451.94,MGD
2021-01-01 04:11:00,16752.92,-4145.66,53749.12,56451.95,MGD
2021-01-01 04:12:00,16752.56,-4146.23,53749.16,56451.99,MGD
2021-01-01 04:13:00,16752.90,-4146.05,53749.16,56452.03,MGD
2021-01-01 04:14:00,16753.06,-4145.43,53749.29,56452.20,MGD
2021-01-01 04:15:00,16752.83,-4145.39,53749.10,56451.94,MGD
2021-01-01 04:16:00,16752.28,-4145.05,53749.21,56451.88,MGD
2021-01-01 04:17:00,16752.48,-4144.92,53749.14,56451.86,MGD
2021-01-01 04:18:00,16752.79,-4145.35,53749.12,56452.00,MGD
2021-01-01 04:19:00,16752.92,-4145.45,53749.16,56452.05,MGD
2021-01-01 04:20:00,16752.87,-4145.66,53749.19,56452.10,MGD
2021-01-01 04:21:00,16753.17,-4146.41,53749.15,56452.22,MGD
2021-01-01 04:22:00,16753.33,-4146.03,53749.21,56452.21,MGD
2021-01-01 04:23:00,16752.93,-4146.77,53749.29,56452.31,MGD
2021-01-01 04:24:00,16753.29,-4145.92,53749.28,56452.30,MGD
2021-01-01 04:25:00,16753.13,-4146.46,53749.32,56452.28,MGD
2021-01-01 04:26:00,16753.07,-4144.72,53749.51,56452.33,MGD
2021-01-01 04:27:00,16753.37,-4146.70,53749.28,56452.42,MGD
2021-01-01 04:28:00,16753.18,-4145.80,53749.59,56452.53,MGD
2021-01-01 04:29:00,16753.45,-4145.79,53749.39,56452.52,MGD
2021-01-01 04:30:00,16753.32,-4145.48,53749.49,56452.50,MGD
2021-01-01 04:31:00,16753.53,-4145.90,53749.38,56452.53,MGD
2021-01-01 04:32:00,16753.59,-4145.55,53749.41,56452.42,MGD
2021-01-01 04:33:00,16753.30,-4146.73,53749.29,56452.39,MGD
2021-01-01 04:34:00,16752.96,-4146.01,53749.38,56452.39,MGD
2021-01-01 04:35:00,16753.02,-4144.96,53749.56,56452.36,MGD
2021-01-01 04:36:00,16753.43,-4145.57,53749.38,56452.44,MGD
2021-01-01 04:37:00,16753.31,-4146.53,53749.38,56452.50,MGD
2021-01-01 04:38:00,16753.26,-4146.30,53749.33,56452.36,MGD
2021-01-01 04:39:00,16752.90,-4145.29,53749.59,56452.41,MGD
2021-01-01 04:40:00,16753.09,-4144.55,53749.40,56452.23,MGD
2021-01-01 04:41:00,16752.78,-4144.41,53749.50,56452.21,MGD
2021-01-01 04:42:00,16753.00,-4145.66,53749.32,56452.25,MGD
2021-01-01 04:43:00,16752.71,-4144.52,53749.37,56452.09,MGD
2021-01-01 04:44:00,16752.41,-4144.58,53749.49,56452.08,MGD
2021-01-01 04:45:00,16752.03,-4144.23,53749.12,56451.62,MGD
2021-01-01 04:46:00,16752.55,-4143.94,53748.95,56451.61,MGD
2021-01-01 04:47:00,16751.84,-4143.90,53749.13,56451.56,MGD
2021-01-01 04:48:00,16752.02,-4143.59,53749.37,56451.83,MGD
2021-01-01 04:49:00,16752.88,-4143.95,53749.35,56451.97,MGD
2021-01-01 04:50:00,16753.97,-4144.72,53749.17,56452.27,MGD
2021-01-01 04:51:00,16752.71,-4142.88,53749.28,56451.87,MGD
2021-01-01 04:52:00,16752.30,-4142.49,53749.05,56451.48,MGD
2021-01-01 04:53:00,16752.52,-4142.96,53748.86,56451.49,MGD
2021-01-01 04:54:00,16752.71,-4143.23,53748.93,56451.59,MGD
2021-01-01 04:55:00,16753.45,-4143.06,53749.10,56451.96,MGD
2021-01-01 04:56:00,16753.32,-4143.37,53749.03,56451.91,MGD
2021-01-01 04:57:00,16753.99,-4143.23,53749.07,56452.11,MGD
2021-01-01 04:58:00,16753.96,-4143.75,53748.99,56452.07,MGD
2021-01-01 04:59:00,16753.83,-4143.37,53749.06,56452.09,MGD
2021-01-01 05:00:00,16754.39,-4142.19,53749.06,56452.07,MGD
2021-01-01 05:01:00,16754.41,-4143.91,53748.97,56452.17,MGD
2021-01-01 05:02:00,16754.69,-4143.76,53749.22,56452.50,MGD
2021-01-01 05:03:00,16754.92,-4145.28,53749.24,56452.70,MGD
2021-01-01 05:04:00,16755.26,-4144.10,53749.42,56452.84,MGD
2021-01-01 05:05:00,16754.93,-4145.76,53749.21,56452.71,MGD
2021-01-01 05:06:00,16755.01,-4144.46,53749.36,56452.78,MGD
2021-01-01 05:07:00,16755.48,-4144.98,53749.21,56452.75,MGD
2021-01-01 05:08:00,16755.43,-4143.90,53749.21,56452.68,MGD
2021-01-01 05:09:00,16755.07,-4145.48,53748.95,56452.52,MGD
2021-01-01 05:10:00,16755.21,-4144.41,53749.07,56452.57,MGD
