Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,25864.18,-4171.32,42616.40,50027.10,MMB
2021-01-01 00:01:00,25864.22,-4171.10,42616.30,50027.00,MMB
2021-01-01 00:02:00,25864.35,-4170.89,42616.20,50026.90,MMB
2021-01-01 00:03:00,25864.64,-4171.01,42616.10,50027.10,MMB
2021-01-01 00:04:00,25865.06,-4170.92,42616.10,50027.20,MMB
2021-01-01 00:05:00,25865.10,-4170.62,42615.90,50027.00,MMB
2021-01-01 00:06:00,25864.47,-4171.45,42616.20,50027.00,MMB
2021-01-01 00:07:00,25863.34,-4172.11,42616.40,50026.70,MMB
2021-01-01 00:08:00,25862.08,-4171.83,42616.30,50025.90,MMB
2021-01-01 00:09:00,25861.98,-4171.82,42616.10,50025.70,MMB
2021-01-01 00:10:00,25862.41,-4172.27,42616.10,50025.90,MMB
2021-01-01 00:11:00,25862.34,-4172.03,42615.90,50025.80,MMB
2021-01-01 00:12:00,25862.32,-4171.56,42615.70,50025.50,MMB
2021-01-01 00:13:00,25862.39,-4171.73,42615.70,50025.50,MMB
2021-01-01 00:14:00,25862.72,-4172.24,42615.80,50025.90,MMB
2021-01-01 00:15:00,25862.63,-4172.15,42615.70,50025.80,MMB
2021-01-01 00:16:00,25862.63,-4172.15,42615.70,50025.70,MMB
2021-01-01 00:17:00,25862.90,-4172.35,42615.70,50025.90,MMB
2021-01-01 00:18:00,25863.08,-4172.53,42615.70,50026.00,MMB
2021-01-01 00:19:00,25863.30,-4172.42,42615.60,50026.00,MMB
2021-01-01 00:20:00,25863.28,-4172.49,42615.60,50026.00,MMB
2021-01-01 00:21:00,25863.27,-4172.57,42615.60,50026.00,MMB
2021-01-01 00:22:00,25863.17,-4172.55,42615.60,50026.00,MMB
2021-01-01 00:23:00,25863.21,-4172.94,42615.70,50026.10,MMB
2021-01-01 00:24:00,25863.08,-4173.15,42615.80,50026.10,MMB
2021-01-01 00:25:00,25862.56,-4173.22,42615.80,50025.90,MMB
