Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,12177.39,-4733.91,52763.92,99999.00,NAQ
2021-01-01 00:01:00,12177.24,-4733.94,52764.29,99999.00,NAQ
2021-01-01 00:02:00,12176.71,-4733.82,52764.25,99999.00,NAQ
2021-01-01 00:03:00,12176.21,-4733.48,52764.08,99999.00,NAQ
2021-01-01 00:04:00,12176.02,-4732.95,52763.92,99999.00,NAQ
2021-01-01 00:05:00,12175.63,-4732.70,52763.33,99999.00,NAQ
2021-01-01 00:06:00,12176.10,-4732.22,52762.50,99999.00,NAQ
2021-01-01 00:07:00,12177.76,-4732.45,52762.54,99999.00,NAQ
2021-01-01 00:08:00,12178.83,-4732.79,52763.08,99999.00,NAQ
2021-01-01 00:09:00,12178.71,-4732.88,52763.29,99999.00,NAQ
2021-01-01 00:10:00,12179.38,-4732.66,52764.00,99999.00,NAQ
2021-01-01 00:11:00,12179.82,-4732.47,52764.88,99999.00,NAQ
2021-01-01 00:12:00,12179.50,-4731.94,52765.33,99999.00,NAQ
2021-01-01 00:13:00,12179.14,-4730.94,52765.54,99999.00,NAQ
2021-01-01 00:14:00,12179.69,-4730.35,52766.08,99999.00,NAQ
2021-01-01 00:15:00,12179.26,-4730.63,52765.88,99999.00,NAQ
2021-01-01 00:16:00,12179.51,-4731.58,52765.83,99999.00,NAQ
2021-01-01 00:17:00,12179.41,-4732.81,52765.83,99999.00,NAQ
2021-01-01 00:18:00,12179.40,-4733.07,52765.75,99999.00,NAQ
2021-01-01 00:19:00,12178.75,-4733.21,52765.42,99999.00,NAQ
2021-01-01 00:20:00,12178.38,-4732.70,52765.04,99999.00,NAQ
2021-01-01 00:21:00,12178.20,-4732.13,52764.71,99999.00,NAQ
2021-01-01 00:22:00,12177.75,-4732.13,52764.33,99999.00,NAQ
2021-01-01 00:23:00,12177.86,-4731.86,52764.25,99999.00,NAQ
2021-01-01 00:24:00,12177.82,-4731.75,52764.21,99999.00,NAQ
2021-01-01 00:25:00,12177.59,-4731.97,52763.92,99999.00,NAQ
2021-01-01 00:26:00,12176.99,-4732.45,52763.42,99999.00,NAQ
2021-01-01 00:27:00,12176.53,-4732.93,52762.50,99999.00,NAQ
2021-01-01 00:28:00,12176.50,-4733.33,52762.04,99999.00,NAQ
2021-01-01 00:29:00,12176.55,-4732.99,52762.17,99999.00,NAQ
2021-01-01 00:30:00,12176.53,-4732.49,52762.54,99999.00,NAQ
2021-01-01 00:31:00,12176.36,-4732.01,52762.83,99999.00,NAQ
2021-01-01 00:32:00,12176.30,-4731.72,52763.04,99999.00,NAQ
2021-01-01 00:33:00,12176.49,-4731.48,52763.29,99999.00,NAQ
2021-01-01 00:34:00,12176.72,-4731.57,52763.58,99999.00,NAQ
2021-01-01 00:35:00,12176.99,-4731.68,52763.88,99999.00,NAQ
2021-01-01 00:36:00,12177.03,-4731.92,52764.21,99999.00,NAQ
2021-01-01 00:37:00,12177.03,-4732.02,52764.33,99999.00,NAQ
2021-01-01 00:38:00,12176.88,-4732.18,52764.50,99999.00,NAQ
2021-01-01 00:39:00,12176.72,-4732.12,52764.50,99999.00,NAQ
2021-01-01 00:40:00,12176.84,-4732.16,52764.54,99999.00,NAQ
2021-01-01 00:41:00,12177.10,-4732.09,52765.00,99999.00,NAQ
2021-01-01 00:42:00,12176.86,-4731.90,52765.29,99999.00,NAQ
2021-01-01 00:43:00,12176.59,-4731.79,52765.38,99999.00,NAQ
2021-01-01 00:44:00,12176.29,-4731.85,52765.38,99999.00,NAQ
2021-01-01 00:45:00,12175.95,-4731.58,52764.88,99999.00,NAQ
2021-01-01 00:46:00,12175.67,-4731.06,52764.33,99999.00,NAQ
2021-01-01 00:47:00,12176.05,-4730.58,52764.38,99999.00,NAQ
2021-01-01 00:48:00,12176.32,-4730.78,52764.96,99999.00,NAQ
2021-01-01 00:49:00,12176.08,-4730.60,52765.21,99999.00,NAQ
2021-01-01 00:50:00,12175.82,-4730.58,52765.13,99999.00,NAQ
2021-01-01 00:51:00,12175.76,-4730.51,52764.67,99999.00,NAQ
2021-01-01 00:52:00,12175.72,-4730.27,52764.33,99999.00,NAQ
2021-01-01 00:53:00,12175.53,-4729.74,52763.79,99999.00,NAQ
2021-01-01 00:54:00,12175.66,-4729.52,52763.75,99999.00,NAQ
2021-01-01 00:55:00,12176.17,-4729.73,52764.04,99999.00,NAQ
2021-01-01 00:56:00,12176.67,-4730.47,52764.58,99999.00,NAQ
2021-01-01 00:57:00,12176.68,-4731.11,52764.88,99999.00,NAQ
2021-01-01 00:58:00,12176.73,-4731.44,52765.00,99999.00,NAQ
2021-01-01 00:59:00,12176.60,-4731.75,52764.83,99999.00,NAQ
2021-01-01 01:00:00,12176.55,-4731.77,52764.58,99999.00,NAQ
2021-01-01 01:01:00,12176.36,-4731.70,52764.13,99999.00,NAQ
2021-01-01 01:02:00,12176.51,-4731.76,52764.00,99999.00,NAQ
2021-01-01 01:03:00,12176.30,-4731.94,52763.83,99999.00,NAQ
2021-01-01 01:04:00,12176.05,-4731.89,52763.46,99999.00,NAQ
2021-01-01 01:05:00,12176.12,-4731.60,52763.25,99999.00,NAQ
2021-01-01 01:06:00,12176.27,-4731.03,52763.00,99999.00,NAQ
2021-01-01 01:07:00,12176.34,-4730.52,52762.88,99999.00,NAQ
2021-01-01 01:08:00,12176.19,-4730.10,52762.50,99999.00,NAQ
2021-01-01 01:09:00,12176.41,-4729.69,52762.29,99999.00,NAQ
2021-01-01 01:10:00,12176.65,-4729.52,52762.29,99999.00,NAQ
2021-01-01 01:11:00,12176.98,-4729.39,52762.54,99999.00,NAQ
2021-01-01 01:12:00,12177.19,-4729.65,52762.75,99999.00,NAQ
2021-01-01 01:13:00,12177.11,-4729.84,52762.75,99999.00,NAQ
2021-01-01 01:14:00,12177.06,-4729.64,52762.75,99999.00,NAQ
2021-01-01 01:15:00,12177.05,-4729.32,52762.71,99999.00,NAQ
2021-01-01 01:16:00,12176.78,-4729.44,52762.33,99999.00,NAQ
2021-01-01 01:17:00,12176.39,-4729.19,52761.79,99999.00,NAQ
2021-01-01 01:18:00,12176.00,-4728.58,52761.38,99999.00,NAQ
2021-01-01 01:19:00,12175.51,-4728.02,52760.83,99999.00,NAQ
2021-01-01 01:20:00,12175.87,-4727.58,52760.71,99999.00,NAQ
2021-01-01 01:21:00,12176.24,-4726.79,52761.04,99999.00,NAQ
2021-01-01 01:22:00,12176.55,-4726.47,52761.29,99999.00,NAQ
2021-01-01 01:23:00,12176.47,-4726.34,52761.46,99999.00,NAQ
2021-01-01 01:24:00,12176.74,-4726.45,52761.79,99999.00,NAQ
2021-01-01 01:25:00,12177.93,-4726.71,52763.04,99999.00,NAQ
2021-01-01 01:26:00,12178.58,-4727.34,52764.21,99999.00,NAQ
2021-01-01 01:27:00,12178.27,-4727.88,52764.50,99999.00,NAQ
2021-01-01 01:28:00,12177.61,-4728.29,52764.04,99999.00,NAQ
2021-01-01 01:29:00,12177.22,-4728.81,52763.42,99999.00,NAQ
2021-01-01 01:30:00,12176.88,-4729.08,52762.92,99999.00,NAQ
2021-01-01 01:31:00,12177.07,-4729.29,52762.75,99999.00,NAQ
2021-01-01 01:32:00,12177.48,-4729.59,52763.04,99999.00,NAQ
2021-01-01 01:33:00,12177.86,-4730.10,52763.54,99999.00,NAQ
2021-01-01 01:34:00,12177.96,-4730.41,52763.88,99999.00,NAQ
2021-01-01 01:35:00,12177.89,-4730.57,52763.88,99999.00,NAQ
2021-01-01 01:36:00,12177.82,-4730.76,52763.63,99999.00,NAQ
2021-01-01 01:37:00,12177.41,-4730.77,52763.42,99999.00,NAQ
2021-01-01 01:38:00,12177.29,-4730.73,52763.25,99999.00,NAQ
2021-01-01 01:39:00,12177.29,-4730.73,52763.13,99999.00,NAQ
2021-01-01 01:40:00,12177.41,-4730.77,52763.38,99999.00,NAQ
2021-01-01 01:41:00,12177.48,-4731.03,52763.67,99999.00,NAQ
2021-01-01 01:42:00,12177.54,-4731.10,52763.75,99999.00,NAQ
2021-01-01 01:43:00,12177.43,-4731.05,52763.75,99999.00,NAQ
2021-01-01 01:44:00,12177.18,-4731.22,52763.54,99999.00,NAQ
2021-01-01 01:45:00,12176.75,-4731.05,52763.38,99999.00,NAQ
2021-01-01 01:46:00,12176.72,-4730.81,52763.25,99999.00,NAQ
2021-01-01 01:47:00,12176.70,-4730.62,52763.25,99999.00,NAQ
2021-01-01 01:48:00,12176.63,-4730.46,52763.25,99999.00,NAQ
2021-01-01 01:49:00,12176.40,-4730.37,52763.00,99999.00,NAQ
2021-01-01 01:50:00,12176.48,-4730.40,52763.21,99999.00,NAQ
2021-01-01 01:51:00,12176.36,-4730.35,52763.25,99999.00,NAQ
2021-01-01 01:52:00,12176.05,-4730.22,52763.17,99999.00,NAQ
2021-01-01 01:53:00,12176.02,-4730.21,52763.00,99999.00,NAQ
2021-01-01 01:54:00,12175.90,-4730.16,52763.00,99999.00,NAQ
2021-01-01 01:55:00,12176.15,-4729.99,52763.04,99999.00,NAQ
2021-01-01 01:56:00,12176.26,-4729.95,52763.25,99999.00,NAQ
2021-01-01 01:57:00,12176.24,-4729.98,52763.29,99999.00,NAQ
2021-01-01 01:58:00,12176.03,-4729.94,52763.50,99999.00,NAQ
2021-01-01 01:59:00,12175.90,-4729.62,52763.46,99999.00,NAQ
2021-01-01 02:00:00,12175.72,-4729.73,52763.25,99999.00,NAQ
2021-01-01 02:01:00,12175.81,-4729.72,52763.00,99999.00,NAQ
2021-01-01 02:02:00,12175.86,-4729.60,52762.96,99999.00,NAQ
2021-01-01 02:03:00,12175.99,-4729.61,52763.00,99999.00,NAQ
2021-01-01 02:04:00,12176.14,-4729.58,52763.00,99999.00,NAQ
2021-01-01 02:05:00,12176.13,-4729.71,52762.75,99999.00,NAQ
2021-01-01 02:06:00,12176.37,-4729.68,52762.75,99999.00,NAQ
2021-01-01 02:07:00,12176.41,-4729.56,52762.75,99999.00,NAQ
2021-01-01 02:08:00,12176.43,-4729.52,52762.79,99999.00,NAQ
2021-01-01 02:09:00,12176.47,-4729.31,52763.00,99999.00,NAQ
2021-01-01 02:10:00,12176.47,-4729.09,52763.00,99999.00,NAQ
2021-01-01 02:11:00,12176.60,-4729.10,52763.04,99999.00,NAQ
2021-01-01 02:12:00,12176.56,-4729.08,52763.04,99999.00,NAQ
2021-01-01 02:13:00,12176.60,-4729.10,52763.00,99999.00,NAQ
2021-01-01 02:14:00,12176.56,-4729.08,52763.00,99999.00,NAQ
2021-01-01 02:15:00,12176.63,-4729.15,52763.00,99999.00,NAQ
2021-01-01 02:16:00,12176.51,-4729.33,52762.92,99999.00,NAQ
2021-01-01 02:17:00,12176.31,-4729.38,52762.67,99999.00,NAQ
2021-01-01 02:18:00,12175.87,-4729.34,52762.29,99999.00,NAQ
2021-01-01 02:19:00,12175.73,-4729.46,52762.13,99999.00,NAQ
2021-01-01 02:20:00,12175.47,-4729.22,52761.79,99999.00,NAQ
2021-01-01 02:21:00,12175.78,-4729.03,52761.75,99999.00,NAQ
2021-01-01 02:22:00,12175.97,-4729.11,52762.00,99999.00,NAQ
2021-01-01 02:23:00,12175.61,-4729.10,52761.88,99999.00,NAQ
2021-01-01 02:24:00,12175.29,-4729.24,52761.58,99999.00,NAQ
2021-01-01 02:25:00,12175.41,-4729.15,52761.50,99999.00,NAQ
2021-01-01 02:26:00,12175.53,-4728.97,52761.58,99999.00,NAQ
2021-01-01 02:27:00,12175.13,-4728.63,52761.50,99999.00,NAQ
2021-01-01 02:28:00,12174.71,-4728.10,52760.96,99999.00,NAQ
2021-01-01 02:29:00,12174.05,-4727.97,52760.00,99999.00,NAQ
2021-01-01 02:30:00,12173.95,-4727.88,52759.25,99999.00,NAQ
2021-01-01 02:31:00,12173.96,-4727.75,52759.00,99999.00,NAQ
2021-01-01 02:32:00,12174.48,-4727.69,52759.42,99999.00,NAQ
2021-01-01 02:33:00,12174.29,-4727.71,52759.75,99999.00,NAQ
2021-01-01 02:34:00,12174.40,-4727.66,52760.21,99999.00,NAQ
2021-01-01 02:35:00,12175.21,-4727.45,52761.25,99999.00,NAQ
2021-01-01 02:36:00,12175.44,-4727.54,52762.29,99999.00,NAQ
2021-01-01 02:37:00,12175.24,-4727.46,52762.75,99999.00,NAQ
2021-01-01 02:38:00,12175.03,-4727.65,52762.83,99999.00,NAQ
