Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,17510.80,4597.70,51038.40,54154.17,NEW
2021-01-01 00:01:00,17511.90,4597.40,51038.50,54154.60,NEW
2021-01-01 00:02:00,17512.60,4597.10,51038.60,54154.89,NEW
2021-01-01 00:03:00,17513.40,4597.20,51038.60,54155.06,NEW
2021-01-01 00:04:00,17513.30,4596.60,51038.50,54154.98,NEW
2021-01-01 00:05:00,17513.90,4596.50,51038.50,54155.07,NEW
2021-01-01 00:06:00,17513.40,4597.70,51038.40,54155.01,NEW
2021-01-01 00:07:00,17512.60,4599.40,51038.40,54154.90,NEW
2021-01-01 00:08:00,17513.00,4600.80,51038.60,54155.34,NEW
2021-01-01 00:09:00,17512.30,4601.00,51038.80,54155.31,NEW
2021-01-01 00:10:00,17512.00,4600.20,51038.90,54155.14,NEW
2021-01-01 00:11:00,17511.90,4599.20,51038.80,54155.03,NEW
2021-01-01 00:12:00,17512.00,4598.50,51038.80,54155.01,NEW
2021-01-01 00:13:00,17511.90,4598.30,51038.70,54154.86,NEW
2021-01-01 00:14:00,17511.60,4598.00,51038.60,54154.65,NEW
2021-01-01 00:15:00,17512.60,4598.00,51038.60,54154.97,NEW
2021-01-01 00:16:00,17512.60,4597.60,51038.60,54154.93,NEW
2021-01-01 00:17:00,17512.30,4597.50,51038.50,54154.73,NEW
2021-01-01 00:18:00,17511.50,4597.80,51038.50,54154.40,NEW
2021-01-01 00:19:00,17511.70,4598.40,51038.50,54154.62,NEW
2021-01-01 00:20:00,17511.50,4598.50,51038.50,54154.56,NEW
2021-01-01 00:21:00,17511.00,4598.30,51038.50,54154.38,NEW
2021-01-01 00:22:00,17511.50,4598.40,51038.50,54154.55,NEW
2021-01-01 00:23:00,17511.30,4598.70,51038.50,54154.51,NEW
2021-01-01 00:24:00,17511.60,4599.40,51038.40,54154.58,NEW
2021-01-01 00:25:00,17512.00,4600.30,51038.50,54154.88,NEW
2021-01-01 00:26:00,17512.70,4601.10,51038.60,54155.16,NEW
2021-01-01 00:27:00,17512.70,4601.40,51038.60,54155.29,NEW
2021-01-01 00:28:00,17512.60,4601.20,51038.60,54155.24,NEW
2021-01-01 00:29:00,17512.50,4601.00,51038.60,54155.19,NEW
2021-01-01 00:30:00,17512.40,4600.70,51038.50,54155.04,NEW
2021-01-01 00:31:00,17512.30,4600.60,51038.50,54155.00,NEW
2021-01-01 00:32:00,17511.90,4600.50,51038.40,54154.77,NEW
2021-01-01 00:33:00,17511.80,4600.60,51038.40,54154.74,NEW
2021-01-01 00:34:00,17511.70,4600.80,51038.40,54154.73,NEW
2021-01-01 00:35:00,17511.70,4601.00,51038.40,54154.74,NEW
2021-01-01 00:36:00,17511.80,4601.10,51038.40,54154.78,NEW
2021-01-01 00:37:00,17511.90,4601.10,51038.40,54154.92,NEW
2021-01-01 00:38:00,17512.00,4601.00,51038.40,54154.84,NEW
2021-01-01 00:39:00,17512.00,4601.30,51038.40,54154.77,NEW
2021-01-01 00:40:00,17511.70,4601.40,51038.40,54154.68,NEW
2021-01-01 00:41:00,17511.10,4601.00,51038.40,54154.45,NEW
2021-01-01 00:42:00,17511.40,4601.00,51038.40,54154.55,NEW
2021-01-01 00:43:00,17511.40,4600.90,51038.30,54154.54,NEW
2021-01-01 00:44:00,17511.30,4601.20,51038.30,54154.44,NEW
2021-01-01 00:45:00,17511.30,4601.50,51038.30,54154.56,NEW
2021-01-01 00:46:00,17511.40,4601.70,51038.30,54154.61,NEW
2021-01-01 00:47:00,17511.40,4601.70,51038.30,54154.61,NEW
2021-01-01 00:48:00,17511.50,4601.70,51038.30,54154.64,NEW
2021-01-01 00:49:00,17511.50,4601.90,51038.30,54154.66,NEW
2021-01-01 00:50:00,17511.20,4602.00,51038.30,54154.57,NEW
2021-01-01 00:51:00,17511.10,4602.00,51038.30,54154.54,NEW
2021-01-01 00:52:00,17511.40,4602.10,51038.30,54154.65,NEW
2021-01-01 00:53:00,17511.30,4602.20,51038.30,54154.52,NEW
2021-01-01 00:54:00,17511.30,4602.20,51038.30,54154.52,NEW
2021-01-01 00:55:00,17511.20,4602.20,51038.30,54154.59,NEW
2021-01-01 00:56:00,17511.30,4602.10,51038.30,54154.61,NEW
2021-01-01 00:57:00,17511.40,4602.10,51038.30,54154.55,NEW
2021-01-01 00:58:00,17511.20,4602.10,51038.30,54154.58,NEW
2021-01-01 00:59:00,17511.30,4602.10,51038.30,54154.61,NEW
2021-01-01 01:00:00,17511.30,4602.10,51038.30,54154.61,NEW
2021-01-01 01:01:00,17511.30,4602.20,51038.20,54154.53,NEW
2021-01-01 01:02:00,17511.40,4602.40,51038.20,54154.58,NEW
2021-01-01 01:03:00,17511.50,4602.30,51038.20,54154.70,NEW
2021-01-01 01:04:00,17511.50,4602.30,51038.20,54154.60,NEW
2021-01-01 01:05:00,17511.50,4602.20,51038.20,54154.59,NEW
2021-01-01 01:06:00,17511.30,4602.20,51038.20,54154.43,NEW
2021-01-01 01:07:00,17511.20,4602.30,51038.20,54154.50,NEW
2021-01-01 01:08:00,17511.10,4602.30,51038.20,54154.47,NEW
2021-01-01 01:09:00,17511.20,4602.30,51038.20,54154.50,NEW
2021-01-01 01:10:00,17511.10,4602.20,51038.20,54154.46,NEW
2021-01-01 01:11:00,17511.10,4602.00,51038.20,54154.35,NEW
2021-01-01 01:12:00,17511.00,4601.70,51038.20,54154.39,NEW
2021-01-01 01:13:00,17510.80,4601.80,51038.10,54154.24,NEW
2021-01-01 01:14:00,17510.70,4601.80,51038.10,54154.21,NEW
2021-01-01 01:15:00,17510.70,4601.90,51038.10,54154.21,NEW
