Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18861.61,1378.19,45846.50,49593.89,NGK
2021-01-01 00:01:00,18861.42,1378.23,45846.57,49593.86,NGK
2021-01-01 00:02:00,18861.40,1378.10,45846.56,49593.88,NGK
2021-01-01 00:03:00,18861.26,1378.19,45846.60,49593.87,NGK
2021-01-01 00:04:00,18861.15,1378.29,45846.62,49593.84,NGK
2021-01-01 00:05:00,18861.00,1377.92,45846.66,49593.82,NGK
2021-01-01 00:06:00,18861.41,1377.36,45846.63,49593.93,NGK
2021-01-01 00:07:00,18861.92,1376.75,45846.54,49594.04,NGK
2021-01-01 00:08:00,18863.02,1376.58,45846.32,49594.22,NGK
2021-01-01 00:09:00,18863.23,1376.90,45846.16,49594.16,NGK
2021-01-01 00:10:00,18863.04,1377.55,45846.11,49594.05,NGK
2021-01-01 00:11:00,18862.69,1377.83,45846.14,49593.99,NGK
2021-01-01 00:12:00,18862.71,1377.84,45846.25,49594.08,NGK
2021-01-01 00:13:00,18862.44,1377.66,45846.36,49594.06,NGK
2021-01-01 00:14:00,18862.26,1377.56,45846.48,49594.06,NGK
2021-01-01 00:15:00,18862.04,1377.71,45846.56,49594.09,NGK
2021-01-01 00:16:00,18861.66,1377.82,45846.64,49594.01,NGK
2021-01-01 00:17:00,18861.17,1378.00,45846.78,49593.95,NGK
2021-01-01 00:18:00,18860.90,1378.06,45846.92,49593.98,NGK
2021-01-01 00:19:00,18860.72,1378.01,45847.00,49593.96,NGK
2021-01-01 00:20:00,18860.78,1377.92,45847.00,49593.99,NGK
2021-01-01 00:21:00,18860.81,1377.65,45846.97,49593.98,NGK
2021-01-01 00:22:00,18860.94,1377.30,45846.98,49594.03,NGK
2021-01-01 00:23:00,18860.97,1376.90,45846.99,49594.03,NGK
2021-01-01 00:24:00,18861.14,1376.68,45846.92,49594.04,NGK
2021-01-01 00:25:00,18861.48,1376.45,45846.78,49594.06,NGK
2021-01-01 00:26:00,18861.65,1376.32,45846.74,49594.07,NGK
2021-01-01 00:27:00,18861.75,1376.34,45846.65,49594.05,NGK
2021-01-01 00:28:00,18861.85,1376.46,45846.59,49594.03,NGK
2021-01-01 00:29:00,18861.83,1376.51,45846.57,49594.01,NGK
2021-01-01 00:30:00,18861.94,1376.56,45846.52,49594.01,NGK
2021-01-01 00:31:00,18862.03,1376.57,45846.47,49593.99,NGK
2021-01-01 00:32:00,18862.26,1376.49,45846.44,49594.05,NGK
2021-01-01 00:33:00,18862.41,1376.23,45846.40,49594.07,NGK
2021-01-01 00:34:00,18862.42,1376.11,45846.37,49594.05,NGK
2021-01-01 00:35:00,18862.35,1375.92,45846.42,49594.06,NGK
2021-01-01 00:36:00,18862.26,1375.94,45846.47,49594.05,NGK
2021-01-01 00:37:00,18862.28,1375.98,45846.44,49594.05,NGK
2021-01-01 00:38:00,18862.28,1376.05,45846.43,49594.04,NGK
2021-01-01 00:39:00,18862.28,1376.06,45846.44,49594.01,NGK
2021-01-01 00:40:00,18862.28,1376.13,45846.41,49594.03,NGK
2021-01-01 00:41:00,18862.11,1376.27,45846.45,49593.99,NGK
2021-01-01 00:42:00,18862.02,1376.42,45846.47,49593.98,NGK
2021-01-01 00:43:00,18861.93,1376.56,45846.54,49594.00,NGK
2021-01-01 00:44:00,18861.87,1376.51,45846.57,49594.02,NGK
2021-01-01 00:45:00,18861.96,1376.33,45846.60,49594.06,NGK
2021-01-01 00:46:00,18861.97,1376.11,45846.57,49594.05,NGK
2021-01-01 00:47:00,18861.90,1376.00,45846.58,49594.02,NGK
2021-01-01 00:48:00,18861.84,1376.09,45846.59,49594.00,NGK
2021-01-01 00:49:00,18861.89,1376.02,45846.60,49594.02,NGK
2021-01-01 00:50:00,18861.82,1376.04,45846.63,49594.03,NGK
2021-01-01 00:51:00,18862.04,1376.10,45846.56,49594.06,NGK
2021-01-01 00:52:00,18862.10,1376.08,45846.58,49594.07,NGK
2021-01-01 00:53:00,18862.03,1376.09,45846.55,49594.03,NGK
2021-01-01 00:54:00,18862.16,1376.23,45846.49,49594.03,NGK
2021-01-01 00:55:00,18862.24,1376.29,45846.45,49594.03,NGK
2021-01-01 00:56:00,18862.24,1376.37,45846.40,49594.00,NGK
2021-01-01 00:57:00,18862.31,1376.42,45846.40,49594.00,NGK
2021-01-01 00:58:00,18862.30,1376.50,45846.34,49593.99,NGK
2021-01-01 00:59:00,18862.28,1376.56,45846.35,49593.99,NGK
2021-01-01 01:00:00,18862.24,1376.61,45846.37,49594.00,NGK
2021-01-01 01:01:00,18862.29,1376.71,45846.37,49594.01,NGK
2021-01-01 01:02:00,18862.34,1376.86,45846.35,49594.00,NGK
2021-01-01 01:03:00,18862.51,1377.07,45846.26,49594.03,NGK
2021-01-01 01:04:00,18862.73,1377.32,45846.17,49594.04,NGK
2021-01-01 01:05:00,18862.92,1377.59,45846.08,49594.03,NGK
2021-01-01 01:06:00,18862.98,1377.71,45846.08,49594.04,NGK
2021-01-01 01:07:00,18863.21,1377.76,45846.03,49594.06,NGK
2021-01-01 01:08:00,18863.31,1377.74,45846.05,49594.08,NGK
2021-01-01 01:09:00,18863.30,1377.64,45846.02,49594.08,NGK
2021-01-01 01:10:00,18863.29,1377.61,45846.05,49594.09,NGK
2021-01-01 01:11:00,18863.24,1377.53,45846.03,49594.04,NGK
2021-01-01 01:12:00,18863.25,1377.49,45846.10,49594.10,NGK
2021-01-01 01:13:00,18863.23,1377.43,45846.14,49594.13,NGK
2021-01-01 01:14:00,18863.07,1377.34,45846.16,49594.12,NGK
2021-01-01 01:15:00,18863.08,1377.13,45846.17,49594.15,NGK
2021-01-01 01:16:00,18863.04,1376.92,45846.21,49594.14,NGK
2021-01-01 01:17:00,18863.05,1376.76,45846.21,49594.16,NGK
2021-01-01 01:18:00,18863.07,1376.67,45846.24,49594.16,NGK
2021-01-01 01:19:00,18863.14,1376.59,45846.24,49594.19,NGK
2021-01-01 01:20:00,18863.24,1376.55,45846.21,49594.19,NGK
2021-01-01 01:21:00,18863.30,1376.42,45846.19,49594.18,NGK
2021-01-01 01:22:00,18863.43,1376.31,45846.18,49594.21,NGK
2021-01-01 01:23:00,18863.51,1376.24,45846.14,49594.21,NGK
2021-01-01 01:24:00,18863.59,1376.33,45846.09,49594.21,NGK
2021-01-01 01:25:00,18863.56,1376.27,45846.06,49594.19,NGK
2021-01-01 01:26:00,18863.49,1376.13,45846.08,49594.19,NGK
2021-01-01 01:27:00,18863.35,1376.16,45846.12,49594.18,NGK
2021-01-01 01:28:00,18863.11,1376.27,45846.20,49594.14,NGK
2021-01-01 01:29:00,18863.02,1376.43,45846.24,49594.16,NGK
2021-01-01 01:30:00,18863.00,1376.47,45846.25,49594.15,NGK
2021-01-01 01:31:00,18863.04,1376.37,45846.24,49594.21,NGK
