Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,14729.16,2332.64,50385.29,99999.00,NUR
2021-01-01 00:01:00,14728.97,2332.84,50385.25,99999.00,NUR
2021-01-01 00:02:00,14728.75,2332.83,50385.17,99999.00,NUR
2021-01-01 00:03:00,14728.47,2332.96,50385.15,99999.00,NUR
2021-01-01 00:04:00,14728.07,2332.96,50385.07,99999.00,NUR
2021-01-01 00:05:00,14727.81,2332.68,50385.08,99999.00,NUR
2021-01-01 00:06:00,14728.07,2332.00,50384.97,99999.00,NUR
2021-01-01 00:07:00,14728.66,2331.18,50384.86,99999.00,NUR
2021-01-01 00:08:00,14729.68,2330.74,50385.02,99999.00,NUR
2021-01-01 00:09:00,14729.83,2331.02,50385.06,99999.00,NUR
2021-01-01 00:10:00,14729.64,2331.79,50385.07,99999.00,NUR
2021-01-01 00:11:00,14729.43,2332.44,50385.21,99999.00,NUR
2021-01-01 00:12:00,14729.30,2332.50,50385.17,99999.00,NUR
2021-01-01 00:13:00,14728.92,2332.34,50385.08,99999.00,NUR
2021-01-01 00:14:00,14728.54,2332.34,50384.97,99999.00,NUR
2021-01-01 00:15:00,14728.17,2332.64,50384.98,99999.00,NUR
2021-01-01 00:16:00,14727.84,2333.10,50385.04,99999.00,NUR
2021-01-01 00:17:00,14727.45,2333.47,50385.06,99999.00,NUR
2021-01-01 00:18:00,14727.41,2333.66,50385.09,99999.00,NUR
2021-01-01 00:19:00,14727.51,2333.91,50385.15,99999.00,NUR
2021-01-01 00:20:00,14727.78,2333.82,50385.25,99999.00,NUR
2021-01-01 00:21:00,14727.79,2333.63,50385.23,99999.00,NUR
2021-01-01 00:22:00,14727.97,2333.14,50385.20,99999.00,NUR
2021-01-01 00:23:00,14728.04,2332.59,50385.16,99999.00,NUR
2021-01-01 00:24:00,14728.33,2332.19,50385.23,99999.00,NUR
2021-01-01 00:25:00,14728.74,2331.79,50385.26,99999.00,NUR
2021-01-01 00:26:00,14728.89,2331.46,50385.18,99999.00,NUR
2021-01-01 00:27:00,14728.99,2331.33,50385.14,99999.00,NUR
2021-01-01 00:28:00,14728.96,2331.44,50385.22,99999.00,NUR
2021-01-01 00:29:00,14728.98,2331.49,50385.13,99999.00,NUR
2021-01-01 00:30:00,14728.99,2331.55,50385.27,99999.00,NUR
2021-01-01 00:31:00,14729.00,2331.55,50385.23,99999.00,NUR
2021-01-01 00:32:00,14729.16,2331.38,50385.28,99999.00,NUR
2021-01-01 00:33:00,14729.38,2331.02,50385.25,99999.00,NUR
2021-01-01 00:34:00,14729.42,2330.86,50385.16,99999.00,NUR
2021-01-01 00:35:00,14729.27,2330.69,50385.07,99999.00,NUR
2021-01-01 00:36:00,14729.10,2330.83,50385.04,99999.00,NUR
2021-01-01 00:37:00,14729.13,2330.86,50385.02,99999.00,NUR
2021-01-01 00:38:00,14729.17,2331.05,50385.10,99999.00,NUR
2021-01-01 00:39:00,14729.25,2331.00,50385.18,99999.00,NUR
2021-01-01 00:40:00,14729.21,2331.06,50385.11,99999.00,NUR
2021-01-01 00:41:00,14729.04,2331.24,50385.08,99999.00,NUR
2021-01-01 00:42:00,14729.00,2331.47,50385.09,99999.00,NUR
2021-01-01 00:43:00,14728.96,2331.73,50385.21,99999.00,NUR
2021-01-01 00:44:00,14729.07,2331.68,50385.22,99999.00,NUR
2021-01-01 00:45:00,14729.11,2331.51,50385.22,99999.00,NUR
2021-01-01 00:46:00,14729.18,2331.26,50385.10,99999.00,NUR
