Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15941.86,2253.01,57856.24,60054.76,NVS
2021-01-01 00:01:00,15941.62,2253.38,57855.63,60054.53,NVS
2021-01-01 00:02:00,15941.84,2253.73,57856.13,60054.83,NVS
2021-01-01 00:03:00,15941.99,2254.03,57856.53,60055.21,NVS
2021-01-01 00:04:00,15941.91,2254.49,57856.30,60054.60,NVS
2021-01-01 00:05:00,15941.89,2254.32,57856.51,60055.22,NVS
2021-01-01 00:06:00,15942.17,2253.29,57856.49,60055.58,NVS
2021-01-01 00:07:00,15942.17,2252.17,57856.18,60054.85,NVS
2021-01-01 00:08:00,15942.21,2251.22,57855.55,60054.19,NVS
2021-01-01 00:09:00,15942.16,2251.51,57855.96,60054.61,NVS
2021-01-01 00:10:00,15942.18,2252.32,57855.86,60054.76,NVS
2021-01-01 00:11:00,15942.36,2252.98,57855.43,60054.08,NVS
2021-01-01 00:12:00,15942.25,2253.30,57855.99,60055.02,NVS
2021-01-01 00:13:00,15942.43,2253.47,57856.19,60055.18,NVS
2021-01-01 00:14:00,15942.41,2253.70,57856.66,60055.59,NVS
2021-01-01 00:15:00,15942.44,2253.81,57856.38,60055.21,NVS
2021-01-01 00:16:00,15942.78,2253.80,57856.04,60054.97,NVS
2021-01-01 00:17:00,15942.62,2253.65,57856.52,60055.46,NVS
2021-01-01 00:18:00,15942.41,2253.77,57856.07,60054.76,NVS
2021-01-01 00:19:00,15942.54,2253.58,57855.41,60054.23,NVS
2021-01-01 00:20:00,15942.81,2253.37,57855.99,60055.08,NVS
2021-01-01 00:21:00,15942.78,2253.20,57856.20,60055.32,NVS
2021-01-01 00:22:00,15943.17,2252.85,57856.17,60055.16,NVS
2021-01-01 00:23:00,15942.85,2252.52,57855.81,60054.78,NVS
2021-01-01 00:24:00,15943.03,2251.91,57856.31,60055.23,NVS
2021-01-01 00:25:00,15943.13,2251.07,57856.53,60055.58,NVS
2021-01-01 00:26:00,15942.78,2250.81,57856.50,60055.31,NVS
2021-01-01 00:27:00,15942.91,2250.88,57856.18,60055.06,NVS
2021-01-01 00:28:00,15943.06,2250.88,57856.50,60055.41,NVS
2021-01-01 00:29:00,15943.39,2250.82,57856.80,60055.73,NVS
2021-01-01 00:30:00,15943.36,2251.06,57856.84,60055.97,NVS
2021-01-01 00:31:00,15943.30,2251.22,57856.56,60055.52,NVS
2021-01-01 00:32:00,15943.37,2251.22,57856.52,60055.46,NVS
2021-01-01 00:33:00,15943.48,2250.71,57857.08,60056.36,NVS
2021-01-01 00:34:00,15943.46,2250.51,57857.22,60056.22,NVS
2021-01-01 00:35:00,15943.77,2250.69,57857.10,60055.49,NVS
2021-01-01 00:36:00,15943.60,2250.86,57857.16,60056.31,NVS
2021-01-01 00:37:00,15943.52,2251.01,57856.74,60055.87,NVS
2021-01-01 00:38:00,15943.73,2251.08,57856.46,60055.84,NVS
2021-01-01 00:39:00,15943.81,2251.31,57856.42,60055.47,NVS
2021-01-01 00:40:00,15943.92,2251.63,57855.93,60054.97,NVS
2021-01-01 00:41:00,15944.09,2251.58,57856.40,60055.69,NVS
2021-01-01 00:42:00,15943.84,2251.58,57856.32,60055.46,NVS
2021-01-01 00:43:00,15943.82,2251.49,57856.01,60055.08,NVS
2021-01-01 00:44:00,15943.64,2251.24,57856.35,60055.48,NVS
2021-01-01 00:45:00,15943.67,2251.07,57856.60,60055.83,NVS
2021-01-01 00:46:00,15943.52,2251.07,57856.91,60055.94,NVS
