Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,17922.67,526.45,-26615.70,32091.90,ORC
2021-01-01 00:01:00,17922.66,526.82,-26615.80,32092.00,ORC
2021-01-01 00:02:00,17922.86,526.93,-26615.80,32092.10,ORC
2021-01-01 00:03:00,17922.95,527.30,-26615.90,32092.20,ORC
2021-01-01 00:04:00,17923.14,527.46,-26616.00,32092.40,ORC
2021-01-01 00:05:00,17923.33,527.62,-26616.00,32092.50,ORC
2021-01-01 00:06:00,17923.74,527.53,-26616.00,32092.80,ORC
2021-01-01 00:07:00,17923.75,527.22,-26616.00,32092.80,ORC
2021-01-01 00:08:00,17923.85,527.06,-26616.00,32092.80,ORC
2021-01-01 00:09:00,17923.86,526.85,-26616.00,32092.90,ORC
2021-01-01 00:10:00,17923.66,526.74,-26616.00,32092.70,ORC
2021-01-01 00:11:00,17923.56,526.69,-26615.90,32092.60,ORC
2021-01-01 00:12:00,17923.46,526.63,-26615.90,32092.50,ORC
2021-01-01 00:13:00,17923.56,526.84,-26615.90,32092.50,ORC
2021-01-01 00:14:00,17923.55,527.05,-26616.00,32092.60,ORC
2021-01-01 00:15:00,17923.65,527.21,-26616.00,32092.60,ORC
2021-01-01 00:16:00,17923.64,527.32,-26616.00,32092.70,ORC
2021-01-01 00:17:00,17923.64,527.47,-26616.00,32092.70,ORC
2021-01-01 00:18:00,17923.74,527.48,-26616.00,32092.80,ORC
2021-01-01 00:19:00,17923.54,527.68,-26616.00,32092.70,ORC
2021-01-01 00:20:00,17923.63,527.84,-26616.00,32092.70,ORC
2021-01-01 00:21:00,17923.53,527.78,-26616.00,32092.60,ORC
2021-01-01 00:22:00,17923.42,528.04,-26615.90,32092.60,ORC
2021-01-01 00:23:00,17923.52,528.25,-26616.00,32092.70,ORC
2021-01-01 00:24:00,17923.61,528.36,-26615.90,32092.60,ORC
2021-01-01 00:25:00,17923.71,528.47,-26616.00,32092.70,ORC
2021-01-01 00:26:00,17924.01,528.53,-26616.00,32092.90,ORC
2021-01-01 00:27:00,17924.21,528.48,-26616.00,32093.00,ORC
2021-01-01 00:28:00,17924.21,528.38,-26616.00,32093.00,ORC
2021-01-01 00:29:00,17924.22,528.27,-26616.10,32093.00,ORC
2021-01-01 00:30:00,17924.12,528.32,-26616.10,32093.00,ORC
2021-01-01 00:31:00,17924.01,528.53,-26616.20,32092.90,ORC
2021-01-01 00:32:00,17924.01,528.53,-26616.00,32092.90,ORC
2021-01-01 00:33:00,17924.11,528.58,-26616.10,32093.00,ORC
2021-01-01 00:34:00,17924.21,528.59,-26616.00,32093.10,ORC
2021-01-01 00:35:00,17924.21,528.59,-26616.10,32093.10,ORC
2021-01-01 00:36:00,17924.21,528.59,-26616.00,32093.00,ORC
2021-01-01 00:37:00,17924.21,528.53,-26616.00,32093.10,ORC
2021-01-01 00:38:00,17924.31,528.59,-26616.10,32093.20,ORC
2021-01-01 00:39:00,17924.51,528.65,-26616.10,32093.30,ORC
2021-01-01 00:40:00,17924.41,528.54,-26616.20,32093.20,ORC
2021-01-01 00:41:00,17924.11,528.69,-26616.20,32093.10,ORC
2021-01-01 00:42:00,17923.90,528.84,-26616.10,32092.90,ORC
2021-01-01 00:43:00,17923.70,528.99,-26616.00,32092.70,ORC
2021-01-01 00:44:00,17923.59,529.14,-26616.00,32092.70,ORC
2021-01-01 00:45:00,17923.59,529.19,-26615.90,32092.80,ORC
2021-01-01 00:46:00,17923.79,529.25,-26616.00,32092.80,ORC
2021-01-01 00:47:00,17923.69,529.30,-26616.00,32092.80,ORC
2021-01-01 00:48:00,17923.38,529.61,-26616.00,32092.70,ORC
2021-01-01 00:49:00,17923.58,529.45,-26616.00,32092.70,ORC
2021-01-01 00:50:00,17923.58,529.61,-26616.00,32092.70,ORC
2021-01-01 00:51:00,17923.68,529.41,-26615.90,32092.70,ORC
2021-01-01 00:52:00,17923.88,529.41,-26615.90,32092.80,ORC
2021-01-01 00:53:00,17923.88,529.41,-26616.00,32092.90,ORC
2021-01-01 00:54:00,17924.08,529.42,-26616.00,32093.00,ORC
2021-01-01 00:55:00,17924.18,529.42,-26616.10,32093.10,ORC
2021-01-01 00:56:00,17924.38,529.43,-26616.10,32093.20,ORC
2021-01-01 00:57:00,17924.48,529.43,-26616.20,32093.40,ORC
2021-01-01 00:58:00,17924.68,529.49,-26616.20,32093.50,ORC
2021-01-01 00:59:00,17924.78,529.44,-26616.20,32093.50,ORC
2021-01-01 01:00:00,17924.78,529.49,-26616.30,32093.60,ORC
2021-01-01 01:01:00,17924.88,529.49,-26616.30,32093.60,ORC
2021-01-01 01:02:00,17924.98,529.65,-26616.30,32093.70,ORC
2021-01-01 01:03:00,17924.97,529.76,-26616.30,32093.80,ORC
2021-01-01 01:04:00,17925.07,529.81,-26616.30,32093.80,ORC
2021-01-01 01:05:00,17925.07,529.86,-26616.30,32093.80,ORC
2021-01-01 01:06:00,17924.97,529.81,-26616.30,32093.80,ORC
2021-01-01 01:07:00,17925.17,529.81,-26616.20,32093.70,ORC
2021-01-01 01:08:00,17925.17,529.87,-26616.30,32093.80,ORC
2021-01-01 01:09:00,17925.27,529.87,-26616.30,32093.90,ORC
2021-01-01 01:10:00,17925.27,529.92,-26616.20,32093.90,ORC
2021-01-01 01:11:00,17925.27,529.92,-26616.20,32093.90,ORC
2021-01-01 01:12:00,17925.27,529.92,-26616.20,32093.90,ORC
2021-01-01 01:13:00,17925.27,529.87,-26616.20,32093.90,ORC
2021-01-01 01:14:00,17925.27,529.92,-26616.10,32093.80,ORC
2021-01-01 01:15:00,17925.37,529.98,-26616.20,32093.90,ORC
2021-01-01 01:16:00,17925.57,530.04,-26616.20,32094.00,ORC
2021-01-01 01:17:00,17925.66,530.19,-26616.30,32094.10,ORC
2021-01-01 01:18:00,17925.76,530.30,-26616.40,32094.30,ORC
2021-01-01 01:19:00,17925.95,530.46,-26616.40,32094.40,ORC
2021-01-01 01:20:00,17926.15,530.52,-26616.40,32094.40,ORC
2021-01-01 01:21:00,17926.05,530.68,-26616.50,32094.50,ORC
2021-01-01 01:22:00,17926.04,530.73,-26616.40,32094.40,ORC
2021-01-01 01:23:00,17925.84,530.83,-26616.40,32094.40,ORC
2021-01-01 01:24:00,17925.84,530.88,-26616.40,32094.30,ORC
2021-01-01 01:25:00,17925.74,530.82,-26616.30,32094.20,ORC
2021-01-01 01:26:00,17925.84,530.72,-26616.20,32094.10,ORC
2021-01-01 01:27:00,17925.85,530.67,-26616.20,32094.10,ORC
2021-01-01 01:28:00,17925.75,530.51,-26616.10,32094.00,ORC
2021-01-01 01:29:00,17925.55,530.40,-26616.00,32093.90,ORC
2021-01-01 01:30:00,17925.65,530.40,-26616.00,32093.80,ORC
2021-01-01 01:31:00,17925.76,530.30,-26616.00,32093.90,ORC
2021-01-01 01:32:00,17925.86,530.30,-26616.00,32094.00,ORC
2021-01-01 01:33:00,17925.96,530.31,-26616.00,32094.10,ORC
2021-01-01 01:34:00,17925.96,530.41,-26616.00,32094.10,ORC
2021-01-01 01:35:00,17926.06,530.31,-26616.00,32094.20,ORC
2021-01-01 01:36:00,17926.26,530.37,-26616.00,32094.30,ORC
2021-01-01 01:37:00,17926.26,530.32,-26616.00,32094.30,ORC
2021-01-01 01:38:00,17926.26,530.37,-26616.10,32094.40,ORC
2021-01-01 01:39:00,17926.35,530.48,-26616.10,32094.40,ORC
2021-01-01 01:40:00,17926.25,530.68,-26616.10,32094.40,ORC
2021-01-01 01:41:00,17926.35,530.68,-26616.00,32094.30,ORC
2021-01-01 01:42:00,17926.24,530.73,-26616.00,32094.30,ORC
2021-01-01 01:43:00,17926.24,530.79,-26616.00,32094.20,ORC
2021-01-01 01:44:00,17926.24,530.79,-26615.90,32094.20,ORC
2021-01-01 01:45:00,17926.24,530.79,-26616.00,32094.10,ORC
2021-01-01 01:46:00,17926.24,530.79,-26615.90,32094.10,ORC
2021-01-01 01:47:00,17926.24,530.84,-26615.80,32094.10,ORC
2021-01-01 01:48:00,17926.24,530.84,-26615.80,32094.10,ORC
2021-01-01 01:49:00,17926.14,530.89,-26615.70,32094.00,ORC
2021-01-01 01:50:00,17925.94,530.88,-26615.70,32093.80,ORC
2021-01-01 01:51:00,17925.94,530.83,-26615.60,32093.70,ORC
2021-01-01 01:52:00,17926.04,530.88,-26615.50,32093.70,ORC
2021-01-01 01:53:00,17925.94,530.88,-26615.40,32093.70,ORC
2021-01-01 01:54:00,17926.04,530.83,-26615.40,32093.60,ORC
2021-01-01 01:55:00,17926.04,530.83,-26615.40,32093.60,ORC
2021-01-01 01:56:00,17926.04,530.83,-26615.40,32093.60,ORC
2021-01-01 01:57:00,17925.94,530.88,-26615.30,32093.50,ORC
2021-01-01 01:58:00,17925.84,530.93,-26615.40,32093.40,ORC
2021-01-01 01:59:00,17925.64,530.98,-26615.20,32093.20,ORC
2021-01-01 02:00:00,17925.64,530.98,-26615.10,32093.10,ORC
2021-01-01 02:01:00,17925.74,530.98,-26615.00,32093.20,ORC
2021-01-01 02:02:00,17925.84,531.03,-26615.00,32093.20,ORC
2021-01-01 02:03:00,17925.84,531.03,-26615.10,32093.30,ORC
2021-01-01 02:04:00,17926.04,530.99,-26615.10,32093.40,ORC
2021-01-01 02:05:00,17926.14,530.94,-26615.10,32093.50,ORC
2021-01-01 02:06:00,17926.24,530.94,-26615.20,32093.50,ORC
2021-01-01 02:07:00,17926.34,530.84,-26615.10,32093.60,ORC
2021-01-01 02:08:00,17926.54,530.85,-26615.20,32093.70,ORC
2021-01-01 02:09:00,17926.64,530.80,-26615.10,32093.70,ORC
2021-01-01 02:10:00,17926.84,530.75,-26615.10,32093.80,ORC
2021-01-01 02:11:00,17927.04,530.76,-26615.20,32093.90,ORC
2021-01-01 02:12:00,17927.15,530.71,-26615.20,32094.10,ORC
2021-01-01 02:13:00,17927.25,530.71,-26615.30,32094.20,ORC
2021-01-01 02:14:00,17927.24,530.82,-26615.30,32094.30,ORC
2021-01-01 02:15:00,17927.54,530.77,-26615.30,32094.40,ORC
2021-01-01 02:16:00,17927.75,530.73,-26615.40,32094.50,ORC
2021-01-01 02:17:00,17927.95,530.78,-26615.40,32094.70,ORC
2021-01-01 02:18:00,17927.84,530.78,-26615.40,32094.60,ORC
2021-01-01 02:19:00,17927.85,530.73,-26615.40,32094.60,ORC
2021-01-01 02:20:00,17927.84,530.83,-26615.40,32094.60,ORC
2021-01-01 02:21:00,17928.05,530.73,-26615.30,32094.60,ORC
2021-01-01 02:22:00,17928.05,530.73,-26615.30,32094.60,ORC
2021-01-01 02:23:00,17928.05,530.68,-26615.30,32094.70,ORC
2021-01-01 02:24:00,17928.15,530.74,-26615.40,32094.70,ORC
2021-01-01 02:25:00,17928.05,530.68,-26615.30,32094.70,ORC
2021-01-01 02:26:00,17927.74,530.78,-26615.30,32094.50,ORC
2021-01-01 02:27:00,17927.34,530.92,-26615.20,32094.30,ORC
2021-01-01 02:28:00,17927.14,531.02,-26615.10,32094.10,ORC
2021-01-01 02:29:00,17926.94,531.12,-26615.00,32093.80,ORC
2021-01-01 02:30:00,17926.73,531.22,-26615.00,32093.60,ORC
2021-01-01 02:31:00,17926.43,531.26,-26614.90,32093.40,ORC
2021-01-01 02:32:00,17926.03,531.25,-26614.70,32093.10,ORC
2021-01-01 02:33:00,17925.73,531.29,-26614.60,32092.80,ORC
2021-01-01 02:34:00,17925.43,531.44,-26614.50,32092.60,ORC
2021-01-01 02:35:00,17925.32,531.59,-26614.40,32092.50,ORC
2021-01-01 02:36:00,17925.21,531.69,-26614.40,32092.30,ORC
2021-01-01 02:37:00,17925.21,531.69,-26614.30,32092.30,ORC
2021-01-01 02:38:00,17925.31,531.75,-26614.30,32092.30,ORC
2021-01-01 02:39:00,17925.31,531.70,-26614.40,32092.30,ORC
2021-01-01 02:40:00,17925.21,531.69,-26614.30,32092.30,ORC
2021-01-01 02:41:00,17925.22,531.54,-26614.30,32092.30,ORC
2021-01-01 02:42:00,17925.22,531.59,-26614.30,32092.30,ORC
2021-01-01 02:43:00,17925.32,531.59,-26614.30,32092.30,ORC
2021-01-01 02:44:00,17925.42,531.60,-26614.30,32092.30,ORC
2021-01-01 02:45:00,17925.42,531.54,-26614.30,32092.40,ORC
2021-01-01 02:46:00,17925.43,531.44,-26614.30,32092.40,ORC
2021-01-01 02:47:00,17925.43,531.44,-26614.30,32092.30,ORC
2021-01-01 02:48:00,17925.32,531.44,-26614.30,32092.30,ORC
2021-01-01 02:49:00,17925.23,531.33,-26614.20,32092.30,ORC
2021-01-01 02:50:00,17925.23,531.33,-26614.30,32092.20,ORC
2021-01-01 02:51:00,17925.13,531.27,-26614.20,32092.20,ORC
2021-01-01 02:52:00,17925.13,531.22,-26614.20,32092.20,ORC
2021-01-01 02:53:00,17925.13,531.22,-26614.20,32092.20,ORC
2021-01-01 02:54:00,17925.03,531.27,-26614.30,32092.10,ORC
2021-01-01 02:55:00,17925.13,531.33,-26614.30,32092.10,ORC
2021-01-01 02:56:00,17925.03,531.22,-26614.30,32092.10,ORC
2021-01-01 02:57:00,17925.13,531.07,-26614.20,32092.10,ORC
2021-01-01 02:58:00,17925.14,530.96,-26614.20,32092.10,ORC
2021-01-01 02:59:00,17925.24,530.91,-26614.10,32092.10,ORC
2021-01-01 03:00:00,17925.24,530.96,-26614.20,32092.10,ORC
2021-01-01 03:01:00,17925.23,531.07,-26614.30,32092.20,ORC
2021-01-01 03:02:00,17925.54,530.82,-26614.20,32092.30,ORC
2021-01-01 03:03:00,17925.84,530.77,-26614.30,32092.50,ORC
2021-01-01 03:04:00,17925.95,530.67,-26614.30,32092.60,ORC
2021-01-01 03:05:00,17926.15,530.57,-26614.40,32092.80,ORC
2021-01-01 03:06:00,17926.25,530.58,-26614.40,32092.90,ORC
2021-01-01 03:07:00,17926.35,530.48,-26614.50,32093.00,ORC
2021-01-01 03:08:00,17926.35,530.42,-26614.50,32093.00,ORC
2021-01-01 03:09:00,17926.25,530.42,-26614.50,32092.90,ORC
2021-01-01 03:10:00,17926.15,530.52,-26614.50,32092.80,ORC
2021-01-01 03:11:00,17926.05,530.57,-26614.40,32092.80,ORC
2021-01-01 03:12:00,17925.95,530.67,-26614.40,32092.70,ORC
2021-01-01 03:13:00,17925.95,530.72,-26614.40,32092.70,ORC
2021-01-01 03:14:00,17925.85,530.67,-26614.40,32092.60,ORC
2021-01-01 03:15:00,17925.95,530.62,-26614.30,32092.60,ORC
2021-01-01 03:16:00,17925.85,530.57,-26614.40,32092.60,ORC
2021-01-01 03:17:00,17926.05,530.52,-26614.30,32092.70,ORC
2021-01-01 03:18:00,17926.05,530.57,-26614.40,32092.80,ORC
2021-01-01 03:19:00,17926.35,530.48,-26614.40,32092.90,ORC
2021-01-01 03:20:00,17926.46,530.43,-26614.50,32093.10,ORC
2021-01-01 03:21:00,17926.56,530.38,-26614.50,32093.10,ORC
2021-01-01 03:22:00,17926.65,530.48,-26614.60,32093.20,ORC
2021-01-01 03:23:00,17926.55,530.48,-26614.60,32093.30,ORC
2021-01-01 03:24:00,17926.75,530.44,-26614.60,32093.30,ORC
2021-01-01 03:25:00,17926.75,530.54,-26614.70,32093.40,ORC
2021-01-01 03:26:00,17926.75,530.49,-26614.70,32093.40,ORC
2021-01-01 03:27:00,17926.45,530.48,-26614.70,32093.30,ORC
2021-01-01 03:28:00,17926.45,530.53,-26614.60,32093.30,ORC
2021-01-01 03:29:00,17926.35,530.42,-26614.60,32093.20,ORC
2021-01-01 03:30:00,17926.15,530.47,-26614.60,32093.00,ORC
2021-01-01 03:31:00,17925.96,530.36,-26614.60,32092.90,ORC
2021-01-01 03:32:00,17925.85,530.41,-26614.50,32092.90,ORC
2021-01-01 03:33:00,17925.86,530.36,-26614.50,32092.80,ORC
2021-01-01 03:34:00,17925.85,530.41,-26614.50,32092.90,ORC
2021-01-01 03:35:00,17925.96,530.31,-26614.50,32092.90,ORC
2021-01-01 03:36:00,17925.76,530.30,-26614.60,32092.90,ORC
2021-01-01 03:37:00,17925.86,530.25,-26614.60,32092.90,ORC
2021-01-01 03:38:00,17926.06,530.26,-26614.60,32092.90,ORC
2021-01-01 03:39:00,17926.06,530.26,-26614.70,32093.00,ORC
2021-01-01 03:40:00,17926.06,530.10,-26614.60,32093.00,ORC
2021-01-01 03:41:00,17926.06,530.10,-26614.60,32093.00,ORC
2021-01-01 03:42:00,17926.17,530.00,-26614.70,32093.10,ORC
2021-01-01 03:43:00,17926.27,529.95,-26614.60,32093.10,ORC
2021-01-01 03:44:00,17925.97,529.94,-26614.70,32093.00,ORC
2021-01-01 03:45:00,17925.77,529.99,-26614.80,32092.90,ORC
2021-01-01 03:46:00,17925.67,530.04,-26614.70,32092.80,ORC
2021-01-01 03:47:00,17925.56,530.09,-26614.70,32092.70,ORC
2021-01-01 03:48:00,17925.47,530.03,-26614.60,32092.60,ORC
2021-01-01 03:49:00,17925.36,530.08,-26614.60,32092.60,ORC
2021-01-01 03:50:00,17925.37,530.03,-26614.60,32092.60,ORC
2021-01-01 03:51:00,17925.47,529.82,-26614.60,32092.60,ORC
2021-01-01 03:52:00,17925.27,529.92,-26614.60,32092.50,ORC
2021-01-01 03:53:00,17925.07,529.92,-26614.60,32092.40,ORC
2021-01-01 03:54:00,17925.17,529.87,-26614.50,32092.40,ORC
2021-01-01 03:55:00,17925.27,529.87,-26614.60,32092.60,ORC
2021-01-01 03:56:00,17925.37,529.87,-26614.70,32092.70,ORC
2021-01-01 03:57:00,17925.37,529.82,-26614.60,32092.70,ORC
2021-01-01 03:58:00,17925.18,529.66,-26614.60,32092.50,ORC
2021-01-01 03:59:00,17925.18,529.55,-26614.60,32092.50,ORC
2021-01-01 04:00:00,17925.17,529.71,-26614.60,32092.50,ORC
2021-01-01 04:01:00,17925.08,529.66,-26614.60,32092.50,ORC
2021-01-01 04:02:00,17925.07,529.81,-26614.70,32092.40,ORC
2021-01-01 04:03:00,17925.07,529.71,-26614.60,32092.40,ORC
2021-01-01 04:04:00,17925.07,529.71,-26614.70,32092.50,ORC
2021-01-01 04:05:00,17924.98,529.60,-26614.70,32092.40,ORC
2021-01-01 04:06:00,17924.98,529.44,-26614.70,32092.40,ORC
2021-01-01 04:07:00,17925.18,529.66,-26614.70,32092.60,ORC
2021-01-01 04:08:00,17924.87,529.86,-26614.90,32092.50,ORC
2021-01-01 04:09:00,17924.98,529.50,-26614.70,32092.50,ORC
2021-01-01 04:10:00,17925.18,529.40,-26614.80,32092.60,ORC
2021-01-01 04:11:00,17925.29,529.14,-26614.80,32092.70,ORC
2021-01-01 04:12:00,17925.29,529.14,-26614.90,32092.80,ORC
2021-01-01 04:13:00,17925.49,529.15,-26614.90,32093.00,ORC
2021-01-01 04:14:00,17925.70,529.00,-26615.00,32093.20,ORC
2021-01-01 04:15:00,17926.00,528.90,-26615.10,32093.40,ORC
2021-01-01 04:16:00,17926.21,528.75,-26615.30,32093.50,ORC
2021-01-01 04:17:00,17926.21,528.59,-26615.30,32093.60,ORC
2021-01-01 04:18:00,17926.21,528.59,-26615.30,32093.60,ORC
2021-01-01 04:19:00,17926.21,528.44,-26615.30,32093.60,ORC
2021-01-01 04:20:00,17926.12,528.38,-26615.30,32093.60,ORC
2021-01-01 04:21:00,17926.12,528.38,-26615.30,32093.50,ORC
2021-01-01 04:22:00,17926.12,528.28,-26615.30,32093.50,ORC
2021-01-01 04:23:00,17926.12,528.22,-26615.30,32093.60,ORC
2021-01-01 04:24:00,17926.22,528.28,-26615.40,32093.60,ORC
2021-01-01 04:25:00,17925.93,528.01,-26615.30,32093.50,ORC
2021-01-01 04:26:00,17925.82,528.11,-26615.40,32093.50,ORC
2021-01-01 04:27:00,17925.83,527.96,-26615.40,32093.40,ORC
2021-01-01 04:28:00,17925.82,528.11,-26615.40,32093.50,ORC
2021-01-01 04:29:00,17925.74,527.64,-26615.30,32093.30,ORC
2021-01-01 04:30:00,17925.83,528.01,-26615.40,32093.50,ORC
2021-01-01 04:31:00,17925.73,527.95,-26615.40,32093.40,ORC
2021-01-01 04:32:00,17925.54,527.43,-26615.30,32093.20,ORC
2021-01-01 04:33:00,17925.83,527.69,-26615.40,32093.40,ORC
2021-01-01 04:34:00,17925.64,527.38,-26615.40,32093.30,ORC
2021-01-01 04:35:00,17925.65,527.22,-26615.40,32093.30,ORC
2021-01-01 04:36:00,17925.75,527.17,-26615.30,32093.30,ORC
2021-01-01 04:37:00,17925.75,527.22,-26615.40,32093.40,ORC
2021-01-01 04:38:00,17925.55,527.16,-26615.40,32093.20,ORC
2021-01-01 04:39:00,17925.55,527.06,-26615.30,32093.20,ORC
2021-01-01 04:40:00,17925.55,527.11,-26615.40,32093.30,ORC
2021-01-01 04:41:00,17925.35,527.05,-26615.40,32093.20,ORC
2021-01-01 04:42:00,17925.45,527.16,-26615.40,32093.20,ORC
2021-01-01 04:43:00,17925.35,527.16,-26615.40,32093.20,ORC
2021-01-01 04:44:00,17925.46,526.95,-26615.40,32093.10,ORC
2021-01-01 04:45:00,17925.36,526.90,-26615.30,32093.10,ORC
2021-01-01 04:46:00,17925.47,526.43,-26615.20,32093.10,ORC
2021-01-01 04:47:00,17925.46,526.74,-26615.30,32093.20,ORC
2021-01-01 04:48:00,17925.27,526.48,-26615.30,32093.10,ORC
2021-01-01 04:49:00,17925.18,526.32,-26615.30,32093.00,ORC
2021-01-01 04:50:00,17925.48,526.22,-26615.30,32093.10,ORC
2021-01-01 04:51:00,17925.69,525.97,-26615.40,32093.30,ORC
2021-01-01 04:52:00,17926.20,525.57,-26615.30,32093.60,ORC
2021-01-01 04:53:00,17926.71,525.22,-26615.40,32094.00,ORC
2021-01-01 04:54:00,17927.31,525.28,-26615.60,32094.50,ORC
2021-01-01 04:55:00,17927.61,525.19,-26615.80,32094.80,ORC
2021-01-01 04:56:00,17927.81,525.25,-26615.90,32095.00,ORC
2021-01-01 04:57:00,17927.90,525.35,-26616.00,32095.10,ORC
2021-01-01 04:58:00,17927.99,525.72,-26616.20,32095.40,ORC
2021-01-01 04:59:00,17928.29,525.89,-26616.20,32095.60,ORC
2021-01-01 05:00:00,17928.38,526.20,-26616.40,32095.70,ORC
2021-01-01 05:01:00,17928.16,526.88,-26616.60,32095.80,ORC
2021-01-01 05:02:00,17928.05,527.13,-26616.60,32095.70,ORC
2021-01-01 05:03:00,17927.85,527.08,-26616.50,32095.50,ORC
2021-01-01 05:04:00,17927.94,527.39,-26616.60,32095.50,ORC
2021-01-01 05:05:00,17927.75,527.33,-26616.40,32095.40,ORC
2021-01-01 05:06:00,17927.65,527.28,-26616.40,32095.30,ORC
2021-01-01 05:07:00,17927.55,527.28,-26616.30,32095.20,ORC
2021-01-01 05:08:00,17927.55,527.17,-26616.30,32095.20,ORC
2021-01-01 05:09:00,17927.46,527.01,-26616.30,32095.20,ORC
2021-01-01 05:10:00,17927.36,527.01,-26616.40,32095.10,ORC
2021-01-01 05:11:00,17927.26,526.95,-26616.30,32095.00,ORC
2021-01-01 05:12:00,17927.26,526.85,-26616.30,32095.00,ORC
2021-01-01 05:13:00,17927.26,526.85,-26616.20,32095.10,ORC
2021-01-01 05:14:00,17927.36,526.75,-26616.30,32095.20,ORC
2021-01-01 05:15:00,17927.47,526.49,-26616.40,32095.20,ORC
2021-01-01 05:16:00,17927.57,526.39,-26616.40,32095.30,ORC
2021-01-01 05:17:00,17927.78,526.34,-26616.50,32095.40,ORC
2021-01-01 05:18:00,17927.68,526.13,-26616.60,32095.50,ORC
2021-01-01 05:19:00,17927.79,525.98,-26616.60,32095.50,ORC
2021-01-01 05:20:00,17927.79,525.66,-26616.60,32095.50,ORC
2021-01-01 05:21:00,17927.99,525.77,-26616.70,32095.70,ORC
2021-01-01 05:22:00,17927.90,525.56,-26616.70,32095.70,ORC
