Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18050.73,-4282.23,50665.76,53959.23,OTT
2021-01-01 00:01:00,18050.98,-4282.28,50665.80,53959.37,OTT
2021-01-01 00:02:00,18051.30,-4282.94,50666.05,53959.76,OTT
2021-01-01 00:03:00,18051.35,-4283.48,50666.24,53960.01,OTT
2021-01-01 00:04:00,18051.03,-4283.38,50666.15,53959.79,OTT
2021-01-01 00:05:00,18051.14,-4283.49,50666.10,53959.80,OTT
2021-01-01 00:06:00,18051.45,-4282.69,50665.95,53959.69,OTT
2021-01-01 00:07:00,18052.08,-4281.89,50665.77,53959.66,OTT
2021-01-01 00:08:00,18052.98,-4281.64,50665.93,53960.11,OTT
2021-01-01 00:09:00,18052.91,-4281.52,50666.05,53960.20,OTT
2021-01-01 00:10:00,18052.10,-4281.63,50666.00,53959.88,OTT
2021-01-01 00:11:00,18051.60,-4281.87,50665.95,53959.70,OTT
2021-01-01 00:12:00,18051.29,-4282.08,50665.95,53959.59,OTT
2021-01-01 00:13:00,18050.89,-4282.19,50665.91,53959.43,OTT
2021-01-01 00:14:00,18050.74,-4282.16,50665.88,53959.30,OTT
2021-01-01 00:15:00,18050.82,-4282.55,50665.98,53959.44,OTT
2021-01-01 00:16:00,18050.70,-4282.36,50665.96,53959.43,OTT
2021-01-01 00:17:00,18050.69,-4282.21,50665.86,53959.30,OTT
2021-01-01 00:18:00,18050.69,-4281.89,50665.84,53959.26,OTT
2021-01-01 00:19:00,18050.55,-4281.98,50665.77,53959.14,OTT
2021-01-01 00:20:00,18050.55,-4281.93,50665.80,53959.18,OTT
2021-01-01 00:21:00,18050.24,-4281.61,50665.65,53958.93,OTT
2021-01-01 00:22:00,18050.21,-4281.50,50665.55,53958.83,OTT
2021-01-01 00:23:00,18050.11,-4281.06,50665.52,53958.69,OTT
2021-01-01 00:24:00,18050.38,-4280.94,50665.45,53958.72,OTT
2021-01-01 00:25:00,18051.05,-4280.90,50665.65,53959.10,OTT
2021-01-01 00:26:00,18051.72,-4280.94,50665.84,53959.50,OTT
2021-01-01 00:27:00,18052.03,-4281.08,50665.99,53959.77,OTT
2021-01-01 00:28:00,18051.71,-4281.16,50666.00,53959.69,OTT
2021-01-01 00:29:00,18051.38,-4281.26,50665.88,53959.50,OTT
2021-01-01 00:30:00,18051.02,-4281.36,50665.84,53959.33,OTT
