Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,23708.33,2090.26,41159.10,47544.03,PAG
2021-01-01 00:01:00,23708.32,2090.40,41159.10,47544.05,PAG
2021-01-01 00:02:00,23708.43,2090.34,41159.10,47544.06,PAG
2021-01-01 00:03:00,23708.41,2090.48,41159.10,47544.06,PAG
2021-01-01 00:04:00,23708.30,2090.61,41159.10,47544.02,PAG
2021-01-01 00:05:00,23708.22,2090.46,41159.00,47544.00,PAG
2021-01-01 00:06:00,23708.46,2090.00,41159.00,47544.04,PAG
2021-01-01 00:07:00,23708.79,2089.61,41159.00,47544.13,PAG
2021-01-01 00:08:00,23709.32,2089.38,41159.00,47544.38,PAG
2021-01-01 00:09:00,23709.59,2089.68,41159.00,47544.56,PAG
2021-01-01 00:10:00,23709.44,2090.22,41159.40,47544.86,PAG
2021-01-01 00:11:00,23709.32,2090.49,41159.40,47544.86,PAG
2021-01-01 00:12:00,23709.31,2090.56,41159.40,47544.86,PAG
2021-01-01 00:13:00,23709.12,2090.47,41159.30,47544.66,PAG
2021-01-01 00:14:00,23709.01,2090.53,41159.20,47544.46,PAG
2021-01-01 00:15:00,23709.00,2090.67,41159.10,47544.43,PAG
2021-01-01 00:16:00,23708.89,2090.80,41159.20,47544.38,PAG
2021-01-01 00:17:00,23708.48,2090.83,41159.20,47544.23,PAG
2021-01-01 00:18:00,23708.38,2090.89,41159.20,47544.14,PAG
2021-01-01 00:19:00,23708.28,2090.82,41159.10,47544.10,PAG
2021-01-01 00:20:00,23708.30,2090.61,41159.10,47544.07,PAG
2021-01-01 00:21:00,23708.22,2090.39,41159.10,47544.05,PAG
2021-01-01 00:22:00,23708.35,2090.06,41159.10,47544.02,PAG
2021-01-01 00:23:00,23708.28,2089.70,41159.00,47543.98,PAG
2021-01-01 00:24:00,23708.41,2089.44,41159.00,47544.01,PAG
2021-01-01 00:25:00,23708.63,2089.18,41159.00,47544.10,PAG
2021-01-01 00:26:00,23708.84,2089.06,41159.00,47544.15,PAG
2021-01-01 00:27:00,23708.94,2089.07,41159.00,47544.23,PAG
2021-01-01 00:28:00,23708.93,2089.20,41159.30,47544.52,PAG
2021-01-01 00:29:00,23709.03,2089.21,41159.30,47544.56,PAG
2021-01-01 00:30:00,23709.03,2089.21,41159.40,47544.60,PAG
2021-01-01 00:31:00,23709.13,2089.22,41159.20,47544.51,PAG
2021-01-01 00:32:00,23709.14,2089.08,41159.10,47544.38,PAG
2021-01-01 00:33:00,23709.25,2088.96,41159.00,47544.44,PAG
2021-01-01 00:34:00,23709.36,2088.83,41159.10,47544.46,PAG
2021-01-01 00:35:00,23709.36,2088.83,41159.10,47544.45,PAG
2021-01-01 00:36:00,23709.37,2088.76,41159.10,47544.44,PAG
2021-01-01 00:37:00,23709.37,2088.76,41159.00,47544.46,PAG
2021-01-01 00:38:00,23709.36,2088.83,41159.00,47544.49,PAG
2021-01-01 00:39:00,23709.46,2088.83,41159.10,47544.53,PAG
2021-01-01 00:40:00,23709.36,2088.83,41159.10,47544.51,PAG
2021-01-01 00:41:00,23709.15,2089.02,41159.10,47544.45,PAG
2021-01-01 00:42:00,23709.04,2089.08,41159.10,47544.42,PAG
2021-01-01 00:43:00,23709.03,2089.14,41159.10,47544.40,PAG
2021-01-01 00:44:00,23709.14,2089.08,41159.10,47544.42,PAG
2021-01-01 00:45:00,23709.15,2088.95,41159.10,47544.41,PAG
2021-01-01 00:46:00,23709.16,2088.81,41159.10,47544.40,PAG
2021-01-01 00:47:00,23709.06,2088.80,41159.10,47544.39,PAG
2021-01-01 00:48:00,23709.06,2088.87,41159.40,47544.59,PAG
2021-01-01 00:49:00,23709.06,2088.87,41159.40,47544.63,PAG
2021-01-01 00:50:00,23709.16,2088.88,41159.40,47544.63,PAG
2021-01-01 00:51:00,23709.16,2088.81,41159.10,47544.42,PAG
2021-01-01 00:52:00,23709.26,2088.82,41159.10,47544.45,PAG
2021-01-01 00:53:00,23709.26,2088.82,41159.10,47544.45,PAG
2021-01-01 00:54:00,23709.36,2088.89,41159.10,47544.50,PAG
2021-01-01 00:55:00,23709.36,2088.89,41159.10,47544.54,PAG
2021-01-01 00:56:00,23709.45,2088.97,41159.10,47544.58,PAG
2021-01-01 00:57:00,23709.45,2089.04,41159.10,47544.60,PAG
2021-01-01 00:58:00,23709.54,2089.05,41159.10,47544.63,PAG
2021-01-01 00:59:00,23709.54,2089.12,41159.20,47544.64,PAG
2021-01-01 01:00:00,23709.54,2089.12,41159.20,47544.65,PAG
2021-01-01 01:01:00,23709.53,2089.19,41159.10,47544.68,PAG
2021-01-01 01:02:00,23709.62,2089.34,41159.10,47544.68,PAG
2021-01-01 01:03:00,23709.62,2089.34,41159.10,47544.71,PAG
2021-01-01 01:04:00,23709.81,2089.42,41159.20,47544.80,PAG
2021-01-01 01:05:00,23709.90,2089.57,41159.20,47544.85,PAG
2021-01-01 01:06:00,23709.99,2089.71,41159.20,47544.88,PAG
2021-01-01 01:07:00,23710.09,2089.65,41159.20,47544.94,PAG
2021-01-01 01:08:00,23710.19,2089.66,41159.10,47544.97,PAG
2021-01-01 01:09:00,23710.19,2089.73,41159.40,47545.21,PAG
2021-01-01 01:10:00,23710.19,2089.73,41159.40,47545.24,PAG
2021-01-01 01:11:00,23710.19,2089.73,41159.40,47545.23,PAG
2021-01-01 01:12:00,23710.09,2089.72,41159.20,47545.00,PAG
2021-01-01 01:13:00,23710.09,2089.65,41159.10,47544.90,PAG
2021-01-01 01:14:00,23710.09,2089.65,41159.10,47544.89,PAG
2021-01-01 01:15:00,23710.01,2089.51,41159.10,47544.89,PAG
2021-01-01 01:16:00,23710.11,2089.45,41159.10,47544.90,PAG
2021-01-01 01:17:00,23710.02,2089.37,41159.10,47544.87,PAG
2021-01-01 01:18:00,23710.03,2089.23,41159.10,47544.89,PAG
2021-01-01 01:19:00,23710.13,2089.24,41159.00,47544.90,PAG
2021-01-01 01:20:00,23710.24,2089.18,41159.00,47544.90,PAG
2021-01-01 01:21:00,23710.24,2089.11,41159.00,47544.90,PAG
2021-01-01 01:22:00,23710.25,2088.97,41159.00,47544.93,PAG
2021-01-01 01:23:00,23710.25,2088.97,41159.00,47544.93,PAG
2021-01-01 01:24:00,23710.25,2088.97,41159.10,47544.95,PAG
2021-01-01 01:25:00,23710.25,2088.97,41159.00,47544.95,PAG
2021-01-01 01:26:00,23710.26,2088.90,41159.00,47544.97,PAG
2021-01-01 01:27:00,23710.25,2088.97,41159.30,47545.13,PAG
2021-01-01 01:28:00,23710.14,2089.10,41159.30,47545.15,PAG
2021-01-01 01:29:00,23710.14,2089.17,41159.30,47545.14,PAG
2021-01-01 01:30:00,23710.14,2089.17,41159.20,47545.06,PAG
2021-01-01 01:31:00,23710.15,2089.03,41159.00,47544.89,PAG
2021-01-01 01:32:00,23710.15,2088.97,41159.00,47544.88,PAG
2021-01-01 01:33:00,23710.16,2088.90,41159.00,47544.89,PAG
2021-01-01 01:34:00,23710.16,2088.90,41159.00,47544.87,PAG
2021-01-01 01:35:00,23710.17,2088.76,41159.00,47544.92,PAG
2021-01-01 01:36:00,23710.17,2088.76,41159.00,47544.89,PAG
2021-01-01 01:37:00,23710.17,2088.83,41159.00,47544.88,PAG
2021-01-01 01:38:00,23710.06,2088.89,41159.00,47544.86,PAG
2021-01-01 01:39:00,23710.06,2088.89,41159.00,47544.86,PAG
2021-01-01 01:40:00,23709.96,2088.95,41159.00,47544.82,PAG
2021-01-01 01:41:00,23709.95,2089.02,41159.10,47544.84,PAG
2021-01-01 01:42:00,23710.04,2089.09,41159.10,47544.85,PAG
2021-01-01 01:43:00,23710.14,2089.10,41159.10,47544.88,PAG
2021-01-01 01:44:00,23710.14,2089.10,41159.10,47544.89,PAG
2021-01-01 01:45:00,23710.14,2089.10,41159.20,47545.00,PAG
2021-01-01 01:46:00,23710.14,2089.17,41159.30,47545.14,PAG
2021-01-01 01:47:00,23710.14,2089.10,41159.30,47545.14,PAG
2021-01-01 01:48:00,23710.15,2088.97,41159.30,47545.11,PAG
2021-01-01 01:49:00,23710.06,2088.89,41159.10,47544.81,PAG
2021-01-01 01:50:00,23710.15,2088.97,41159.00,47544.82,PAG
2021-01-01 01:51:00,23710.25,2088.97,41159.00,47544.89,PAG
2021-01-01 01:52:00,23710.16,2088.90,41159.00,47544.87,PAG
2021-01-01 01:53:00,23710.26,2088.90,41159.00,47544.87,PAG
2021-01-01 01:54:00,23710.36,2088.91,41159.00,47544.90,PAG
2021-01-01 01:55:00,23710.36,2088.91,41159.00,47544.91,PAG
2021-01-01 01:56:00,23710.35,2088.98,41159.00,47544.93,PAG
2021-01-01 01:57:00,23710.36,2088.91,41159.00,47544.90,PAG
2021-01-01 01:58:00,23710.36,2088.91,41159.00,47544.89,PAG
2021-01-01 01:59:00,23710.36,2088.91,41159.00,47544.90,PAG
2021-01-01 02:00:00,23710.46,2088.92,41159.00,47544.95,PAG
2021-01-01 02:01:00,23710.48,2088.72,41159.00,47544.98,PAG
2021-01-01 02:02:00,23710.48,2088.65,41159.00,47544.96,PAG
2021-01-01 02:03:00,23710.70,2088.53,41159.00,47545.00,PAG
2021-01-01 02:04:00,23710.90,2088.47,41159.30,47545.30,PAG
2021-01-01 02:05:00,23710.91,2088.41,41159.30,47545.40,PAG
2021-01-01 02:06:00,23711.01,2088.35,41159.30,47545.45,PAG
2021-01-01 02:07:00,23711.12,2088.22,41159.00,47545.28,PAG
2021-01-01 02:08:00,23711.12,2088.22,41159.00,47545.25,PAG
2021-01-01 02:09:00,23711.23,2088.16,41159.00,47545.28,PAG
2021-01-01 02:10:00,23711.24,2088.09,41159.00,47545.28,PAG
2021-01-01 02:11:00,23711.24,2088.09,41159.00,47545.27,PAG
2021-01-01 02:12:00,23711.13,2088.15,41159.00,47545.25,PAG
2021-01-01 02:13:00,23711.13,2088.15,41159.00,47545.26,PAG
