Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,26464.20,2279.60,37854.20,46244.70,PEG
2021-01-01 00:01:00,26464.10,2279.70,37854.20,46244.60,PEG
2021-01-01 00:02:00,26464.10,2279.70,37854.20,46244.70,PEG
2021-01-01 00:03:00,26464.20,2279.70,37854.20,46244.70,PEG
2021-01-01 00:04:00,26464.20,2279.80,37854.20,46244.70,PEG
2021-01-01 00:05:00,26464.10,2279.90,37854.20,46244.70,PEG
2021-01-01 00:06:00,26464.10,2279.80,37854.30,46244.80,PEG
2021-01-01 00:07:00,26464.30,2279.50,37854.40,46244.90,PEG
2021-01-01 00:08:00,26464.60,2279.20,37854.50,46245.20,PEG
2021-01-01 00:09:00,26465.00,2279.10,37854.60,46245.50,PEG
2021-01-01 00:10:00,26465.20,2279.40,37854.60,46245.60,PEG
2021-01-01 00:11:00,26465.10,2279.60,37854.50,46245.50,PEG
2021-01-01 00:12:00,26464.90,2279.80,37854.50,46245.40,PEG
2021-01-01 00:13:00,26464.90,2279.80,37854.50,46245.40,PEG
2021-01-01 00:14:00,26464.80,2279.80,37854.60,46245.30,PEG
2021-01-01 00:15:00,26464.70,2279.90,37854.50,46245.30,PEG
2021-01-01 00:16:00,26464.70,2280.00,37854.50,46245.20,PEG
2021-01-01 00:17:00,26464.50,2280.10,37854.50,46245.10,PEG
2021-01-01 00:18:00,26464.30,2280.10,37854.50,46245.00,PEG
2021-01-01 00:19:00,26464.20,2280.10,37854.50,46244.90,PEG
2021-01-01 00:20:00,26464.10,2280.00,37854.40,46244.90,PEG
2021-01-01 00:21:00,26464.10,2279.90,37854.40,46244.90,PEG
2021-01-01 00:22:00,26464.10,2279.70,37854.50,46244.90,PEG
2021-01-01 00:23:00,26464.20,2279.40,37854.50,46245.00,PEG
2021-01-01 00:24:00,26464.20,2279.20,37854.60,46245.00,PEG
2021-01-01 00:25:00,26464.40,2279.00,37854.60,46245.10,PEG
2021-01-01 00:26:00,26464.60,2278.80,37854.70,46245.20,PEG
2021-01-01 00:27:00,26464.70,2278.70,37854.70,46245.30,PEG
2021-01-01 00:28:00,26464.70,2278.70,37854.60,46245.30,PEG
2021-01-01 00:29:00,26464.80,2278.70,37854.60,46245.30,PEG
2021-01-01 00:30:00,26464.80,2278.70,37854.60,46245.40,PEG
2021-01-01 00:31:00,26464.80,2278.70,37854.60,46245.40,PEG
2021-01-01 00:32:00,26464.90,2278.70,37854.60,46245.40,PEG
2021-01-01 00:33:00,26465.00,2278.60,37854.60,46245.40,PEG
2021-01-01 00:34:00,26465.10,2278.50,37854.70,46245.50,PEG
2021-01-01 00:35:00,26465.10,2278.40,37854.70,46245.60,PEG
2021-01-01 00:36:00,26465.10,2278.40,37854.70,46245.60,PEG
2021-01-01 00:37:00,26465.10,2278.40,37854.70,46245.60,PEG
2021-01-01 00:38:00,26465.10,2278.40,37854.70,46245.60,PEG
2021-01-01 00:39:00,26465.10,2278.40,37854.70,46245.60,PEG
2021-01-01 00:40:00,26465.20,2278.40,37854.70,46245.60,PEG
2021-01-01 00:41:00,26465.10,2278.40,37854.70,46245.60,PEG
2021-01-01 00:42:00,26464.90,2278.50,37854.60,46245.50,PEG
2021-01-01 00:43:00,26464.90,2278.50,37854.60,46245.40,PEG
2021-01-01 00:44:00,26464.90,2278.60,37854.60,46245.40,PEG
2021-01-01 00:45:00,26464.90,2278.50,37854.60,46245.40,PEG
2021-01-01 00:46:00,26464.90,2278.40,37854.60,46245.40,PEG
2021-01-01 00:47:00,26464.90,2278.30,37854.60,46245.40,PEG
2021-01-01 00:48:00,26464.80,2278.30,37854.60,46245.40,PEG
2021-01-01 00:49:00,26464.80,2278.30,37854.60,46245.40,PEG
2021-01-01 00:50:00,26464.90,2278.30,37854.60,46245.30,PEG
2021-01-01 00:51:00,26464.90,2278.30,37854.60,46245.40,PEG
2021-01-01 00:52:00,26465.00,2278.30,37854.60,46245.40,PEG
2021-01-01 00:53:00,26465.10,2278.30,37854.60,46245.50,PEG
2021-01-01 00:54:00,26465.10,2278.30,37854.60,46245.50,PEG
2021-01-01 00:55:00,26465.20,2278.40,37854.60,46245.50,PEG
2021-01-01 00:56:00,26465.30,2278.30,37854.60,46245.50,PEG
2021-01-01 00:57:00,26465.30,2278.40,37854.60,46245.60,PEG
2021-01-01 00:58:00,26465.30,2278.40,37854.60,46245.70,PEG
2021-01-01 00:59:00,26465.30,2278.50,37854.60,46245.70,PEG
2021-01-01 01:00:00,26465.30,2278.50,37854.60,46245.70,PEG
2021-01-01 01:01:00,26465.30,2278.50,37854.60,46245.70,PEG
2021-01-01 01:02:00,26465.30,2278.50,37854.60,46245.70,PEG
2021-01-01 01:03:00,26465.40,2278.60,37854.60,46245.70,PEG
2021-01-01 01:04:00,26465.40,2278.70,37854.60,46245.70,PEG
2021-01-01 01:05:00,26465.50,2278.80,37854.60,46245.80,PEG
2021-01-01 01:06:00,26465.60,2278.90,37854.60,46245.80,PEG
2021-01-01 01:07:00,26465.70,2278.90,37854.60,46245.90,PEG
2021-01-01 01:08:00,26465.80,2278.90,37854.60,46245.90,PEG
2021-01-01 01:09:00,26465.80,2278.90,37854.70,46246.00,PEG
2021-01-01 01:10:00,26465.90,2278.90,37854.70,46246.10,PEG
2021-01-01 01:11:00,26465.80,2279.00,37854.70,46246.10,PEG
2021-01-01 01:12:00,26465.80,2279.00,37854.70,46246.10,PEG
2021-01-01 01:13:00,26465.80,2279.00,37854.70,46246.00,PEG
2021-01-01 01:14:00,26465.80,2279.00,37854.70,46246.00,PEG
2021-01-01 01:15:00,26465.80,2278.90,37854.70,46246.00,PEG
2021-01-01 01:16:00,26465.90,2278.80,37854.70,46246.10,PEG
2021-01-01 01:17:00,26465.90,2278.80,37854.80,46246.10,PEG
2021-01-01 01:18:00,26465.90,2278.70,37854.70,46246.10,PEG
2021-01-01 01:19:00,26465.90,2278.70,37854.70,46246.10,PEG
2021-01-01 01:20:00,26466.00,2278.60,37854.80,46246.20,PEG
2021-01-01 01:21:00,26466.00,2278.60,37854.70,46246.20,PEG
2021-01-01 01:22:00,26466.10,2278.50,37854.80,46246.20,PEG
2021-01-01 01:23:00,26466.10,2278.50,37854.80,46246.20,PEG
2021-01-01 01:24:00,26466.10,2278.50,37854.80,46246.20,PEG
2021-01-01 01:25:00,26466.10,2278.50,37854.70,46246.20,PEG
2021-01-01 01:26:00,26466.20,2278.50,37854.70,46246.30,PEG
2021-01-01 01:27:00,26466.10,2278.50,37854.70,46246.30,PEG
2021-01-01 01:28:00,26466.10,2278.50,37854.70,46246.20,PEG
2021-01-01 01:29:00,26466.00,2278.50,37854.70,46246.20,PEG
2021-01-01 01:30:00,26466.00,2278.60,37854.60,46246.10,PEG
2021-01-01 01:31:00,26466.00,2278.60,37854.60,46246.10,PEG
2021-01-01 01:32:00,26466.00,2278.50,37854.60,46246.10,PEG
2021-01-01 01:33:00,26466.10,2278.40,37854.60,46246.20,PEG
2021-01-01 01:34:00,26466.10,2278.40,37854.70,46246.20,PEG
2021-01-01 01:35:00,26466.10,2278.40,37854.70,46246.20,PEG
2021-01-01 01:36:00,26466.20,2278.30,37854.70,46246.20,PEG
2021-01-01 01:37:00,26466.10,2278.30,37854.70,46246.20,PEG
2021-01-01 01:38:00,26466.10,2278.40,37854.60,46246.20,PEG
2021-01-01 01:39:00,26466.00,2278.40,37854.60,46246.10,PEG
2021-01-01 01:40:00,26466.00,2278.40,37854.60,46246.10,PEG
2021-01-01 01:41:00,26466.00,2278.50,37854.60,46246.00,PEG
2021-01-01 01:42:00,26466.00,2278.50,37854.50,46246.00,PEG
2021-01-01 01:43:00,26466.00,2278.50,37854.50,46246.00,PEG
2021-01-01 01:44:00,26466.00,2278.50,37854.50,46246.00,PEG
2021-01-01 01:45:00,26466.00,2278.40,37854.60,46246.00,PEG
2021-01-01 01:46:00,26466.00,2278.50,37854.60,46246.00,PEG
2021-01-01 01:47:00,26466.00,2278.40,37854.50,46246.00,PEG
2021-01-01 01:48:00,26466.00,2278.40,37854.50,46246.10,PEG
2021-01-01 01:49:00,26466.00,2278.30,37854.60,46246.10,PEG
2021-01-01 01:50:00,26466.00,2278.30,37854.50,46246.00,PEG
2021-01-01 01:51:00,26466.00,2278.30,37854.50,46246.00,PEG
2021-01-01 01:52:00,26466.10,2278.30,37854.50,46246.10,PEG
2021-01-01 01:53:00,26466.10,2278.30,37854.50,46246.10,PEG
2021-01-01 01:54:00,26466.10,2278.30,37854.50,46246.10,PEG
2021-01-01 01:55:00,26466.20,2278.30,37854.50,46246.10,PEG
2021-01-01 01:56:00,26466.20,2278.30,37854.50,46246.10,PEG
2021-01-01 01:57:00,26466.20,2278.30,37854.50,46246.10,PEG
2021-01-01 01:58:00,26466.10,2278.30,37854.60,46246.10,PEG
2021-01-01 01:59:00,26466.20,2278.30,37854.60,46246.10,PEG
2021-01-01 02:00:00,26466.20,2278.30,37854.60,46246.10,PEG
2021-01-01 02:01:00,26466.30,2278.20,37854.60,46246.20,PEG
2021-01-01 02:02:00,26466.40,2278.10,37854.60,46246.20,PEG
2021-01-01 02:03:00,26466.40,2278.00,37854.60,46246.20,PEG
2021-01-01 02:04:00,26466.50,2278.00,37854.60,46246.40,PEG
2021-01-01 02:05:00,26466.70,2277.90,37854.60,46246.50,PEG
2021-01-01 02:06:00,26466.70,2277.90,37854.70,46246.50,PEG
2021-01-01 02:07:00,26466.80,2277.80,37854.70,46246.60,PEG
2021-01-01 02:08:00,26466.90,2277.80,37854.70,46246.70,PEG
2021-01-01 02:09:00,26467.00,2277.70,37854.70,46246.70,PEG
2021-01-01 02:10:00,26467.10,2277.70,37854.80,46246.70,PEG
2021-01-01 02:11:00,26467.10,2277.70,37854.80,46246.70,PEG
