Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21514.71,-2478.34,47445.07,52154.29,PET
2021-01-01 00:01:00,21514.77,-2478.20,47445.11,52154.30,PET
2021-01-01 00:02:00,21514.97,-2477.99,47445.13,52154.44,PET
2021-01-01 00:03:00,21515.22,-2478.26,47445.19,52154.50,PET
2021-01-01 00:04:00,21515.99,-2478.27,47445.21,52154.87,PET
2021-01-01 00:05:00,21516.09,-2477.91,47445.24,52154.90,PET
2021-01-01 00:06:00,21514.60,-2478.30,47445.46,52154.55,PET
2021-01-01 00:07:00,21512.53,-2478.40,47445.65,52153.87,PET
2021-01-01 00:08:00,21511.06,-2478.15,47445.61,52153.16,PET
2021-01-01 00:09:00,21511.28,-2478.60,47445.42,52153.17,PET
2021-01-01 00:10:00,21512.02,-2479.40,47445.35,52153.47,PET
2021-01-01 00:11:00,21512.27,-2479.19,47445.28,52153.48,PET
2021-01-01 00:12:00,21512.53,-2478.94,47445.22,52153.54,PET
2021-01-01 00:13:00,21512.61,-2479.09,47445.21,52153.56,PET
2021-01-01 00:14:00,21512.87,-2479.54,47445.32,52153.78,PET
2021-01-01 00:15:00,21512.80,-2479.48,47445.33,52153.80,PET
2021-01-01 00:16:00,21513.01,-2479.35,47445.34,52153.83,PET
2021-01-01 00:17:00,21513.39,-2479.61,47445.37,52154.16,PET
2021-01-01 00:18:00,21513.97,-2479.77,47445.42,52154.46,PET
2021-01-01 00:19:00,21514.23,-2479.79,47445.49,52154.46,PET
2021-01-01 00:20:00,21514.20,-2479.75,47445.61,52154.58,PET
2021-01-01 00:21:00,21514.07,-2479.60,47445.62,52154.50,PET
2021-01-01 00:22:00,21513.74,-2479.45,47445.61,52154.33,PET
2021-01-01 00:23:00,21513.74,-2479.64,47445.72,52154.47,PET
2021-01-01 00:24:00,21513.41,-2479.78,47445.74,52154.38,PET
2021-01-01 00:25:00,21512.77,-2479.70,47445.74,52154.09,PET
2021-01-01 00:26:00,21512.36,-2479.62,47445.70,52153.91,PET
2021-01-01 00:27:00,21512.15,-2479.59,47445.65,52153.75,PET
2021-01-01 00:28:00,21512.35,-2479.60,47445.61,52153.78,PET
2021-01-01 00:29:00,21512.61,-2479.63,47445.53,52153.85,PET
2021-01-01 00:30:00,21512.87,-2479.74,47445.53,52153.96,PET
2021-01-01 00:31:00,21513.14,-2479.98,47445.53,52154.12,PET
2021-01-01 00:32:00,21513.30,-2480.12,47445.64,52154.20,PET
2021-01-01 00:33:00,21513.19,-2480.08,47445.67,52154.19,PET
2021-01-01 00:34:00,21513.00,-2480.05,47445.67,52154.13,PET
2021-01-01 00:35:00,21512.98,-2480.08,47445.68,52154.13,PET
2021-01-01 00:36:00,21513.01,-2480.08,47445.68,52154.13,PET
2021-01-01 00:37:00,21513.06,-2480.08,47445.66,52154.11,PET
2021-01-01 00:38:00,21513.18,-2480.17,47445.67,52154.21,PET
2021-01-01 00:39:00,21512.97,-2480.14,47445.66,52154.13,PET
2021-01-01 00:40:00,21512.80,-2480.21,47445.71,52154.09,PET
2021-01-01 00:41:00,21513.10,-2480.49,47445.75,52154.25,PET
2021-01-01 00:42:00,21513.16,-2480.57,47445.77,52154.29,PET
2021-01-01 00:43:00,21513.25,-2480.61,47445.75,52154.35,PET
2021-01-01 00:44:00,21513.26,-2480.62,47445.76,52154.36,PET
2021-01-01 00:45:00,21513.09,-2480.68,47445.77,52154.30,PET
