Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,42019.69,-1525.50,19665.67,45540.85,PHU
2021-01-01 00:01:00,42628.85,-1569.55,18910.27,45539.44,PHU
2021-01-01 00:02:00,42629.28,-1569.29,18910.57,45539.97,PHU
2021-01-01 00:03:00,42629.69,-1569.03,18910.86,45540.47,PHU
2021-01-01 00:04:00,42629.95,-1568.93,18911.01,45540.81,PHU
2021-01-01 00:05:00,42630.19,-1568.85,18911.05,45541.05,PHU
2021-01-01 00:06:00,42629.89,-1569.25,18910.90,45540.76,PHU
2021-01-01 00:07:00,42629.28,-1569.68,18910.47,45540.00,PHU
2021-01-01 00:08:00,42628.89,-1569.55,18910.45,45539.64,PHU
2021-01-01 00:09:00,42629.02,-1568.84,18910.71,45539.82,PHU
2021-01-01 00:10:00,42629.21,-1568.57,18910.98,45540.22,PHU
2021-01-01 00:11:00,42629.39,-1568.14,18911.26,45540.48,PHU
2021-01-01 00:12:00,42629.56,-1567.71,18911.52,45540.77,PHU
2021-01-01 00:13:00,42629.66,-1567.53,18911.63,45540.92,PHU
2021-01-01 00:14:00,42629.94,-1567.53,18911.88,45541.27,PHU
2021-01-01 00:15:00,42630.08,-1567.33,18912.05,45541.45,PHU
2021-01-01 00:16:00,42630.23,-1567.33,18912.29,45541.69,PHU
2021-01-01 00:17:00,42630.44,-1567.26,18912.36,45541.91,PHU
2021-01-01 00:18:00,42630.49,-1567.17,18912.46,45542.04,PHU
2021-01-01 00:19:00,42630.70,-1566.80,18912.70,45542.33,PHU
2021-01-01 00:20:00,42630.95,-1566.74,18912.92,45542.61,PHU
2021-01-01 00:21:00,42631.08,-1566.75,18913.08,45542.83,PHU
2021-01-01 00:22:00,42631.20,-1566.73,18913.15,45542.97,PHU
2021-01-01 00:23:00,42631.33,-1566.84,18913.16,45543.10,PHU
2021-01-01 00:24:00,42631.46,-1566.91,18913.20,45543.25,PHU
2021-01-01 00:25:00,42631.49,-1566.86,18913.26,45543.24,PHU
2021-01-01 00:26:00,42631.45,-1566.69,18913.36,45543.24,PHU
2021-01-01 00:27:00,42631.50,-1566.40,18913.61,45543.38,PHU
2021-01-01 00:28:00,42631.62,-1566.10,18913.89,45543.64,PHU
2021-01-01 00:29:00,42631.83,-1565.72,18914.13,45543.95,PHU
2021-01-01 00:30:00,42632.03,-1565.47,18914.33,45544.25,PHU
2021-01-01 00:31:00,42632.30,-1565.20,18914.50,45544.54,PHU
2021-01-01 00:32:00,42632.54,-1565.00,18914.72,45544.78,PHU
2021-01-01 00:33:00,42632.63,-1564.78,18914.74,45544.94,PHU
2021-01-01 00:34:00,42632.70,-1564.50,18914.87,45545.03,PHU
2021-01-01 00:35:00,42632.78,-1564.25,18915.00,45545.16,PHU
2021-01-01 00:36:00,42632.88,-1564.02,18915.12,45545.32,PHU
2021-01-01 00:37:00,42632.90,-1563.67,18915.18,45545.43,PHU
2021-01-01 00:38:00,42633.12,-1563.47,18915.36,45545.66,PHU
2021-01-01 00:39:00,42633.13,-1563.22,18915.35,45545.69,PHU
2021-01-01 00:40:00,42633.04,-1562.98,18915.35,45545.62,PHU
2021-01-01 00:41:00,42633.02,-1562.83,18915.40,45545.58,PHU
2021-01-01 00:42:00,42633.08,-1562.43,18915.56,45545.68,PHU
2021-01-01 00:43:00,42633.15,-1562.23,18915.69,45545.80,PHU
2021-01-01 00:44:00,42633.26,-1562.01,18915.68,45545.88,PHU
2021-01-01 00:45:00,42633.16,-1561.89,18915.67,45545.89,PHU
2021-01-01 00:46:00,42633.05,-1561.70,18915.70,45545.84,PHU
2021-01-01 00:47:00,42632.93,-1561.66,18915.67,45545.64,PHU
2021-01-01 00:48:00,42632.97,-1561.55,18915.65,45545.65,PHU
2021-01-01 00:49:00,42633.05,-1561.03,18915.76,45545.73,PHU
2021-01-01 00:50:00,42633.12,-1560.80,18915.78,45545.81,PHU
2021-01-01 00:51:00,42633.14,-1560.50,18915.86,45545.87,PHU
2021-01-01 00:52:00,42633.18,-1560.33,18915.90,45545.85,PHU
2021-01-01 00:53:00,42633.23,-1560.09,18915.84,45545.85,PHU
2021-01-01 00:54:00,42633.32,-1559.84,18915.81,45545.93,PHU
2021-01-01 00:55:00,42633.41,-1559.49,18915.79,45546.02,PHU
2021-01-01 00:56:00,42633.51,-1559.24,18915.89,45546.15,PHU
