Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18985.62,-1561.24,-12747.60,22630.30,PIL
2021-01-01 00:01:00,18986.02,-1561.16,-12747.70,22630.60,PIL
2021-01-01 00:02:00,18986.23,-1561.12,-12747.70,22630.90,PIL
2021-01-01 00:03:00,18986.73,-1561.10,-12747.70,22631.20,PIL
2021-01-01 00:04:00,18987.15,-1560.92,-12747.80,22631.50,PIL
2021-01-01 00:05:00,18987.35,-1560.88,-12747.70,22631.70,PIL
2021-01-01 00:06:00,18987.36,-1560.82,-12747.80,22631.70,PIL
2021-01-01 00:07:00,18987.34,-1560.99,-12747.70,22631.70,PIL
2021-01-01 00:08:00,18987.33,-1561.15,-12747.60,22631.60,PIL
2021-01-01 00:09:00,18987.11,-1561.41,-12747.60,22631.40,PIL
2021-01-01 00:10:00,18986.79,-1561.61,-12747.60,22631.20,PIL
2021-01-01 00:11:00,18986.58,-1561.70,-12747.60,22631.10,PIL
2021-01-01 00:12:00,18986.68,-1561.71,-12747.30,22631.00,PIL
2021-01-01 00:13:00,18986.68,-1561.77,-12747.40,22631.00,PIL
2021-01-01 00:14:00,18986.99,-1561.63,-12747.40,22631.20,PIL
2021-01-01 00:15:00,18987.09,-1561.58,-12747.40,22631.30,PIL
2021-01-01 00:16:00,18987.10,-1561.52,-12747.40,22631.30,PIL
2021-01-01 00:17:00,18987.29,-1561.65,-12747.30,22631.40,PIL
2021-01-01 00:18:00,18987.21,-1561.42,-12747.40,22631.40,PIL
2021-01-01 00:19:00,18987.32,-1561.26,-12747.20,22631.40,PIL
2021-01-01 00:20:00,18987.33,-1561.15,-12747.20,22631.40,PIL
2021-01-01 00:21:00,18987.41,-1561.33,-12747.10,22631.40,PIL
2021-01-01 00:22:00,18987.53,-1561.17,-12747.20,22631.50,PIL
2021-01-01 00:23:00,18987.44,-1561.00,-12747.10,22631.60,PIL
2021-01-01 00:24:00,18987.86,-1560.75,-12747.10,22631.80,PIL
2021-01-01 00:25:00,18987.98,-1560.54,-12747.10,22631.90,PIL
2021-01-01 00:26:00,18988.36,-1560.79,-12747.00,22632.10,PIL
2021-01-01 00:27:00,18988.45,-1560.97,-12746.80,22632.10,PIL
2021-01-01 00:28:00,18988.45,-1560.91,-12746.90,22632.00,PIL
2021-01-01 00:29:00,18988.36,-1560.85,-12746.90,22631.90,PIL
2021-01-01 00:30:00,18988.26,-1560.84,-12746.80,22631.90,PIL
2021-01-01 00:31:00,18988.25,-1560.90,-12746.60,22631.70,PIL
2021-01-01 00:32:00,18988.27,-1560.68,-12746.50,22631.70,PIL
2021-01-01 00:33:00,18988.48,-1560.58,-12746.40,22631.80,PIL
2021-01-01 00:34:00,18988.57,-1560.70,-12746.10,22631.80,PIL
2021-01-01 00:35:00,18988.58,-1560.53,-12746.20,22631.80,PIL
2021-01-01 00:36:00,18988.59,-1560.42,-12746.10,22631.80,PIL
2021-01-01 00:37:00,18988.67,-1560.65,-12746.00,22631.70,PIL
2021-01-01 00:38:00,18988.69,-1560.43,-12746.10,22631.80,PIL
2021-01-01 00:39:00,18988.68,-1560.54,-12746.00,22631.80,PIL
2021-01-01 00:40:00,18988.58,-1560.53,-12746.00,22631.60,PIL
2021-01-01 00:41:00,18988.29,-1560.45,-12746.00,22631.40,PIL
2021-01-01 00:42:00,18988.11,-1560.22,-12745.80,22631.20,PIL
2021-01-01 00:43:00,18987.91,-1560.15,-12745.70,22631.10,PIL
2021-01-01 00:44:00,18988.12,-1560.00,-12745.60,22631.10,PIL
2021-01-01 00:45:00,18988.23,-1559.95,-12745.70,22631.20,PIL
2021-01-01 00:46:00,18988.24,-1559.78,-12745.60,22631.20,PIL
2021-01-01 00:47:00,18988.05,-1559.66,-12745.60,22631.10,PIL
2021-01-01 00:48:00,18987.88,-1559.36,-12745.60,22631.00,PIL
2021-01-01 00:49:00,18987.97,-1559.48,-12745.60,22631.00,PIL
