Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,29193.97,5937.36,-18832.66,35245.48,PPT
2021-01-01 00:01:00,29194.11,5937.24,-18832.92,35245.69,PPT
2021-01-01 00:02:00,29194.35,5937.17,-18833.15,35245.99,PPT
2021-01-01 00:03:00,29194.49,5937.16,-18833.25,35246.15,PPT
2021-01-01 00:04:00,29194.55,5937.24,-18833.24,35246.22,PPT
2021-01-01 00:05:00,29194.53,5937.27,-18833.24,35246.22,PPT
2021-01-01 00:06:00,29194.17,5937.54,-18832.83,35245.78,PPT
2021-01-01 00:07:00,29193.70,5937.51,-18832.70,35245.31,PPT
2021-01-01 00:08:00,29193.37,5937.42,-18832.76,35245.05,PPT
2021-01-01 00:09:00,29193.03,5937.16,-18832.83,35244.76,PPT
2021-01-01 00:10:00,29192.83,5936.93,-18832.99,35244.65,PPT
2021-01-01 00:11:00,29192.70,5936.73,-18833.15,35244.56,PPT
2021-01-01 00:12:00,99999.00,99999.00,99999.00,99999.00,PPT
2021-01-01 00:13:00,99999.00,99999.00,99999.00,99999.00,PPT
2021-01-01 00:14:00,29192.33,5936.82,-18833.40,35244.41,PPT
2021-01-01 00:15:00,29192.49,5936.77,-18833.47,35244.59,PPT
2021-01-01 00:16:00,29192.38,5936.84,-18833.47,35244.47,PPT
2021-01-01 00:17:00,29192.34,5936.84,-18833.53,35244.50,PPT
2021-01-01 00:18:00,29192.15,5936.90,-18833.48,35244.32,PPT
2021-01-01 00:19:00,29192.04,5937.01,-18833.58,35244.33,PPT
2021-01-01 00:20:00,29191.93,5937.01,-18833.55,35244.21,PPT
2021-01-01 00:21:00,29191.85,5937.18,-18833.61,35244.20,PPT
2021-01-01 00:22:00,29191.71,5937.26,-18833.65,35244.11,PPT
2021-01-01 00:23:00,29191.56,5937.32,-18833.56,35243.95,PPT
2021-01-01 00:24:00,29191.43,5937.40,-18833.59,35243.85,PPT
2021-01-01 00:25:00,29191.28,5937.57,-18833.56,35243.73,PPT
2021-01-01 00:26:00,29191.18,5937.60,-18833.63,35243.72,PPT
2021-01-01 00:27:00,29190.97,5937.55,-18833.75,35243.59,PPT
2021-01-01 00:28:00,29190.82,5937.41,-18833.91,35243.53,PPT
2021-01-01 00:29:00,29190.66,5937.24,-18834.08,35243.47,PPT
2021-01-01 00:30:00,29190.56,5937.00,-18834.31,35243.43,PPT
2021-01-01 00:31:00,29190.42,5936.79,-18834.48,35243.38,PPT
2021-01-01 00:32:00,29190.27,5936.65,-18834.63,35243.31,PPT
2021-01-01 00:33:00,29190.17,5936.49,-18834.78,35243.30,PPT
2021-01-01 00:34:00,29190.03,5936.42,-18834.84,35243.20,PPT
2021-01-01 00:35:00,29189.89,5936.23,-18835.03,35243.16,PPT
2021-01-01 00:36:00,29189.78,5936.04,-18835.23,35243.11,PPT
2021-01-01 00:37:00,29189.68,5935.88,-18835.37,35243.10,PPT
2021-01-01 00:38:00,29189.59,5935.73,-18835.61,35243.13,PPT
2021-01-01 00:39:00,29189.49,5935.58,-18835.80,35243.10,PPT
2021-01-01 00:40:00,29189.19,5935.39,-18835.90,35242.90,PPT
2021-01-01 00:41:00,29188.88,5934.97,-18836.20,35242.72,PPT
2021-01-01 00:42:00,29188.73,5934.64,-18836.52,35242.71,PPT
2021-01-01 00:43:00,29188.63,5934.44,-18836.79,35242.73,PPT
2021-01-01 00:44:00,29188.61,5934.19,-18837.07,35242.82,PPT
2021-01-01 00:45:00,29188.55,5934.07,-18837.27,35242.85,PPT
2021-01-01 00:46:00,29188.45,5934.02,-18837.48,35242.87,PPT
2021-01-01 00:47:00,29188.17,5933.67,-18837.68,35242.68,PPT
