Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,17936.23,796.39,-21581.40,28073.10,PST
2021-01-01 00:01:00,17936.42,796.61,-21581.40,28073.20,PST
2021-01-01 00:02:00,17936.71,796.83,-21581.40,28073.40,PST
2021-01-01 00:03:00,17937.00,797.10,-21581.50,28073.60,PST
2021-01-01 00:04:00,17937.19,797.32,-21581.50,28073.80,PST
2021-01-01 00:05:00,17937.48,797.54,-21581.40,28073.90,PST
2021-01-01 00:06:00,17937.77,797.66,-21581.40,28074.10,PST
2021-01-01 00:07:00,17937.78,797.45,-21581.30,28074.00,PST
2021-01-01 00:08:00,17937.89,797.25,-21581.20,28074.00,PST
2021-01-01 00:09:00,17937.90,797.09,-21581.10,28073.90,PST
2021-01-01 00:10:00,17937.50,796.97,-21581.30,28073.80,PST
2021-01-01 00:11:00,17937.30,796.96,-21581.50,28073.80,PST
2021-01-01 00:12:00,17937.40,796.97,-21581.50,28073.90,PST
2021-01-01 00:13:00,17937.50,796.97,-21581.70,28074.10,PST
2021-01-01 00:14:00,17937.50,797.02,-21581.60,28074.00,PST
2021-01-01 00:15:00,17937.80,797.14,-21581.60,28074.20,PST
2021-01-01 00:16:00,17937.79,797.24,-21581.70,28074.30,PST
2021-01-01 00:17:00,17937.99,797.36,-21581.80,28074.50,PST
2021-01-01 00:18:00,17938.08,797.57,-21581.90,28074.60,PST
2021-01-01 00:19:00,17938.07,797.68,-21582.00,28074.70,PST
2021-01-01 00:20:00,17938.07,797.68,-21582.10,28074.80,PST
2021-01-01 00:21:00,17938.27,797.79,-21582.20,28075.00,PST
2021-01-01 00:22:00,17938.46,798.01,-21582.30,28075.20,PST
2021-01-01 00:23:00,17938.55,798.22,-21582.40,28075.30,PST
2021-01-01 00:24:00,17938.74,798.33,-21582.40,28075.50,PST
2021-01-01 00:25:00,17938.94,798.34,-21582.30,28075.50,PST
2021-01-01 00:26:00,17939.34,798.36,-21582.20,28075.70,PST
2021-01-01 00:27:00,17939.55,798.16,-21582.00,28075.70,PST
2021-01-01 00:28:00,17939.64,798.37,-21582.20,28075.90,PST
2021-01-01 00:29:00,17939.85,798.28,-21582.40,28076.20,PST
2021-01-01 00:30:00,17939.65,798.27,-21582.30,28076.00,PST
2021-01-01 00:31:00,17939.75,798.27,-21582.30,28076.00,PST
2021-01-01 00:32:00,17939.85,798.17,-21582.30,28076.10,PST
2021-01-01 00:33:00,17940.05,798.18,-21582.20,28076.20,PST
2021-01-01 00:34:00,17940.35,798.19,-21582.20,28076.30,PST
2021-01-01 00:35:00,17940.55,798.20,-21582.40,28076.60,PST
2021-01-01 00:36:00,17940.55,798.20,-21582.40,28076.60,PST
2021-01-01 00:37:00,17940.76,798.11,-21582.30,28076.70,PST
2021-01-01 00:38:00,17940.96,798.12,-21582.30,28076.80,PST
2021-01-01 00:39:00,17941.16,798.02,-21582.20,28076.90,PST
2021-01-01 00:40:00,17941.07,797.91,-21582.10,28076.70,PST
2021-01-01 00:41:00,17940.77,797.90,-21582.20,28076.60,PST
2021-01-01 00:42:00,17940.67,797.89,-21582.20,28076.50,PST
2021-01-01 00:43:00,17940.56,797.99,-21582.30,28076.60,PST
2021-01-01 00:44:00,17940.76,798.00,-21582.30,28076.70,PST
2021-01-01 00:45:00,17940.86,798.11,-21582.20,28076.70,PST
2021-01-01 00:46:00,17940.95,798.22,-21582.10,28076.70,PST
2021-01-01 00:47:00,17940.85,798.22,-21582.10,28076.60,PST
2021-01-01 00:48:00,17940.64,798.52,-21582.20,28076.50,PST
2021-01-01 00:49:00,17940.74,798.42,-21582.10,28076.50,PST
2021-01-01 00:50:00,17940.84,798.53,-21581.90,28076.40,PST
2021-01-01 00:51:00,17940.74,798.42,-21581.80,28076.30,PST
2021-01-01 00:52:00,17940.84,798.53,-21581.60,28076.20,PST
2021-01-01 00:53:00,17940.84,798.53,-21581.50,28076.10,PST
2021-01-01 00:54:00,17940.73,798.63,-21581.40,28076.10,PST
2021-01-01 00:55:00,17940.73,798.73,-21581.20,28075.90,PST
2021-01-01 00:56:00,17940.83,798.74,-21581.00,28075.80,PST
2021-01-01 00:57:00,17940.92,798.85,-21580.90,28075.80,PST
2021-01-01 00:58:00,17940.92,799.00,-21580.70,28075.60,PST
2021-01-01 00:59:00,17940.82,798.95,-21580.60,28075.50,PST
2021-01-01 01:00:00,17940.82,799.00,-21580.50,28075.40,PST
2021-01-01 01:01:00,17940.81,799.21,-21580.30,28075.30,PST
2021-01-01 01:02:00,17940.70,799.41,-21580.30,28075.20,PST
2021-01-01 01:03:00,17940.79,799.52,-21580.20,28075.20,PST
2021-01-01 01:04:00,17940.79,799.52,-21580.00,28075.00,PST
2021-01-01 01:05:00,17940.59,799.62,-21580.00,28074.90,PST
2021-01-01 01:06:00,17940.49,799.61,-21580.00,28074.80,PST
2021-01-01 01:07:00,17940.58,799.72,-21580.00,28074.90,PST
2021-01-01 01:08:00,17940.58,799.72,-21579.80,28074.80,PST
2021-01-01 01:09:00,17940.58,799.83,-21579.80,28074.80,PST
2021-01-01 01:10:00,17940.48,799.82,-21579.80,28074.70,PST
2021-01-01 01:11:00,17940.38,799.82,-21579.90,28074.70,PST
2021-01-01 01:12:00,17940.28,799.81,-21579.80,28074.60,PST
2021-01-01 01:13:00,17940.18,799.81,-21579.80,28074.50,PST
2021-01-01 01:14:00,17940.18,799.91,-21579.90,28074.60,PST
2021-01-01 01:15:00,17940.18,799.91,-21579.90,28074.60,PST
2021-01-01 01:16:00,17940.37,800.03,-21579.80,28074.60,PST
2021-01-01 01:17:00,17940.47,800.08,-21579.80,28074.70,PST
2021-01-01 01:18:00,17940.56,800.19,-21579.80,28074.70,PST
2021-01-01 01:19:00,17940.65,800.40,-21579.80,28074.80,PST
2021-01-01 01:20:00,17940.75,800.51,-21579.80,28074.90,PST
2021-01-01 01:21:00,17940.74,800.72,-21579.90,28075.00,PST
2021-01-01 01:22:00,17940.64,800.72,-21579.80,28074.80,PST
2021-01-01 01:23:00,17940.64,800.72,-21579.90,28074.90,PST
2021-01-01 01:24:00,17940.54,800.82,-21580.00,28074.90,PST
2021-01-01 01:25:00,17940.44,800.81,-21580.00,28074.80,PST
2021-01-01 01:26:00,17940.45,800.60,-21580.00,28074.80,PST
2021-01-01 01:27:00,17940.35,800.50,-21579.90,28074.70,PST
2021-01-01 01:28:00,17940.15,800.38,-21579.90,28074.60,PST
2021-01-01 01:29:00,17940.06,800.27,-21580.00,28074.60,PST
2021-01-01 01:30:00,17940.06,800.17,-21580.00,28074.60,PST
2021-01-01 01:31:00,17940.16,800.28,-21580.00,28074.60,PST
2021-01-01 01:32:00,17940.36,800.29,-21579.90,28074.70,PST
2021-01-01 01:33:00,17940.46,800.29,-21579.90,28074.80,PST
2021-01-01 01:34:00,17940.36,800.29,-21579.80,28074.60,PST
2021-01-01 01:35:00,17940.56,800.19,-21579.80,28074.70,PST
2021-01-01 01:36:00,17940.66,800.20,-21579.70,28074.70,PST
2021-01-01 01:37:00,17940.76,800.30,-21579.70,28074.80,PST
2021-01-01 01:38:00,17940.76,800.30,-21579.70,28074.80,PST
2021-01-01 01:39:00,17940.75,800.41,-21579.80,28074.90,PST
2021-01-01 01:40:00,17940.75,800.51,-21579.90,28075.00,PST
2021-01-01 01:41:00,17940.74,800.62,-21579.90,28075.00,PST
2021-01-01 01:42:00,17940.64,800.61,-21580.00,28075.00,PST
2021-01-01 01:43:00,17940.74,800.62,-21580.00,28075.00,PST
2021-01-01 01:44:00,17940.64,800.72,-21580.10,28075.00,PST
2021-01-01 01:45:00,17940.74,800.72,-21580.20,28075.20,PST
2021-01-01 01:46:00,17940.74,800.62,-21580.20,28075.20,PST
2021-01-01 01:47:00,17940.74,800.72,-21580.30,28075.30,PST
2021-01-01 01:48:00,17940.74,800.72,-21580.30,28075.30,PST
2021-01-01 01:49:00,17940.64,800.72,-21580.40,28075.30,PST
2021-01-01 01:50:00,17940.54,800.71,-21580.50,28075.30,PST
2021-01-01 01:51:00,17940.54,800.71,-21580.60,28075.40,PST
2021-01-01 01:52:00,17940.74,800.83,-21580.70,28075.60,PST
2021-01-01 01:53:00,17940.74,800.72,-21580.70,28075.60,PST
2021-01-01 01:54:00,17940.74,800.72,-21580.80,28075.60,PST
2021-01-01 01:55:00,17940.84,800.73,-21580.80,28075.70,PST
2021-01-01 01:56:00,17940.84,800.73,-21580.80,28075.70,PST
2021-01-01 01:57:00,17940.74,800.72,-21580.80,28075.60,PST
2021-01-01 01:58:00,17940.64,800.61,-21580.80,28075.60,PST
2021-01-01 01:59:00,17940.55,800.50,-21580.90,28075.60,PST
2021-01-01 02:00:00,17940.64,800.61,-21581.00,28075.70,PST
2021-01-01 02:01:00,17940.84,800.62,-21580.90,28075.80,PST
2021-01-01 02:02:00,17940.95,800.63,-21581.00,28075.90,PST
2021-01-01 02:03:00,17941.04,800.63,-21580.90,28075.90,PST
