Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,2862.20,-935.48,57393.97,57472.98,RES
2021-01-01 00:01:00,2864.56,-935.56,57394.83,57474.02,RES
2021-01-01 00:02:00,2863.99,-934.09,57394.67,57473.81,RES
2021-01-01 00:03:00,2862.26,-933.72,57393.93,57472.93,RES
2021-01-01 00:04:00,2859.55,-931.68,57393.14,57471.89,RES
2021-01-01 00:05:00,2855.89,-929.70,57392.07,57470.61,RES
2021-01-01 00:06:00,2853.56,-927.91,57391.76,57470.16,RES
2021-01-01 00:07:00,2856.52,-931.09,57393.57,57472.21,RES
2021-01-01 00:08:00,2862.88,-937.12,57396.50,57475.65,RES
2021-01-01 00:09:00,2864.99,-940.56,57397.40,57476.76,RES
2021-01-01 00:10:00,2864.66,-940.55,57397.33,57476.66,RES
2021-01-01 00:11:00,2863.30,-939.35,57396.81,57476.08,RES
2021-01-01 00:12:00,2862.51,-939.11,57396.35,57475.60,RES
2021-01-01 00:13:00,2861.09,-938.41,57395.61,57474.74,RES
2021-01-01 00:14:00,2860.77,-937.43,57395.25,57474.37,RES
2021-01-01 00:15:00,2861.34,-937.24,57394.95,57474.09,RES
2021-01-01 00:16:00,2860.07,-936.02,57393.88,57472.90,RES
2021-01-01 00:17:00,2857.89,-934.56,57392.50,57471.31,RES
2021-01-01 00:18:00,2856.50,-933.13,57391.75,57470.45,RES
2021-01-01 00:19:00,2857.21,-932.08,57392.29,57471.00,RES
2021-01-01 00:20:00,2856.95,-931.61,57392.58,57471.30,RES
2021-01-01 00:21:00,2856.85,-930.76,57393.13,57471.82,RES
2021-01-01 00:22:00,2857.08,-928.75,57393.73,57472.44,RES
2021-01-01 00:23:00,2857.40,-925.30,57394.17,57472.88,RES
2021-01-01 00:24:00,2858.76,-922.93,57394.81,57473.59,RES
2021-01-01 00:25:00,2860.90,-923.06,57395.41,57474.32,RES
2021-01-01 00:26:00,2862.60,-924.99,57395.65,57474.66,RES
2021-01-01 00:27:00,2862.10,-927.01,57395.16,57474.18,RES
2021-01-01 00:28:00,2860.86,-928.58,57394.52,57473.47,RES
2021-01-01 00:29:00,2860.34,-929.36,57394.32,57473.21,RES
2021-01-01 00:30:00,2860.36,-929.68,57394.51,57473.43,RES
2021-01-01 00:31:00,2860.28,-929.67,57394.63,57473.56,RES
