Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,-10363.69,5599.30,-64991.15,66036.13,SBA
2021-01-01 00:01:00,-10362.68,5599.45,-64992.19,66037.24,SBA
2021-01-01 00:02:00,-10363.29,5599.59,-64993.18,66038.22,SBA
2021-01-01 00:03:00,-10364.74,5597.92,-64994.21,66039.02,SBA
2021-01-01 00:04:00,-10364.39,5595.62,-64994.63,66039.20,SBA
2021-01-01 00:05:00,-10366.55,5593.30,-64995.98,66041.01,SBA
2021-01-01 00:06:00,-10368.56,5590.37,-64997.88,66042.85,SBA
2021-01-01 00:07:00,-10368.88,5587.78,-64999.02,66043.33,SBA
2021-01-01 00:08:00,-10369.66,5585.92,-64999.92,66044.61,SBA
2021-01-01 00:09:00,-10369.50,5585.26,-65000.64,66044.24,SBA
2021-01-01 00:10:00,-10365.84,5589.30,-64998.80,66042.03,SBA
2021-01-01 00:11:00,-10362.17,5592.59,-64997.11,66040.55,SBA
2021-01-01 00:12:00,-10360.40,5597.61,-64996.05,66040.47,SBA
2021-01-01 00:13:00,-10362.41,5597.70,-64996.86,66041.83,SBA
2021-01-01 00:14:00,-10364.65,5593.90,-64998.24,66043.42,SBA
2021-01-01 00:15:00,-10368.85,5588.48,-65000.41,66045.16,SBA
2021-01-01 00:16:00,-10371.04,5584.05,-65001.21,66045.56,SBA
2021-01-01 00:17:00,-10370.94,5580.90,-65000.56,66044.43,SBA
2021-01-01 00:18:00,-10370.16,5579.18,-64999.91,66043.15,SBA
2021-01-01 00:19:00,-10368.61,5578.48,-64998.79,66041.75,SBA
2021-01-01 00:20:00,-10365.28,5580.13,-64996.99,66039.64,SBA
2021-01-01 00:21:00,-10361.55,5583.42,-64995.32,66037.61,SBA
2021-01-01 00:22:00,-10357.41,5586.39,-64993.86,66036.62,SBA
2021-01-01 00:23:00,-10356.15,5588.17,-64994.44,66037.15,SBA
2021-01-01 00:24:00,-10355.21,5589.56,-64994.87,66037.34,SBA
2021-01-01 00:25:00,-10355.00,5589.81,-64995.77,66038.94,SBA
2021-01-01 00:26:00,-10356.67,5589.57,-64998.00,66040.42,SBA
2021-01-01 00:27:00,-10354.82,5588.85,-64998.33,66040.24,SBA
2021-01-01 00:28:00,-10353.65,5589.33,-64999.08,66041.08,SBA
2021-01-01 00:29:00,-10352.06,5590.33,-64999.73,66041.45,SBA
2021-01-01 00:30:00,-10351.24,5593.45,-65000.38,66042.28,SBA
2021-01-01 00:31:00,-10351.18,5596.50,-65001.08,66043.57,SBA
2021-01-01 00:32:00,-10352.00,5598.76,-65002.28,66045.00,SBA
2021-01-01 00:33:00,-10352.20,5600.32,-65003.20,66046.01,SBA
2021-01-01 00:34:00,-10352.07,5600.63,-65003.83,66046.41,SBA
2021-01-01 00:35:00,-10350.28,5600.64,-65003.66,66045.77,SBA
2021-01-01 00:36:00,-10348.41,5601.86,-65003.33,66045.36,SBA
2021-01-01 00:37:00,-10346.84,5601.99,-65003.29,66045.27,SBA
2021-01-01 00:38:00,-10346.51,5601.39,-65004.06,66046.16,SBA
2021-01-01 00:39:00,-10346.59,5600.82,-65004.98,66046.76,SBA
2021-01-01 00:40:00,-10346.24,5600.12,-65005.30,66046.54,SBA
2021-01-01 00:41:00,-10343.17,5601.99,-65004.03,66044.95,SBA
2021-01-01 00:42:00,-10340.81,5604.14,-65003.10,66044.16,SBA
2021-01-01 00:43:00,-10340.33,5606.76,-65002.97,66044.45,SBA
2021-01-01 00:44:00,-10340.67,5608.57,-65003.07,66044.70,SBA
2021-01-01 00:45:00,-10341.48,5609.09,-65003.20,66044.88,SBA
2021-01-01 00:46:00,-10341.91,5608.08,-65003.08,66044.62,SBA
2021-01-01 00:47:00,-10341.36,5608.45,-65002.37,66043.84,SBA
2021-01-01 00:48:00,-10340.60,5611.28,-65001.44,66043.09,SBA
2021-01-01 00:49:00,-10339.65,5613.54,-65000.85,66042.86,SBA
2021-01-01 00:50:00,-10339.40,5616.25,-65000.77,66042.74,SBA
2021-01-01 00:51:00,-10338.31,5617.85,-65000.40,66042.70,SBA
2021-01-01 00:52:00,-10338.58,5618.63,-65000.66,66042.98,SBA
2021-01-01 00:53:00,-10338.84,5619.50,-65000.80,66043.12,SBA
2021-01-01 00:54:00,-10337.97,5620.59,-64999.93,66042.53,SBA
2021-01-01 00:55:00,-10337.22,5620.94,-64999.51,66042.12,SBA
2021-01-01 00:56:00,-10336.67,5620.90,-64999.23,66041.70,SBA
2021-01-01 00:57:00,-10335.90,5620.60,-64998.88,66041.17,SBA
2021-01-01 00:58:00,-10335.36,5619.81,-64998.70,66041.08,SBA
2021-01-01 00:59:00,-10335.48,5619.78,-64998.86,66041.21,SBA
2021-01-01 01:00:00,-10336.75,5620.97,-64998.88,66041.49,SBA
2021-01-01 01:01:00,-10338.43,5621.20,-64998.75,66041.78,SBA
2021-01-01 01:02:00,-10339.71,5620.62,-64998.65,66041.80,SBA
2021-01-01 01:03:00,-10340.46,5620.46,-64998.42,66041.45,SBA
2021-01-01 01:04:00,-10340.20,5620.25,-64997.89,66040.82,SBA
2021-01-01 01:05:00,-10338.43,5620.71,-64996.95,66039.54,SBA
2021-01-01 01:06:00,-10335.74,5622.26,-64995.85,66038.30,SBA
2021-01-01 01:07:00,-10334.38,5623.00,-64995.87,66038.27,SBA
2021-01-01 01:08:00,-10334.10,5623.47,-64996.04,66038.05,SBA
2021-01-01 01:09:00,-10333.25,5624.07,-64995.59,66037.58,SBA
2021-01-01 01:10:00,-10332.46,5624.68,-64995.46,66037.71,SBA
2021-01-01 01:11:00,-10332.19,5625.30,-64996.12,66038.46,SBA
2021-01-01 01:12:00,-10332.88,5626.31,-64997.49,66040.38,SBA
2021-01-01 01:13:00,-10334.49,5626.68,-64999.37,66042.29,SBA
2021-01-01 01:14:00,-10336.02,5626.58,-65000.56,66043.55,SBA
2021-01-01 01:15:00,-10338.03,5626.75,-65000.85,66043.81,SBA
