Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20147.00,-6128.87,45754.40,50367.90,SBL
2021-01-01 00:01:00,20147.24,-6128.76,45754.40,50368.00,SBL
2021-01-01 00:02:00,20147.44,-6129.14,45754.40,50368.10,SBL
2021-01-01 00:03:00,20147.45,-6129.46,45754.40,50368.20,SBL
2021-01-01 00:04:00,20147.35,-6129.11,45754.40,50368.10,SBL
2021-01-01 00:05:00,20147.44,-6129.14,45754.50,50368.20,SBL
2021-01-01 00:06:00,20147.78,-6128.73,45754.40,50368.20,SBL
2021-01-01 00:07:00,20148.62,-6128.34,45754.40,50368.50,SBL
2021-01-01 00:08:00,20149.48,-6128.28,45754.40,50368.80,SBL
2021-01-01 00:09:00,20149.67,-6128.34,45754.40,50368.90,SBL
2021-01-01 00:10:00,20149.10,-6128.17,45754.30,50368.60,SBL
2021-01-01 00:11:00,20148.62,-6128.34,45754.40,50368.50,SBL
2021-01-01 00:12:00,20148.40,-6128.40,45754.30,50368.30,SBL
2021-01-01 00:13:00,20147.82,-6128.23,45754.30,50368.00,SBL
2021-01-01 00:14:00,20147.61,-6127.91,45754.30,50367.90,SBL
2021-01-01 00:15:00,20147.73,-6128.20,45754.30,50368.00,SBL
2021-01-01 00:16:00,20147.57,-6128.02,45754.40,50368.00,SBL
2021-01-01 00:17:00,20147.54,-6128.14,45754.30,50367.90,SBL
2021-01-01 00:18:00,20147.67,-6128.05,45754.30,50368.00,SBL
2021-01-01 00:19:00,20147.28,-6127.94,45754.30,50367.80,SBL
2021-01-01 00:20:00,20147.28,-6127.94,45754.30,50367.80,SBL
2021-01-01 00:21:00,20147.09,-6127.88,45754.30,50367.70,SBL
2021-01-01 00:22:00,20146.86,-6127.61,45754.30,50367.60,SBL
2021-01-01 00:23:00,20146.79,-6127.15,45754.30,50367.50,SBL
2021-01-01 00:24:00,20146.92,-6127.06,45754.30,50367.50,SBL
2021-01-01 00:25:00,20147.36,-6127.00,45754.30,50367.70,SBL
2021-01-01 00:26:00,20147.96,-6127.44,45754.20,50367.90,SBL
2021-01-01 00:27:00,20148.43,-6127.96,45754.20,50368.20,SBL
2021-01-01 00:28:00,20148.20,-6128.02,45754.20,50368.10,SBL
2021-01-01 00:29:00,20148.04,-6127.85,45754.20,50368.00,SBL
2021-01-01 00:30:00,20147.76,-6127.76,45754.20,50367.90,SBL
2021-01-01 00:31:00,20147.43,-6127.47,45754.20,50367.70,SBL
2021-01-01 00:32:00,20147.27,-6127.29,45754.20,50367.60,SBL
2021-01-01 00:33:00,20147.40,-6127.20,45754.20,50367.70,SBL
2021-01-01 00:34:00,20147.52,-6127.17,45754.20,50367.70,SBL
2021-01-01 00:35:00,20147.61,-6127.20,45754.20,50367.80,SBL
2021-01-01 00:36:00,20147.56,-6127.38,45754.10,50367.70,SBL
2021-01-01 00:37:00,20147.70,-6127.61,45754.10,50367.70,SBL
2021-01-01 00:38:00,20147.60,-6127.58,45754.10,50367.70,SBL
2021-01-01 00:39:00,20147.66,-6127.73,45754.10,50367.70,SBL
2021-01-01 00:40:00,20147.66,-6127.73,45754.10,50367.70,SBL
2021-01-01 00:41:00,20147.22,-6127.47,45754.10,50367.50,SBL
2021-01-01 00:42:00,20147.03,-6127.41,45754.10,50367.40,SBL
2021-01-01 00:43:00,20146.83,-6127.35,45754.10,50367.40,SBL
2021-01-01 00:44:00,20146.83,-6127.35,45754.00,50367.30,SBL
2021-01-01 00:45:00,20147.04,-6127.35,45754.10,50367.40,SBL
2021-01-01 00:46:00,20147.02,-6127.09,45754.10,50367.40,SBL
2021-01-01 00:47:00,20147.04,-6127.03,45754.00,50367.30,SBL
2021-01-01 00:48:00,20146.65,-6126.59,45754.00,50367.10,SBL
2021-01-01 00:49:00,20147.04,-6127.03,45753.90,50367.20,SBL
2021-01-01 00:50:00,20147.04,-6127.03,45754.00,50367.30,SBL
2021-01-01 00:51:00,20147.17,-6126.94,45754.00,50367.40,SBL
2021-01-01 00:52:00,20147.23,-6127.09,45754.00,50367.40,SBL
2021-01-01 00:53:00,20147.27,-6126.97,45754.00,50367.40,SBL
2021-01-01 00:54:00,20147.19,-6126.88,45753.90,50367.30,SBL
2021-01-01 00:55:00,20147.32,-6126.79,45754.00,50367.40,SBL
2021-01-01 00:56:00,20147.45,-6126.71,45753.90,50367.40,SBL
2021-01-01 00:57:00,20147.51,-6126.85,45753.90,50367.40,SBL
2021-01-01 00:58:00,20147.51,-6126.85,45753.90,50367.40,SBL
2021-01-01 00:59:00,20147.70,-6126.91,45753.90,50367.50,SBL
2021-01-01 01:00:00,20147.83,-6126.82,45753.90,50367.50,SBL
2021-01-01 01:01:00,20147.74,-6126.79,45753.80,50367.40,SBL
2021-01-01 01:02:00,20147.75,-6126.73,45753.80,50367.40,SBL
2021-01-01 01:03:00,20147.75,-6126.73,45753.80,50367.40,SBL
2021-01-01 01:04:00,20147.66,-6126.70,45753.80,50367.30,SBL
2021-01-01 01:05:00,20147.64,-6126.76,45753.80,50367.30,SBL
2021-01-01 01:06:00,20147.60,-6126.56,45753.80,50367.30,SBL
2021-01-01 01:07:00,20147.63,-6126.44,45753.70,50367.20,SBL
2021-01-01 01:08:00,20147.54,-6126.41,45753.70,50367.20,SBL
2021-01-01 01:09:00,20147.56,-6126.35,45753.60,50367.10,SBL
2021-01-01 01:10:00,20147.59,-6126.24,45753.60,50367.10,SBL
2021-01-01 01:11:00,20147.42,-6126.12,45753.60,50367.00,SBL
2021-01-01 01:12:00,20147.42,-6126.12,45753.60,50367.00,SBL
2021-01-01 01:13:00,20147.36,-6125.97,45753.50,50366.90,SBL
2021-01-01 01:14:00,20147.30,-6125.83,45753.50,50366.80,SBL
2021-01-01 01:15:00,20147.35,-6125.65,45753.50,50366.80,SBL
2021-01-01 01:16:00,20147.50,-6125.50,45753.40,50366.80,SBL
2021-01-01 01:17:00,20147.50,-6125.50,45753.40,50366.80,SBL
2021-01-01 01:18:00,20147.67,-6125.30,45753.30,50366.70,SBL
2021-01-01 01:19:00,20147.48,-6125.24,45753.30,50366.60,SBL
2021-01-01 01:20:00,20147.43,-6125.04,45753.30,50366.60,SBL
2021-01-01 01:21:00,20147.29,-6124.80,45753.30,50366.50,SBL
2021-01-01 01:22:00,20147.33,-6124.68,45753.20,50366.40,SBL
2021-01-01 01:23:00,20147.29,-6124.48,45753.20,50366.40,SBL
2021-01-01 01:24:00,20147.10,-6124.42,45753.20,50366.30,SBL
2021-01-01 01:25:00,20147.10,-6124.42,45753.10,50366.20,SBL
2021-01-01 01:26:00,20147.20,-6124.77,45753.10,50366.30,SBL
2021-01-01 01:27:00,20147.34,-6125.01,45753.10,50366.40,SBL
2021-01-01 01:28:00,20147.30,-6125.12,45753.00,50366.30,SBL
2021-01-01 01:29:00,20147.40,-6125.15,45753.00,50366.30,SBL
2021-01-01 01:30:00,20147.44,-6125.36,45753.00,50366.40,SBL
2021-01-01 01:31:00,20147.50,-6125.50,45753.00,50366.40,SBL
2021-01-01 01:32:00,20147.69,-6125.56,45752.90,50366.40,SBL
2021-01-01 01:33:00,20147.82,-6125.47,45752.80,50366.40,SBL
2021-01-01 01:34:00,20147.82,-6125.47,45752.80,50366.40,SBL
2021-01-01 01:35:00,20148.12,-6125.88,45752.70,50366.40,SBL
2021-01-01 01:36:00,20148.02,-6125.85,45752.70,50366.40,SBL
2021-01-01 01:37:00,20148.06,-6126.06,45752.70,50366.40,SBL
2021-01-01 01:38:00,20148.06,-6126.06,45752.60,50366.30,SBL
2021-01-01 01:39:00,20147.93,-6126.15,45752.60,50366.30,SBL
2021-01-01 01:40:00,20147.84,-6126.12,45752.50,50366.20,SBL
2021-01-01 01:41:00,20147.80,-6126.24,45752.50,50366.20,SBL
2021-01-01 01:42:00,20147.88,-6126.32,45752.50,50366.20,SBL
2021-01-01 01:43:00,20147.88,-6126.32,45752.40,50366.10,SBL
2021-01-01 01:44:00,20147.78,-6126.29,45752.40,50366.10,SBL
2021-01-01 01:45:00,20147.65,-6126.38,45752.40,50366.00,SBL
2021-01-01 01:46:00,20147.65,-6126.38,45752.40,50366.00,SBL
2021-01-01 01:47:00,20147.56,-6126.35,45752.30,50365.90,SBL
2021-01-01 01:48:00,20147.56,-6126.35,45752.30,50365.90,SBL
2021-01-01 01:49:00,20147.35,-6126.35,45752.20,50365.70,SBL
2021-01-01 01:50:00,20147.17,-6126.24,45752.20,50365.60,SBL
2021-01-01 01:51:00,20147.06,-6126.27,45752.10,50365.50,SBL
2021-01-01 01:52:00,20147.08,-6126.53,45752.10,50365.60,SBL
2021-01-01 01:53:00,20147.18,-6126.56,45752.00,50365.50,SBL
