Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,27701.12,-377.94,33079.90,43148.00,SFS
2021-01-01 00:01:00,27701.22,-377.94,33079.90,43148.00,SFS
2021-01-01 00:02:00,27701.32,-378.02,33079.90,43148.00,SFS
2021-01-01 00:03:00,27701.42,-377.94,33079.90,43148.20,SFS
2021-01-01 00:04:00,27701.42,-377.86,33080.00,43148.20,SFS
2021-01-01 00:05:00,27701.52,-377.95,33080.00,43148.30,SFS
2021-01-01 00:06:00,27701.82,-378.11,33079.90,43148.40,SFS
2021-01-01 00:07:00,27702.22,-378.12,33079.80,43148.70,SFS
2021-01-01 00:08:00,27702.92,-378.13,33079.80,43149.20,SFS
2021-01-01 00:09:00,27703.22,-378.05,33080.00,43149.40,SFS
2021-01-01 00:10:00,27703.02,-377.97,33080.10,43149.40,SFS
2021-01-01 00:11:00,27702.82,-377.96,33080.30,43149.40,SFS
2021-01-01 00:12:00,27702.72,-377.96,33080.30,43149.40,SFS
2021-01-01 00:13:00,27702.62,-377.96,33080.40,43149.30,SFS
2021-01-01 00:14:00,27702.72,-377.96,33080.40,43149.30,SFS
2021-01-01 00:15:00,27702.72,-377.88,33080.40,43149.40,SFS
2021-01-01 00:16:00,27702.52,-377.88,33080.40,43149.30,SFS
2021-01-01 00:17:00,27702.12,-377.95,33080.40,43149.00,SFS
2021-01-01 00:18:00,27701.92,-377.95,33080.30,43148.80,SFS
2021-01-01 00:19:00,27701.72,-378.03,33080.30,43148.70,SFS
2021-01-01 00:20:00,27701.72,-378.03,33080.20,43148.60,SFS
2021-01-01 00:21:00,27701.62,-378.03,33080.10,43148.50,SFS
2021-01-01 00:22:00,27701.72,-378.11,33080.10,43148.50,SFS
2021-01-01 00:23:00,27701.82,-378.19,33080.00,43148.50,SFS
2021-01-01 00:24:00,27701.92,-378.19,33079.90,43148.60,SFS
2021-01-01 00:25:00,27702.22,-378.20,33080.00,43148.70,SFS
2021-01-01 00:26:00,27702.42,-378.20,33079.90,43148.80,SFS
2021-01-01 00:27:00,27702.52,-378.20,33080.00,43148.90,SFS
2021-01-01 00:28:00,27702.42,-378.20,33080.00,43148.90,SFS
2021-01-01 00:29:00,27702.42,-378.20,33080.10,43149.00,SFS
2021-01-01 00:30:00,27702.42,-378.20,33080.10,43149.00,SFS
2021-01-01 00:31:00,27702.42,-378.20,33080.10,43149.10,SFS
2021-01-01 00:32:00,27702.52,-378.12,33080.20,43149.10,SFS
2021-01-01 00:33:00,27702.72,-378.20,33080.20,43149.30,SFS
2021-01-01 00:34:00,27702.82,-378.21,33080.20,43149.30,SFS
2021-01-01 00:35:00,27702.92,-378.29,33080.20,43149.40,SFS
2021-01-01 00:36:00,27702.92,-378.29,33080.20,43149.40,SFS
2021-01-01 00:37:00,27702.92,-378.29,33080.20,43149.30,SFS
2021-01-01 00:38:00,27702.92,-378.21,33080.20,43149.30,SFS
2021-01-01 00:39:00,27702.92,-378.29,33080.20,43149.40,SFS
2021-01-01 00:40:00,27702.82,-378.29,33080.20,43149.30,SFS
2021-01-01 00:41:00,27702.62,-378.20,33080.30,43149.20,SFS
2021-01-01 00:42:00,27702.52,-378.20,33080.30,43149.20,SFS
2021-01-01 00:43:00,27702.32,-378.20,33080.30,43149.10,SFS
2021-01-01 00:44:00,27702.42,-378.20,33080.20,43149.10,SFS
2021-01-01 00:45:00,27702.42,-378.28,33080.20,43149.10,SFS
2021-01-01 00:46:00,27702.52,-378.28,33080.20,43149.10,SFS
2021-01-01 00:47:00,27702.52,-378.28,33080.20,43149.10,SFS
2021-01-01 00:48:00,27702.42,-378.20,33080.20,43149.10,SFS
2021-01-01 00:49:00,27702.52,-378.28,33080.20,43149.10,SFS
2021-01-01 00:50:00,27702.52,-378.28,33080.10,43149.10,SFS
2021-01-01 00:51:00,27702.62,-378.28,33080.10,43149.10,SFS
2021-01-01 00:52:00,27702.72,-378.28,33080.10,43149.20,SFS
2021-01-01 00:53:00,27702.72,-378.28,33080.20,43149.20,SFS
