Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15964.61,-3715.54,-25858.70,30616.14,SHE
2021-01-01 00:01:00,15964.71,-3715.41,-25858.69,30616.17,SHE
2021-01-01 00:02:00,15964.89,-3715.40,-25858.67,30616.28,SHE
2021-01-01 00:03:00,15964.96,-3715.29,-25858.64,30616.29,SHE
2021-01-01 00:04:00,15965.06,-3715.12,-25858.63,30616.29,SHE
2021-01-01 00:05:00,15965.23,-3715.13,-25858.64,30616.40,SHE
2021-01-01 00:06:00,15965.35,-3715.27,-25858.69,30616.50,SHE
2021-01-01 00:07:00,15965.37,-3715.25,-25858.70,30616.51,SHE
2021-01-01 00:08:00,15965.42,-3715.25,-25858.68,30616.55,SHE
2021-01-01 00:09:00,15965.39,-3715.26,-25858.71,30616.52,SHE
2021-01-01 00:10:00,15965.23,-3715.27,-25858.66,30616.43,SHE
2021-01-01 00:11:00,15965.08,-3715.25,-25858.63,30616.31,SHE
2021-01-01 00:12:00,15965.00,-3715.23,-25858.62,30616.27,SHE
2021-01-01 00:13:00,15964.97,-3715.12,-25858.62,30616.22,SHE
2021-01-01 00:14:00,15965.00,-3715.05,-25858.60,30616.23,SHE
2021-01-01 00:15:00,15965.09,-3714.92,-25858.58,30616.21,SHE
2021-01-01 00:16:00,15965.12,-3714.91,-25858.60,30616.24,SHE
2021-01-01 00:17:00,15965.07,-3714.86,-25858.60,30616.22,SHE
2021-01-01 00:18:00,15965.04,-3714.89,-25858.58,30616.26,SHE
2021-01-01 00:19:00,15965.06,-3714.90,-25858.62,30616.23,SHE
2021-01-01 00:20:00,15965.04,-3714.99,-25858.61,30616.28,SHE
2021-01-01 00:21:00,15965.06,-3715.02,-25858.63,30616.30,SHE
2021-01-01 00:22:00,15965.11,-3715.00,-25858.66,30616.34,SHE
2021-01-01 00:23:00,15965.19,-3714.99,-25858.67,30616.36,SHE
2021-01-01 00:24:00,15965.28,-3715.01,-25858.66,30616.41,SHE
2021-01-01 00:25:00,15965.40,-3715.01,-25858.72,30616.46,SHE
2021-01-01 00:26:00,15965.49,-3714.95,-25858.69,30616.51,SHE
2021-01-01 00:27:00,15965.55,-3715.02,-25858.75,30616.57,SHE
2021-01-01 00:28:00,15965.54,-3715.04,-25858.71,30616.57,SHE
2021-01-01 00:29:00,15965.56,-3715.10,-25858.74,30616.58,SHE
2021-01-01 00:30:00,15965.53,-3715.08,-25858.73,30616.59,SHE
2021-01-01 00:31:00,15965.55,-3715.05,-25858.75,30616.58,SHE
2021-01-01 00:32:00,15965.62,-3715.02,-25858.74,30616.62,SHE
2021-01-01 00:33:00,15965.71,-3715.05,-25858.76,30616.70,SHE
2021-01-01 00:34:00,15965.80,-3715.10,-25858.80,30616.75,SHE
2021-01-01 00:35:00,15965.77,-3715.13,-25858.78,30616.79,SHE
2021-01-01 00:36:00,15965.79,-3715.16,-25858.76,30616.77,SHE
2021-01-01 00:37:00,15965.85,-3715.14,-25858.77,30616.81,SHE
2021-01-01 00:38:00,15965.89,-3715.19,-25858.76,30616.85,SHE
2021-01-01 00:39:00,15965.92,-3715.13,-25858.74,30616.87,SHE
2021-01-01 00:40:00,15965.82,-3715.15,-25858.75,30616.80,SHE
2021-01-01 00:41:00,15965.65,-3715.14,-25858.73,30616.64,SHE
