Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,19466.30,3471.30,48151.70,52053.76,SHU
2021-01-01 00:01:00,19467.30,3471.40,48151.70,52054.24,SHU
2021-01-01 00:02:00,19467.50,3471.70,48152.00,52054.51,SHU
2021-01-01 00:03:00,19467.80,3471.60,48152.20,52054.80,SHU
2021-01-01 00:04:00,19469.00,3471.00,48152.20,52055.21,SHU
2021-01-01 00:05:00,19469.30,3471.20,48152.50,52055.61,SHU
2021-01-01 00:06:00,19467.60,3472.20,48153.00,52055.51,SHU
2021-01-01 00:07:00,19466.00,3472.80,48153.20,52055.03,SHU
2021-01-01 00:08:00,19465.20,3472.90,48153.20,52054.74,SHU
2021-01-01 00:09:00,19465.20,3471.80,48153.00,52054.58,SHU
2021-01-01 00:10:00,19465.70,3471.40,48152.80,52054.46,SHU
2021-01-01 00:11:00,19466.30,3471.40,48152.60,52054.50,SHU
2021-01-01 00:12:00,19467.10,3471.20,48152.50,52054.69,SHU
2021-01-01 00:13:00,19467.30,3471.10,48152.60,52054.95,SHU
2021-01-01 00:14:00,19467.60,3471.10,48152.60,52054.96,SHU
2021-01-01 00:15:00,19468.30,3471.30,48152.60,52055.34,SHU
2021-01-01 00:16:00,19468.80,3471.40,48152.70,52055.63,SHU
2021-01-01 00:17:00,19469.10,3471.40,48152.80,52055.83,SHU
2021-01-01 00:18:00,19469.50,3470.90,48152.90,52056.04,SHU
2021-01-01 00:19:00,19469.50,3470.50,48153.10,52056.10,SHU
2021-01-01 00:20:00,19469.50,3470.60,48153.10,52056.20,SHU
2021-01-01 00:21:00,19469.80,3471.00,48153.10,52056.24,SHU
2021-01-01 00:22:00,19469.70,3471.70,48153.20,52056.44,SHU
2021-01-01 00:23:00,19469.70,3472.20,48153.20,52056.38,SHU
2021-01-01 00:24:00,19469.60,3472.70,48153.20,52056.47,SHU
2021-01-01 00:25:00,19469.70,3473.20,48153.20,52056.54,SHU
2021-01-01 00:26:00,19469.80,3473.50,48153.30,52056.69,SHU
2021-01-01 00:27:00,19469.70,3473.60,48153.40,52056.76,SHU
2021-01-01 00:28:00,19469.90,3473.50,48153.40,52056.82,SHU
2021-01-01 00:29:00,19470.30,3473.40,48153.30,52056.87,SHU
2021-01-01 00:30:00,19470.80,3473.30,48153.30,52057.06,SHU
2021-01-01 00:31:00,19471.20,3473.10,48153.40,52057.28,SHU
2021-01-01 00:32:00,19471.40,3473.00,48153.50,52057.54,SHU
2021-01-01 00:33:00,19471.40,3473.00,48153.60,52057.64,SHU
2021-01-01 00:34:00,19471.30,3473.20,48153.70,52057.61,SHU
2021-01-01 00:35:00,19471.50,3473.30,48153.70,52057.69,SHU
2021-01-01 00:36:00,19471.50,3473.50,48153.80,52057.79,SHU
2021-01-01 00:37:00,19471.70,3473.50,48153.80,52057.87,SHU
2021-01-01 00:38:00,19472.00,3473.60,48153.80,52057.99,SHU
2021-01-01 00:39:00,19471.90,3473.60,48153.90,52058.04,SHU
2021-01-01 00:40:00,19471.80,3473.50,48154.00,52058.09,SHU
2021-01-01 00:41:00,19472.00,3473.50,48153.90,52058.07,SHU
2021-01-01 00:42:00,19472.20,3473.50,48153.90,52058.15,SHU
2021-01-01 00:43:00,19472.40,3473.50,48154.00,52058.31,SHU
