Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15022.20,4975.50,52886.90,55203.88,SIT
2021-01-01 00:01:00,15024.00,4974.60,52887.40,55204.77,SIT
2021-01-01 00:02:00,15024.70,4975.10,52887.70,55205.19,SIT
2021-01-01 00:03:00,15024.50,4975.60,52887.60,55204.99,SIT
2021-01-01 00:04:00,15024.80,4974.40,52887.50,55204.96,SIT
2021-01-01 00:05:00,15025.20,4974.30,52887.70,55205.25,SIT
2021-01-01 00:06:00,15023.90,4976.50,52887.20,55204.62,SIT
2021-01-01 00:07:00,15022.80,4979.10,52886.50,55203.88,SIT
2021-01-01 00:08:00,15022.40,4980.60,52885.70,55203.14,SIT
2021-01-01 00:09:00,15022.40,4980.20,52885.50,55202.92,SIT
2021-01-01 00:10:00,15022.20,4979.30,52885.80,55203.07,SIT
2021-01-01 00:11:00,15022.90,4978.50,52886.00,55203.38,SIT
2021-01-01 00:12:00,15023.40,4977.30,52886.40,55203.89,SIT
2021-01-01 00:13:00,15023.40,4976.80,52886.70,55204.03,SIT
2021-01-01 00:14:00,15023.20,4976.70,52886.80,55204.16,SIT
2021-01-01 00:15:00,15024.40,4976.70,52887.00,55204.58,SIT
2021-01-01 00:16:00,15025.00,4976.20,52887.20,55204.89,SIT
2021-01-01 00:17:00,15024.80,4976.20,52887.30,55204.93,SIT
2021-01-01 00:18:00,15024.00,4976.00,52887.10,55204.51,SIT
2021-01-01 00:19:00,15023.10,4976.10,52886.90,55203.98,SIT
2021-01-01 00:20:00,15023.30,4976.10,52886.80,55204.04,SIT
2021-01-01 00:21:00,15024.00,4975.70,52886.90,55204.29,SIT
2021-01-01 00:22:00,15023.90,4976.20,52887.00,55204.30,SIT
2021-01-01 00:23:00,15024.20,4976.90,52886.80,55204.35,SIT
2021-01-01 00:24:00,15024.50,4977.90,52886.70,55204.43,SIT
2021-01-01 00:25:00,15024.90,4978.90,52886.50,55204.44,SIT
2021-01-01 00:26:00,15025.60,4980.10,52886.40,55204.64,SIT
2021-01-01 00:27:00,15025.50,4980.80,52886.30,55204.58,SIT
2021-01-01 00:28:00,15025.20,4980.60,52886.20,55204.29,SIT
2021-01-01 00:29:00,15025.30,4980.20,52886.20,55204.38,SIT
2021-01-01 00:30:00,15025.50,4979.90,52886.40,55204.50,SIT
2021-01-01 00:31:00,15025.90,4979.50,52886.60,55204.86,SIT
2021-01-01 00:32:00,15025.80,4979.20,52886.80,55204.90,SIT
2021-01-01 00:33:00,15025.60,4979.20,52886.80,55204.84,SIT
2021-01-01 00:34:00,15025.50,4979.60,52886.70,55204.86,SIT
2021-01-01 00:35:00,15025.60,4979.70,52886.60,55204.80,SIT
2021-01-01 00:36:00,15025.70,4980.10,52886.60,55204.86,SIT
2021-01-01 00:37:00,15026.00,4980.30,52886.60,55204.96,SIT
2021-01-01 00:38:00,15026.00,4980.30,52886.70,55205.06,SIT
2021-01-01 00:39:00,15026.00,4980.50,52886.60,55204.98,SIT
2021-01-01 00:40:00,15025.70,4980.70,52886.50,55204.72,SIT
2021-01-01 00:41:00,15025.80,4980.40,52886.50,55204.82,SIT
2021-01-01 00:42:00,15026.10,4980.40,52886.60,55204.90,SIT
2021-01-01 00:43:00,15026.40,4980.30,52886.60,55205.07,SIT
2021-01-01 00:44:00,15026.00,4980.50,52886.70,55205.07,SIT
2021-01-01 00:45:00,15026.10,4980.70,52886.60,55204.92,SIT
2021-01-01 00:46:00,15026.30,4981.20,52886.50,55204.93,SIT
2021-01-01 00:47:00,15026.60,4981.40,52886.50,55205.03,SIT
2021-01-01 00:48:00,15026.90,4981.30,52886.60,55205.19,SIT
2021-01-01 00:49:00,15026.50,4981.50,52886.50,55205.01,SIT
2021-01-01 00:50:00,15026.40,4981.50,52886.40,55204.99,SIT
2021-01-01 00:51:00,15026.20,4981.50,52886.30,55204.83,SIT
2021-01-01 00:52:00,15026.50,4981.90,52886.20,55204.86,SIT
2021-01-01 00:53:00,15026.60,4982.20,52886.20,55204.81,SIT
2021-01-01 00:54:00,15026.60,4982.20,52886.20,55204.91,SIT
2021-01-01 00:55:00,15026.80,4981.90,52886.20,55204.94,SIT
2021-01-01 00:56:00,15026.80,4981.70,52886.30,55205.02,SIT
2021-01-01 00:57:00,15026.70,4981.90,52886.30,55204.91,SIT
2021-01-01 00:58:00,15026.80,4981.80,52886.30,55204.93,SIT
2021-01-01 00:59:00,15026.90,4981.80,52886.30,55205.05,SIT
2021-01-01 01:00:00,15027.00,4981.80,52886.30,55204.98,SIT
2021-01-01 01:01:00,15027.00,4981.90,52886.30,55204.99,SIT
2021-01-01 01:02:00,15027.20,4982.00,52886.20,55205.06,SIT
2021-01-01 01:03:00,15027.30,4982.00,52886.20,55205.18,SIT
2021-01-01 01:04:00,15027.40,4982.00,52886.20,55205.01,SIT
2021-01-01 01:05:00,15027.50,4982.00,52886.20,55205.04,SIT
2021-01-01 01:06:00,15027.30,4982.00,52886.20,55205.08,SIT
2021-01-01 01:07:00,15027.10,4981.90,52886.10,55204.92,SIT
2021-01-01 01:08:00,15027.10,4982.00,52886.10,55204.83,SIT
2021-01-01 01:09:00,15026.90,4982.30,52886.00,55204.71,SIT
2021-01-01 01:10:00,15027.00,4982.10,52885.90,55204.72,SIT
2021-01-01 01:11:00,15027.20,4981.80,52886.00,55204.85,SIT
2021-01-01 01:12:00,15027.30,4981.50,52886.10,55204.94,SIT
2021-01-01 01:13:00,15027.20,4981.50,52886.10,55204.92,SIT
2021-01-01 01:14:00,15027.00,4981.60,52886.00,55204.87,SIT
2021-01-01 01:15:00,15027.00,4981.60,52886.00,55204.77,SIT
2021-01-01 01:16:00,15027.40,4981.50,52886.00,55204.77,SIT
2021-01-01 01:17:00,15027.60,4981.70,52886.10,55204.94,SIT
2021-01-01 01:18:00,15027.50,4981.80,52886.00,55204.93,SIT
2021-01-01 01:19:00,15027.50,4981.80,52886.00,55204.83,SIT
2021-01-01 01:20:00,15027.40,4981.90,52885.90,55204.81,SIT
2021-01-01 01:21:00,15027.40,4982.00,52885.90,55204.72,SIT
2021-01-01 01:22:00,15027.20,4982.20,52885.80,55204.69,SIT
2021-01-01 01:23:00,15027.20,4982.20,52885.80,55204.59,SIT
2021-01-01 01:24:00,15027.40,4982.10,52885.80,55204.64,SIT
2021-01-01 01:25:00,15027.50,4981.90,52885.80,55204.75,SIT
2021-01-01 01:26:00,15027.30,4982.50,52885.70,55204.65,SIT
2021-01-01 01:27:00,15027.00,4982.80,52885.60,55204.40,SIT
2021-01-01 01:28:00,15027.20,4982.70,52885.50,55204.45,SIT
2021-01-01 01:29:00,15027.40,4982.30,52885.60,55204.56,SIT
2021-01-01 01:30:00,15027.40,4982.30,52885.60,55204.56,SIT
2021-01-01 01:31:00,15027.20,4982.70,52885.60,55204.54,SIT
2021-01-01 01:32:00,15027.20,4982.90,52885.50,55204.47,SIT
2021-01-01 01:33:00,15027.30,4982.90,52885.40,55204.40,SIT
2021-01-01 01:34:00,15027.30,4983.10,52885.40,55204.42,SIT
2021-01-01 01:35:00,15027.30,4983.40,52885.30,55204.35,SIT
2021-01-01 01:36:00,15027.40,4983.50,52885.30,55204.28,SIT
2021-01-01 01:37:00,15027.50,4983.50,52885.30,55204.31,SIT
2021-01-01 01:38:00,15027.80,4983.50,52885.30,55204.39,SIT
2021-01-01 01:39:00,15027.90,4983.70,52885.30,55204.54,SIT
2021-01-01 01:40:00,15028.00,4983.80,52885.30,55204.47,SIT
2021-01-01 01:41:00,15028.00,4984.00,52885.30,55204.49,SIT
2021-01-01 01:42:00,15027.80,4984.30,52885.10,55204.37,SIT
2021-01-01 01:43:00,15027.80,4984.20,52885.10,55204.36,SIT
2021-01-01 01:44:00,15027.70,4984.20,52885.10,55204.24,SIT
2021-01-01 01:45:00,15027.80,4984.40,52885.10,55204.38,SIT
2021-01-01 01:46:00,15027.70,4984.20,52885.00,55204.24,SIT
2021-01-01 01:47:00,15027.70,4984.10,52885.10,55204.33,SIT
2021-01-01 01:48:00,15027.80,4984.40,52885.10,55204.38,SIT
2021-01-01 01:49:00,15027.70,4984.40,52885.00,55204.26,SIT
2021-01-01 01:50:00,15027.60,4984.30,52885.00,55204.12,SIT
2021-01-01 01:51:00,15027.80,4984.20,52885.00,55204.27,SIT
2021-01-01 01:52:00,15027.80,4984.70,52885.00,55204.21,SIT
2021-01-01 01:53:00,15027.40,4984.70,52884.90,55204.01,SIT
2021-01-01 01:54:00,15027.50,4984.60,52884.90,55204.03,SIT
2021-01-01 01:55:00,15027.80,4984.50,52884.90,55204.10,SIT
2021-01-01 01:56:00,15027.70,4984.40,52884.90,55204.26,SIT
2021-01-01 01:57:00,15027.50,4984.70,52884.80,55204.04,SIT
2021-01-01 01:58:00,15027.50,4984.70,52884.80,55203.94,SIT
2021-01-01 01:59:00,15027.70,4984.50,52884.80,55204.08,SIT
2021-01-01 02:00:00,15027.90,4984.70,52884.80,55204.05,SIT
