Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,11173.40,2517.90,51881.20,99999.00,SOD
2021-01-01 00:01:00,11173.10,2518.20,51881.30,99999.00,SOD
2021-01-01 00:02:00,11173.00,2518.00,51881.40,99999.00,SOD
2021-01-01 00:03:00,11172.60,2518.30,51881.70,99999.00,SOD
2021-01-01 00:04:00,11172.30,2518.30,51882.00,99999.00,SOD
2021-01-01 00:05:00,11171.90,2518.00,51882.30,99999.00,SOD
2021-01-01 00:06:00,11171.80,2517.20,51882.30,99999.00,SOD
2021-01-01 00:07:00,11172.00,2516.00,51881.80,99999.00,SOD
2021-01-01 00:08:00,11172.10,2515.20,51881.00,99999.00,SOD
2021-01-01 00:09:00,11171.30,2515.60,51880.40,99999.00,SOD
2021-01-01 00:10:00,11170.90,2516.80,51880.40,99999.00,SOD
2021-01-01 00:11:00,11171.40,2517.70,51880.80,99999.00,SOD
2021-01-01 00:12:00,11171.70,2517.80,51881.00,99999.00,SOD
2021-01-01 00:13:00,11171.50,2517.70,51881.20,99999.00,SOD
2021-01-01 00:14:00,11170.80,2517.80,51881.40,99999.00,SOD
2021-01-01 00:15:00,11170.40,2518.60,51881.70,99999.00,SOD
2021-01-01 00:16:00,11169.90,2519.30,51882.00,99999.00,SOD
2021-01-01 00:17:00,11170.10,2519.80,51882.30,99999.00,SOD
2021-01-01 00:18:00,11170.50,2520.10,51882.40,99999.00,SOD
2021-01-01 00:19:00,11171.00,2520.60,51882.70,99999.00,SOD
2021-01-01 00:20:00,11171.80,2520.40,51882.90,99999.00,SOD
2021-01-01 00:21:00,11172.10,2520.40,51883.10,99999.00,SOD
2021-01-01 00:22:00,11172.70,2519.70,51883.30,99999.00,SOD
2021-01-01 00:23:00,11173.10,2518.90,51883.50,99999.00,SOD
2021-01-01 00:24:00,11173.60,2518.30,51883.70,99999.00,SOD
2021-01-01 00:25:00,11173.60,2517.70,51883.50,99999.00,SOD
2021-01-01 00:26:00,11173.40,2517.30,51883.20,99999.00,SOD
2021-01-01 00:27:00,11173.40,2517.00,51883.00,99999.00,SOD
2021-01-01 00:28:00,11173.00,2517.20,51882.90,99999.00,SOD
2021-01-01 00:29:00,11173.00,2517.30,51883.00,99999.00,SOD
2021-01-01 00:30:00,11173.20,2517.30,51883.00,99999.00,SOD
2021-01-01 00:31:00,11173.60,2517.30,51883.10,99999.00,SOD
2021-01-01 00:32:00,11173.80,2517.10,51883.30,99999.00,SOD
2021-01-01 00:33:00,11173.70,2516.60,51883.20,99999.00,SOD
2021-01-01 00:34:00,11173.40,2516.30,51883.10,99999.00,SOD
2021-01-01 00:35:00,11173.00,2516.20,51882.90,99999.00,SOD
2021-01-01 00:36:00,11172.90,2516.40,51882.90,99999.00,SOD
2021-01-01 00:37:00,11173.00,2516.40,51883.00,99999.00,SOD
2021-01-01 00:38:00,11173.00,2516.70,51883.00,99999.00,SOD
2021-01-01 00:39:00,11173.00,2516.60,51882.90,99999.00,SOD
2021-01-01 00:40:00,11172.90,2516.60,51882.90,99999.00,SOD
2021-01-01 00:41:00,11172.80,2516.90,51883.00,99999.00,SOD
2021-01-01 00:42:00,11172.90,2517.20,51883.20,99999.00,SOD
2021-01-01 00:43:00,11173.20,2517.60,51883.50,99999.00,SOD
2021-01-01 00:44:00,11173.30,2517.60,51883.60,99999.00,SOD
2021-01-01 00:45:00,11173.40,2517.30,51883.50,99999.00,SOD
2021-01-01 00:46:00,11173.40,2517.00,51883.50,99999.00,SOD
2021-01-01 00:47:00,11173.20,2516.70,51883.30,99999.00,SOD
2021-01-01 00:48:00,11173.10,2516.80,51883.40,99999.00,SOD
2021-01-01 00:49:00,11173.00,2516.80,51883.40,99999.00,SOD
2021-01-01 00:50:00,11173.00,2516.90,51883.30,99999.00,SOD
2021-01-01 00:51:00,11173.00,2516.80,51883.20,99999.00,SOD
2021-01-01 00:52:00,11172.90,2516.90,51883.10,99999.00,SOD
2021-01-01 00:53:00,11173.00,2516.90,51883.10,99999.00,SOD
2021-01-01 00:54:00,11173.10,2517.10,51883.10,99999.00,SOD
2021-01-01 00:55:00,11173.10,2517.20,51883.10,99999.00,SOD
2021-01-01 00:56:00,11173.20,2517.30,51883.10,99999.00,SOD
2021-01-01 00:57:00,11173.20,2517.50,51883.10,99999.00,SOD
2021-01-01 00:58:00,11173.30,2517.50,51883.10,99999.00,SOD
2021-01-01 00:59:00,11173.20,2517.70,51883.10,99999.00,SOD
2021-01-01 01:00:00,11173.30,2517.80,51883.10,99999.00,SOD
2021-01-01 01:01:00,11173.40,2518.00,51883.10,99999.00,SOD
2021-01-01 01:02:00,11173.70,2517.90,51883.10,99999.00,SOD
2021-01-01 01:03:00,11174.00,2517.90,51883.10,99999.00,SOD
2021-01-01 01:04:00,11174.40,2517.80,51883.10,99999.00,SOD
2021-01-01 01:05:00,11174.60,2518.00,51882.90,99999.00,SOD
2021-01-01 01:06:00,11174.60,2518.10,51882.70,99999.00,SOD
2021-01-01 01:07:00,11174.70,2518.10,51882.60,99999.00,SOD
2021-01-01 01:08:00,11174.60,2518.10,51882.30,99999.00,SOD
2021-01-01 01:09:00,11174.30,2517.90,51882.20,99999.00,SOD
2021-01-01 01:10:00,11173.90,2517.90,51882.10,99999.00,SOD
2021-01-01 01:11:00,11173.50,2518.20,51882.10,99999.00,SOD
