Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,34795.92,309.94,28221.10,44802.70,SON
2021-01-01 00:01:00,34795.92,310.14,28221.00,44802.60,SON
2021-01-01 00:02:00,34796.22,310.14,28221.00,44802.90,SON
2021-01-01 00:03:00,34796.21,310.44,28221.10,44802.90,SON
2021-01-01 00:04:00,34796.11,310.44,28220.90,44802.70,SON
2021-01-01 00:05:00,34796.21,310.44,28220.90,44802.80,SON
2021-01-01 00:06:00,34796.22,310.14,28221.00,44802.80,SON
2021-01-01 00:07:00,34796.02,309.84,28220.90,44802.70,SON
2021-01-01 00:08:00,34796.22,309.63,28221.20,44803.00,SON
2021-01-01 00:09:00,34796.32,309.84,28221.40,44803.10,SON
2021-01-01 00:10:00,34796.32,310.24,28221.30,44803.10,SON
2021-01-01 00:11:00,34796.31,310.45,28221.00,44802.90,SON
2021-01-01 00:12:00,34796.41,310.55,28220.80,44802.90,SON
2021-01-01 00:13:00,34796.31,310.55,28220.60,44802.70,SON
2021-01-01 00:14:00,34796.41,310.65,28220.60,44802.70,SON
2021-01-01 00:15:00,34796.21,310.75,28220.50,44802.60,SON
2021-01-01 00:16:00,34796.41,310.65,28220.50,44802.60,SON
2021-01-01 00:17:00,34796.31,310.65,28220.40,44802.60,SON
2021-01-01 00:18:00,34796.31,310.55,28220.50,44802.60,SON
2021-01-01 00:19:00,34796.52,310.24,28220.70,44803.00,SON
2021-01-01 00:20:00,34796.52,310.24,28220.90,44803.10,SON
2021-01-01 00:21:00,34796.72,309.94,28221.30,44803.40,SON
2021-01-01 00:22:00,34796.82,309.64,28221.40,44803.60,SON
2021-01-01 00:23:00,34796.82,309.34,28221.60,44803.70,SON
2021-01-01 00:24:00,34796.93,309.03,28222.00,44804.10,SON
2021-01-01 00:25:00,34797.03,308.83,28222.10,44804.20,SON
2021-01-01 00:26:00,34796.93,308.73,28222.20,44804.20,SON
2021-01-01 00:27:00,34797.03,308.63,28222.40,44804.30,SON
2021-01-01 00:28:00,34797.13,308.83,28222.50,44804.50,SON
2021-01-01 00:29:00,34797.33,308.63,28222.40,44804.60,SON
2021-01-01 00:30:00,34797.43,308.63,28222.40,44804.70,SON
2021-01-01 00:31:00,34797.73,308.53,28222.50,44804.90,SON
2021-01-01 00:32:00,34797.63,308.53,28222.60,44805.00,SON
2021-01-01 00:33:00,34797.73,308.53,28222.70,44805.10,SON
2021-01-01 00:34:00,34797.83,308.43,28222.70,44805.20,SON
2021-01-01 00:35:00,34797.83,308.33,28222.70,44805.20,SON
2021-01-01 00:36:00,34797.83,308.33,28222.80,44805.20,SON
2021-01-01 00:37:00,34797.83,308.33,28222.60,44805.10,SON
2021-01-01 00:38:00,34797.93,308.43,28222.60,44805.20,SON
2021-01-01 00:39:00,34798.03,308.33,28222.60,44805.20,SON
2021-01-01 00:40:00,34797.93,308.33,28222.40,44805.00,SON
2021-01-01 00:41:00,34797.73,308.43,28222.10,44804.80,SON
2021-01-01 00:42:00,34797.73,308.43,28222.10,44804.70,SON
2021-01-01 00:43:00,34797.93,308.33,28222.10,44804.90,SON
2021-01-01 00:44:00,34798.04,308.23,28222.20,44805.10,SON
2021-01-01 00:45:00,34798.14,308.13,28222.20,44805.10,SON
2021-01-01 00:46:00,34798.04,308.13,28222.20,44805.10,SON
2021-01-01 00:47:00,34797.94,308.03,28222.10,44804.90,SON
2021-01-01 00:48:00,34797.94,308.03,28222.10,44804.90,SON
2021-01-01 00:49:00,34798.14,307.93,28222.20,44805.10,SON
2021-01-01 00:50:00,34798.14,307.83,28222.20,44805.10,SON
2021-01-01 00:51:00,34798.24,307.83,28222.30,44805.30,SON
2021-01-01 00:52:00,34798.24,307.83,28222.30,44805.20,SON
2021-01-01 00:53:00,34798.24,307.83,28222.30,44805.20,SON
2021-01-01 00:54:00,34798.34,307.73,28222.30,44805.30,SON
2021-01-01 00:55:00,34798.44,307.73,28222.30,44805.40,SON
2021-01-01 00:56:00,34798.44,307.73,28222.20,44805.30,SON
2021-01-01 00:57:00,34798.54,307.73,28222.20,44805.40,SON
2021-01-01 00:58:00,34798.64,307.73,28222.20,44805.40,SON
2021-01-01 00:59:00,34798.64,307.63,28222.10,44805.40,SON
2021-01-01 01:00:00,34798.64,307.73,28222.10,44805.40,SON
2021-01-01 01:01:00,34798.64,307.73,28222.10,44805.40,SON
2021-01-01 01:02:00,34798.74,307.53,28222.00,44805.40,SON
2021-01-01 01:03:00,34798.54,307.63,28222.00,44805.30,SON
2021-01-01 01:04:00,34798.64,307.53,28222.10,44805.40,SON
2021-01-01 01:05:00,34798.74,307.43,28222.20,44805.60,SON
2021-01-01 01:06:00,34798.84,307.43,28222.20,44805.60,SON
2021-01-01 01:07:00,34798.84,307.43,28222.20,44805.70,SON
2021-01-01 01:08:00,34799.04,307.43,28222.10,44805.70,SON
2021-01-01 01:09:00,34799.04,307.33,28222.10,44805.70,SON
2021-01-01 01:10:00,34798.95,307.33,28222.10,44805.70,SON
2021-01-01 01:11:00,34799.04,307.33,28222.00,44805.60,SON
2021-01-01 01:12:00,34798.94,307.43,28221.80,44805.40,SON
2021-01-01 01:13:00,34798.95,307.33,28221.70,44805.40,SON
2021-01-01 01:14:00,34798.94,307.43,28221.80,44805.40,SON
2021-01-01 01:15:00,34798.95,307.23,28221.90,44805.50,SON
2021-01-01 01:16:00,34798.95,307.23,28221.80,44805.50,SON
2021-01-01 01:17:00,34799.25,307.13,28221.80,44805.60,SON
2021-01-01 01:18:00,34798.95,307.13,28221.90,44805.60,SON
2021-01-01 01:19:00,34799.04,306.93,28221.80,44805.60,SON
2021-01-01 01:20:00,34799.04,306.93,28222.00,44805.70,SON
2021-01-01 01:21:00,34799.05,306.82,28222.00,44805.70,SON
2021-01-01 01:22:00,34799.05,306.72,28222.00,44805.70,SON
2021-01-01 01:23:00,34799.05,306.72,28222.00,44805.70,SON
2021-01-01 01:24:00,34799.05,306.62,28222.00,44805.70,SON
2021-01-01 01:25:00,34799.15,306.62,28222.00,44805.70,SON
2021-01-01 01:26:00,34799.15,306.62,28222.00,44805.70,SON
2021-01-01 01:27:00,34799.05,306.72,28221.90,44805.60,SON
2021-01-01 01:28:00,34798.95,306.82,28221.70,44805.40,SON
2021-01-01 01:29:00,34799.05,306.82,28221.70,44805.50,SON
2021-01-01 01:30:00,34799.05,306.82,28221.60,44805.40,SON
2021-01-01 01:31:00,34798.95,306.82,28221.60,44805.30,SON
2021-01-01 01:32:00,34798.95,306.82,28221.60,44805.40,SON
2021-01-01 01:33:00,34799.05,306.72,28221.60,44805.40,SON
2021-01-01 01:34:00,34799.05,306.72,28221.70,44805.50,SON
2021-01-01 01:35:00,34799.15,306.62,28221.70,44805.60,SON
2021-01-01 01:36:00,34799.15,306.72,28221.70,44805.50,SON
2021-01-01 01:37:00,34799.05,306.82,28221.70,44805.50,SON
2021-01-01 01:38:00,34798.95,306.82,28221.60,44805.30,SON
2021-01-01 01:39:00,34799.15,306.83,28221.60,44805.50,SON
2021-01-01 01:40:00,34798.95,306.82,28221.40,44805.20,SON
2021-01-01 01:41:00,34798.95,306.93,28221.50,44805.30,SON
2021-01-01 01:42:00,34798.95,306.93,28221.40,44805.20,SON
2021-01-01 01:43:00,34798.95,306.93,28221.40,44805.20,SON
2021-01-01 01:44:00,34798.95,307.03,28221.40,44805.20,SON
2021-01-01 01:45:00,34798.84,307.03,28221.40,44805.10,SON
2021-01-01 01:46:00,34799.04,306.93,28221.40,44805.30,SON
2021-01-01 01:47:00,34798.84,306.92,28221.40,44805.10,SON
2021-01-01 01:48:00,34798.84,306.92,28221.40,44805.10,SON
2021-01-01 01:49:00,34798.75,307.02,28221.30,44805.00,SON
2021-01-01 01:50:00,34798.75,306.92,28221.40,44805.10,SON
2021-01-01 01:51:00,34798.95,307.03,28221.50,44805.30,SON
2021-01-01 01:52:00,34798.75,307.13,28221.30,44805.00,SON
2021-01-01 01:53:00,34798.95,307.13,28221.40,44805.20,SON
2021-01-01 01:54:00,34798.95,307.13,28221.40,44805.20,SON
2021-01-01 01:55:00,34798.84,307.23,28221.40,44805.10,SON
2021-01-01 01:56:00,34798.95,307.23,28221.30,44805.10,SON
2021-01-01 01:57:00,34798.84,307.23,28221.20,44805.00,SON
2021-01-01 01:58:00,34798.95,307.23,28221.20,44805.10,SON
2021-01-01 01:59:00,34798.95,307.33,28221.20,44805.10,SON
2021-01-01 02:00:00,34798.95,307.33,28221.30,44805.20,SON
2021-01-01 02:01:00,34798.95,307.33,28221.30,44805.10,SON
2021-01-01 02:02:00,34799.04,307.23,28221.30,44805.20,SON
2021-01-01 02:03:00,34798.84,307.33,28221.30,44805.10,SON
