Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,26164.53,-151.18,35997.84,44502.30,SPT
2021-01-01 00:01:00,26164.63,-151.08,35997.84,44502.30,SPT
2021-01-01 00:02:00,26164.73,-151.18,35997.84,44502.40,SPT
2021-01-01 00:03:00,26164.73,-151.18,35997.84,44502.40,SPT
2021-01-01 00:04:00,26164.73,-150.98,35997.94,44502.40,SPT
2021-01-01 00:05:00,26164.73,-151.18,35997.84,44502.40,SPT
2021-01-01 00:06:00,26165.02,-151.39,35997.84,44502.60,SPT
2021-01-01 00:07:00,26165.52,-151.39,35997.84,44502.80,SPT
2021-01-01 00:08:00,26166.12,-151.50,35997.94,44503.20,SPT
2021-01-01 00:09:00,26166.32,-151.40,35997.94,44503.30,SPT
2021-01-01 00:10:00,26166.03,-151.10,35997.94,44503.20,SPT
2021-01-01 00:11:00,26165.83,-151.10,35997.94,44503.10,SPT
2021-01-01 00:12:00,26165.73,-151.10,35998.04,44503.10,SPT
2021-01-01 00:13:00,26165.63,-151.19,35998.04,44503.00,SPT
2021-01-01 00:14:00,26165.63,-151.09,35998.04,44503.00,SPT
2021-01-01 00:15:00,26165.63,-151.09,35997.94,44503.00,SPT
2021-01-01 00:16:00,26165.43,-150.99,35998.04,44502.90,SPT
2021-01-01 00:17:00,26165.13,-151.09,35998.04,44502.70,SPT
2021-01-01 00:18:00,26164.83,-151.08,35998.04,44502.60,SPT
2021-01-01 00:19:00,26164.63,-151.18,35998.04,44502.50,SPT
2021-01-01 00:20:00,26164.63,-151.28,35998.04,44502.40,SPT
2021-01-01 00:21:00,26164.63,-151.28,35998.04,44502.40,SPT
2021-01-01 00:22:00,26164.72,-151.38,35998.04,44502.50,SPT
2021-01-01 00:23:00,26164.72,-151.48,35998.04,44502.50,SPT
2021-01-01 00:24:00,26164.92,-151.59,35997.94,44502.50,SPT
2021-01-01 00:25:00,26165.22,-151.69,35997.94,44502.70,SPT
2021-01-01 00:26:00,26165.32,-151.79,35997.94,44502.80,SPT
2021-01-01 00:27:00,26165.32,-151.79,35997.94,44502.80,SPT
2021-01-01 00:28:00,26165.32,-151.79,35997.94,44502.80,SPT
2021-01-01 00:29:00,26165.32,-151.69,35997.94,44502.80,SPT
2021-01-01 00:30:00,26165.32,-151.59,35997.94,44502.80,SPT
2021-01-01 00:31:00,26165.32,-151.59,35997.94,44502.80,SPT
2021-01-01 00:32:00,26165.42,-151.59,35997.94,44502.80,SPT
2021-01-01 00:33:00,26165.52,-151.59,35997.84,44502.90,SPT
2021-01-01 00:34:00,26165.62,-151.70,35997.94,44502.90,SPT
2021-01-01 00:35:00,26165.62,-151.90,35997.94,44502.90,SPT
2021-01-01 00:36:00,26165.62,-151.90,35997.94,44502.90,SPT
2021-01-01 00:37:00,26165.62,-151.90,35997.94,44502.90,SPT
2021-01-01 00:38:00,26165.62,-151.90,35997.94,44502.90,SPT
2021-01-01 00:39:00,26165.52,-151.89,35997.94,44502.90,SPT
2021-01-01 00:40:00,26165.52,-151.89,35997.94,44502.90,SPT
2021-01-01 00:41:00,26165.32,-151.79,35997.94,44502.70,SPT
2021-01-01 00:42:00,26165.22,-151.79,35997.94,44502.70,SPT
2021-01-01 00:43:00,26165.12,-151.79,35997.94,44502.60,SPT
2021-01-01 00:44:00,26165.12,-151.79,35997.94,44502.60,SPT
2021-01-01 00:45:00,26165.22,-151.89,35997.94,44502.60,SPT
2021-01-01 00:46:00,26165.22,-151.89,35997.94,44502.70,SPT
2021-01-01 00:47:00,26165.22,-151.89,35997.94,44502.70,SPT
2021-01-01 00:48:00,26165.12,-151.79,35997.94,44502.60,SPT
2021-01-01 00:49:00,26165.22,-151.89,35997.94,44502.70,SPT
2021-01-01 00:50:00,26165.22,-151.89,35997.94,44502.70,SPT
2021-01-01 00:51:00,26165.32,-151.99,35997.84,44502.70,SPT
2021-01-01 00:52:00,26165.32,-151.89,35997.84,44502.70,SPT
2021-01-01 00:53:00,26165.42,-151.89,35997.84,44502.70,SPT
2021-01-01 00:54:00,26165.42,-151.79,35997.94,44502.80,SPT
2021-01-01 00:55:00,26165.42,-151.79,35997.94,44502.80,SPT
2021-01-01 00:56:00,26165.52,-151.89,35997.84,44502.80,SPT
2021-01-01 00:57:00,26165.52,-151.89,35997.94,44502.80,SPT
2021-01-01 00:58:00,26165.52,-151.89,35997.94,44502.80,SPT
2021-01-01 00:59:00,26165.52,-151.89,35997.94,44502.80,SPT
2021-01-01 01:00:00,26165.52,-151.89,35997.94,44502.80,SPT
2021-01-01 01:01:00,26165.52,-151.79,35997.94,44502.80,SPT
2021-01-01 01:02:00,26165.52,-151.69,35997.94,44502.80,SPT
2021-01-01 01:03:00,26165.52,-151.59,35997.84,44502.80,SPT
2021-01-01 01:04:00,26165.62,-151.40,35997.84,44502.90,SPT
2021-01-01 01:05:00,26165.73,-151.30,35997.84,44502.90,SPT
2021-01-01 01:06:00,26165.73,-151.20,35997.94,44502.90,SPT
2021-01-01 01:07:00,26165.93,-151.20,35997.84,44503.00,SPT
2021-01-01 01:08:00,26165.93,-151.10,35997.94,44503.10,SPT
2021-01-01 01:09:00,26166.03,-151.20,35997.94,44503.10,SPT
2021-01-01 01:10:00,26166.13,-151.10,35997.84,44503.10,SPT
2021-01-01 01:11:00,26166.03,-151.10,35997.94,44503.10,SPT
2021-01-01 01:12:00,26166.03,-151.10,35997.94,44503.10,SPT
2021-01-01 01:13:00,26166.03,-151.10,35997.94,44503.20,SPT
2021-01-01 01:14:00,26166.03,-151.10,35997.94,44503.20,SPT
2021-01-01 01:15:00,26166.13,-151.20,35997.94,44503.20,SPT
2021-01-01 01:16:00,26166.23,-151.30,35997.94,44503.30,SPT
2021-01-01 01:17:00,26166.33,-151.30,35997.94,44503.30,SPT
2021-01-01 01:18:00,26166.33,-151.30,35997.94,44503.30,SPT
2021-01-01 01:19:00,26166.43,-151.31,35997.94,44503.40,SPT
2021-01-01 01:20:00,26166.53,-151.21,35997.94,44503.40,SPT
2021-01-01 01:21:00,26166.63,-151.21,35997.94,44503.50,SPT
2021-01-01 01:22:00,26166.73,-151.21,35997.94,44503.60,SPT
2021-01-01 01:23:00,26166.63,-151.11,35997.94,44503.60,SPT
2021-01-01 01:24:00,26166.73,-151.11,35997.94,44503.60,SPT
2021-01-01 01:25:00,26166.73,-151.11,35997.94,44503.60,SPT
2021-01-01 01:26:00,26166.83,-151.21,35998.04,44503.60,SPT
2021-01-01 01:27:00,26166.62,-151.41,35998.04,44503.60,SPT
2021-01-01 01:28:00,26166.52,-151.41,35998.04,44503.50,SPT
2021-01-01 01:29:00,26166.42,-151.41,35998.04,44503.40,SPT
2021-01-01 01:30:00,26166.32,-151.50,35998.04,44503.40,SPT
2021-01-01 01:31:00,26166.42,-151.61,35998.04,44503.40,SPT
2021-01-01 01:32:00,26166.52,-151.71,35998.04,44503.50,SPT
2021-01-01 01:33:00,26166.42,-151.71,35998.04,44503.50,SPT
2021-01-01 01:34:00,26166.42,-151.81,35998.04,44503.40,SPT
2021-01-01 01:35:00,26166.42,-151.91,35998.04,44503.40,SPT
2021-01-01 01:36:00,26166.32,-152.01,35998.04,44503.40,SPT
2021-01-01 01:37:00,26166.32,-152.01,35998.04,44503.40,SPT
2021-01-01 01:38:00,26166.22,-152.00,35998.04,44503.30,SPT
2021-01-01 01:39:00,26166.22,-151.90,35998.04,44503.30,SPT
2021-01-01 01:40:00,26166.12,-151.90,35998.04,44503.20,SPT
2021-01-01 01:41:00,26166.12,-151.90,35997.94,44503.20,SPT
2021-01-01 01:42:00,26166.12,-151.90,35997.94,44503.20,SPT
2021-01-01 01:43:00,26166.12,-151.80,35997.94,44503.20,SPT
2021-01-01 01:44:00,26166.12,-151.80,35997.94,44503.20,SPT
2021-01-01 01:45:00,26166.02,-151.90,35997.94,44503.20,SPT
2021-01-01 01:46:00,26166.02,-151.90,35997.94,44503.20,SPT
2021-01-01 01:47:00,26166.02,-151.90,35997.94,44503.20,SPT
2021-01-01 01:48:00,26166.02,-152.00,35997.94,44503.20,SPT
2021-01-01 01:49:00,26166.02,-152.00,35997.94,44503.10,SPT
2021-01-01 01:50:00,26166.02,-151.90,35997.94,44503.10,SPT
2021-01-01 01:51:00,26166.12,-151.90,35997.94,44503.10,SPT
2021-01-01 01:52:00,26166.12,-152.00,35997.84,44503.20,SPT
2021-01-01 01:53:00,26166.12,-152.00,35997.84,44503.20,SPT
2021-01-01 01:54:00,26166.22,-152.00,35997.84,44503.20,SPT
2021-01-01 01:55:00,26166.22,-151.90,35997.84,44503.20,SPT
2021-01-01 01:56:00,26166.12,-151.90,35997.94,44503.20,SPT
2021-01-01 01:57:00,26166.12,-152.00,35997.94,44503.10,SPT
2021-01-01 01:58:00,26166.12,-152.00,35997.94,44503.10,SPT
2021-01-01 01:59:00,26166.02,-152.00,35997.94,44503.10,SPT
2021-01-01 02:00:00,26166.12,-152.00,35997.94,44503.20,SPT
2021-01-01 02:01:00,26166.31,-152.11,35997.94,44503.20,SPT
2021-01-01 02:02:00,26166.31,-152.21,35997.84,44503.30,SPT
2021-01-01 02:03:00,26166.51,-152.21,35997.94,44503.40,SPT
2021-01-01 02:04:00,26166.71,-152.31,35997.84,44503.50,SPT
2021-01-01 02:05:00,26166.81,-152.31,35997.94,44503.60,SPT
2021-01-01 02:06:00,26166.91,-152.41,35997.94,44503.60,SPT
2021-01-01 02:07:00,26166.91,-152.51,35997.84,44503.70,SPT
2021-01-01 02:08:00,26167.01,-152.52,35997.84,44503.70,SPT
2021-01-01 02:09:00,26167.11,-152.52,35997.94,44503.70,SPT
2021-01-01 02:10:00,26167.11,-152.52,35997.94,44503.80,SPT
2021-01-01 02:11:00,26167.11,-152.52,35997.94,44503.80,SPT
2021-01-01 02:12:00,26167.11,-152.62,35997.94,44503.80,SPT
2021-01-01 02:13:00,26167.11,-152.52,35997.94,44503.80,SPT
2021-01-01 02:14:00,26167.11,-152.52,35997.94,44503.80,SPT
2021-01-01 02:15:00,26167.11,-152.52,35997.94,44503.80,SPT
2021-01-01 02:16:00,26167.21,-152.42,35997.94,44503.80,SPT
2021-01-01 02:17:00,26167.11,-152.42,35997.94,44503.80,SPT
2021-01-01 02:18:00,26167.01,-152.31,35997.94,44503.70,SPT
2021-01-01 02:19:00,26167.01,-152.21,35997.94,44503.70,SPT
2021-01-01 02:20:00,26166.91,-152.11,35998.04,44503.60,SPT
2021-01-01 02:21:00,26166.92,-152.01,35997.94,44503.70,SPT
2021-01-01 02:22:00,26166.92,-152.01,35998.04,44503.60,SPT
2021-01-01 02:23:00,26166.82,-151.91,35997.94,44503.60,SPT
2021-01-01 02:24:00,26166.72,-151.91,35997.94,44503.60,SPT
2021-01-01 02:25:00,26166.62,-151.81,35997.94,44503.50,SPT
