Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,19229.02,-6022.07,46644.39,50847.09,STJ
2021-01-01 00:01:00,19229.07,-6022.00,46644.26,50846.96,STJ
2021-01-01 00:02:00,19229.24,-6022.30,46644.77,50847.45,STJ
2021-01-01 00:03:00,19229.07,-6022.37,46644.77,50847.38,STJ
2021-01-01 00:04:00,19229.01,-6022.14,46644.47,50847.08,STJ
2021-01-01 00:05:00,19228.96,-6022.13,46644.26,50846.88,STJ
2021-01-01 00:06:00,19229.38,-6021.89,46644.05,50846.84,STJ
2021-01-01 00:07:00,19229.86,-6021.70,46643.73,50846.76,STJ
2021-01-01 00:08:00,19230.63,-6021.75,46644.07,50847.33,STJ
2021-01-01 00:09:00,19230.93,-6021.78,46644.32,50847.69,STJ
2021-01-01 00:10:00,19230.64,-6021.60,46644.11,50847.37,STJ
2021-01-01 00:11:00,19230.38,-6021.60,46644.04,50847.20,STJ
2021-01-01 00:12:00,19230.19,-6021.44,46643.88,50846.88,STJ
2021-01-01 00:13:00,19229.86,-6021.25,46643.50,50846.34,STJ
2021-01-01 00:14:00,19229.72,-6020.87,46643.07,50845.90,STJ
2021-01-01 00:15:00,19229.68,-6020.95,46643.20,50845.99,STJ
2021-01-01 00:16:00,19229.70,-6020.91,46643.28,50846.11,STJ
2021-01-01 00:17:00,19229.61,-6021.10,46643.45,50846.25,STJ
2021-01-01 00:18:00,19229.59,-6021.16,46643.46,50846.32,STJ
2021-01-01 00:19:00,19229.43,-6021.10,46643.33,50846.09,STJ
2021-01-01 00:20:00,19229.42,-6021.19,46643.31,50846.07,STJ
2021-01-01 00:21:00,19229.21,-6021.01,46643.00,50845.66,STJ
2021-01-01 00:22:00,19229.06,-6020.76,46642.74,50845.33,STJ
2021-01-01 00:23:00,19229.08,-6020.47,46642.46,50844.98,STJ
2021-01-01 00:24:00,19229.08,-6020.41,46642.38,50844.92,STJ
2021-01-01 00:25:00,19229.43,-6020.53,46642.64,50845.24,STJ
2021-01-01 00:26:00,19229.72,-6020.89,46643.09,50845.86,STJ
2021-01-01 00:27:00,19229.87,-6021.30,46643.51,50846.47,STJ
2021-01-01 00:28:00,19229.82,-6021.37,46643.57,50846.52,STJ
2021-01-01 00:29:00,19229.66,-6021.35,46643.37,50846.27,STJ
2021-01-01 00:30:00,19229.46,-6021.13,46643.04,50845.83,STJ
2021-01-01 00:31:00,19229.25,-6020.89,46642.66,50845.30,STJ
2021-01-01 00:32:00,19229.17,-6020.75,46642.45,50845.03,STJ
2021-01-01 00:33:00,19229.22,-6020.73,46642.39,50845.00,STJ
2021-01-01 00:34:00,19229.35,-6020.70,46642.52,50845.17,STJ
2021-01-01 00:35:00,19229.37,-6020.78,46642.53,50845.23,STJ
2021-01-01 00:36:00,19229.34,-6020.84,46642.69,50845.39,STJ
2021-01-01 00:37:00,19229.36,-6020.98,46642.81,50845.53,STJ
2021-01-01 00:38:00,19229.24,-6020.98,46642.73,50845.45,STJ
2021-01-01 00:39:00,19229.30,-6021.16,46642.85,50845.59,STJ
2021-01-01 00:40:00,19229.30,-6021.22,46642.85,50845.56,STJ
2021-01-01 00:41:00,19229.04,-6021.00,46642.55,50845.14,STJ
2021-01-01 00:42:00,19228.85,-6020.96,46642.48,50844.98,STJ
2021-01-01 00:43:00,19228.65,-6020.88,46642.38,50844.81,STJ
2021-01-01 00:44:00,19228.65,-6020.85,46642.36,50844.79,STJ
2021-01-01 00:45:00,19228.73,-6020.90,46642.35,50844.83,STJ
2021-01-01 00:46:00,19228.72,-6020.84,46642.19,50844.68,STJ
2021-01-01 00:47:00,19228.75,-6020.70,46642.00,50844.48,STJ
2021-01-01 00:48:00,19228.54,-6020.48,46641.69,50844.12,STJ
2021-01-01 00:49:00,19228.71,-6020.70,46641.93,50844.45,STJ
2021-01-01 00:50:00,19228.65,-6020.72,46642.00,50844.42,STJ
2021-01-01 00:51:00,19228.83,-6020.72,46642.11,50844.53,STJ
2021-01-01 00:52:00,19228.83,-6020.77,46642.19,50844.62,STJ
2021-01-01 00:53:00,19228.80,-6020.76,46642.14,50844.58,STJ
2021-01-01 00:54:00,19228.73,-6020.62,46641.99,50844.40,STJ
2021-01-01 00:55:00,19228.76,-6020.57,46641.93,50844.33,STJ
2021-01-01 00:56:00,19228.83,-6020.58,46641.98,50844.40,STJ
2021-01-01 00:57:00,19228.90,-6020.69,46642.11,50844.67,STJ
2021-01-01 00:58:00,19229.03,-6020.75,46642.20,50844.71,STJ
2021-01-01 00:59:00,19229.12,-6020.84,46642.28,50844.87,STJ
2021-01-01 01:00:00,19229.19,-6020.94,46642.25,50844.84,STJ
2021-01-01 01:01:00,19229.09,-6020.88,46642.16,50844.79,STJ
2021-01-01 01:02:00,19229.04,-6020.85,46642.08,50844.68,STJ
2021-01-01 01:03:00,19229.01,-6020.81,46642.02,50844.66,STJ
2021-01-01 01:04:00,19228.98,-6020.85,46642.01,50844.64,STJ
2021-01-01 01:05:00,19228.93,-6020.84,46641.98,50844.55,STJ
2021-01-01 01:06:00,19228.91,-6020.74,46641.82,50844.40,STJ
2021-01-01 01:07:00,19228.96,-6020.61,46641.71,50844.21,STJ
2021-01-01 01:08:00,19228.95,-6020.47,46641.57,50844.09,STJ
2021-01-01 01:09:00,19228.95,-6020.34,46641.50,50843.98,STJ
2021-01-01 01:10:00,19228.91,-6020.23,46641.37,50843.89,STJ
2021-01-01 01:11:00,19228.81,-6020.10,46641.20,50843.68,STJ
2021-01-01 01:12:00,19228.81,-6019.97,46641.13,50843.61,STJ
2021-01-01 01:13:00,19228.79,-6019.94,46641.10,50843.58,STJ
2021-01-01 01:14:00,19228.78,-6019.88,46640.96,50843.49,STJ
2021-01-01 01:15:00,19228.92,-6019.75,46640.79,50843.29,STJ
2021-01-01 01:16:00,19228.98,-6019.67,46640.68,50843.19,STJ
2021-01-01 01:17:00,19229.04,-6019.58,46640.77,50843.24,STJ
2021-01-01 01:18:00,19229.06,-6019.50,46640.74,50843.25,STJ
2021-01-01 01:19:00,19228.98,-6019.42,46640.58,50843.05,STJ
2021-01-01 01:20:00,19228.95,-6019.25,46640.41,50842.87,STJ
2021-01-01 01:21:00,19228.95,-6019.07,46640.22,50842.66,STJ
2021-01-01 01:22:00,19228.94,-6018.80,46639.96,50842.46,STJ
2021-01-01 01:23:00,19228.95,-6018.62,46639.88,50842.29,STJ
2021-01-01 01:24:00,19228.83,-6018.61,46639.79,50842.20,STJ
2021-01-01 01:25:00,19228.79,-6018.57,46639.80,50842.20,STJ
2021-01-01 01:26:00,19228.94,-6018.71,46640.14,50842.46,STJ
2021-01-01 01:27:00,19228.95,-6018.87,46640.43,50842.82,STJ
2021-01-01 01:28:00,19228.96,-6019.03,46640.57,50843.02,STJ
2021-01-01 01:29:00,19228.98,-6019.09,46640.70,50843.11,STJ
2021-01-01 01:30:00,19228.95,-6019.31,46640.87,50843.30,STJ
2021-01-01 01:31:00,19228.97,-6019.42,46640.96,50843.45,STJ
2021-01-01 01:32:00,19229.04,-6019.48,46641.03,50843.52,STJ
2021-01-01 01:33:00,19229.12,-6019.56,46641.08,50843.61,STJ
2021-01-01 01:34:00,19229.18,-6019.69,46641.19,50843.75,STJ
2021-01-01 01:35:00,19229.31,-6019.83,46641.43,50844.02,STJ
2021-01-01 01:36:00,19229.31,-6019.96,46641.59,50844.11,STJ
2021-01-01 01:37:00,19229.28,-6020.07,46641.58,50844.12,STJ
2021-01-01 01:38:00,19229.18,-6020.10,46641.48,50844.07,STJ
2021-01-01 01:39:00,19229.13,-6020.10,46641.44,50844.02,STJ
2021-01-01 01:40:00,19229.07,-6020.16,46641.43,50843.98,STJ
2021-01-01 01:41:00,19229.03,-6020.22,46641.38,50843.91,STJ
2021-01-01 01:42:00,19229.07,-6020.23,46641.39,50843.96,STJ
2021-01-01 01:43:00,19229.06,-6020.29,46641.36,50843.93,STJ
2021-01-01 01:44:00,19229.00,-6020.33,46641.34,50843.88,STJ
2021-01-01 01:45:00,19228.97,-6020.35,46641.39,50843.88,STJ
2021-01-01 01:46:00,19228.89,-6020.29,46641.29,50843.78,STJ
2021-01-01 01:47:00,19228.85,-6020.22,46641.21,50843.68,STJ
2021-01-01 01:48:00,19228.83,-6020.22,46641.19,50843.59,STJ
2021-01-01 01:49:00,19228.66,-6020.21,46641.05,50843.50,STJ
2021-01-01 01:50:00,19228.58,-6020.17,46640.90,50843.29,STJ
2021-01-01 01:51:00,19228.54,-6020.17,46640.90,50843.34,STJ
2021-01-01 01:52:00,19228.51,-6020.34,46641.05,50843.50,STJ
2021-01-01 01:53:00,19228.52,-6020.43,46641.05,50843.48,STJ
2021-01-01 01:54:00,19228.58,-6020.49,46641.10,50843.51,STJ
2021-01-01 01:55:00,19228.51,-6020.47,46641.04,50843.39,STJ
2021-01-01 01:56:00,19228.36,-6020.36,46640.90,50843.24,STJ
2021-01-01 01:57:00,19228.26,-6020.32,46640.83,50843.15,STJ
2021-01-01 01:58:00,19228.22,-6020.22,46640.79,50843.02,STJ
2021-01-01 01:59:00,19228.13,-6020.23,46640.70,50842.95,STJ
2021-01-01 02:00:00,19228.11,-6020.19,46640.64,50842.94,STJ
2021-01-01 02:01:00,19228.22,-6020.29,46640.70,50843.08,STJ
2021-01-01 02:02:00,19228.29,-6020.30,46640.74,50843.13,STJ
2021-01-01 02:03:00,19228.42,-6020.01,46640.72,50843.13,STJ
2021-01-01 02:04:00,19228.60,-6020.35,46640.77,50843.26,STJ
2021-01-01 02:05:00,19228.73,-6020.41,46640.85,50843.34,STJ
2021-01-01 02:06:00,19228.81,-6020.36,46640.91,50843.37,STJ
2021-01-01 02:07:00,19228.87,-6020.33,46640.94,50843.42,STJ
2021-01-01 02:08:00,19228.85,-6020.43,46640.99,50843.51,STJ
2021-01-01 02:09:00,19228.88,-6020.54,46641.02,50843.54,STJ
2021-01-01 02:10:00,19228.88,-6020.54,46640.94,50843.50,STJ
2021-01-01 02:11:00,19228.91,-6020.51,46640.92,50843.47,STJ
2021-01-01 02:12:00,19228.88,-6020.51,46640.84,50843.42,STJ
2021-01-01 02:13:00,19228.89,-6020.49,46640.79,50843.38,STJ
2021-01-01 02:14:00,19228.91,-6020.52,46640.72,50843.29,STJ
2021-01-01 02:15:00,19228.94,-6020.47,46640.71,50843.25,STJ
2021-01-01 02:16:00,19228.97,-6020.47,46640.71,50843.34,STJ
2021-01-01 02:17:00,19228.95,-6020.42,46640.78,50843.27,STJ
2021-01-01 02:18:00,19228.88,-6020.45,46640.77,50843.23,STJ
2021-01-01 02:19:00,19228.74,-6020.46,46640.68,50843.14,STJ
2021-01-01 02:20:00,19228.60,-6020.45,46640.67,50843.10,STJ
2021-01-01 02:21:00,19228.57,-6020.38,46640.55,50842.99,STJ
2021-01-01 02:22:00,19228.41,-6020.32,46640.43,50842.81,STJ
2021-01-01 02:23:00,19228.31,-6020.36,46640.47,50842.85,STJ
2021-01-01 02:24:00,19228.19,-6020.29,46640.36,50842.69,STJ
2021-01-01 02:25:00,19228.07,-6020.34,46640.27,50842.58,STJ
2021-01-01 02:26:00,19227.99,-6020.18,46640.15,50842.34,STJ
2021-01-01 02:27:00,19227.77,-6020.09,46640.00,50842.10,STJ
2021-01-01 02:28:00,19227.59,-6019.94,46639.87,50841.78,STJ
2021-01-01 02:29:00,19227.45,-6019.71,46639.54,50841.55,STJ
2021-01-01 02:30:00,19227.44,-6019.62,46639.54,50841.47,STJ
2021-01-01 02:31:00,19227.28,-6019.58,46639.48,50841.44,STJ
2021-01-01 02:32:00,19227.13,-6019.68,46639.68,50841.54,STJ
2021-01-01 02:33:00,19226.94,-6019.72,46639.78,50841.52,STJ
2021-01-01 02:34:00,19226.69,-6019.77,46639.76,50841.47,STJ
2021-01-01 02:35:00,19226.54,-6019.75,46639.72,50841.34,STJ
2021-01-01 02:36:00,19226.42,-6019.74,46639.73,50841.32,STJ
2021-01-01 02:37:00,19226.35,-6019.81,46639.79,50841.41,STJ
2021-01-01 02:38:00,19226.35,-6019.91,46639.89,50841.49,STJ
2021-01-01 02:39:00,19226.35,-6020.02,46640.01,50841.59,STJ
2021-01-01 02:40:00,19226.42,-6020.07,46640.12,50841.71,STJ
2021-01-01 02:41:00,19226.50,-6020.17,46640.24,50841.85,STJ
2021-01-01 02:42:00,19226.49,-6020.22,46640.27,50841.89,STJ
2021-01-01 02:43:00,19226.51,-6020.32,46640.34,50842.00,STJ
2021-01-01 02:44:00,19226.56,-6020.25,46640.33,50841.97,STJ
2021-01-01 02:45:00,19226.55,-6020.24,46640.21,50841.92,STJ
2021-01-01 02:46:00,19226.59,-6020.29,46640.22,50841.96,STJ
2021-01-01 02:47:00,19226.67,-6020.24,46640.22,50842.00,STJ
2021-01-01 02:48:00,19226.73,-6020.33,46640.28,50842.05,STJ
2021-01-01 02:49:00,19226.77,-6020.23,46640.18,50841.96,STJ
2021-01-01 02:50:00,19226.83,-6020.25,46640.16,50841.94,STJ
2021-01-01 02:51:00,19226.88,-6020.22,46640.12,50841.95,STJ
2021-01-01 02:52:00,19226.92,-6020.24,46640.06,50841.97,STJ
2021-01-01 02:53:00,19227.03,-6020.22,46640.15,50842.01,STJ
2021-01-01 02:54:00,19227.08,-6020.17,46640.05,50841.94,STJ
2021-01-01 02:55:00,19227.15,-6020.07,46639.96,50841.92,STJ
2021-01-01 02:56:00,19227.20,-6020.23,46640.14,50842.13,STJ
2021-01-01 02:57:00,19227.22,-6020.40,46640.34,50842.29,STJ
2021-01-01 02:58:00,19227.20,-6020.52,46640.40,50842.48,STJ
2021-01-01 02:59:00,19227.23,-6020.65,46640.50,50842.53,STJ
2021-01-01 03:00:00,19227.23,-6020.63,46640.46,50842.43,STJ
2021-01-01 03:01:00,19227.23,-6020.60,46640.45,50842.41,STJ
2021-01-01 03:02:00,19227.46,-6020.76,46640.74,50842.70,STJ
2021-01-01 03:03:00,19227.46,-6020.90,46640.78,50842.87,STJ
2021-01-01 03:04:00,19227.60,-6021.11,46641.00,50843.10,STJ
2021-01-01 03:05:00,19227.75,-6021.29,46641.16,50843.30,STJ
2021-01-01 03:06:00,19227.86,-6021.31,46641.12,50843.37,STJ
2021-01-01 03:07:00,19227.95,-6021.42,46641.18,50843.50,STJ
2021-01-01 03:08:00,19227.90,-6021.50,46641.14,50843.45,STJ
2021-01-01 03:09:00,19227.78,-6021.55,46641.09,50843.36,STJ
2021-01-01 03:10:00,19227.58,-6021.50,46640.93,50843.16,STJ
2021-01-01 03:11:00,19227.42,-6021.50,46640.88,50843.02,STJ
2021-01-01 03:12:00,19227.37,-6021.51,46640.90,50842.98,STJ
2021-01-01 03:13:00,19227.27,-6021.46,46640.79,50842.84,STJ
2021-01-01 03:14:00,19227.14,-6021.39,46640.61,50842.62,STJ
2021-01-01 03:15:00,19227.04,-6021.41,46640.50,50842.53,STJ
2021-01-01 03:16:00,19227.02,-6021.28,46640.36,50842.37,STJ
2021-01-01 03:17:00,19227.07,-6021.30,46640.34,50842.37,STJ
2021-01-01 03:18:00,19227.15,-6021.19,46640.25,50842.28,STJ
2021-01-01 03:19:00,19227.17,-6021.18,46640.23,50842.24,STJ
2021-01-01 03:20:00,19227.22,-6021.12,46640.24,50842.25,STJ
2021-01-01 03:21:00,19227.23,-6021.08,46640.18,50842.24,STJ
2021-01-01 03:22:00,19227.21,-6021.01,46640.13,50842.12,STJ
2021-01-01 03:23:00,19227.17,-6020.83,46640.05,50842.02,STJ
2021-01-01 03:24:00,19227.22,-6020.87,46640.12,50842.09,STJ
2021-01-01 03:25:00,19227.17,-6020.98,46640.12,50842.11,STJ
2021-01-01 03:26:00,19227.10,-6020.92,46640.08,50842.03,STJ
2021-01-01 03:27:00,19227.04,-6020.80,46639.97,50841.91,STJ
2021-01-01 03:28:00,19227.00,-6020.81,46639.99,50841.94,STJ
2021-01-01 03:29:00,19226.96,-6020.84,46640.03,50841.87,STJ
2021-01-01 03:30:00,19226.79,-6020.69,46639.82,50841.68,STJ
2021-01-01 03:31:00,19226.79,-6020.51,46639.82,50841.64,STJ
2021-01-01 03:32:00,19226.81,-6020.63,46639.90,50841.68,STJ
2021-01-01 03:33:00,19226.94,-6020.65,46640.03,50841.85,STJ
2021-01-01 03:34:00,19226.98,-6020.77,46640.16,50841.99,STJ
2021-01-01 03:35:00,19227.02,-6020.85,46640.14,50842.05,STJ
2021-01-01 03:36:00,19227.08,-6020.83,46640.12,50842.03,STJ
2021-01-01 03:37:00,19227.12,-6020.85,46640.12,50842.07,STJ
2021-01-01 03:38:00,19227.18,-6020.86,46640.09,50842.17,STJ
2021-01-01 03:39:00,19227.23,-6020.93,46640.10,50842.20,STJ
