Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,22585.42,2359.14,43038.60,48663.38,SUA
2021-01-01 00:01:00,22585.32,2359.20,43038.60,48663.37,SUA
2021-01-01 00:02:00,22585.32,2359.20,43038.50,48663.37,SUA
2021-01-01 00:03:00,22585.30,2359.40,43038.50,48663.34,SUA
2021-01-01 00:04:00,22585.19,2359.45,43038.50,48663.34,SUA
2021-01-01 00:05:00,22585.12,2359.18,43038.50,48663.30,SUA
2021-01-01 00:06:00,22585.56,2358.76,43038.30,48663.24,SUA
2021-01-01 00:07:00,22585.91,2358.33,43038.10,48663.23,SUA
2021-01-01 00:08:00,22586.63,2358.14,43037.80,48663.37,SUA
2021-01-01 00:09:00,22586.89,2358.57,43037.90,48663.50,SUA
2021-01-01 00:10:00,22586.62,2359.27,43038.20,48663.66,SUA
2021-01-01 00:11:00,22586.39,2359.51,43038.40,48663.78,SUA
2021-01-01 00:12:00,22586.29,2359.50,43038.50,48663.84,SUA
2021-01-01 00:13:00,22586.10,2359.41,43038.60,48663.78,SUA
2021-01-01 00:14:00,22585.99,2359.47,43038.60,48663.74,SUA
2021-01-01 00:15:00,22585.88,2359.59,43038.60,48663.75,SUA
2021-01-01 00:16:00,22585.65,2359.83,43038.70,48663.71,SUA
2021-01-01 00:17:00,22585.25,2359.86,43038.80,48663.61,SUA
2021-01-01 00:18:00,22585.05,2359.84,43038.70,48663.53,SUA
2021-01-01 00:19:00,22585.06,2359.77,43038.70,48663.47,SUA
2021-01-01 00:20:00,22585.18,2359.58,43038.60,48663.41,SUA
2021-01-01 00:21:00,22585.30,2359.33,43038.50,48663.33,SUA
2021-01-01 00:22:00,22585.34,2358.94,43038.40,48663.27,SUA
2021-01-01 00:23:00,22585.48,2358.62,43038.20,48663.16,SUA
2021-01-01 00:24:00,22585.71,2358.31,43038.10,48663.15,SUA
2021-01-01 00:25:00,22585.94,2358.07,43038.00,48663.18,SUA
2021-01-01 00:26:00,22586.05,2357.95,43038.00,48663.20,SUA
2021-01-01 00:27:00,22586.15,2357.96,43038.00,48663.27,SUA
2021-01-01 00:28:00,22586.24,2358.10,43038.10,48663.33,SUA
2021-01-01 00:29:00,22586.23,2358.17,43038.10,48663.41,SUA
2021-01-01 00:30:00,22586.33,2358.18,43038.10,48663.46,SUA
2021-01-01 00:31:00,22586.33,2358.18,43038.20,48663.51,SUA
2021-01-01 00:32:00,22586.44,2358.06,43038.20,48663.53,SUA
2021-01-01 00:33:00,22586.65,2357.95,43038.20,48663.56,SUA
2021-01-01 00:34:00,22586.67,2357.81,43038.10,48663.55,SUA
2021-01-01 00:35:00,22586.58,2357.67,43038.10,48663.54,SUA
2021-01-01 00:36:00,22586.58,2357.74,43038.10,48663.57,SUA
2021-01-01 00:37:00,22586.58,2357.74,43038.20,48663.60,SUA
2021-01-01 00:38:00,22586.57,2357.80,43038.20,48663.64,SUA
2021-01-01 00:39:00,22586.57,2357.80,43038.20,48663.67,SUA
2021-01-01 00:40:00,22586.57,2357.80,43038.30,48663.67,SUA
2021-01-01 00:41:00,22586.26,2357.90,43038.40,48663.64,SUA
2021-01-01 00:42:00,22586.24,2358.03,43038.40,48663.66,SUA
2021-01-01 00:43:00,22586.14,2358.02,43038.40,48663.66,SUA
2021-01-01 00:44:00,22586.26,2357.90,43038.40,48663.65,SUA
2021-01-01 00:45:00,22586.27,2357.77,43038.30,48663.62,SUA
2021-01-01 00:46:00,22586.28,2357.64,43038.30,48663.56,SUA
2021-01-01 00:47:00,22586.18,2357.63,43038.30,48663.51,SUA
2021-01-01 00:48:00,22586.08,2357.69,43038.30,48663.50,SUA
2021-01-01 00:49:00,22586.28,2357.71,43038.30,48663.52,SUA
2021-01-01 00:50:00,22586.28,2357.64,43038.30,48663.53,SUA
2021-01-01 00:51:00,22586.38,2357.65,43038.30,48663.59,SUA
2021-01-01 00:52:00,22586.38,2357.72,43038.30,48663.60,SUA
2021-01-01 00:53:00,22586.38,2357.72,43038.30,48663.63,SUA
2021-01-01 00:54:00,22586.57,2357.80,43038.30,48663.66,SUA
2021-01-01 00:55:00,22586.57,2357.80,43038.30,48663.70,SUA
2021-01-01 00:56:00,22586.66,2357.88,43038.30,48663.73,SUA
2021-01-01 00:57:00,22586.75,2357.96,43038.40,48663.78,SUA
2021-01-01 00:58:00,22586.75,2358.02,43038.30,48663.78,SUA
2021-01-01 00:59:00,22586.75,2358.02,43038.40,48663.81,SUA
2021-01-01 01:00:00,22586.74,2358.09,43038.40,48663.82,SUA
2021-01-01 01:01:00,22586.73,2358.15,43038.40,48663.85,SUA
2021-01-01 01:02:00,22586.73,2358.22,43038.40,48663.87,SUA
2021-01-01 01:03:00,22586.82,2358.29,43038.50,48663.91,SUA
2021-01-01 01:04:00,22587.02,2358.32,43038.40,48663.97,SUA
2021-01-01 01:05:00,22587.10,2358.46,43038.40,48664.02,SUA
2021-01-01 01:06:00,22587.19,2358.60,43038.40,48664.07,SUA
2021-01-01 01:07:00,22587.30,2358.54,43038.40,48664.13,SUA
2021-01-01 01:08:00,22587.29,2358.61,43038.40,48664.13,SUA
2021-01-01 01:09:00,22587.39,2358.55,43038.30,48664.15,SUA
2021-01-01 01:10:00,22587.39,2358.62,43038.40,48664.15,SUA
2021-01-01 01:11:00,22587.29,2358.61,43038.40,48664.14,SUA
2021-01-01 01:12:00,22587.29,2358.61,43038.40,48664.13,SUA
2021-01-01 01:13:00,22587.30,2358.54,43038.40,48664.12,SUA
2021-01-01 01:14:00,22587.20,2358.53,43038.40,48664.10,SUA
2021-01-01 01:15:00,22587.21,2358.40,43038.40,48664.08,SUA
2021-01-01 01:16:00,22587.22,2358.34,43038.40,48664.05,SUA
2021-01-01 01:17:00,22587.22,2358.27,43038.40,48664.01,SUA
2021-01-01 01:18:00,22587.34,2358.15,43038.30,48664.01,SUA
