Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,33855.99,374.01,17139.48,37949.00,TAM
2021-01-01 00:01:00,33856.07,374.06,17139.45,37949.08,TAM
2021-01-01 00:02:00,33856.25,374.08,17139.44,37949.22,TAM
2021-01-01 00:03:00,33856.38,374.15,17139.45,37949.31,TAM
2021-01-01 00:04:00,33856.36,374.27,17139.40,37949.32,TAM
2021-01-01 00:05:00,33856.43,374.20,17139.36,37949.41,TAM
2021-01-01 00:06:00,33856.61,374.00,17139.38,37949.55,TAM
2021-01-01 00:07:00,33856.84,373.85,17139.37,37949.74,TAM
2021-01-01 00:08:00,33857.29,373.81,17139.33,37950.11,TAM
2021-01-01 00:09:00,33857.41,373.91,17139.31,37950.22,TAM
2021-01-01 00:10:00,33857.21,374.13,17139.34,37950.09,TAM
2021-01-01 00:11:00,33856.98,374.27,17139.42,37949.90,TAM
2021-01-01 00:12:00,33856.92,374.29,17139.38,37949.83,TAM
2021-01-01 00:13:00,33856.78,374.29,17139.45,37949.74,TAM
2021-01-01 00:14:00,33856.81,374.35,17139.45,37949.76,TAM
2021-01-01 00:15:00,33856.85,374.40,17139.42,37949.78,TAM
2021-01-01 00:16:00,33856.76,374.49,17139.44,37949.71,TAM
2021-01-01 00:17:00,33856.55,374.54,17139.37,37949.52,TAM
2021-01-01 00:18:00,33856.43,374.44,17139.40,37949.39,TAM
2021-01-01 00:19:00,33856.26,374.31,17139.43,37949.30,TAM
2021-01-01 00:20:00,33856.28,374.17,17139.45,37949.32,TAM
2021-01-01 00:21:00,33856.26,374.03,17139.40,37949.32,TAM
2021-01-01 00:22:00,33856.32,373.89,17139.38,37949.36,TAM
2021-01-01 00:23:00,33856.38,373.72,17139.31,37949.37,TAM
2021-01-01 00:24:00,33856.49,373.54,17139.29,37949.51,TAM
2021-01-01 00:25:00,33856.73,373.47,17139.26,37949.65,TAM
2021-01-01 00:26:00,33856.93,373.46,17139.26,37949.80,TAM
2021-01-01 00:27:00,33856.98,373.41,17139.27,37949.87,TAM
2021-01-01 00:28:00,33857.01,373.31,17139.30,37949.87,TAM
2021-01-01 00:29:00,33856.98,373.40,17139.31,37949.85,TAM
2021-01-01 00:30:00,33857.01,373.43,17139.30,37949.89,TAM
2021-01-01 00:31:00,33857.06,373.45,17139.33,37949.89,TAM
2021-01-01 00:32:00,33857.13,373.41,17139.34,37949.94,TAM
