Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,9117.63,-3472.90,-22348.42,24385.17,TDC
2021-01-01 00:01:00,9117.79,-3472.74,-22348.42,24385.19,TDC
2021-01-01 00:02:00,9117.98,-3472.72,-22348.55,24385.36,TDC
2021-01-01 00:03:00,9118.08,-3472.53,-22348.55,24385.40,TDC
2021-01-01 00:04:00,9118.27,-3472.41,-22348.59,24385.53,TDC
2021-01-01 00:05:00,9118.47,-3472.36,-22348.70,24385.71,TDC
2021-01-01 00:06:00,9118.58,-3472.63,-22348.87,24385.89,TDC
2021-01-01 00:07:00,9118.62,-3472.66,-22348.83,24385.90,TDC
2021-01-01 00:08:00,9118.63,-3472.75,-22348.85,24385.91,TDC
2021-01-01 00:09:00,9118.56,-3472.90,-22348.80,24385.83,TDC
2021-01-01 00:10:00,9118.33,-3472.97,-22348.69,24385.64,TDC
2021-01-01 00:11:00,9118.11,-3473.02,-22348.49,24385.43,TDC
2021-01-01 00:12:00,9118.08,-3473.04,-22348.45,24385.37,TDC
2021-01-01 00:13:00,9118.06,-3472.94,-22348.42,24385.32,TDC
2021-01-01 00:14:00,9118.08,-3472.85,-22348.40,24385.32,TDC
2021-01-01 00:15:00,9118.20,-3472.70,-22348.44,24385.38,TDC
2021-01-01 00:16:00,9118.23,-3472.75,-22348.48,24385.45,TDC
2021-01-01 00:17:00,9118.25,-3472.65,-22348.50,24385.47,TDC
2021-01-01 00:18:00,9118.26,-3472.74,-22348.57,24385.52,TDC
2021-01-01 00:19:00,9118.27,-3472.73,-22348.54,24385.46,TDC
2021-01-01 00:20:00,9118.29,-3472.81,-22348.53,24385.51,TDC
2021-01-01 00:21:00,9118.33,-3472.86,-22348.50,24385.54,TDC
2021-01-01 00:22:00,9118.36,-3472.84,-22348.54,24385.55,TDC
2021-01-01 00:23:00,9118.45,-3472.87,-22348.57,24385.60,TDC
2021-01-01 00:24:00,9118.62,-3472.86,-22348.66,24385.72,TDC
2021-01-01 00:25:00,9118.71,-3472.86,-22348.70,24385.81,TDC
2021-01-01 00:26:00,9118.89,-3472.79,-22348.75,24385.91,TDC
2021-01-01 00:27:00,9118.94,-3472.90,-22348.81,24385.98,TDC
2021-01-01 00:28:00,9118.91,-3473.00,-22348.75,24385.97,TDC
2021-01-01 00:29:00,9118.91,-3473.07,-22348.72,24385.96,TDC
2021-01-01 00:30:00,9118.87,-3473.06,-22348.70,24385.89,TDC
2021-01-01 00:31:00,9118.90,-3473.05,-22348.66,24385.89,TDC
