Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,3091.65,-2803.86,56145.29,99999.00,THL
2021-01-01 00:01:00,3093.12,-2803.32,56145.54,99999.00,THL
2021-01-01 00:02:00,3092.65,-2802.63,56146.17,99999.00,THL
2021-01-01 00:03:00,3090.77,-2802.07,56146.29,99999.00,THL
2021-01-01 00:04:00,3087.78,-2801.51,56146.42,99999.00,THL
2021-01-01 00:05:00,3084.99,-2801.48,56145.83,99999.00,THL
2021-01-01 00:06:00,3085.36,-2801.36,56145.79,99999.00,THL
2021-01-01 00:07:00,3089.18,-2803.85,56144.79,99999.00,THL
2021-01-01 00:08:00,3092.20,-2806.52,56143.50,99999.00,THL
2021-01-01 00:09:00,3092.60,-2806.90,56143.50,99999.00,THL
2021-01-01 00:10:00,3092.40,-2806.16,56144.21,99999.00,THL
2021-01-01 00:11:00,3092.31,-2805.97,56144.67,99999.00,THL
2021-01-01 00:12:00,3092.42,-2805.84,56144.92,99999.00,THL
2021-01-01 00:13:00,3092.08,-2805.88,56145.17,99999.00,THL
2021-01-01 00:14:00,3092.02,-2806.77,56144.67,99999.00,THL
2021-01-01 00:15:00,3090.89,-2806.79,56144.50,99999.00,THL
2021-01-01 00:16:00,3089.19,-2805.30,56144.96,99999.00,THL
2021-01-01 00:17:00,3088.08,-2803.84,56145.71,99999.00,THL
2021-01-01 00:18:00,3088.96,-2801.76,56146.75,99999.00,THL
2021-01-01 00:19:00,3089.36,-2800.42,56147.67,99999.00,THL
2021-01-01 00:20:00,3089.55,-2799.44,56148.29,99999.00,THL
2021-01-01 00:21:00,3090.22,-2798.25,56148.71,99999.00,THL
2021-01-01 00:22:00,3090.76,-2796.75,56148.96,99999.00,THL
2021-01-01 00:23:00,3091.51,-2794.98,56149.58,99999.00,THL
2021-01-01 00:24:00,3092.48,-2794.61,56149.50,99999.00,THL
2021-01-01 00:25:00,3093.43,-2795.45,56148.75,99999.00,THL
2021-01-01 00:26:00,3093.74,-2796.89,56148.25,99999.00,THL
2021-01-01 00:27:00,3093.00,-2797.92,56147.71,99999.00,THL
2021-01-01 00:28:00,3092.24,-2798.08,56147.50,99999.00,THL
2021-01-01 00:29:00,3092.27,-2797.85,56147.46,99999.00,THL
2021-01-01 00:30:00,3092.52,-2797.76,56147.33,99999.00,THL
2021-01-01 00:31:00,3092.64,-2797.78,56147.42,99999.00,THL
2021-01-01 00:32:00,3092.47,-2797.49,56147.71,99999.00,THL
2021-01-01 00:33:00,3091.97,-2797.45,56147.54,99999.00,THL
2021-01-01 00:34:00,3091.93,-2797.27,56147.50,99999.00,THL
2021-01-01 00:35:00,3091.77,-2797.60,56147.04,99999.00,THL
2021-01-01 00:36:00,3091.52,-2798.10,56146.88,99999.00,THL
2021-01-01 00:37:00,3091.40,-2798.56,56146.75,99999.00,THL
2021-01-01 00:38:00,3091.61,-2798.56,56146.54,99999.00,THL
2021-01-01 00:39:00,3091.62,-2798.65,56146.58,99999.00,THL
2021-01-01 00:40:00,3091.96,-2798.82,56146.71,99999.00,THL
2021-01-01 00:41:00,3091.86,-2798.21,56146.88,99999.00,THL
2021-01-01 00:42:00,3091.44,-2797.59,56147.17,99999.00,THL
2021-01-01 00:43:00,3091.22,-2797.02,56147.29,99999.00,THL
2021-01-01 00:44:00,3091.29,-2796.76,56147.42,99999.00,THL
2021-01-01 00:45:00,3091.29,-2796.97,56147.08,99999.00,THL
2021-01-01 00:46:00,3091.03,-2797.80,56146.71,99999.00,THL
2021-01-01 00:47:00,3090.65,-2798.19,56146.29,99999.00,THL
2021-01-01 00:48:00,3089.80,-2798.10,56146.17,99999.00,THL
2021-01-01 00:49:00,3089.07,-2798.18,56146.00,99999.00,THL
2021-01-01 00:50:00,3088.70,-2798.31,56145.96,99999.00,THL
2021-01-01 00:51:00,3088.61,-2798.47,56145.92,99999.00,THL
2021-01-01 00:52:00,3088.73,-2798.49,56146.13,99999.00,THL
2021-01-01 00:53:00,3089.25,-2798.62,56146.17,99999.00,THL
2021-01-01 00:54:00,3089.61,-2798.61,56146.13,99999.00,THL
2021-01-01 00:55:00,3089.18,-2798.46,56146.04,99999.00,THL
2021-01-01 00:56:00,3088.95,-2798.43,56145.92,99999.00,THL
2021-01-01 00:57:00,3089.06,-2797.82,56146.08,99999.00,THL
2021-01-01 00:58:00,3089.14,-2797.03,56146.63,99999.00,THL
2021-01-01 00:59:00,3089.09,-2796.55,56146.83,99999.00,THL
2021-01-01 01:00:00,3088.66,-2796.61,56146.67,99999.00,THL
2021-01-01 01:01:00,3088.08,-2797.21,56146.42,99999.00,THL
2021-01-01 01:02:00,3087.43,-2797.60,56146.08,99999.00,THL
2021-01-01 01:03:00,3087.04,-2798.05,56145.75,99999.00,THL
2021-01-01 01:04:00,3087.31,-2798.20,56145.63,99999.00,THL
2021-01-01 01:05:00,3088.07,-2798.58,56145.54,99999.00,THL
2021-01-01 01:06:00,3089.37,-2798.85,56145.46,99999.00,THL
2021-01-01 01:07:00,3090.54,-2799.16,56145.54,99999.00,THL
2021-01-01 01:08:00,3090.88,-2799.32,56145.46,99999.00,THL
2021-01-01 01:09:00,3090.93,-2799.80,56145.54,99999.00,THL
2021-01-01 01:10:00,3090.70,-2799.98,56145.58,99999.00,THL
2021-01-01 01:11:00,3090.93,-2800.22,56145.71,99999.00,THL
2021-01-01 01:12:00,3090.83,-2799.88,56146.13,99999.00,THL
2021-01-01 01:13:00,3091.01,-2799.64,56146.58,99999.00,THL
2021-01-01 01:14:00,3091.13,-2799.24,56146.88,99999.00,THL
2021-01-01 01:15:00,3091.62,-2798.92,56147.42,99999.00,THL
2021-01-01 01:16:00,3091.96,-2798.61,56147.96,99999.00,THL
2021-01-01 01:17:00,3092.12,-2798.48,56148.42,99999.00,THL
2021-01-01 01:18:00,3092.72,-2798.45,56148.46,99999.00,THL
2021-01-01 01:19:00,3092.93,-2798.92,56148.42,99999.00,THL
2021-01-01 01:20:00,3092.46,-2799.27,56148.58,99999.00,THL
2021-01-01 01:21:00,3091.97,-2800.01,56148.46,99999.00,THL
2021-01-01 01:22:00,3091.16,-2800.52,56148.58,99999.00,THL
2021-01-01 01:23:00,3090.69,-2800.46,56148.67,99999.00,THL
2021-01-01 01:24:00,3090.13,-2799.37,56149.21,99999.00,THL
2021-01-01 01:25:00,3089.82,-2798.34,56149.71,99999.00,THL
2021-01-01 01:26:00,3089.77,-2798.07,56149.96,99999.00,THL
2021-01-01 01:27:00,3090.15,-2798.15,56149.96,99999.00,THL
2021-01-01 01:28:00,3090.84,-2797.68,56150.17,99999.00,THL
2021-01-01 01:29:00,3091.41,-2796.78,56150.58,99999.00,THL
2021-01-01 01:30:00,3091.98,-2795.87,56151.13,99999.00,THL
2021-01-01 01:31:00,3092.29,-2795.32,56151.38,99999.00,THL
2021-01-01 01:32:00,3092.49,-2794.96,56151.29,99999.00,THL
2021-01-01 01:33:00,3092.39,-2794.62,56151.08,99999.00,THL
2021-01-01 01:34:00,3092.32,-2794.26,56151.04,99999.00,THL
2021-01-01 01:35:00,3092.36,-2794.17,56150.67,99999.00,THL
2021-01-01 01:36:00,3092.30,-2794.16,56150.42,99999.00,THL
2021-01-01 01:37:00,3092.40,-2794.51,56150.08,99999.00,THL
2021-01-01 01:38:00,3092.20,-2794.92,56149.67,99999.00,THL
2021-01-01 01:39:00,3091.91,-2795.30,56149.29,99999.00,THL
2021-01-01 01:40:00,3091.69,-2794.94,56149.00,99999.00,THL
2021-01-01 01:41:00,3091.49,-2794.68,56149.17,99999.00,THL
2021-01-01 01:42:00,3091.65,-2794.61,56149.08,99999.00,THL
2021-01-01 01:43:00,3091.91,-2794.62,56149.04,99999.00,THL
