Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21508.73,1845.51,43534.97,99999.00,THY
2021-01-01 00:01:00,21508.63,1845.60,43535.00,99999.00,THY
2021-01-01 00:02:00,21508.63,1845.54,43535.02,99999.00,THY
2021-01-01 00:03:00,21508.56,1845.61,43535.06,99999.00,THY
2021-01-01 00:04:00,21508.61,1845.67,43535.00,99999.00,THY
2021-01-01 00:05:00,21508.66,1845.47,43534.92,99999.00,THY
2021-01-01 00:06:00,21508.98,1845.00,43534.92,99999.00,THY
2021-01-01 00:07:00,21509.48,1844.49,43534.91,99999.00,THY
2021-01-01 00:08:00,21510.32,1844.19,43534.85,99999.00,THY
2021-01-01 00:09:00,21510.56,1844.40,43534.84,99999.00,THY
2021-01-01 00:10:00,21510.27,1844.97,43534.87,99999.00,THY
2021-01-01 00:11:00,21509.94,1845.30,43534.91,99999.00,THY
2021-01-01 00:12:00,21509.92,1845.32,43534.91,99999.00,THY
2021-01-01 00:13:00,21509.73,1845.26,43534.92,99999.00,THY
2021-01-01 00:14:00,21509.58,1845.28,43534.95,99999.00,THY
2021-01-01 00:15:00,21509.40,1845.47,43534.99,99999.00,THY
2021-01-01 00:16:00,21509.12,1845.62,43535.04,99999.00,THY
2021-01-01 00:17:00,21508.68,1845.72,43535.08,99999.00,THY
2021-01-01 00:18:00,21508.52,1845.77,43535.08,99999.00,THY
2021-01-01 00:19:00,21508.40,1845.74,43535.11,99999.00,THY
2021-01-01 00:20:00,21508.45,1845.61,43535.12,99999.00,THY
2021-01-01 00:21:00,21508.46,1845.38,43535.13,99999.00,THY
2021-01-01 00:22:00,21508.68,1844.95,43535.12,99999.00,THY
2021-01-01 00:23:00,21508.83,1844.55,43535.07,99999.00,THY
2021-01-01 00:24:00,21508.99,1844.30,43535.05,99999.00,THY
2021-01-01 00:25:00,21509.29,1844.04,43535.03,99999.00,THY
2021-01-01 00:26:00,21509.44,1843.90,43535.00,99999.00,THY
2021-01-01 00:27:00,21509.54,1843.87,43535.01,99999.00,THY
2021-01-01 00:28:00,21509.59,1843.90,43535.00,99999.00,THY
2021-01-01 00:29:00,21509.58,1844.01,43534.97,99999.00,THY
2021-01-01 00:30:00,21509.54,1844.07,43534.98,99999.00,THY
2021-01-01 00:31:00,21509.56,1844.09,43534.99,99999.00,THY
2021-01-01 00:32:00,21509.71,1843.97,43534.95,99999.00,THY
