Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,14021.11,-2165.15,-25433.20,99999.00,TSU
2021-01-01 00:01:00,14021.12,-2165.11,-25433.20,99999.00,TSU
2021-01-01 00:02:00,14021.32,-2165.10,-25433.10,99999.00,TSU
2021-01-01 00:03:00,14021.55,-2164.97,-25433.10,99999.00,TSU
2021-01-01 00:04:00,14021.68,-2164.74,-25433.10,99999.00,TSU
2021-01-01 00:05:00,14021.88,-2164.77,-25433.10,99999.00,TSU
2021-01-01 00:06:00,14022.04,-2165.05,-25432.80,99999.00,TSU
2021-01-01 00:07:00,14022.05,-2165.01,-25432.80,99999.00,TSU
2021-01-01 00:08:00,14022.08,-2164.80,-25432.80,99999.00,TSU
2021-01-01 00:09:00,14021.88,-2164.77,-25432.80,99999.00,TSU
2021-01-01 00:10:00,14021.89,-2164.73,-25432.80,99999.00,TSU
2021-01-01 00:11:00,14021.68,-2164.74,-25432.80,99999.00,TSU
2021-01-01 00:12:00,14021.58,-2164.73,-25433.10,99999.00,TSU
2021-01-01 00:13:00,14021.39,-2164.65,-25433.10,99999.00,TSU
2021-01-01 00:14:00,14021.40,-2164.57,-25433.10,99999.00,TSU
2021-01-01 00:15:00,14021.44,-2164.37,-25433.20,99999.00,TSU
2021-01-01 00:16:00,14021.63,-2164.44,-25433.10,99999.00,TSU
2021-01-01 00:17:00,14021.43,-2164.41,-25433.10,99999.00,TSU
2021-01-01 00:18:00,14021.63,-2164.44,-25433.10,99999.00,TSU
2021-01-01 00:19:00,14021.39,-2164.70,-25433.20,99999.00,TSU
2021-01-01 00:20:00,14021.55,-2164.93,-25433.20,99999.00,TSU
2021-01-01 00:21:00,14021.55,-2164.97,-25433.20,99999.00,TSU
2021-01-01 00:22:00,14021.61,-2165.23,-25433.20,99999.00,TSU
2021-01-01 00:23:00,14021.58,-2165.39,-25433.20,99999.00,TSU
2021-01-01 00:24:00,14021.57,-2165.43,-25433.20,99999.00,TSU
2021-01-01 00:25:00,14021.77,-2165.51,-25433.20,99999.00,TSU
2021-01-01 00:26:00,14021.80,-2165.26,-25433.20,99999.00,TSU
2021-01-01 00:27:00,14021.98,-2165.45,-25433.20,99999.00,TSU
2021-01-01 00:28:00,14021.96,-2165.54,-25433.10,99999.00,TSU
2021-01-01 00:29:00,14021.96,-2165.54,-25433.10,99999.00,TSU
2021-01-01 00:30:00,14022.06,-2165.55,-25433.10,99999.00,TSU
2021-01-01 00:31:00,14022.06,-2165.55,-25433.10,99999.00,TSU
2021-01-01 00:32:00,14022.04,-2165.71,-25433.10,99999.00,TSU
2021-01-01 00:33:00,14022.24,-2165.74,-25433.10,99999.00,TSU
2021-01-01 00:34:00,14022.22,-2165.87,-25433.10,99999.00,TSU
2021-01-01 00:35:00,14022.22,-2165.87,-25433.10,99999.00,TSU
2021-01-01 00:36:00,14022.22,-2165.87,-25433.10,99999.00,TSU
2021-01-01 00:37:00,14022.22,-2165.87,-25433.10,99999.00,TSU
2021-01-01 00:38:00,14022.41,-2165.90,-25433.10,99999.00,TSU
2021-01-01 00:39:00,14022.41,-2165.90,-25433.10,99999.00,TSU
2021-01-01 00:40:00,14022.22,-2165.87,-25433.10,99999.00,TSU
2021-01-01 00:41:00,14022.02,-2165.84,-25433.20,99999.00,TSU
2021-01-01 00:42:00,14021.89,-2165.98,-25433.20,99999.00,TSU
2021-01-01 00:43:00,14021.69,-2166.00,-25433.30,99999.00,TSU
2021-01-01 00:44:00,14021.88,-2166.07,-25433.30,99999.00,TSU
2021-01-01 00:45:00,14021.98,-2166.08,-25433.30,99999.00,TSU
2021-01-01 00:46:00,14021.98,-2166.08,-25433.30,99999.00,TSU
2021-01-01 00:47:00,14021.98,-2166.08,-25433.30,99999.00,TSU
2021-01-01 00:48:00,14021.89,-2166.03,-25433.30,99999.00,TSU
2021-01-01 00:49:00,14021.88,-2166.07,-25433.30,99999.00,TSU
2021-01-01 00:50:00,14021.98,-2166.08,-25433.30,99999.00,TSU
2021-01-01 00:51:00,14021.98,-2166.08,-25433.30,99999.00,TSU
2021-01-01 00:52:00,14021.98,-2166.08,-25433.30,99999.00,TSU
2021-01-01 00:53:00,14022.18,-2166.11,-25433.30,99999.00,TSU
2021-01-01 00:54:00,14022.18,-2166.07,-25433.30,99999.00,TSU
2021-01-01 00:55:00,14022.19,-2166.03,-25433.30,99999.00,TSU
2021-01-01 00:56:00,14022.49,-2166.08,-25433.20,99999.00,TSU
2021-01-01 00:57:00,14022.51,-2165.91,-25433.20,99999.00,TSU
2021-01-01 00:58:00,14022.51,-2165.91,-25433.20,99999.00,TSU
2021-01-01 00:59:00,14022.51,-2165.91,-25433.20,99999.00,TSU
2021-01-01 01:00:00,14022.71,-2165.94,-25433.20,99999.00,TSU
2021-01-01 01:01:00,14022.71,-2165.94,-25433.20,99999.00,TSU
2021-01-01 01:02:00,14022.71,-2165.94,-25433.20,99999.00,TSU
2021-01-01 01:03:00,14022.72,-2165.86,-25433.20,99999.00,TSU
2021-01-01 01:04:00,14022.93,-2165.85,-25433.20,99999.00,TSU
2021-01-01 01:05:00,14023.03,-2165.87,-25433.20,99999.00,TSU
2021-01-01 01:06:00,14023.05,-2165.70,-25433.20,99999.00,TSU
2021-01-01 01:07:00,14023.05,-2165.70,-25433.20,99999.00,TSU
2021-01-01 01:08:00,14023.05,-2165.70,-25433.10,99999.00,TSU
2021-01-01 01:09:00,14023.05,-2165.70,-25433.20,99999.00,TSU
2021-01-01 01:10:00,14023.25,-2165.73,-25433.20,99999.00,TSU
2021-01-01 01:11:00,14023.25,-2165.73,-25433.20,99999.00,TSU
2021-01-01 01:12:00,14023.25,-2165.73,-25433.20,99999.00,TSU
2021-01-01 01:13:00,14023.05,-2165.70,-25433.20,99999.00,TSU
2021-01-01 01:14:00,14023.25,-2165.73,-25433.20,99999.00,TSU
2021-01-01 01:15:00,14023.25,-2165.73,-25433.20,99999.00,TSU
