Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,24697.03,-9107.51,-1610.89,26371.04,TTB
2021-01-01 00:01:00,24697.23,-9107.43,-1610.89,26371.20,TTB
2021-01-01 00:02:00,24697.49,-9107.47,-1610.97,26371.44,TTB
2021-01-01 00:03:00,24697.66,-9107.39,-1611.01,26371.63,TTB
2021-01-01 00:04:00,24697.77,-9107.31,-1611.05,26371.71,TTB
2021-01-01 00:05:00,24697.97,-9107.28,-1611.08,26371.86,TTB
2021-01-01 00:06:00,24697.96,-9107.26,-1611.14,26371.85,TTB
2021-01-01 00:07:00,24697.96,-9107.25,-1611.15,26371.84,TTB
2021-01-01 00:08:00,24698.04,-9107.41,-1611.23,26371.93,TTB
2021-01-01 00:09:00,24697.90,-9107.56,-1611.28,26371.87,TTB
2021-01-01 00:10:00,24697.66,-9107.62,-1611.24,26371.66,TTB
2021-01-01 00:11:00,24697.39,-9107.68,-1611.17,26371.45,TTB
2021-01-01 00:12:00,24697.31,-9107.76,-1611.11,26371.39,TTB
2021-01-01 00:13:00,24697.27,-9107.69,-1611.01,26371.32,TTB
2021-01-01 00:14:00,24697.31,-9107.62,-1610.93,26371.31,TTB
2021-01-01 00:15:00,24697.43,-9107.58,-1610.91,26371.41,TTB
2021-01-01 00:16:00,24697.41,-9107.53,-1610.90,26371.38,TTB
2021-01-01 00:17:00,24697.45,-9107.49,-1610.87,26371.39,TTB
2021-01-01 00:18:00,24697.40,-9107.41,-1610.86,26371.31,TTB
2021-01-01 00:19:00,24697.39,-9107.35,-1610.84,26371.27,TTB
2021-01-01 00:20:00,24697.37,-9107.34,-1610.85,26371.26,TTB
2021-01-01 00:21:00,24697.34,-9107.29,-1610.84,26371.22,TTB
2021-01-01 00:22:00,24697.42,-9107.18,-1610.82,26371.26,TTB
2021-01-01 00:23:00,24697.43,-9107.02,-1610.81,26371.27,TTB
2021-01-01 00:24:00,24697.63,-9106.97,-1610.84,26371.36,TTB
2021-01-01 00:25:00,24697.74,-9106.94,-1610.88,26371.48,TTB
2021-01-01 00:26:00,24697.97,-9107.01,-1610.95,26371.70,TTB
2021-01-01 00:27:00,24698.00,-9107.11,-1611.06,26371.77,TTB
2021-01-01 00:28:00,24697.90,-9107.18,-1611.10,26371.75,TTB
2021-01-01 00:29:00,24697.85,-9107.20,-1611.10,26371.70,TTB
2021-01-01 00:30:00,24697.82,-9107.22,-1611.07,26371.66,TTB
2021-01-01 00:31:00,24697.83,-9107.13,-1611.06,26371.62,TTB
2021-01-01 00:32:00,24697.83,-9107.07,-1610.99,26371.61,TTB
2021-01-01 00:33:00,24697.89,-9107.07,-1610.98,26371.67,TTB
2021-01-01 00:34:00,24697.90,-9107.05,-1611.02,26371.71,TTB
2021-01-01 00:35:00,24697.95,-9107.09,-1611.04,26371.75,TTB
2021-01-01 00:36:00,24697.96,-9107.14,-1611.13,26371.76,TTB
2021-01-01 00:37:00,24697.96,-9107.22,-1611.16,26371.80,TTB
2021-01-01 00:38:00,24698.02,-9107.24,-1611.17,26371.83,TTB
2021-01-01 00:39:00,24698.01,-9107.30,-1611.19,26371.87,TTB
2021-01-01 00:40:00,24697.89,-9107.31,-1611.19,26371.75,TTB
2021-01-01 00:41:00,24697.66,-9107.22,-1611.08,26371.52,TTB
2021-01-01 00:42:00,24697.55,-9107.16,-1610.99,26371.39,TTB
2021-01-01 00:43:00,24697.52,-9107.16,-1610.96,26371.34,TTB
2021-01-01 00:44:00,24697.57,-9107.11,-1610.95,26371.37,TTB
2021-01-01 00:45:00,24697.58,-9107.06,-1610.94,26371.43,TTB
2021-01-01 00:46:00,24697.61,-9107.03,-1610.94,26371.42,TTB
2021-01-01 00:47:00,24697.54,-9106.97,-1610.90,26371.32,TTB
2021-01-01 00:48:00,24697.52,-9106.80,-1610.85,26371.28,TTB
2021-01-01 00:49:00,24697.55,-9106.85,-1610.91,26371.32,TTB
2021-01-01 00:50:00,24697.61,-9106.86,-1610.93,26371.38,TTB
2021-01-01 00:51:00,24697.64,-9106.91,-1610.95,26371.38,TTB
2021-01-01 00:52:00,24697.71,-9106.95,-1611.00,26371.46,TTB
2021-01-01 00:53:00,24697.69,-9106.96,-1611.02,26371.49,TTB
2021-01-01 00:54:00,24697.75,-9106.91,-1611.01,26371.54,TTB
2021-01-01 00:55:00,24697.83,-9106.88,-1611.00,26371.56,TTB
2021-01-01 00:56:00,24697.88,-9106.89,-1611.06,26371.65,TTB
2021-01-01 00:57:00,24697.96,-9106.94,-1611.08,26371.75,TTB
2021-01-01 00:58:00,24697.98,-9106.92,-1611.09,26371.80,TTB
2021-01-01 00:59:00,24698.01,-9106.95,-1611.12,26371.84,TTB
2021-01-01 01:00:00,24698.08,-9106.97,-1611.15,26371.89,TTB
2021-01-01 01:01:00,24698.17,-9106.94,-1611.15,26371.93,TTB
2021-01-01 01:02:00,24698.18,-9106.91,-1611.16,26371.95,TTB
2021-01-01 01:03:00,24698.22,-9106.84,-1611.10,26371.97,TTB
2021-01-01 01:04:00,24698.24,-9106.83,-1611.14,26371.99,TTB
2021-01-01 01:05:00,24698.24,-9106.81,-1611.13,26371.96,TTB
2021-01-01 01:06:00,24698.24,-9106.78,-1611.13,26371.93,TTB
2021-01-01 01:07:00,24698.29,-9106.73,-1611.12,26371.97,TTB
2021-01-01 01:08:00,24698.31,-9106.71,-1611.13,26371.95,TTB
2021-01-01 01:09:00,24698.29,-9106.71,-1611.16,26371.96,TTB
2021-01-01 01:10:00,24698.25,-9106.69,-1611.13,26371.90,TTB
2021-01-01 01:11:00,24698.20,-9106.65,-1611.12,26371.86,TTB
2021-01-01 01:12:00,24698.13,-9106.64,-1611.10,26371.79,TTB
2021-01-01 01:13:00,24698.13,-9106.62,-1611.12,26371.75,TTB
2021-01-01 01:14:00,24698.11,-9106.60,-1611.12,26371.74,TTB
2021-01-01 01:15:00,24698.16,-9106.58,-1611.09,26371.77,TTB
2021-01-01 01:16:00,24698.24,-9106.52,-1611.12,26371.85,TTB
2021-01-01 01:17:00,24698.34,-9106.47,-1611.13,26371.94,TTB
2021-01-01 01:18:00,24698.41,-9106.40,-1611.17,26371.98,TTB
2021-01-01 01:19:00,24698.47,-9106.33,-1611.17,26372.02,TTB
2021-01-01 01:20:00,24698.54,-9106.25,-1611.15,26372.03,TTB
2021-01-01 01:21:00,24698.55,-9106.18,-1611.17,26372.04,TTB
2021-01-01 01:22:00,24698.57,-9106.10,-1611.20,26372.02,TTB
2021-01-01 01:23:00,24698.52,-9106.04,-1611.15,26371.95,TTB
2021-01-01 01:24:00,24698.51,-9105.96,-1611.11,26371.89,TTB
2021-01-01 01:25:00,24698.42,-9105.97,-1611.13,26371.85,TTB
2021-01-01 01:26:00,24698.40,-9106.06,-1611.20,26371.87,TTB
2021-01-01 01:27:00,24698.34,-9106.16,-1611.21,26371.85,TTB
2021-01-01 01:28:00,24698.25,-9106.20,-1611.25,26371.79,TTB
2021-01-01 01:29:00,24698.18,-9106.26,-1611.23,26371.71,TTB
2021-01-01 01:30:00,24698.15,-9106.28,-1611.24,26371.71,TTB
2021-01-01 01:31:00,24698.23,-9106.34,-1611.28,26371.79,TTB
2021-01-01 01:32:00,24698.32,-9106.35,-1611.29,26371.86,TTB
2021-01-01 01:33:00,24698.35,-9106.36,-1611.32,26371.93,TTB
2021-01-01 01:34:00,24698.41,-9106.37,-1611.33,26371.96,TTB
2021-01-01 01:35:00,24698.48,-9106.47,-1611.37,26372.06,TTB
2021-01-01 01:36:00,24698.48,-9106.50,-1611.39,26372.10,TTB
2021-01-01 01:37:00,24698.51,-9106.47,-1611.44,26372.13,TTB
2021-01-01 01:38:00,24698.48,-9106.45,-1611.44,26372.10,TTB
2021-01-01 01:39:00,24698.50,-9106.40,-1611.42,26372.09,TTB
2021-01-01 01:40:00,24698.44,-9106.37,-1611.40,26372.02,TTB
2021-01-01 01:41:00,24698.39,-9106.33,-1611.41,26371.99,TTB
2021-01-01 01:42:00,24698.38,-9106.32,-1611.39,26371.96,TTB
2021-01-01 01:43:00,24698.36,-9106.29,-1611.40,26371.93,TTB
2021-01-01 01:44:00,24698.33,-9106.25,-1611.40,26371.91,TTB
2021-01-01 01:45:00,24698.33,-9106.28,-1611.39,26371.88,TTB
2021-01-01 01:46:00,24698.35,-9106.27,-1611.36,26371.87,TTB
2021-01-01 01:47:00,24698.33,-9106.21,-1611.35,26371.86,TTB
2021-01-01 01:48:00,24698.31,-9106.18,-1611.33,26371.82,TTB
2021-01-01 01:49:00,24698.24,-9106.17,-1611.31,26371.75,TTB
2021-01-01 01:50:00,24698.20,-9106.12,-1611.30,26371.68,TTB
2021-01-01 01:51:00,24698.24,-9106.14,-1611.30,26371.70,TTB
2021-01-01 01:52:00,24698.28,-9106.16,-1611.32,26371.75,TTB
2021-01-01 01:53:00,24698.26,-9106.16,-1611.32,26371.75,TTB
2021-01-01 01:54:00,24698.24,-9106.15,-1611.33,26371.77,TTB
2021-01-01 01:55:00,24698.23,-9106.16,-1611.31,26371.74,TTB
2021-01-01 01:56:00,24698.21,-9106.14,-1611.28,26371.68,TTB
2021-01-01 01:57:00,24698.18,-9106.14,-1611.26,26371.63,TTB
2021-01-01 01:58:00,24698.08,-9106.08,-1611.26,26371.55,TTB
2021-01-01 01:59:00,24698.06,-9106.02,-1611.23,26371.50,TTB
2021-01-01 02:00:00,24698.06,-9105.99,-1611.22,26371.52,TTB
2021-01-01 02:01:00,24698.17,-9106.04,-1611.24,26371.61,TTB
2021-01-01 02:02:00,24698.29,-9106.03,-1611.27,26371.70,TTB
2021-01-01 02:03:00,24698.37,-9106.02,-1611.29,26371.78,TTB
2021-01-01 02:04:00,24698.49,-9106.05,-1611.35,26371.92,TTB
2021-01-01 02:05:00,24698.60,-9106.06,-1611.38,26372.03,TTB
2021-01-01 02:06:00,24698.71,-9106.09,-1611.43,26372.12,TTB
2021-01-01 02:07:00,24698.72,-9106.14,-1611.45,26372.20,TTB
2021-01-01 02:08:00,24698.73,-9106.21,-1611.52,26372.28,TTB
2021-01-01 02:09:00,24698.83,-9106.24,-1611.53,26372.36,TTB
2021-01-01 02:10:00,24698.84,-9106.27,-1611.53,26372.38,TTB
2021-01-01 02:11:00,24698.87,-9106.32,-1611.54,26372.39,TTB
2021-01-01 02:12:00,24698.83,-9106.32,-1611.53,26372.37,TTB
2021-01-01 02:13:00,24698.80,-9106.31,-1611.52,26372.37,TTB
2021-01-01 02:14:00,24698.82,-9106.30,-1611.48,26372.35,TTB
2021-01-01 02:15:00,24698.87,-9106.26,-1611.47,26372.37,TTB
2021-01-01 02:16:00,24698.90,-9106.30,-1611.45,26372.41,TTB
2021-01-01 02:17:00,24698.85,-9106.31,-1611.43,26372.37,TTB
2021-01-01 02:18:00,24698.67,-9106.30,-1611.40,26372.19,TTB
2021-01-01 02:19:00,24698.63,-9106.35,-1611.39,26372.14,TTB
2021-01-01 02:20:00,24698.51,-9106.29,-1611.35,26372.05,TTB
2021-01-01 02:21:00,24698.48,-9106.32,-1611.29,26372.02,TTB
2021-01-01 02:22:00,24698.46,-9106.32,-1611.28,26371.98,TTB
2021-01-01 02:23:00,24698.43,-9106.35,-1611.31,26371.98,TTB
2021-01-01 02:24:00,24698.40,-9106.33,-1611.26,26371.92,TTB
2021-01-01 02:25:00,24698.32,-9106.34,-1611.25,26371.83,TTB
2021-01-01 02:26:00,24698.12,-9106.32,-1611.20,26371.66,TTB
2021-01-01 02:27:00,24697.95,-9106.22,-1611.15,26371.46,TTB
2021-01-01 02:28:00,24697.73,-9106.14,-1611.05,26371.27,TTB
2021-01-01 02:29:00,24697.57,-9106.03,-1611.00,26371.13,TTB
2021-01-01 02:30:00,24697.39,-9105.99,-1610.92,26370.89,TTB
2021-01-01 02:31:00,24697.19,-9105.97,-1610.84,26370.68,TTB
2021-01-01 02:32:00,24696.88,-9106.00,-1610.80,26370.40,TTB
2021-01-01 02:33:00,24696.71,-9105.99,-1610.69,26370.20,TTB
2021-01-01 02:34:00,24696.50,-9105.97,-1610.63,26370.00,TTB
2021-01-01 02:35:00,24696.42,-9105.92,-1610.60,26369.89,TTB
2021-01-01 02:36:00,24696.36,-9105.89,-1610.60,26369.84,TTB
2021-01-01 02:37:00,24696.34,-9105.90,-1610.59,26369.84,TTB
2021-01-01 02:38:00,24696.40,-9105.91,-1610.60,26369.88,TTB
2021-01-01 02:39:00,24696.48,-9105.92,-1610.66,26369.94,TTB
2021-01-01 02:40:00,24696.53,-9105.94,-1610.72,26370.01,TTB
2021-01-01 02:41:00,24696.57,-9105.96,-1610.77,26370.07,TTB
2021-01-01 02:42:00,24696.66,-9106.01,-1610.82,26370.15,TTB
2021-01-01 02:43:00,24696.73,-9106.03,-1610.89,26370.22,TTB
2021-01-01 02:44:00,24696.82,-9106.03,-1610.98,26370.31,TTB
2021-01-01 02:45:00,24696.86,-9106.05,-1611.04,26370.37,TTB
2021-01-01 02:46:00,24696.87,-9106.09,-1611.09,26370.40,TTB
2021-01-01 02:47:00,24696.86,-9106.17,-1611.15,26370.45,TTB
2021-01-01 02:48:00,24696.84,-9106.21,-1611.19,26370.48,TTB
2021-01-01 02:49:00,24696.80,-9106.27,-1611.25,26370.50,TTB
2021-01-01 02:50:00,24696.85,-9106.25,-1611.27,26370.53,TTB
2021-01-01 02:51:00,24696.94,-9106.28,-1611.32,26370.61,TTB
2021-01-01 02:52:00,24696.99,-9106.32,-1611.36,26370.70,TTB
2021-01-01 02:53:00,24697.07,-9106.38,-1611.33,26370.74,TTB
2021-01-01 02:54:00,24697.14,-9106.41,-1611.38,26370.78,TTB
2021-01-01 02:55:00,24697.17,-9106.41,-1611.40,26370.84,TTB
2021-01-01 02:56:00,24697.25,-9106.48,-1611.47,26370.91,TTB
2021-01-01 02:57:00,24697.24,-9106.59,-1611.51,26370.93,TTB
2021-01-01 02:58:00,24697.25,-9106.69,-1611.51,26370.98,TTB
2021-01-01 02:59:00,24697.21,-9106.74,-1611.54,26370.98,TTB
2021-01-01 03:00:00,24697.31,-9106.73,-1611.58,26371.08,TTB
2021-01-01 03:01:00,24697.43,-9106.71,-1611.61,26371.18,TTB
2021-01-01 03:02:00,24697.69,-9106.90,-1611.74,26371.50,TTB
2021-01-01 03:03:00,24697.86,-9107.02,-1611.83,26371.72,TTB
2021-01-01 03:04:00,24698.07,-9107.15,-1611.95,26371.91,TTB
2021-01-01 03:05:00,24698.20,-9107.27,-1611.99,26372.10,TTB
2021-01-01 03:06:00,24698.31,-9107.30,-1612.05,26372.22,TTB
2021-01-01 03:07:00,24698.30,-9107.37,-1612.08,26372.24,TTB
2021-01-01 03:08:00,24698.18,-9107.35,-1612.07,26372.17,TTB
2021-01-01 03:09:00,24698.04,-9107.37,-1612.04,26372.07,TTB
2021-01-01 03:10:00,24697.96,-9107.36,-1612.02,26371.96,TTB
2021-01-01 03:11:00,24697.89,-9107.37,-1611.93,26371.86,TTB
2021-01-01 03:12:00,24697.87,-9107.40,-1611.93,26371.83,TTB
2021-01-01 03:13:00,24697.79,-9107.35,-1611.89,26371.74,TTB
2021-01-01 03:14:00,24697.78,-9107.32,-1611.86,26371.70,TTB
2021-01-01 03:15:00,24697.74,-9107.32,-1611.87,26371.69,TTB
2021-01-01 03:16:00,24697.78,-9107.33,-1611.82,26371.74,TTB
2021-01-01 03:17:00,24697.85,-9107.31,-1611.87,26371.84,TTB
2021-01-01 03:18:00,24697.90,-9107.28,-1611.87,26371.91,TTB
2021-01-01 03:19:00,24698.00,-9107.27,-1611.93,26371.98,TTB
2021-01-01 03:20:00,24698.09,-9107.27,-1611.98,26372.06,TTB
2021-01-01 03:21:00,24698.19,-9107.32,-1612.01,26372.15,TTB
2021-01-01 03:22:00,24698.17,-9107.24,-1612.03,26372.13,TTB
2021-01-01 03:23:00,24698.19,-9107.19,-1612.03,26372.13,TTB
2021-01-01 03:24:00,24698.23,-9107.24,-1612.05,26372.14,TTB
2021-01-01 03:25:00,24698.21,-9107.21,-1612.04,26372.10,TTB
2021-01-01 03:26:00,24698.06,-9107.17,-1612.01,26371.98,TTB
2021-01-01 03:27:00,24698.00,-9107.14,-1611.92,26371.87,TTB
2021-01-01 03:28:00,24697.88,-9107.17,-1611.95,26371.79,TTB
2021-01-01 03:29:00,24697.80,-9107.19,-1611.94,26371.71,TTB
2021-01-01 03:30:00,24697.68,-9107.13,-1611.91,26371.61,TTB
2021-01-01 03:31:00,24697.65,-9107.18,-1611.90,26371.58,TTB
2021-01-01 03:32:00,24697.65,-9107.17,-1611.89,26371.58,TTB
2021-01-01 03:33:00,24697.71,-9107.19,-1611.93,26371.66,TTB
2021-01-01 03:34:00,24697.74,-9107.21,-1611.93,26371.70,TTB
2021-01-01 03:35:00,24697.77,-9107.22,-1611.95,26371.72,TTB
2021-01-01 03:36:00,24697.82,-9107.22,-1611.96,26371.73,TTB
2021-01-01 03:37:00,24697.83,-9107.22,-1611.98,26371.77,TTB
2021-01-01 03:38:00,24697.92,-9107.27,-1612.00,26371.84,TTB
2021-01-01 03:39:00,24697.93,-9107.28,-1612.04,26371.88,TTB
2021-01-01 03:40:00,24697.98,-9107.32,-1612.11,26371.96,TTB
2021-01-01 03:41:00,24698.02,-9107.31,-1612.15,26371.98,TTB
2021-01-01 03:42:00,24698.02,-9107.39,-1612.15,26371.99,TTB
2021-01-01 03:43:00,24697.93,-9107.41,-1612.13,26371.93,TTB
2021-01-01 03:44:00,24697.84,-9107.39,-1612.10,26371.83,TTB
2021-01-01 03:45:00,24697.76,-9107.35,-1612.07,26371.75,TTB
2021-01-01 03:46:00,24697.64,-9107.35,-1612.07,26371.64,TTB
2021-01-01 03:47:00,24697.66,-9107.32,-1612.03,26371.64,TTB
2021-01-01 03:48:00,24697.62,-9107.35,-1612.06,26371.62,TTB
2021-01-01 03:49:00,24697.62,-9107.35,-1612.05,26371.60,TTB
2021-01-01 03:50:00,24697.62,-9107.36,-1612.07,26371.62,TTB
2021-01-01 03:51:00,24697.56,-9107.40,-1612.11,26371.66,TTB
2021-01-01 03:52:00,24697.47,-9107.41,-1612.08,26371.55,TTB
2021-01-01 03:53:00,24697.34,-9107.39,-1612.04,26371.44,TTB
2021-01-01 03:54:00,24697.34,-9107.46,-1612.04,26371.42,TTB
2021-01-01 03:55:00,24697.28,-9107.51,-1612.03,26371.35,TTB
2021-01-01 03:56:00,24697.29,-9107.52,-1612.02,26371.37,TTB
2021-01-01 03:57:00,24697.17,-9107.50,-1611.96,26371.25,TTB
2021-01-01 03:58:00,24697.16,-9107.53,-1611.93,26371.21,TTB
2021-01-01 03:59:00,24697.16,-9107.56,-1611.95,26371.21,TTB
2021-01-01 04:00:00,24697.10,-9107.48,-1611.91,26371.15,TTB
2021-01-01 04:01:00,24697.16,-9107.51,-1611.96,26371.15,TTB
2021-01-01 04:02:00,24697.09,-9107.41,-1611.94,26371.08,TTB
2021-01-01 04:03:00,24697.15,-9107.42,-1612.00,26371.17,TTB
2021-01-01 04:04:00,24697.19,-9107.40,-1612.03,26371.22,TTB
2021-01-01 04:05:00,24697.27,-9107.45,-1612.05,26371.29,TTB
2021-01-01 04:06:00,24697.22,-9107.59,-1612.14,26371.30,TTB
2021-01-01 04:07:00,24697.25,-9107.44,-1612.12,26371.29,TTB
2021-01-01 04:08:00,24697.27,-9107.46,-1612.14,26371.31,TTB
2021-01-01 04:09:00,24697.40,-9107.75,-1612.30,26371.57,TTB
2021-01-01 04:10:00,24697.54,-9107.87,-1612.39,26371.73,TTB
2021-01-01 04:11:00,24697.68,-9107.91,-1612.46,26371.85,TTB
2021-01-01 04:12:00,24697.75,-9107.93,-1612.51,26371.96,TTB
