Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,23847.40,3725.70,40222.50,46908.53,TUC
2021-01-01 00:01:00,23847.90,3725.70,40222.60,46908.87,TUC
2021-01-01 00:02:00,23848.60,3725.40,40222.60,46909.10,TUC
2021-01-01 00:03:00,23849.20,3725.30,40222.60,46909.40,TUC
2021-01-01 00:04:00,23849.30,3725.10,40222.60,46909.53,TUC
2021-01-01 00:05:00,23849.70,3725.10,40222.70,46909.72,TUC
2021-01-01 00:06:00,23849.40,3725.50,40222.60,46909.62,TUC
2021-01-01 00:07:00,23849.00,3726.20,40222.60,46909.47,TUC
2021-01-01 00:08:00,23848.90,3726.70,40222.70,46909.44,TUC
2021-01-01 00:09:00,23848.50,3726.70,40222.60,46909.25,TUC
2021-01-01 00:10:00,23848.20,3726.20,40222.60,46909.06,TUC
2021-01-01 00:11:00,23848.10,3725.70,40222.50,46908.88,TUC
2021-01-01 00:12:00,23848.10,3725.40,40222.50,46908.86,TUC
2021-01-01 00:13:00,23848.00,3725.30,40222.40,46908.62,TUC
2021-01-01 00:14:00,23848.00,3725.10,40222.40,46908.60,TUC
2021-01-01 00:15:00,23848.40,3725.00,40222.40,46908.80,TUC
2021-01-01 00:16:00,23848.50,3724.80,40222.40,46908.83,TUC
2021-01-01 00:17:00,23848.50,3724.80,40222.40,46908.83,TUC
2021-01-01 00:18:00,23848.10,3724.90,40222.30,46908.65,TUC
2021-01-01 00:19:00,23848.10,3725.20,40222.30,46908.67,TUC
2021-01-01 00:20:00,23848.10,3725.30,40222.30,46908.68,TUC
2021-01-01 00:21:00,23847.90,3725.20,40222.30,46908.57,TUC
2021-01-01 00:22:00,23848.10,3725.40,40222.30,46908.59,TUC
2021-01-01 00:23:00,23847.90,3725.60,40222.20,46908.52,TUC
2021-01-01 00:24:00,23848.10,3725.90,40222.20,46908.64,TUC
2021-01-01 00:25:00,23848.30,3726.30,40222.30,46908.86,TUC
2021-01-01 00:26:00,23848.70,3726.70,40222.30,46909.10,TUC
2021-01-01 00:27:00,23848.80,3726.80,40222.20,46909.07,TUC
2021-01-01 00:28:00,23848.80,3726.60,40222.20,46908.95,TUC
2021-01-01 00:29:00,23848.70,3726.40,40222.10,46908.80,TUC
2021-01-01 00:30:00,23848.60,3726.30,40222.10,46908.84,TUC
2021-01-01 00:31:00,23848.50,3726.30,40222.10,46908.69,TUC
