Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15080.40,1732.70,49348.30,51630.20,UPS
2021-01-01 00:01:00,15080.20,1732.80,49348.30,51630.20,UPS
2021-01-01 00:02:00,15080.00,1732.70,49348.40,51630.20,UPS
2021-01-01 00:03:00,15079.80,1732.90,49348.40,51630.20,UPS
2021-01-01 00:04:00,15079.60,1732.90,49348.50,51630.10,UPS
2021-01-01 00:05:00,15079.40,1732.60,49348.60,51630.10,UPS
2021-01-01 00:06:00,15079.70,1732.00,49348.70,51630.40,UPS
2021-01-01 00:07:00,15080.40,1731.30,49348.90,51630.70,UPS
2021-01-01 00:08:00,15081.30,1730.90,49349.00,51631.10,UPS
2021-01-01 00:09:00,15081.40,1731.00,49348.90,51631.00,UPS
2021-01-01 00:10:00,15081.20,1731.70,49348.60,51630.70,UPS
2021-01-01 00:11:00,15080.80,1732.20,49348.40,51630.50,UPS
2021-01-01 00:12:00,15080.70,1732.30,49348.40,51630.40,UPS
2021-01-01 00:13:00,15080.50,1732.00,49348.50,51630.40,UPS
2021-01-01 00:14:00,15080.20,1731.90,49348.50,51630.40,UPS
2021-01-01 00:15:00,15079.90,1732.20,49348.50,51630.30,UPS
2021-01-01 00:16:00,15079.60,1732.60,49348.40,51630.10,UPS
2021-01-01 00:17:00,15079.10,1732.90,49348.40,51629.90,UPS
2021-01-01 00:18:00,15079.00,1733.20,49348.40,51630.00,UPS
2021-01-01 00:19:00,15078.90,1733.40,49348.50,51630.00,UPS
2021-01-01 00:20:00,15079.10,1733.30,49348.60,51630.10,UPS
2021-01-01 00:21:00,15079.10,1733.10,49348.70,51630.20,UPS
2021-01-01 00:22:00,15079.30,1732.80,49348.80,51630.40,UPS
2021-01-01 00:23:00,15079.50,1732.30,49348.90,51630.50,UPS
2021-01-01 00:24:00,15079.80,1732.00,49349.00,51630.60,UPS
2021-01-01 00:25:00,15080.10,1731.60,49349.00,51630.80,UPS
2021-01-01 00:26:00,15080.30,1731.40,49349.00,51630.80,UPS
2021-01-01 00:27:00,15080.40,1731.30,49348.90,51630.80,UPS
2021-01-01 00:28:00,15080.40,1731.40,49348.90,51630.70,UPS
2021-01-01 00:29:00,15080.40,1731.40,49348.80,51630.60,UPS
2021-01-01 00:30:00,15080.50,1731.50,49348.80,51630.60,UPS
2021-01-01 00:31:00,15080.50,1731.40,49348.80,51630.60,UPS
2021-01-01 00:32:00,15080.60,1731.30,49348.80,51630.70,UPS
2021-01-01 00:33:00,15080.80,1731.00,49348.80,51630.70,UPS
2021-01-01 00:34:00,15080.80,1730.90,49348.80,51630.70,UPS
2021-01-01 00:35:00,15080.70,1730.70,49348.80,51630.70,UPS
2021-01-01 00:36:00,15080.60,1730.80,49348.70,51630.60,UPS
2021-01-01 00:37:00,15080.60,1730.80,49348.60,51630.50,UPS
2021-01-01 00:38:00,15080.60,1730.90,49348.60,51630.50,UPS
2021-01-01 00:39:00,15080.70,1730.90,49348.60,51630.50,UPS
2021-01-01 00:40:00,15080.70,1730.90,49348.60,51630.50,UPS
2021-01-01 00:41:00,15080.50,1731.10,49348.50,51630.40,UPS
2021-01-01 00:42:00,15080.40,1731.30,49348.50,51630.40,UPS
2021-01-01 00:43:00,15080.30,1731.60,49348.50,51630.30,UPS
2021-01-01 00:44:00,15080.40,1731.50,49348.50,51630.40,UPS
2021-01-01 00:45:00,15080.40,1731.40,49348.60,51630.40,UPS
2021-01-01 00:46:00,15080.50,1731.20,49348.60,51630.50,UPS
2021-01-01 00:47:00,15080.50,1731.00,49348.60,51630.50,UPS
2021-01-01 00:48:00,15080.40,1731.10,49348.60,51630.40,UPS
2021-01-01 00:49:00,15080.40,1731.10,49348.60,51630.40,UPS
2021-01-01 00:50:00,15080.30,1731.10,49348.60,51630.40,UPS
2021-01-01 00:51:00,15080.40,1731.10,49348.50,51630.40,UPS
2021-01-01 00:52:00,15080.50,1731.20,49348.50,51630.40,UPS
2021-01-01 00:53:00,15080.50,1731.20,49348.50,51630.40,UPS
2021-01-01 00:54:00,15080.50,1731.30,49348.50,51630.40,UPS
2021-01-01 00:55:00,15080.50,1731.40,49348.50,51630.40,UPS
2021-01-01 00:56:00,15080.60,1731.40,49348.50,51630.40,UPS
2021-01-01 00:57:00,15080.60,1731.60,49348.40,51630.40,UPS
2021-01-01 00:58:00,15080.60,1731.70,49348.40,51630.40,UPS
2021-01-01 00:59:00,15080.60,1731.80,49348.40,51630.40,UPS
2021-01-01 01:00:00,15080.60,1731.90,49348.40,51630.40,UPS
2021-01-01 01:01:00,15080.60,1732.00,49348.40,51630.40,UPS
2021-01-01 01:02:00,15080.70,1732.20,49348.50,51630.50,UPS
2021-01-01 01:03:00,15080.90,1732.30,49348.50,51630.50,UPS
2021-01-01 01:04:00,15081.20,1732.40,49348.50,51630.60,UPS
2021-01-01 01:05:00,15081.40,1732.70,49348.50,51630.70,UPS
2021-01-01 01:06:00,15081.50,1732.80,49348.50,51630.70,UPS
2021-01-01 01:07:00,15081.70,1732.80,49348.50,51630.70,UPS
2021-01-01 01:08:00,15081.80,1732.80,49348.40,51630.70,UPS
2021-01-01 01:09:00,15081.80,1732.70,49348.40,51630.70,UPS
