Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18086.94,5172.12,49768.38,53229.33,VIC
2021-01-01 00:01:00,18087.92,5171.68,49768.82,53230.03,VIC
2021-01-01 00:02:00,18088.51,5171.59,49768.97,53230.37,VIC
2021-01-01 00:03:00,18089.06,5171.77,49769.06,53230.67,VIC
2021-01-01 00:04:00,18089.26,5171.14,49769.13,53230.72,VIC
2021-01-01 00:05:00,18089.79,5171.08,49769.17,53230.93,VIC
2021-01-01 00:06:00,18089.26,5172.15,49768.72,53230.44,VIC
2021-01-01 00:07:00,18088.24,5173.87,49768.25,53229.80,VIC
2021-01-01 00:08:00,18088.21,5175.01,49768.43,53230.07,VIC
2021-01-01 00:09:00,18087.61,5175.09,49768.51,53229.97,VIC
2021-01-01 00:10:00,18087.48,5174.36,49768.60,53229.93,VIC
2021-01-01 00:11:00,18087.67,5173.62,49768.72,53230.03,VIC
2021-01-01 00:12:00,18087.87,5173.04,49768.76,53230.09,VIC
2021-01-01 00:13:00,18087.89,5172.85,49768.70,53230.00,VIC
2021-01-01 00:14:00,18087.65,5172.72,49768.56,53229.76,VIC
2021-01-01 00:15:00,18088.43,5172.63,49768.84,53230.30,VIC
2021-01-01 00:16:00,18088.56,5172.24,49768.84,53230.33,VIC
2021-01-01 00:17:00,18088.38,5172.26,49768.67,53230.11,VIC
2021-01-01 00:18:00,18087.63,5172.48,49768.36,53229.59,VIC
2021-01-01 00:19:00,18087.79,5172.87,49768.40,53229.71,VIC
2021-01-01 00:20:00,18087.57,5173.02,49768.40,53229.64,VIC
2021-01-01 00:21:00,18087.31,5172.80,49768.40,53229.52,VIC
2021-01-01 00:22:00,18087.72,5172.97,49768.52,53229.79,VIC
2021-01-01 00:23:00,18087.57,5173.27,49768.43,53229.71,VIC
2021-01-01 00:24:00,18087.63,5173.93,49768.43,53229.79,VIC
2021-01-01 00:25:00,18087.98,5174.77,49768.59,53230.14,VIC
2021-01-01 00:26:00,18088.35,5175.60,49768.79,53230.52,VIC
2021-01-01 00:27:00,18088.32,5175.93,49768.87,53230.64,VIC
2021-01-01 00:28:00,18088.35,5175.83,49768.96,53230.70,VIC
2021-01-01 00:29:00,18088.36,5175.65,49768.98,53230.70,VIC
2021-01-01 00:30:00,18088.40,5175.51,49768.98,53230.73,VIC
2021-01-01 00:31:00,18088.36,5175.34,49768.99,53230.70,VIC
2021-01-01 00:32:00,18088.16,5175.28,49768.91,53230.56,VIC
2021-01-01 00:33:00,18087.99,5175.38,49768.84,53230.46,VIC
2021-01-01 00:34:00,18087.93,5175.63,49768.83,53230.44,VIC
2021-01-01 00:35:00,18087.89,5175.86,49768.84,53230.44,VIC
2021-01-01 00:36:00,18088.06,5176.05,49768.90,53230.59,VIC
2021-01-01 00:37:00,18088.17,5176.15,49768.96,53230.69,VIC
2021-01-01 00:38:00,18088.22,5176.12,49768.96,53230.71,VIC
2021-01-01 00:39:00,18088.27,5176.32,49768.95,53230.73,VIC
2021-01-01 00:40:00,18087.96,5176.47,49768.86,53230.53,VIC
2021-01-01 00:41:00,18087.66,5176.28,49768.79,53230.35,VIC
2021-01-01 00:42:00,18087.99,5176.26,49768.91,53230.56,VIC
2021-01-01 00:43:00,18087.96,5176.25,49768.88,53230.51,VIC
2021-01-01 00:44:00,18087.85,5176.46,49768.79,53230.40,VIC
2021-01-01 00:45:00,18087.82,5176.80,49768.78,53230.41,VIC
2021-01-01 00:46:00,18087.83,5177.05,49768.77,53230.46,VIC
2021-01-01 00:47:00,18087.87,5177.16,49768.82,53230.53,VIC
2021-01-01 00:48:00,18087.98,5177.14,49768.83,53230.60,VIC
2021-01-01 00:49:00,18088.01,5177.32,49768.82,53230.63,VIC
2021-01-01 00:50:00,18087.68,5177.40,49768.71,53230.41,VIC
2021-01-01 00:51:00,18087.71,5177.42,49768.73,53230.42,VIC
2021-01-01 00:52:00,18087.88,5177.64,49768.79,53230.56,VIC
2021-01-01 00:53:00,18087.81,5177.77,49768.75,53230.51,VIC
2021-01-01 00:54:00,18087.83,5177.80,49768.76,53230.53,VIC
2021-01-01 00:55:00,18087.86,5177.74,49768.79,53230.54,VIC
2021-01-01 00:56:00,18087.90,5177.66,49768.76,53230.53,VIC
2021-01-01 00:57:00,18087.88,5177.74,49768.72,53230.53,VIC
2021-01-01 00:58:00,18087.82,5177.73,49768.69,53230.46,VIC
2021-01-01 00:59:00,18087.85,5177.76,49768.69,53230.48,VIC
2021-01-01 01:00:00,18087.90,5177.83,49768.68,53230.49,VIC
2021-01-01 01:01:00,18087.93,5177.95,49768.65,53230.49,VIC
2021-01-01 01:02:00,18087.97,5177.98,49768.66,53230.51,VIC
2021-01-01 01:03:00,18088.12,5177.95,49768.70,53230.59,VIC
2021-01-01 01:04:00,18088.14,5177.94,49768.70,53230.59,VIC
2021-01-01 01:05:00,18088.12,5177.95,49768.66,53230.55,VIC
2021-01-01 01:06:00,18087.99,5177.96,49768.57,53230.45,VIC
2021-01-01 01:07:00,18087.90,5178.02,49768.51,53230.36,VIC
2021-01-01 01:08:00,18087.84,5178.03,49768.50,53230.30,VIC
2021-01-01 01:09:00,18087.84,5178.12,49768.50,53230.29,VIC
2021-01-01 01:10:00,18087.79,5177.99,49768.49,53230.26,VIC
2021-01-01 01:11:00,18087.81,5177.78,49768.48,53230.24,VIC
2021-01-01 01:12:00,18087.78,5177.61,49768.43,53230.19,VIC
2021-01-01 01:13:00,18087.63,5177.63,49768.36,53230.07,VIC
2021-01-01 01:14:00,18087.52,5177.69,49768.30,53229.97,VIC
2021-01-01 01:15:00,18087.51,5177.79,49768.23,53229.91,VIC
2021-01-01 01:16:00,18087.60,5177.79,49768.25,53229.98,VIC
2021-01-01 01:17:00,18087.72,5177.86,49768.27,53230.03,VIC
2021-01-01 01:18:00,18087.73,5177.93,49768.27,53230.04,VIC
2021-01-01 01:19:00,18087.68,5178.01,49768.27,53230.04,VIC
2021-01-01 01:20:00,18087.63,5178.16,49768.20,53229.97,VIC
2021-01-01 01:21:00,18087.61,5178.34,49768.19,53229.95,VIC
2021-01-01 01:22:00,18087.52,5178.44,49768.15,53229.90,VIC
2021-01-01 01:23:00,18087.42,5178.43,49768.14,53229.86,VIC
2021-01-01 01:24:00,18087.43,5178.31,49768.15,53229.86,VIC
2021-01-01 01:25:00,18087.44,5178.16,49768.13,53229.83,VIC
2021-01-01 01:26:00,18087.43,5178.42,49768.08,53229.81,VIC
2021-01-01 01:27:00,18087.19,5178.64,49767.99,53229.67,VIC
2021-01-01 01:28:00,18087.10,5178.57,49767.99,53229.66,VIC
2021-01-01 01:29:00,18087.10,5178.32,49768.03,53229.64,VIC
2021-01-01 01:30:00,18087.13,5178.27,49768.00,53229.61,VIC
2021-01-01 01:31:00,18087.13,5178.54,49767.95,53229.59,VIC
2021-01-01 01:32:00,18087.03,5178.74,49767.89,53229.52,VIC
2021-01-01 01:33:00,18086.93,5178.79,49767.89,53229.49,VIC
2021-01-01 01:34:00,18086.97,5178.82,49767.89,53229.50,VIC
2021-01-01 01:35:00,18087.05,5179.00,49767.89,53229.57,VIC
2021-01-01 01:36:00,18087.00,5179.13,49767.88,53229.54,VIC
2021-01-01 01:37:00,18087.09,5179.19,49767.89,53229.61,VIC
2021-01-01 01:38:00,18087.17,5179.16,49767.96,53229.68,VIC
2021-01-01 01:39:00,18087.25,5179.13,49767.96,53229.70,VIC
2021-01-01 01:40:00,18087.26,5179.15,49767.97,53229.70,VIC
2021-01-01 01:41:00,18087.26,5179.20,49767.92,53229.67,VIC
2021-01-01 01:42:00,18087.15,5179.37,49767.87,53229.60,VIC
2021-01-01 01:43:00,18087.04,5179.33,49767.82,53229.54,VIC
2021-01-01 01:44:00,18087.00,5179.34,49767.80,53229.50,VIC
2021-01-01 01:45:00,18087.03,5179.35,49767.80,53229.51,VIC
2021-01-01 01:46:00,18086.91,5179.34,49767.76,53229.42,VIC
2021-01-01 01:47:00,18086.90,5179.34,49767.73,53229.40,VIC
2021-01-01 01:48:00,18086.81,5179.41,49767.70,53229.35,VIC
2021-01-01 01:49:00,18086.66,5179.46,49767.64,53229.25,VIC
2021-01-01 01:50:00,18086.51,5179.35,49767.61,53229.15,VIC
2021-01-01 01:51:00,18086.62,5179.24,49767.64,53229.22,VIC
2021-01-01 01:52:00,18086.71,5179.52,49767.61,53229.23,VIC
2021-01-01 01:53:00,18086.28,5179.67,49767.50,53229.01,VIC
2021-01-01 01:54:00,18086.40,5179.69,49767.54,53229.09,VIC
2021-01-01 01:55:00,18086.35,5179.46,49767.55,53229.05,VIC
2021-01-01 01:56:00,18086.29,5179.43,49767.51,53228.99,VIC
2021-01-01 01:57:00,18086.22,5179.58,49767.47,53228.96,VIC
2021-01-01 01:58:00,18086.05,5179.54,49767.43,53228.85,VIC
2021-01-01 01:59:00,18086.13,5179.45,49767.47,53228.89,VIC
2021-01-01 02:00:00,18086.22,5179.49,49767.48,53228.91,VIC
2021-01-01 02:01:00,18086.22,5179.73,49767.46,53228.91,VIC
2021-01-01 02:02:00,18086.23,5180.01,49767.45,53228.94,VIC
2021-01-01 02:03:00,18086.19,5180.13,49767.43,53228.95,VIC
2021-01-01 02:04:00,18086.14,5180.20,49767.43,53228.91,VIC
2021-01-01 02:05:00,18086.07,5180.31,49767.43,53228.90,VIC
2021-01-01 02:06:00,18086.03,5180.34,49767.43,53228.90,VIC
2021-01-01 02:07:00,18086.04,5180.37,49767.42,53228.88,VIC
2021-01-01 02:08:00,18086.04,5180.54,49767.42,53228.90,VIC
2021-01-01 02:09:00,18086.05,5180.66,49767.45,53228.94,VIC
2021-01-01 02:10:00,18086.02,5180.68,49767.42,53228.91,VIC
2021-01-01 02:11:00,18086.02,5180.59,49767.43,53228.91,VIC
2021-01-01 02:12:00,18086.06,5180.54,49767.42,53228.92,VIC
2021-01-01 02:13:00,18086.10,5180.55,49767.43,53228.96,VIC
2021-01-01 02:14:00,18086.09,5180.54,49767.39,53228.91,VIC
2021-01-01 02:15:00,18085.99,5180.58,49767.36,53228.85,VIC
2021-01-01 02:16:00,18086.02,5180.57,49767.37,53228.85,VIC
2021-01-01 02:17:00,18085.88,5180.51,49767.33,53228.76,VIC
2021-01-01 02:18:00,18085.56,5180.41,49767.23,53228.55,VIC
2021-01-01 02:19:00,18085.52,5180.24,49767.26,53228.54,VIC
2021-01-01 02:20:00,18085.35,5180.18,49767.17,53228.41,VIC
2021-01-01 02:21:00,18085.17,5180.19,49767.09,53228.27,VIC
2021-01-01 02:22:00,18085.00,5180.07,49767.04,53228.15,VIC
2021-01-01 02:23:00,18084.98,5179.95,49767.05,53228.14,VIC
2021-01-01 02:24:00,18084.81,5179.81,49767.03,53228.05,VIC
2021-01-01 02:25:00,18084.76,5179.63,49767.02,53228.01,VIC
2021-01-01 02:26:00,18084.66,5179.47,49766.97,53227.93,VIC
2021-01-01 02:27:00,18084.60,5179.35,49766.95,53227.88,VIC
2021-01-01 02:28:00,18084.50,5179.36,49766.90,53227.80,VIC
2021-01-01 02:29:00,18084.44,5179.37,49766.88,53227.76,VIC
2021-01-01 02:30:00,18084.29,5179.40,49766.84,53227.67,VIC
2021-01-01 02:31:00,18084.17,5179.33,49766.80,53227.60,VIC
