Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18083.61,-4479.34,-33208.33,38077.21,VNA
2021-01-01 00:01:00,18083.19,-4478.56,-33208.14,38076.77,VNA
2021-01-01 00:02:00,18082.71,-4478.07,-33207.62,38076.03,VNA
2021-01-01 00:03:00,18082.44,-4477.15,-33207.29,38075.45,VNA
2021-01-01 00:04:00,18081.86,-4476.51,-33206.56,38074.42,VNA
2021-01-01 00:05:00,18081.60,-4476.32,-33205.95,38073.75,VNA
2021-01-01 00:06:00,18082.98,-4477.75,-33206.67,38075.19,VNA
2021-01-01 00:07:00,18083.83,-4478.86,-33208.05,38076.90,VNA
2021-01-01 00:08:00,18083.94,-4479.53,-33208.67,38077.61,VNA
2021-01-01 00:09:00,18084.65,-4480.23,-33209.30,38078.59,VNA
2021-01-01 00:10:00,18085.25,-4481.03,-33210.31,38079.79,VNA
2021-01-01 00:11:00,18084.56,-4480.64,-33210.25,38079.41,VNA
2021-01-01 00:12:00,18084.35,-4480.55,-33210.00,38079.10,VNA
2021-01-01 00:13:00,18084.53,-4480.15,-33210.04,38079.20,VNA
2021-01-01 00:14:00,18083.99,-4479.19,-33209.52,38078.35,VNA
2021-01-01 00:15:00,18083.65,-4478.40,-33208.69,38077.35,VNA
2021-01-01 00:16:00,18084.27,-4478.80,-33208.52,38077.59,VNA
2021-01-01 00:17:00,18083.79,-4477.96,-33208.05,38076.84,VNA
2021-01-01 00:18:00,18083.44,-4478.20,-33207.49,38076.24,VNA
2021-01-01 00:19:00,18083.02,-4477.89,-33207.10,38075.66,VNA
2021-01-01 00:20:00,18082.72,-4477.77,-33206.43,38074.92,VNA
2021-01-01 00:21:00,18082.82,-4477.96,-33206.48,38075.07,VNA
2021-01-01 00:22:00,18082.61,-4477.87,-33206.53,38074.98,VNA
2021-01-01 00:23:00,18082.56,-4477.92,-33206.44,38074.85,VNA
2021-01-01 00:24:00,18082.02,-4477.62,-33206.16,38074.35,VNA
2021-01-01 00:25:00,18081.96,-4477.67,-33205.85,38074.03,VNA
2021-01-01 00:26:00,18082.01,-4477.11,-33205.69,38073.83,VNA
2021-01-01 00:27:00,18082.18,-4477.16,-33205.66,38073.88,VNA
2021-01-01 00:28:00,18082.64,-4477.84,-33206.05,38074.54,VNA
2021-01-01 00:29:00,18082.52,-4477.81,-33206.16,38074.55,VNA
2021-01-01 00:30:00,18082.32,-4477.73,-33206.09,38074.33,VNA
2021-01-01 00:31:00,18082.27,-4477.79,-33206.09,38074.31,VNA
2021-01-01 00:32:00,18082.03,-4477.72,-33206.01,38074.13,VNA
2021-01-01 00:33:00,18082.21,-4477.88,-33206.14,38074.34,VNA
2021-01-01 00:34:00,18082.56,-4478.16,-33206.49,38074.90,VNA
2021-01-01 00:35:00,18082.58,-4478.33,-33206.78,38075.16,VNA
2021-01-01 00:36:00,18082.66,-4478.58,-33206.98,38075.35,VNA
2021-01-01 00:37:00,18082.89,-4478.88,-33207.31,38075.80,VNA
2021-01-01 00:38:00,18083.07,-4478.84,-33207.79,38076.23,VNA
2021-01-01 00:39:00,18082.72,-4478.49,-33207.57,38075.88,VNA
2021-01-01 00:40:00,18082.67,-4478.55,-33207.49,38075.85,VNA
2021-01-01 00:41:00,18082.05,-4478.07,-33207.19,38075.24,VNA
2021-01-01 00:42:00,18081.20,-4477.80,-33206.61,38074.29,VNA
2021-01-01 00:43:00,18080.83,-4477.86,-33206.14,38073.76,VNA
2021-01-01 00:44:00,18080.83,-4477.84,-33206.12,38073.68,VNA
2021-01-01 00:45:00,18080.82,-4477.69,-33206.18,38073.72,VNA
2021-01-01 00:46:00,18081.12,-4477.72,-33206.42,38074.10,VNA
2021-01-01 00:47:00,18081.15,-4477.86,-33206.68,38074.43,VNA
2021-01-01 00:48:00,18080.70,-4477.62,-33206.68,38074.19,VNA
2021-01-01 00:49:00,18080.15,-4477.39,-33206.14,38073.46,VNA
2021-01-01 00:50:00,18080.55,-4477.65,-33206.49,38073.93,VNA
2021-01-01 00:51:00,18081.10,-4478.26,-33207.20,38074.84,VNA
2021-01-01 00:52:00,18081.44,-4478.31,-33207.81,38075.57,VNA
2021-01-01 00:53:00,18081.55,-4478.44,-33208.20,38075.94,VNA
2021-01-01 00:54:00,18081.70,-4478.40,-33208.39,38076.18,VNA
2021-01-01 00:55:00,18081.72,-4478.12,-33208.36,38076.20,VNA
2021-01-01 00:56:00,18082.00,-4478.31,-33208.57,38076.51,VNA
2021-01-01 00:57:00,18082.10,-4477.95,-33208.69,38076.57,VNA
2021-01-01 00:58:00,18081.94,-4477.60,-33208.50,38076.27,VNA
2021-01-01 00:59:00,18081.67,-4477.64,-33208.29,38075.98,VNA
2021-01-01 01:00:00,18081.75,-4477.77,-33208.27,38076.00,VNA
2021-01-01 01:01:00,18081.81,-4477.73,-33208.41,38076.14,VNA
2021-01-01 01:02:00,18081.89,-4477.60,-33208.49,38076.22,VNA
2021-01-01 01:03:00,18081.83,-4477.44,-33208.47,38076.15,VNA
2021-01-01 01:04:00,18081.91,-4477.51,-33208.50,38076.22,VNA
2021-01-01 01:05:00,18081.89,-4477.43,-33208.47,38076.14,VNA
2021-01-01 01:06:00,18081.96,-4477.31,-33208.42,38076.08,VNA
2021-01-01 01:07:00,18082.29,-4477.59,-33208.63,38076.55,VNA
2021-01-01 01:08:00,18082.67,-4477.66,-33208.98,38077.06,VNA
2021-01-01 01:09:00,18082.98,-4477.85,-33209.34,38077.53,VNA
2021-01-01 01:10:00,18083.18,-4477.92,-33209.61,38077.81,VNA
2021-01-01 01:11:00,18083.36,-4478.05,-33209.79,38078.14,VNA
2021-01-01 01:12:00,18083.36,-4478.11,-33209.97,38078.28,VNA
2021-01-01 01:13:00,18083.48,-4478.30,-33210.02,38078.43,VNA
2021-01-01 01:14:00,18083.49,-4478.43,-33210.23,38078.60,VNA
2021-01-01 01:15:00,18083.47,-4478.32,-33210.23,38078.57,VNA
2021-01-01 01:16:00,18083.43,-4478.07,-33210.16,38078.43,VNA
2021-01-01 01:17:00,18083.41,-4477.58,-33209.95,38078.15,VNA
2021-01-01 01:18:00,18083.13,-4477.15,-33209.58,38077.67,VNA
2021-01-01 01:19:00,18082.97,-4476.76,-33209.07,38077.13,VNA
2021-01-01 01:20:00,18082.98,-4476.61,-33208.75,38076.88,VNA
2021-01-01 01:21:00,18082.98,-4476.48,-33208.55,38076.66,VNA
2021-01-01 01:22:00,18082.97,-4476.42,-33208.38,38076.50,VNA
2021-01-01 01:23:00,18082.99,-4476.37,-33208.29,38076.45,VNA
2021-01-01 01:24:00,18083.20,-4476.73,-33208.49,38076.77,VNA
2021-01-01 01:25:00,18083.18,-4477.02,-33208.64,38076.94,VNA
2021-01-01 01:26:00,18083.35,-4477.41,-33208.89,38077.20,VNA
2021-01-01 01:27:00,18083.71,-4477.53,-33209.18,38077.61,VNA
2021-01-01 01:28:00,18083.64,-4477.61,-33209.27,38077.65,VNA
2021-01-01 01:29:00,18083.38,-4477.61,-33208.95,38077.32,VNA
2021-01-01 01:30:00,18083.33,-4477.69,-33208.77,38077.15,VNA
2021-01-01 01:31:00,18083.40,-4477.82,-33208.75,38077.18,VNA
2021-01-01 01:32:00,18083.36,-4477.58,-33208.68,38077.02,VNA
2021-01-01 01:33:00,18083.22,-4477.20,-33208.36,38076.63,VNA
2021-01-01 01:34:00,18083.00,-4476.81,-33207.97,38076.11,VNA
2021-01-01 01:35:00,18082.85,-4476.63,-33207.62,38075.80,VNA
2021-01-01 01:36:00,18083.16,-4476.83,-33207.76,38076.11,VNA
2021-01-01 01:37:00,18083.16,-4476.91,-33207.97,38076.27,VNA
2021-01-01 01:38:00,18083.05,-4476.94,-33208.00,38076.26,VNA
2021-01-01 01:39:00,18082.84,-4476.60,-33207.82,38075.99,VNA
2021-01-01 01:40:00,18082.53,-4476.09,-33207.45,38075.47,VNA
