Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,-7382.00,-11289.00,-57660.00,99999.00,VOS
2021-01-01 00:01:00,-7384.00,-11287.00,-57661.00,99999.00,VOS
2021-01-01 00:02:00,-7386.00,-11284.00,-57663.00,99999.00,VOS
2021-01-01 00:03:00,-7385.00,-11286.00,-57662.00,99999.00,VOS
2021-01-01 00:04:00,-7383.00,-11289.00,-57660.00,99999.00,VOS
2021-01-01 00:05:00,-7379.00,-11289.00,-57659.00,99999.00,VOS
2021-01-01 00:06:00,-7377.00,-11287.00,-57659.00,99999.00,VOS
2021-01-01 00:07:00,-7375.00,-11286.00,-57659.00,99999.00,VOS
2021-01-01 00:08:00,-7375.00,-11285.00,-57658.00,99999.00,VOS
2021-01-01 00:09:00,-7376.00,-11288.00,-57658.00,99999.00,VOS
2021-01-01 00:10:00,-7379.00,-11289.00,-57659.00,99999.00,VOS
2021-01-01 00:11:00,-7381.00,-11290.00,-57659.00,99999.00,VOS
2021-01-01 00:12:00,-7381.00,-11292.00,-57657.00,99999.00,VOS
2021-01-01 00:13:00,-7380.00,-11294.00,-57657.00,99999.00,VOS
2021-01-01 00:14:00,-7379.00,-11293.00,-57658.00,99999.00,VOS
2021-01-01 00:15:00,-7379.00,-11290.00,-57659.00,99999.00,VOS
2021-01-01 00:16:00,-7378.00,-11288.00,-57660.00,99999.00,VOS
2021-01-01 00:17:00,-7380.00,-11285.00,-57661.00,99999.00,VOS
2021-01-01 00:18:00,-7382.00,-11283.00,-57662.00,99999.00,VOS
2021-01-01 00:19:00,-7385.00,-11283.00,-57663.00,99999.00,VOS
2021-01-01 00:20:00,-7386.00,-11283.00,-57664.00,99999.00,VOS
2021-01-01 00:21:00,-7387.00,-11282.00,-57665.00,99999.00,VOS
2021-01-01 00:22:00,-7387.00,-11282.00,-57665.00,99999.00,VOS
2021-01-01 00:23:00,-7387.00,-11281.00,-57665.00,99999.00,VOS
2021-01-01 00:24:00,-7387.00,-11281.00,-57665.00,99999.00,VOS
2021-01-01 00:25:00,-7387.00,-11281.00,-57665.00,99999.00,VOS
2021-01-01 00:26:00,-7388.00,-11282.00,-57664.00,99999.00,VOS
2021-01-01 00:27:00,-7387.00,-11283.00,-57664.00,99999.00,VOS
2021-01-01 00:28:00,-7389.00,-11283.00,-57665.00,99999.00,VOS
2021-01-01 00:29:00,-7389.00,-11283.00,-57665.00,99999.00,VOS
2021-01-01 00:30:00,-7389.00,-11284.00,-57666.00,99999.00,VOS
2021-01-01 00:31:00,-7389.00,-11284.00,-57666.00,99999.00,VOS
2021-01-01 00:32:00,-7388.00,-11285.00,-57666.00,99999.00,VOS
2021-01-01 00:33:00,-7388.00,-11285.00,-57666.00,99999.00,VOS
2021-01-01 00:34:00,-7389.00,-11284.00,-57666.00,99999.00,VOS
2021-01-01 00:35:00,-7390.00,-11284.00,-57667.00,99999.00,VOS
2021-01-01 00:36:00,-7389.00,-11283.00,-57667.00,99999.00,VOS
2021-01-01 00:37:00,-7389.00,-11283.00,-57667.00,99999.00,VOS
2021-01-01 00:38:00,-7389.00,-11283.00,-57667.00,99999.00,VOS
2021-01-01 00:39:00,-7389.00,-11283.00,-57667.00,99999.00,VOS
