Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,16331.54,-6890.67,-15081.80,23273.99,VSS
2021-01-01 00:01:00,16331.70,-6890.40,-15081.57,23273.88,VSS
2021-01-01 00:02:00,16332.01,-6890.37,-15081.52,23274.03,VSS
2021-01-01 00:03:00,16332.39,-6890.22,-15081.57,23274.24,VSS
2021-01-01 00:04:00,16332.58,-6890.11,-15081.40,23274.29,VSS
2021-01-01 00:05:00,16332.86,-6890.00,-15081.42,23274.43,VSS
2021-01-01 00:06:00,16332.83,-6890.07,-15081.45,23274.47,VSS
2021-01-01 00:07:00,16332.77,-6890.16,-15081.57,23274.55,VSS
2021-01-01 00:08:00,16332.64,-6890.30,-15081.31,23274.31,VSS
2021-01-01 00:09:00,16332.41,-6890.57,-15081.36,23274.25,VSS
2021-01-01 00:10:00,16332.09,-6890.72,-15081.54,23274.16,VSS
2021-01-01 00:11:00,16331.73,-6890.75,-15081.64,23273.98,VSS
2021-01-01 00:12:00,16331.55,-6890.72,-15081.37,23273.69,VSS
2021-01-01 00:13:00,16331.65,-6890.67,-15081.59,23273.91,VSS
2021-01-01 00:14:00,16331.72,-6890.46,-15081.39,23273.72,VSS
2021-01-01 00:15:00,16331.94,-6890.39,-15081.59,23274.01,VSS
2021-01-01 00:16:00,16331.93,-6890.36,-15081.54,23273.94,VSS
2021-01-01 00:17:00,16332.04,-6890.24,-15081.54,23274.01,VSS
2021-01-01 00:18:00,16331.99,-6890.18,-15081.45,23273.83,VSS
2021-01-01 00:19:00,16332.01,-6890.06,-15081.50,23273.94,VSS
2021-01-01 00:20:00,16332.13,-6890.03,-15081.50,23273.96,VSS
2021-01-01 00:21:00,16332.08,-6890.03,-15081.50,23273.96,VSS
2021-01-01 00:22:00,16332.29,-6889.87,-15081.53,23274.07,VSS
2021-01-01 00:23:00,16332.39,-6889.78,-15081.65,23274.14,VSS
2021-01-01 00:24:00,16332.60,-6889.67,-15081.57,23274.25,VSS
2021-01-01 00:25:00,16332.69,-6889.54,-15081.31,23274.11,VSS
2021-01-01 00:26:00,16333.01,-6889.54,-15081.38,23274.32,VSS
2021-01-01 00:27:00,16333.05,-6889.73,-15081.44,23274.50,VSS
2021-01-01 00:28:00,16332.90,-6889.77,-15081.27,23274.27,VSS
2021-01-01 00:29:00,16332.85,-6889.83,-15081.38,23274.35,VSS
2021-01-01 00:30:00,16332.89,-6889.84,-15081.46,23274.40,VSS
2021-01-01 00:31:00,16332.91,-6889.75,-15081.47,23274.39,VSS
2021-01-01 00:32:00,16332.91,-6889.65,-15081.39,23274.32,VSS
2021-01-01 00:33:00,16333.07,-6889.68,-15081.45,23274.46,VSS
