Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21005.34,1690.69,43969.55,48758.76,WIC
2021-01-01 00:01:00,21005.27,1690.75,43969.57,48758.75,WIC
2021-01-01 00:02:00,21005.29,1690.70,43969.62,48758.80,WIC
2021-01-01 00:03:00,21005.20,1690.81,43969.61,48758.76,WIC
2021-01-01 00:04:00,21005.12,1690.92,43969.59,48758.71,WIC
2021-01-01 00:05:00,21005.09,1690.70,43969.61,48758.71,WIC
2021-01-01 00:06:00,21005.37,1690.24,43969.73,48758.91,WIC
2021-01-01 00:07:00,21005.80,1689.79,43969.86,48759.20,WIC
2021-01-01 00:08:00,21006.61,1689.59,43969.92,48759.58,WIC
2021-01-01 00:09:00,21006.84,1689.80,43969.86,48759.65,WIC
2021-01-01 00:10:00,21006.66,1690.30,43969.71,48759.45,WIC
2021-01-01 00:11:00,21006.40,1690.55,43969.63,48759.27,WIC
2021-01-01 00:12:00,21006.31,1690.59,43969.62,48759.23,WIC
2021-01-01 00:13:00,21006.17,1690.48,43969.61,48759.17,WIC
2021-01-01 00:14:00,21006.06,1690.45,43969.64,48759.14,WIC
2021-01-01 00:15:00,21005.93,1690.60,43969.62,48759.07,WIC
2021-01-01 00:16:00,21005.69,1690.72,43969.59,48758.94,WIC
2021-01-01 00:17:00,21005.25,1690.81,43969.56,48758.73,WIC
2021-01-01 00:18:00,21005.05,1690.85,43969.57,48758.66,WIC
2021-01-01 00:19:00,21004.94,1690.82,43969.59,48758.63,WIC
2021-01-01 00:20:00,21004.99,1690.70,43969.63,48758.68,WIC
2021-01-01 00:21:00,21004.97,1690.51,43969.68,48758.72,WIC
2021-01-01 00:22:00,21005.07,1690.18,43969.78,48758.83,WIC
2021-01-01 00:23:00,21005.11,1689.85,43969.88,48758.92,WIC
2021-01-01 00:24:00,21005.28,1689.62,43969.90,48759.01,WIC
2021-01-01 00:25:00,21005.55,1689.39,43969.92,48759.14,WIC
2021-01-01 00:26:00,21005.69,1689.25,43969.93,48759.19,WIC
2021-01-01 00:27:00,21005.82,1689.24,43969.90,48759.22,WIC
2021-01-01 00:28:00,21005.83,1689.31,43969.84,48759.17,WIC
2021-01-01 00:29:00,21005.86,1689.36,43969.82,48759.17,WIC
2021-01-01 00:30:00,21005.87,1689.37,43969.77,48759.14,WIC
2021-01-01 00:31:00,21005.93,1689.37,43969.74,48759.13,WIC
2021-01-01 00:32:00,21006.01,1689.33,43969.75,48759.17,WIC
2021-01-01 00:33:00,21006.19,1689.16,43969.75,48759.25,WIC
2021-01-01 00:34:00,21006.27,1688.98,43969.77,48759.29,WIC
2021-01-01 00:35:00,21006.26,1688.83,43969.78,48759.31,WIC
2021-01-01 00:36:00,21006.20,1688.82,43969.75,48759.25,WIC
2021-01-01 00:37:00,21006.19,1688.83,43969.73,48759.22,WIC
2021-01-01 00:38:00,21006.22,1688.93,43969.70,48759.20,WIC
2021-01-01 00:39:00,21006.26,1688.94,43969.67,48759.20,WIC
2021-01-01 00:40:00,21006.22,1688.96,43969.65,48759.18,WIC
2021-01-01 00:41:00,21006.03,1689.08,43969.61,48759.07,WIC
2021-01-01 00:42:00,21005.94,1689.19,43969.58,48759.00,WIC
2021-01-01 00:43:00,21005.87,1689.27,43969.57,48758.97,WIC
2021-01-01 00:44:00,21005.90,1689.23,43969.61,48759.00,WIC
2021-01-01 00:45:00,21005.94,1689.10,43969.65,48759.07,WIC
2021-01-01 00:46:00,21005.97,1688.94,43969.68,48759.11,WIC
2021-01-01 00:47:00,21005.93,1688.86,43969.71,48759.10,WIC
2021-01-01 00:48:00,21005.84,1688.90,43969.69,48759.03,WIC
2021-01-01 00:49:00,21005.94,1688.85,43969.68,48759.07,WIC
2021-01-01 00:50:00,21005.96,1688.86,43969.70,48759.09,WIC
2021-01-01 00:51:00,21006.06,1688.87,43969.69,48759.13,WIC
2021-01-01 00:52:00,21006.11,1688.88,43969.70,48759.16,WIC
2021-01-01 00:53:00,21006.14,1688.91,43969.68,48759.16,WIC
2021-01-01 00:54:00,21006.19,1688.98,43969.67,48759.17,WIC
2021-01-01 00:55:00,21006.26,1689.03,43969.67,48759.20,WIC
2021-01-01 00:56:00,21006.33,1689.08,43969.65,48759.21,WIC
2021-01-01 00:57:00,21006.34,1689.15,43969.64,48759.21,WIC
2021-01-01 00:58:00,21006.36,1689.19,43969.64,48759.21,WIC
2021-01-01 00:59:00,21006.34,1689.22,43969.62,48759.20,WIC
2021-01-01 01:00:00,21006.35,1689.25,43969.61,48759.20,WIC
2021-01-01 01:01:00,21006.36,1689.36,43969.58,48759.18,WIC
2021-01-01 01:02:00,21006.40,1689.49,43969.55,48759.18,WIC
2021-01-01 01:03:00,21006.48,1689.63,43969.52,48759.19,WIC
2021-01-01 01:04:00,21006.66,1689.79,43969.49,48759.25,WIC
2021-01-01 01:05:00,21006.78,1689.98,43969.47,48759.28,WIC
2021-01-01 01:06:00,21006.86,1690.10,43969.43,48759.29,WIC
2021-01-01 01:07:00,21007.02,1690.13,43969.43,48759.35,WIC
2021-01-01 01:08:00,21007.08,1690.13,43969.45,48759.39,WIC
2021-01-01 01:09:00,21007.14,1690.09,43969.46,48759.43,WIC
2021-01-01 01:10:00,21007.12,1690.08,43969.46,48759.42,WIC
2021-01-01 01:11:00,21007.09,1690.06,43969.46,48759.40,WIC
2021-01-01 01:12:00,21007.07,1690.02,43969.45,48759.39,WIC
2021-01-01 01:13:00,21007.04,1689.97,43969.45,48759.39,WIC
2021-01-01 01:14:00,21007.02,1689.93,43969.46,48759.38,WIC
2021-01-01 01:15:00,21007.02,1689.79,43969.49,48759.40,WIC
2021-01-01 01:16:00,21007.06,1689.65,43969.52,48759.44,WIC
2021-01-01 01:17:00,21007.05,1689.53,43969.54,48759.44,WIC
2021-01-01 01:18:00,21007.09,1689.45,43969.55,48759.47,WIC
2021-01-01 01:19:00,21007.16,1689.38,43969.55,48759.50,WIC
2021-01-01 01:20:00,21007.24,1689.33,43969.55,48759.53,WIC
2021-01-01 01:21:00,21007.30,1689.26,43969.54,48759.54,WIC
2021-01-01 01:22:00,21007.39,1689.18,43969.53,48759.57,WIC
2021-01-01 01:23:00,21007.40,1689.13,43969.52,48759.57,WIC
2021-01-01 01:24:00,21007.43,1689.17,43969.50,48759.56,WIC
2021-01-01 01:25:00,21007.41,1689.16,43969.47,48759.52,WIC
2021-01-01 01:26:00,21007.45,1689.05,43969.47,48759.54,WIC
2021-01-01 01:27:00,21007.33,1689.06,43969.46,48759.49,WIC
2021-01-01 01:28:00,21007.19,1689.15,43969.42,48759.39,WIC
2021-01-01 01:29:00,21007.12,1689.24,43969.38,48759.32,WIC
2021-01-01 01:30:00,21007.09,1689.29,43969.37,48759.30,WIC
2021-01-01 01:31:00,21007.16,1689.19,43969.42,48759.36,WIC
2021-01-01 01:32:00,21007.19,1689.07,43969.46,48759.41,WIC
2021-01-01 01:33:00,21007.22,1688.99,43969.47,48759.44,WIC
2021-01-01 01:34:00,21007.19,1688.96,43969.47,48759.43,WIC
2021-01-01 01:35:00,21007.22,1688.91,43969.49,48759.46,WIC
2021-01-01 01:36:00,21007.15,1688.92,43969.48,48759.42,WIC
2021-01-01 01:37:00,21007.07,1688.94,43969.49,48759.38,WIC
2021-01-01 01:38:00,21006.98,1688.98,43969.47,48759.33,WIC
2021-01-01 01:39:00,21006.95,1689.04,43969.46,48759.30,WIC
2021-01-01 01:40:00,21006.89,1689.09,43969.46,48759.28,WIC
2021-01-01 01:41:00,21006.89,1689.15,43969.45,48759.28,WIC
2021-01-01 01:42:00,21006.89,1689.22,43969.44,48759.27,WIC
2021-01-01 01:43:00,21006.95,1689.29,43969.44,48759.29,WIC
2021-01-01 01:44:00,21006.94,1689.29,43969.46,48759.30,WIC
2021-01-01 01:45:00,21006.91,1689.26,43969.47,48759.30,WIC
2021-01-01 01:46:00,21006.96,1689.24,43969.49,48759.34,WIC
2021-01-01 01:47:00,21006.97,1689.18,43969.50,48759.36,WIC
2021-01-01 01:48:00,21006.98,1689.07,43969.54,48759.38,WIC
2021-01-01 01:49:00,21006.91,1689.03,43969.54,48759.37,WIC
2021-01-01 01:50:00,21006.93,1689.07,43969.51,48759.37,WIC
2021-01-01 01:51:00,21007.02,1689.11,43969.51,48759.40,WIC
2021-01-01 01:52:00,21007.05,1689.03,43969.54,48759.43,WIC
2021-01-01 01:53:00,21007.07,1689.00,43969.56,48759.45,WIC
2021-01-01 01:54:00,21007.14,1689.04,43969.56,48759.49,WIC
2021-01-01 01:55:00,21007.15,1689.12,43969.54,48759.47,WIC
2021-01-01 01:56:00,21007.15,1689.15,43969.53,48759.45,WIC
2021-01-01 01:57:00,21007.12,1689.07,43969.55,48759.45,WIC
2021-01-01 01:58:00,21007.10,1689.09,43969.54,48759.45,WIC
2021-01-01 01:59:00,21007.13,1689.13,43969.54,48759.47,WIC
2021-01-01 02:00:00,21007.24,1689.08,43969.56,48759.53,WIC
2021-01-01 02:01:00,21007.34,1688.91,43969.60,48759.61,WIC
2021-01-01 02:02:00,21007.39,1688.75,43969.64,48759.66,WIC
2021-01-01 02:03:00,21007.47,1688.65,43969.65,48759.71,WIC
2021-01-01 02:04:00,21007.68,1688.56,43969.67,48759.80,WIC
2021-01-01 02:05:00,21007.78,1688.46,43969.68,48759.86,WIC
2021-01-01 02:06:00,21007.88,1688.39,43969.69,48759.90,WIC
2021-01-01 02:07:00,21007.98,1688.30,43969.70,48759.95,WIC
2021-01-01 02:08:00,21008.06,1688.23,43969.73,48759.99,WIC
2021-01-01 02:09:00,21008.13,1688.21,43969.71,48760.01,WIC
2021-01-01 02:10:00,21008.17,1688.17,43969.70,48760.02,WIC
2021-01-01 02:11:00,21008.15,1688.12,43969.71,48760.01,WIC
2021-01-01 02:12:00,21008.09,1688.14,43969.69,48759.97,WIC
2021-01-01 02:13:00,21008.10,1688.20,43969.65,48759.95,WIC
2021-01-01 02:14:00,21008.10,1688.28,43969.64,48759.93,WIC
2021-01-01 02:15:00,21008.10,1688.34,43969.63,48759.91,WIC
2021-01-01 02:16:00,21008.16,1688.44,43969.61,48759.93,WIC
2021-01-01 02:17:00,21008.15,1688.63,43969.59,48759.91,WIC
2021-01-01 02:18:00,21008.05,1688.86,43969.54,48759.85,WIC
2021-01-01 02:19:00,21008.14,1689.01,43969.53,48759.87,WIC
2021-01-01 02:20:00,21007.99,1689.16,43969.51,48759.79,WIC
2021-01-01 02:21:00,21008.09,1689.29,43969.50,48759.83,WIC
2021-01-01 02:22:00,21008.06,1689.46,43969.49,48759.80,WIC
2021-01-01 02:23:00,21008.03,1689.56,43969.48,48759.79,WIC
2021-01-01 02:24:00,21007.93,1689.66,43969.45,48759.73,WIC
2021-01-01 02:25:00,21007.87,1689.72,43969.45,48759.71,WIC
2021-01-01 02:26:00,21007.70,1689.74,43969.46,48759.65,WIC
2021-01-01 02:27:00,21007.59,1689.83,43969.45,48759.59,WIC
2021-01-01 02:28:00,21007.46,1689.87,43969.45,48759.54,WIC
2021-01-01 02:29:00,21007.39,1689.86,43969.46,48759.53,WIC
2021-01-01 02:30:00,21007.21,1689.77,43969.49,48759.46,WIC
2021-01-01 02:31:00,21007.05,1689.71,43969.51,48759.41,WIC
2021-01-01 02:32:00,21006.81,1689.71,43969.54,48759.33,WIC
2021-01-01 02:33:00,21006.67,1689.74,43969.54,48759.28,WIC
2021-01-01 02:34:00,21006.49,1689.80,43969.53,48759.19,WIC
2021-01-01 02:35:00,21006.41,1689.81,43969.53,48759.16,WIC
2021-01-01 02:36:00,21006.39,1689.74,43969.55,48759.17,WIC
2021-01-01 02:37:00,21006.40,1689.65,43969.59,48759.21,WIC
2021-01-01 02:38:00,21006.40,1689.50,43969.62,48759.24,WIC
2021-01-01 02:39:00,21006.38,1689.34,43969.65,48759.26,WIC
2021-01-01 02:40:00,21006.43,1689.11,43969.69,48759.31,WIC
2021-01-01 02:41:00,21006.49,1688.87,43969.75,48759.37,WIC
2021-01-01 02:42:00,21006.50,1688.69,43969.76,48759.39,WIC
2021-01-01 02:43:00,21006.55,1688.55,43969.78,48759.42,WIC
2021-01-01 02:44:00,21006.58,1688.34,43969.80,48759.44,WIC
2021-01-01 02:45:00,21006.64,1688.15,43969.81,48759.47,WIC
2021-01-01 02:46:00,21006.64,1687.97,43969.84,48759.47,WIC
2021-01-01 02:47:00,21006.72,1687.82,43969.84,48759.50,WIC
2021-01-01 02:48:00,21006.72,1687.68,43969.82,48759.50,WIC
2021-01-01 02:49:00,21006.74,1687.59,43969.82,48759.50,WIC
2021-01-01 02:50:00,21006.78,1687.59,43969.78,48759.48,WIC
2021-01-01 02:51:00,21006.85,1687.51,43969.77,48759.50,WIC
2021-01-01 02:52:00,21006.93,1687.40,43969.78,48759.54,WIC
2021-01-01 02:53:00,21006.94,1687.29,43969.79,48759.55,WIC
2021-01-01 02:54:00,21007.01,1687.19,43969.79,48759.57,WIC
2021-01-01 02:55:00,21007.13,1687.04,43969.80,48759.63,WIC
2021-01-01 02:56:00,21007.14,1686.90,43969.82,48759.64,WIC
2021-01-01 02:57:00,21007.09,1686.86,43969.79,48759.60,WIC
2021-01-01 02:58:00,21007.11,1686.85,43969.76,48759.58,WIC
2021-01-01 02:59:00,21007.08,1686.87,43969.73,48759.54,WIC
2021-01-01 03:00:00,21007.17,1686.97,43969.69,48759.55,WIC
2021-01-01 03:01:00,21007.21,1687.01,43969.67,48759.54,WIC
2021-01-01 03:02:00,21007.62,1686.88,43969.70,48759.75,WIC
2021-01-01 03:03:00,21007.73,1686.78,43969.71,48759.81,WIC
2021-01-01 03:04:00,21007.84,1686.67,43969.72,48759.86,WIC
2021-01-01 03:05:00,21007.94,1686.51,43969.74,48759.91,WIC
2021-01-01 03:06:00,21008.04,1686.33,43969.75,48759.96,WIC
2021-01-01 03:07:00,21008.03,1686.24,43969.75,48759.95,WIC
2021-01-01 03:08:00,21007.93,1686.33,43969.71,48759.86,WIC
2021-01-01 03:09:00,21007.86,1686.50,43969.62,48759.78,WIC
2021-01-01 03:10:00,21007.80,1686.63,43969.59,48759.73,WIC
2021-01-01 03:11:00,21007.74,1686.71,43969.56,48759.68,WIC
2021-01-01 03:12:00,21007.73,1686.80,43969.55,48759.67,WIC
2021-01-01 03:13:00,21007.65,1686.89,43969.52,48759.62,WIC
2021-01-01 03:14:00,21007.69,1686.96,43969.51,48759.62,WIC
