Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18179.94,1051.29,46397.18,49842.67,WNG
2021-01-01 00:01:00,18179.38,1051.27,46397.14,49842.61,WNG
2021-01-01 00:02:00,18179.33,1051.15,46397.13,49842.58,WNG
2021-01-01 00:03:00,18179.18,1051.22,46397.16,49842.51,WNG
2021-01-01 00:04:00,18179.03,1051.27,46397.10,49842.46,WNG
2021-01-01 00:05:00,18178.95,1050.94,46397.08,49842.39,WNG
2021-01-01 00:06:00,18179.34,1050.33,46397.03,49842.47,WNG
2021-01-01 00:07:00,18179.99,1049.70,46397.01,49842.68,WNG
2021-01-01 00:08:00,18181.09,1049.40,46397.06,49843.10,WNG
2021-01-01 00:09:00,18181.41,1049.59,46397.14,49843.29,WNG
2021-01-01 00:10:00,18181.14,1050.12,46397.22,49843.30,WNG
2021-01-01 00:11:00,18180.80,1050.41,46397.26,49843.21,WNG
2021-01-01 00:12:00,18180.67,1050.45,46397.24,49843.16,WNG
2021-01-01 00:13:00,18180.47,1050.31,46397.26,49843.08,WNG
2021-01-01 00:14:00,18180.28,1050.20,46397.20,49842.98,WNG
2021-01-01 00:15:00,18179.99,1050.31,46397.16,49842.85,WNG
2021-01-01 00:16:00,18179.57,1050.59,46397.11,49842.66,WNG
2021-01-01 00:17:00,18178.87,1050.75,46397.05,49842.35,WNG
2021-01-01 00:18:00,18178.53,1050.93,46397.01,49842.16,WNG
2021-01-01 00:19:00,18178.31,1050.98,46396.86,49842.00,WNG
2021-01-01 00:20:00,18178.37,1050.95,46396.80,49841.96,WNG
2021-01-01 00:21:00,18178.36,1050.70,46396.74,49841.92,WNG
2021-01-01 00:22:00,18178.49,1050.38,46396.76,49841.93,WNG
2021-01-01 00:23:00,18178.56,1050.00,46396.74,49841.93,WNG
2021-01-01 00:24:00,18178.75,1049.75,46396.73,49841.96,WNG
2021-01-01 00:25:00,18179.16,1049.49,46396.74,49842.09,WNG
2021-01-01 00:26:00,18179.33,1049.31,46396.74,49842.15,WNG
2021-01-01 00:27:00,18179.51,1049.29,46396.74,49842.22,WNG
2021-01-01 00:28:00,18179.52,1049.42,46396.78,49842.25,WNG
2021-01-01 00:29:00,18179.58,1049.46,46396.76,49842.29,WNG
2021-01-01 00:30:00,18179.65,1049.51,46396.76,49842.32,WNG
2021-01-01 00:31:00,18179.70,1049.53,46396.77,49842.36,WNG
2021-01-01 00:32:00,18179.84,1049.48,46396.80,49842.42,WNG
2021-01-01 00:33:00,18180.13,1049.24,46396.79,49842.50,WNG
2021-01-01 00:34:00,18180.19,1049.05,46396.78,49842.54,WNG
2021-01-01 00:35:00,18180.10,1048.86,46396.78,49842.51,WNG
2021-01-01 00:36:00,18179.96,1048.86,46396.74,49842.43,WNG
2021-01-01 00:37:00,18179.91,1048.91,46396.71,49842.39,WNG
2021-01-01 00:38:00,18179.86,1049.02,46396.73,49842.36,WNG
2021-01-01 00:39:00,18179.95,1049.04,46396.69,49842.34,WNG
2021-01-01 00:40:00,18179.93,1049.14,46396.69,49842.32,WNG
2021-01-01 00:41:00,18179.65,1049.31,46396.67,49842.23,WNG
2021-01-01 00:42:00,18179.53,1049.52,46396.64,49842.15,WNG
2021-01-01 00:43:00,18179.39,1049.65,46396.65,49842.11,WNG
2021-01-01 00:44:00,18179.41,1049.62,46396.63,49842.09,WNG
2021-01-01 00:45:00,18179.47,1049.47,46396.61,49842.08,WNG
2021-01-01 00:46:00,18179.51,1049.32,46396.57,49842.09,WNG
2021-01-01 00:47:00,18179.48,1049.19,46396.54,49842.06,WNG
2021-01-01 00:48:00,18179.33,1049.26,46396.52,49841.98,WNG
2021-01-01 00:49:00,18179.40,1049.16,46396.51,49841.98,WNG
2021-01-01 00:50:00,18179.35,1049.16,46396.50,49841.96,WNG
2021-01-01 00:51:00,18179.46,1049.23,46396.51,49841.97,WNG
2021-01-01 00:52:00,18179.50,1049.21,46396.51,49841.99,WNG
2021-01-01 00:53:00,18179.55,1049.25,46396.48,49841.99,WNG
2021-01-01 00:54:00,18179.58,1049.42,46396.51,49842.01,WNG
2021-01-01 00:55:00,18179.67,1049.46,46396.48,49842.04,WNG
2021-01-01 00:56:00,18179.67,1049.53,46396.48,49842.06,WNG
2021-01-01 00:57:00,18179.67,1049.58,46396.51,49842.05,WNG
2021-01-01 00:58:00,18179.66,1049.65,46396.53,49842.06,WNG
2021-01-01 00:59:00,18179.62,1049.68,46396.51,49842.03,WNG
2021-01-01 01:00:00,18179.58,1049.73,46396.53,49842.01,WNG
2021-01-01 01:01:00,18179.62,1049.93,46396.48,49842.01,WNG
2021-01-01 01:02:00,18179.66,1050.12,46396.50,49842.04,WNG
2021-01-01 01:03:00,18179.79,1050.34,46396.51,49842.10,WNG
2021-01-01 01:04:00,18180.09,1050.62,46396.52,49842.24,WNG
2021-01-01 01:05:00,18180.28,1050.90,46396.54,49842.37,WNG
2021-01-01 01:06:00,18180.44,1051.08,46396.55,49842.47,WNG
2021-01-01 01:07:00,18180.73,1051.08,46396.64,49842.61,WNG
2021-01-01 01:08:00,18180.85,1051.05,46396.70,49842.70,WNG
2021-01-01 01:09:00,18180.95,1050.99,46396.73,49842.77,WNG
2021-01-01 01:10:00,18180.91,1050.89,46396.76,49842.79,WNG
2021-01-01 01:11:00,18180.85,1050.82,46396.77,49842.75,WNG
2021-01-01 01:12:00,18180.76,1050.74,46396.74,49842.72,WNG
2021-01-01 01:13:00,18180.71,1050.65,46396.72,49842.68,WNG
2021-01-01 01:14:00,18180.64,1050.60,46396.69,49842.61,WNG
2021-01-01 01:15:00,18180.57,1050.36,46396.70,49842.56,WNG
2021-01-01 01:16:00,18180.56,1050.14,46396.64,49842.49,WNG
2021-01-01 01:17:00,18180.47,1049.95,46396.57,49842.42,WNG
2021-01-01 01:18:00,18180.48,1049.80,46396.57,49842.37,WNG
2021-01-01 01:19:00,18180.58,1049.71,46396.44,49842.33,WNG
