Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,13386.80,-5025.30,58260.50,59919.80,YAK
2021-01-01 00:01:00,13386.70,-5024.80,58260.50,59919.80,YAK
2021-01-01 00:02:00,13387.20,-5024.20,58260.10,59919.50,YAK
2021-01-01 00:03:00,13387.30,-5023.60,58259.90,59919.30,YAK
2021-01-01 00:04:00,13387.60,-5022.70,58259.60,59919.00,YAK
2021-01-01 00:05:00,13387.70,-5023.60,58259.90,59919.30,YAK
2021-01-01 00:06:00,13386.70,-5027.10,58261.00,59920.40,YAK
2021-01-01 00:07:00,13385.00,-5029.50,58262.10,59921.30,YAK
2021-01-01 00:08:00,13384.00,-5029.20,58262.50,59921.50,YAK
2021-01-01 00:09:00,13384.80,-5028.00,58262.00,59921.00,YAK
2021-01-01 00:10:00,13385.30,-5027.50,58261.60,59920.70,YAK
2021-01-01 00:11:00,13385.50,-5027.00,58261.30,59920.50,YAK
2021-01-01 00:12:00,13385.50,-5026.40,58261.30,59920.30,YAK
2021-01-01 00:13:00,13385.90,-5026.80,58261.10,59920.40,YAK
2021-01-01 00:14:00,13385.80,-5026.60,58261.00,59920.20,YAK
2021-01-01 00:15:00,13385.70,-5026.70,58261.10,59920.30,YAK
2021-01-01 00:16:00,13385.90,-5026.30,58260.90,59920.20,YAK
2021-01-01 00:17:00,13385.80,-5025.90,58260.90,59920.00,YAK
2021-01-01 00:18:00,13386.50,-5025.70,58260.50,59919.90,YAK
2021-01-01 00:19:00,13386.30,-5025.40,58260.60,59919.80,YAK
2021-01-01 00:20:00,13386.30,-5025.60,58260.70,59920.00,YAK
2021-01-01 00:21:00,13386.50,-5026.30,58260.80,59920.10,YAK
2021-01-01 00:22:00,13386.20,-5026.50,58260.90,59920.20,YAK
2021-01-01 00:23:00,13386.20,-5027.00,58261.00,59920.40,YAK
2021-01-01 00:24:00,13385.50,-5027.70,58261.40,59920.70,YAK
2021-01-01 00:25:00,13384.80,-5028.10,58261.80,59920.90,YAK
2021-01-01 00:26:00,13384.50,-5028.30,58262.10,59921.10,YAK
2021-01-01 00:27:00,13384.40,-5027.90,58262.00,59921.00,YAK
2021-01-01 00:28:00,13384.60,-5027.60,58261.80,59920.90,YAK
2021-01-01 00:29:00,13384.70,-5027.30,58261.70,59920.80,YAK
2021-01-01 00:30:00,13385.10,-5027.40,58261.60,59920.70,YAK
2021-01-01 00:31:00,13385.50,-5027.30,58261.50,59920.70,YAK
2021-01-01 00:32:00,13385.50,-5027.30,58261.50,59920.70,YAK
2021-01-01 00:33:00,13385.40,-5027.40,58261.60,59920.80,YAK
2021-01-01 00:34:00,13385.30,-5027.50,58261.70,59920.80,YAK
2021-01-01 00:35:00,13385.30,-5027.50,58261.70,59920.80,YAK
2021-01-01 00:36:00,13385.30,-5027.20,58261.70,59920.80,YAK
2021-01-01 00:37:00,13385.30,-5027.40,58261.70,59920.90,YAK
2021-01-01 00:38:00,13385.40,-5027.30,58261.70,59920.80,YAK
2021-01-01 00:39:00,13385.40,-5027.50,58261.80,59921.00,YAK
2021-01-01 00:40:00,13385.30,-5027.70,58261.90,59921.10,YAK
2021-01-01 00:41:00,13385.70,-5027.80,58261.80,59921.00,YAK
2021-01-01 00:42:00,13385.70,-5027.80,58261.80,59921.00,YAK
2021-01-01 00:43:00,13385.80,-5027.80,58261.80,59921.10,YAK
2021-01-01 00:44:00,13385.70,-5027.90,58261.90,59921.10,YAK
2021-01-01 00:45:00,13385.50,-5028.20,58262.10,59921.30,YAK
2021-01-01 00:46:00,13385.20,-5028.30,58262.20,59921.40,YAK
2021-01-01 00:47:00,13385.10,-5028.20,58262.20,59921.40,YAK
2021-01-01 00:48:00,13385.40,-5028.20,58262.20,59921.40,YAK
2021-01-01 00:49:00,13385.40,-5028.10,58262.10,59921.30,YAK
2021-01-01 00:50:00,13385.40,-5028.20,58262.20,59921.40,YAK
2021-01-01 00:51:00,13385.20,-5028.40,58262.30,59921.50,YAK
2021-01-01 00:52:00,13385.10,-5028.70,58262.50,59921.60,YAK
2021-01-01 00:53:00,13385.10,-5028.90,58262.50,59921.70,YAK
2021-01-01 00:54:00,13385.20,-5028.90,58262.50,59921.70,YAK
2021-01-01 00:55:00,13385.20,-5028.60,58262.50,59921.70,YAK
2021-01-01 00:56:00,13385.20,-5028.60,58262.50,59921.70,YAK
2021-01-01 00:57:00,13385.10,-5028.60,58262.50,59921.70,YAK
2021-01-01 00:58:00,13385.20,-5028.60,58262.50,59921.70,YAK
2021-01-01 00:59:00,13385.10,-5028.60,58262.60,59921.70,YAK
2021-01-01 01:00:00,13385.10,-5028.70,58262.60,59921.70,YAK
2021-01-01 01:01:00,13385.10,-5028.90,58262.60,59921.80,YAK
2021-01-01 01:02:00,13385.20,-5029.00,58262.60,59921.80,YAK
2021-01-01 01:03:00,13385.00,-5029.10,58262.60,59921.90,YAK
2021-01-01 01:04:00,13385.10,-5029.10,58262.70,59921.90,YAK
2021-01-01 01:05:00,13385.10,-5029.40,58262.80,59921.90,YAK
2021-01-01 01:06:00,13385.10,-5029.50,58262.80,59922.00,YAK
2021-01-01 01:07:00,13385.00,-5029.60,58262.80,59922.00,YAK
2021-01-01 01:08:00,13385.10,-5029.70,58262.80,59922.10,YAK
2021-01-01 01:09:00,13385.10,-5029.70,58262.80,59922.10,YAK
2021-01-01 01:10:00,13385.10,-5029.70,58262.80,59922.10,YAK
2021-01-01 01:11:00,13384.90,-5029.60,58262.80,59922.00,YAK
2021-01-01 01:12:00,13384.90,-5029.40,58262.80,59922.00,YAK
2021-01-01 01:13:00,13384.90,-5029.60,58262.80,59922.10,YAK
2021-01-01 01:14:00,13384.80,-5029.50,58262.80,59922.00,YAK
2021-01-01 01:15:00,13384.80,-5029.60,58262.90,59922.10,YAK
2021-01-01 01:16:00,13384.70,-5029.50,58262.80,59922.00,YAK
2021-01-01 01:17:00,13384.60,-5029.50,58262.80,59922.00,YAK
2021-01-01 01:18:00,13384.60,-5029.70,58262.90,59922.00,YAK
2021-01-01 01:19:00,13384.50,-5029.80,58263.00,59922.10,YAK
2021-01-01 01:20:00,13384.50,-5029.80,58262.90,59922.10,YAK
2021-01-01 01:21:00,13384.50,-5030.10,58262.90,59922.10,YAK
2021-01-01 01:22:00,13384.50,-5030.40,58262.90,59922.20,YAK
2021-01-01 01:23:00,13384.60,-5030.50,58263.10,59922.30,YAK
2021-01-01 01:24:00,13384.70,-5030.50,58262.90,59922.20,YAK
2021-01-01 01:25:00,13384.50,-5030.50,58262.90,59922.20,YAK
2021-01-01 01:26:00,13384.20,-5030.40,58263.00,59922.20,YAK
2021-01-01 01:27:00,13384.20,-5030.40,58263.10,59922.20,YAK
2021-01-01 01:28:00,13384.10,-5030.30,58263.10,59922.20,YAK
2021-01-01 01:29:00,13384.00,-5030.20,58263.00,59922.20,YAK
2021-01-01 01:30:00,13383.90,-5030.10,58263.00,59922.20,YAK
2021-01-01 01:31:00,13383.80,-5030.10,58263.10,59922.20,YAK
2021-01-01 01:32:00,13383.80,-5030.10,58263.10,59922.20,YAK
2021-01-01 01:33:00,13383.80,-5030.00,58263.10,59922.10,YAK
2021-01-01 01:34:00,13383.80,-5029.80,58263.00,59922.10,YAK
2021-01-01 01:35:00,13383.50,-5029.60,58263.10,59922.00,YAK
2021-01-01 01:36:00,13383.60,-5029.60,58263.20,59922.00,YAK
2021-01-01 01:37:00,13383.60,-5029.60,58263.10,59922.00,YAK
2021-01-01 01:38:00,13383.70,-5029.70,58263.10,59922.00,YAK
2021-01-01 01:39:00,13383.60,-5029.60,58263.10,59922.00,YAK
2021-01-01 01:40:00,13383.60,-5029.90,58263.10,59922.10,YAK
2021-01-01 01:41:00,13383.70,-5030.00,58263.20,59922.10,YAK
2021-01-01 01:42:00,13383.60,-5029.90,58263.20,59922.10,YAK
2021-01-01 01:43:00,13383.50,-5029.90,58263.20,59922.10,YAK
2021-01-01 01:44:00,13383.50,-5029.90,58263.20,59922.10,YAK
2021-01-01 01:45:00,13383.50,-5029.80,58263.20,59922.10,YAK
2021-01-01 01:46:00,13383.60,-5029.80,58263.10,59922.10,YAK
2021-01-01 01:47:00,13383.60,-5029.80,58263.20,59922.10,YAK
2021-01-01 01:48:00,13383.50,-5029.80,58263.20,59922.10,YAK
2021-01-01 01:49:00,13383.70,-5030.10,58263.20,59922.20,YAK
2021-01-01 01:50:00,13383.80,-5030.10,58263.20,59922.20,YAK
2021-01-01 01:51:00,13383.70,-5030.00,58263.10,59922.10,YAK
2021-01-01 01:52:00,13383.50,-5030.30,58263.20,59922.20,YAK
2021-01-01 01:53:00,13383.70,-5030.30,58263.20,59922.30,YAK
2021-01-01 01:54:00,13383.50,-5030.30,58263.30,59922.20,YAK
2021-01-01 01:55:00,13383.60,-5030.60,58263.30,59922.30,YAK
2021-01-01 01:56:00,13383.50,-5030.70,58263.30,59922.30,YAK
2021-01-01 01:57:00,13383.60,-5030.90,58263.40,59922.40,YAK
2021-01-01 01:58:00,13383.70,-5030.90,58263.40,59922.40,YAK
2021-01-01 01:59:00,13383.70,-5030.90,58263.40,59922.40,YAK
2021-01-01 02:00:00,13383.40,-5030.90,58263.40,59922.40,YAK
2021-01-01 02:01:00,13382.90,-5030.90,58263.50,59922.40,YAK
2021-01-01 02:02:00,13382.90,-5031.00,58263.50,59922.40,YAK
2021-01-01 02:03:00,13382.90,-5031.00,58263.60,59922.50,YAK
2021-01-01 02:04:00,13382.70,-5030.80,58263.60,59922.40,YAK
2021-01-01 02:05:00,13382.70,-5030.90,58263.60,59922.40,YAK
2021-01-01 02:06:00,13382.70,-5030.80,58263.50,59922.30,YAK
2021-01-01 02:07:00,13382.60,-5030.70,58263.50,59922.30,YAK
2021-01-01 02:08:00,13382.60,-5030.80,58263.50,59922.30,YAK
2021-01-01 02:09:00,13382.60,-5030.80,58263.50,59922.30,YAK
2021-01-01 02:10:00,13382.50,-5030.60,58263.40,59922.20,YAK
2021-01-01 02:11:00,13382.50,-5030.70,58263.50,59922.20,YAK
2021-01-01 02:12:00,13382.40,-5030.80,58263.50,59922.30,YAK
2021-01-01 02:13:00,13382.50,-5031.00,58263.50,59922.30,YAK
2021-01-01 02:14:00,13382.50,-5030.90,58263.40,59922.20,YAK
2021-01-01 02:15:00,13382.40,-5031.00,58263.40,59922.20,YAK
2021-01-01 02:16:00,13382.30,-5031.00,58263.40,59922.20,YAK
2021-01-01 02:17:00,13382.30,-5031.30,58263.50,59922.20,YAK
2021-01-01 02:18:00,13382.40,-5031.30,58263.50,59922.30,YAK
2021-01-01 02:19:00,13382.40,-5031.30,58263.40,59922.20,YAK
2021-01-01 02:20:00,13382.60,-5031.30,58263.40,59922.20,YAK
2021-01-01 02:21:00,13382.70,-5031.40,58263.30,59922.20,YAK
2021-01-01 02:22:00,13383.00,-5031.50,58263.30,59922.20,YAK
2021-01-01 02:23:00,13383.20,-5031.40,58263.20,59922.20,YAK
2021-01-01 02:24:00,13383.20,-5031.80,58263.30,59922.30,YAK
2021-01-01 02:25:00,13383.20,-5032.20,58263.40,59922.40,YAK
2021-01-01 02:26:00,13383.20,-5032.60,58263.60,59922.60,YAK
2021-01-01 02:27:00,13383.20,-5032.90,58263.70,59922.70,YAK
2021-01-01 02:28:00,13383.20,-5033.10,58263.70,59922.80,YAK
2021-01-01 02:29:00,13383.00,-5033.20,58263.80,59922.80,YAK
2021-01-01 02:30:00,13382.60,-5033.00,58263.90,59922.80,YAK
2021-01-01 02:31:00,13382.40,-5033.00,58264.00,59922.90,YAK
2021-01-01 02:32:00,13382.40,-5032.90,58264.00,59922.80,YAK
2021-01-01 02:33:00,13382.40,-5033.10,58264.00,59922.90,YAK
2021-01-01 02:34:00,13382.40,-5033.40,58264.00,59922.90,YAK
2021-01-01 02:35:00,13382.60,-5033.70,58264.00,59923.00,YAK
2021-01-01 02:36:00,13382.60,-5033.70,58264.10,59923.00,YAK
2021-01-01 02:37:00,13382.50,-5033.70,58264.00,59923.00,YAK
2021-01-01 02:38:00,13382.40,-5033.70,58264.10,59923.00,YAK
2021-01-01 02:39:00,13382.20,-5033.90,58264.10,59923.00,YAK
2021-01-01 02:40:00,13382.10,-5033.70,58264.10,59923.00,YAK
2021-01-01 02:41:00,13381.90,-5033.70,58264.10,59922.90,YAK
2021-01-01 02:42:00,13382.10,-5033.70,58264.00,59922.90,YAK
2021-01-01 02:43:00,13382.00,-5033.60,58264.00,59922.80,YAK
2021-01-01 02:44:00,13382.00,-5033.70,58264.00,59922.80,YAK
2021-01-01 02:45:00,13381.90,-5033.70,58264.00,59922.80,YAK
2021-01-01 02:46:00,13381.80,-5033.70,58264.00,59922.80,YAK
2021-01-01 02:47:00,13381.60,-5033.60,58264.00,59922.70,YAK
2021-01-01 02:48:00,13381.60,-5033.50,58263.90,59922.70,YAK
2021-01-01 02:49:00,13381.70,-5033.80,58263.90,59922.70,YAK
2021-01-01 02:50:00,13381.90,-5033.90,58263.90,59922.70,YAK
2021-01-01 02:51:00,13381.80,-5033.90,58263.80,59922.60,YAK
2021-01-01 02:52:00,13381.60,-5033.80,58263.80,59922.60,YAK
2021-01-01 02:53:00,13381.70,-5033.90,58263.80,59922.60,YAK
2021-01-01 02:54:00,13381.60,-5034.10,58263.90,59922.60,YAK
2021-01-01 02:55:00,13381.50,-5033.80,58263.80,59922.60,YAK
2021-01-01 02:56:00,13381.60,-5033.70,58263.70,59922.40,YAK
2021-01-01 02:57:00,13381.60,-5033.70,58263.70,59922.40,YAK
2021-01-01 02:58:00,13381.60,-5033.60,58263.70,59922.40,YAK
2021-01-01 02:59:00,13381.70,-5033.80,58263.60,59922.40,YAK
2021-01-01 03:00:00,13382.30,-5034.40,58263.60,59922.60,YAK
2021-01-01 03:01:00,13382.50,-5034.70,58263.60,59922.70,YAK
2021-01-01 03:02:00,13382.10,-5034.20,58263.50,59922.40,YAK
2021-01-01 03:03:00,13381.90,-5033.80,58263.50,59922.30,YAK
2021-01-01 03:04:00,13381.70,-5033.80,58263.60,59922.40,YAK
2021-01-01 03:05:00,13381.40,-5033.60,58263.60,59922.30,YAK
2021-01-01 03:06:00,13381.30,-5033.30,58263.60,59922.20,YAK
2021-01-01 03:07:00,13381.50,-5033.30,58263.50,59922.20,YAK
2021-01-01 03:08:00,13381.60,-5033.50,58263.50,59922.20,YAK
2021-01-01 03:09:00,13382.00,-5033.70,58263.50,59922.30,YAK
2021-01-01 03:10:00,13382.10,-5034.00,58263.50,59922.40,YAK
2021-01-01 03:11:00,13382.20,-5034.20,58263.50,59922.40,YAK
2021-01-01 03:12:00,13382.10,-5034.10,58263.50,59922.40,YAK
2021-01-01 03:13:00,13382.40,-5034.40,58263.60,59922.50,YAK
2021-01-01 03:14:00,13382.50,-5034.60,58263.60,59922.60,YAK
2021-01-01 03:15:00,13382.50,-5034.80,58263.60,59922.70,YAK
2021-01-01 03:16:00,13382.60,-5034.90,58263.70,59922.70,YAK
2021-01-01 03:17:00,13382.80,-5034.70,58263.60,59922.70,YAK
2021-01-01 03:18:00,13382.70,-5034.90,58263.60,59922.80,YAK
2021-01-01 03:19:00,13382.70,-5034.90,58263.70,59922.80,YAK
2021-01-01 03:20:00,13382.70,-5034.80,58263.70,59922.80,YAK
2021-01-01 03:21:00,13382.80,-5035.00,58263.70,59922.80,YAK
2021-01-01 03:22:00,13383.00,-5035.20,58263.70,59922.90,YAK
2021-01-01 03:23:00,13383.00,-5035.40,58263.80,59923.00,YAK
2021-01-01 03:24:00,13383.00,-5035.40,58263.70,59923.00,YAK
2021-01-01 03:25:00,13382.80,-5035.30,58263.80,59923.00,YAK
2021-01-01 03:26:00,13383.00,-5035.50,58263.80,59923.00,YAK
2021-01-01 03:27:00,13382.90,-5035.30,58263.90,59923.00,YAK
2021-01-01 03:28:00,13382.70,-5035.20,58263.90,59923.00,YAK
2021-01-01 03:29:00,13383.10,-5035.30,58263.70,59922.90,YAK
2021-01-01 03:30:00,13383.30,-5035.80,58263.80,59923.10,YAK
2021-01-01 03:31:00,13383.40,-5035.90,58263.80,59923.10,YAK
2021-01-01 03:32:00,13383.40,-5035.90,58263.80,59923.20,YAK
2021-01-01 03:33:00,13383.40,-5035.90,58263.90,59923.20,YAK
2021-01-01 03:34:00,13383.10,-5035.80,58263.90,59923.20,YAK
2021-01-01 03:35:00,13383.50,-5036.20,58263.90,59923.20,YAK
2021-01-01 03:36:00,13383.60,-5036.30,58263.90,59923.30,YAK
2021-01-01 03:37:00,13383.50,-5036.10,58263.90,59923.20,YAK
2021-01-01 03:38:00,13383.60,-5036.00,58263.80,59923.20,YAK
2021-01-01 03:39:00,13383.50,-5035.90,58263.80,59923.20,YAK
2021-01-01 03:40:00,13383.50,-5035.80,58263.80,59923.10,YAK
2021-01-01 03:41:00,13383.30,-5035.80,58263.80,59923.10,YAK
2021-01-01 03:42:00,13383.30,-5035.50,58263.70,59923.00,YAK
2021-01-01 03:43:00,13383.50,-5035.60,58263.70,59923.00,YAK
2021-01-01 03:44:00,13384.20,-5036.10,58263.60,59923.20,YAK
2021-01-01 03:45:00,13383.70,-5036.10,58263.70,59923.20,YAK
2021-01-01 03:46:00,13384.10,-5036.20,58263.70,59923.20,YAK
2021-01-01 03:47:00,13383.90,-5036.00,58263.70,59923.10,YAK
2021-01-01 03:48:00,13384.10,-5036.20,58263.70,59923.20,YAK
2021-01-01 03:49:00,13383.70,-5036.40,58263.90,59923.20,YAK
2021-01-01 03:50:00,13383.60,-5036.50,58263.90,59923.30,YAK
2021-01-01 03:51:00,13383.90,-5036.60,58263.80,59923.20,YAK
2021-01-01 03:52:00,13384.30,-5036.90,58263.70,59923.30,YAK
2021-01-01 03:53:00,13384.10,-5036.80,58263.70,59923.30,YAK
2021-01-01 03:54:00,13383.70,-5036.40,58263.70,59923.20,YAK
2021-01-01 03:55:00,13383.80,-5036.20,58263.60,59923.10,YAK
2021-01-01 03:56:00,13383.60,-5036.10,58263.60,59923.00,YAK
2021-01-01 03:57:00,13384.10,-5036.10,58263.60,59923.00,YAK
2021-01-01 03:58:00,13384.10,-5036.20,58263.50,59923.00,YAK
2021-01-01 03:59:00,13384.40,-5036.50,58263.50,59923.00,YAK
2021-01-01 04:00:00,13384.40,-5036.40,58263.50,59923.10,YAK
2021-01-01 04:01:00,13385.50,-5037.10,58263.30,59923.20,YAK
2021-01-01 04:02:00,13385.70,-5037.50,58263.40,59923.30,YAK
2021-01-01 04:03:00,13385.40,-5037.10,58263.40,59923.20,YAK
2021-01-01 04:04:00,13385.90,-5037.20,58263.20,59923.20,YAK
2021-01-01 04:05:00,13385.40,-5037.00,58263.30,59923.20,YAK
2021-01-01 04:06:00,13385.10,-5036.70,58263.30,59923.10,YAK
2021-01-01 04:07:00,13385.90,-5037.20,58263.20,59923.20,YAK
2021-01-01 04:08:00,13384.60,-5036.90,58263.50,59923.20,YAK
2021-01-01 04:09:00,13384.40,-5036.40,58263.40,59923.00,YAK
2021-01-01 04:10:00,13384.20,-5036.20,58263.40,59922.90,YAK
2021-01-01 04:11:00,13384.80,-5036.40,58263.10,59922.90,YAK
2021-01-01 04:12:00,13384.50,-5036.10,58263.10,59922.80,YAK
2021-01-01 04:13:00,13384.90,-5036.00,58262.90,59922.70,YAK
2021-01-01 04:14:00,13384.30,-5035.40,58262.90,59922.40,YAK
2021-01-01 04:15:00,13384.10,-5035.00,58262.80,59922.20,YAK
2021-01-01 04:16:00,13384.00,-5035.00,58262.80,59922.20,YAK
2021-01-01 04:17:00,13384.40,-5035.30,58262.70,59922.20,YAK
2021-01-01 04:18:00,13384.70,-5035.40,58262.60,59922.20,YAK
2021-01-01 04:19:00,13384.70,-5035.40,58262.50,59922.10,YAK
2021-01-01 04:20:00,13384.90,-5035.90,58262.50,59922.20,YAK
2021-01-01 04:21:00,13385.30,-5036.00,58262.40,59922.20,YAK
2021-01-01 04:22:00,13385.30,-5036.10,58262.40,59922.20,YAK
2021-01-01 04:23:00,13385.20,-5036.00,58262.50,59922.20,YAK
2021-01-01 04:24:00,13385.20,-5036.10,58262.50,59922.20,YAK
2021-01-01 04:25:00,13385.60,-5036.10,58262.30,59922.20,YAK
2021-01-01 04:26:00,13385.30,-5036.20,58262.50,59922.30,YAK
2021-01-01 04:27:00,13385.60,-5036.20,58262.40,59922.30,YAK
2021-01-01 04:28:00,13385.60,-5036.10,58262.40,59922.30,YAK
2021-01-01 04:29:00,13385.70,-5035.90,58262.30,59922.20,YAK
2021-01-01 04:30:00,13385.50,-5036.00,58262.30,59922.20,YAK
2021-01-01 04:31:00,13385.40,-5035.90,58262.30,59922.20,YAK
2021-01-01 04:32:00,13385.20,-5035.60,58262.40,59922.10,YAK
2021-01-01 04:33:00,13385.30,-5035.70,58262.40,59922.10,YAK
2021-01-01 04:34:00,13385.20,-5035.80,58262.40,59922.20,YAK
2021-01-01 04:35:00,13385.40,-5035.70,58262.30,59922.10,YAK
2021-01-01 04:36:00,13385.30,-5036.00,58262.30,59922.20,YAK
2021-01-01 04:37:00,13385.50,-5035.80,58262.30,59922.20,YAK
2021-01-01 04:38:00,13385.50,-5035.80,58262.30,59922.10,YAK
2021-01-01 04:39:00,13384.90,-5035.50,58262.30,59922.00,YAK
2021-01-01 04:40:00,13384.80,-5035.30,58262.30,59922.00,YAK
2021-01-01 04:41:00,13384.90,-5035.40,58262.30,59922.10,YAK
2021-01-01 04:42:00,13384.60,-5035.20,58262.40,59922.00,YAK
2021-01-01 04:43:00,13384.50,-5034.90,58262.30,59921.90,YAK
