code,obs_name,coordinates
ABK, Abisko, 68.358/18.823
API, Apia, -13.8/188.22
ASP, Alice Springs, -23.77/133.88
BEL, Belsk, 51.836/20.789
BFO, Black Forest, 48.331/8.325
BOU, Boulder, 40.14/254.76
BRW, Barrow, 71.32/203.38
BSL, Stennis Space Center, 30.35/270.36
CKI, Cocos-Keeling Islands, -12.1875/96.8336
CLF, Chambon la Foret, 48.02/2.27
CMO, College, 64.87/212.14
CNB, Canberra, -35.32/149.36
CSY, Casey Station, -66.283/110.533
CTA, Charters Towers, -20.1/146.3
DED, Deadhorse, 70.36/211.21
DLT, Dalat, 11.94/108.48
DOU, Dourbes, 50.1/4.6
FRD, Fredericksburg, 38.2/282.63
FRN, Fresno, 37.09/240.28
FUR, Furstenfeldbruck, 48.17/11.28
GAN, Gan, 0.6946/73.1537
GDH, Qeqertarsuaq (Godhavn), 69.252/306.467
GNG, Gingin, -31.356/115.715
GUA, Guam, 13.59/144.87
GUI, Guimar-Tenerife, 28.32/343.57
HLP, Hel, 54.603/18.811
HON, Honolulu, 21.32/202.0
HRN, Hornsund, 77.002/15.547
HUA, Huancayo, -12.05/284.67
HYB, Hyderabad, 17.4/78.6
IPM, Isla de Pascua Mataveri (Easter Island), -27.2/250.58
KAK, Kakioka, 36.23/140.18
KDU, Kakadu, -12.69/132.47
KNY, Kanoya, 31.42/130.88
LRM, Learmonth, -22.22/114.1
LVV, Lviv, 49.9/23.75
LYC, Lycksele, 64.6/18.8
MAB, Manhay, 50.298/5.682
MAW, Mawson, -67.6/62.88
MCQ, Macquarie Island, -54.5/158.95
MMB, Memambetsu, 43.91/144.19
NAQ, Narsarsuaq, 61.160/314.558
NEW, Newport, 48.27/242.88
NGK, Niemegk, 52.07/12.68
NUR, Nurmijarvi, 60.51/24.66
PAG, Panagjurishte, 42.5/24.2
PHU, Phuthuy, 21.03/105.95
PPT, Pamatai, -17.57/210.42
SBA, Scott Base, -77.85/166.78
SFS, San Fernando, 36.667/354.055
SHE, Saint Helena, -15.961/354.253
SHU, Shumagin, 55.35/199.54
SIT, Sitka, 57.06/224.67
SJG, San Juan, 18.11/293.85
SOD, Sodankyla, 67.37/26.63
SPT, San Pablo-Toledo, 39.55/355.65
SUA, Surlari, 44.68/26.25
TAM, Tamanrasset, 22.79/5.53
TDC, Tristan da Cunha, -37.067/347.685
THL, Qaanaaq (Thule), 77.47/290.773
TTB, Tatuoca, -1.205/311.487
TUC, Tucson, 32.18/249.27
UPS, Uppsala, 59.903/17.353
VNA, Neumayer Station â…¢, -70.683/351.718
VOS, Vostok, -78.464/106.835
VSS, Vassouras, -22.4/316.35
WIC, Conrad Observatory, 47.9305/15.8657
